timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,visits_visits_gained,session_session_length,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2019-11-04 00:00:00+00:00,0,0,0,1176784616,0.0,249239,0.0,0.0,0.8362099528312683,4106,92.28687286376952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4106.0,249239.0,92.28687286376952,0.8362099528312683,0.0,0.0,4106.0,249239.0,92.28687286376952,0.8362099528312683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01647408120686888,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2019-11-05 00:00:00+00:00,0,0,0,1176784616,0.0,347585,0.0,0.0,0.9241235256195068,4605,92.29054260253906,0.0,0.0,4106.0,249239.0,92.28687286376952,0.8362099528312683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4355.5,298412.0,92.2887077331543,0.8801667392253876,0.0,0.0,4355.5,298412.0,92.2887077331543,0.8801667392253876,0.0,0.0,0.0,0.0,12.152946906965422,0.0,39.45851170964416,0.0,10.513337289346737,0.0,0.003976447197384658,0.0,0.0,0.0,0.0,0.01324851979078559,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,352.8462838120872,352.8462838120872,69541.1235025722,69541.1235025722,0,0.0
2019-11-06 00:00:00+00:00,0,0,0,1176784616,0.0,374223,0.0,0.0,1.130961537361145,4701,92.29479217529295,0.0,0.0,4605.0,347585.0,92.29054260253906,0.9241235256195068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4470.666666666667,323682.3333333333,92.29073588053386,0.96376500527064,0.0,0.0,4470.666666666667,323682.3333333333,92.29073588053386,0.96376500527064,0.0,0.0,0.0,0.0,2.084690553745938,0.0,7.6637369276579825,0.0,22.38207404177701,0.0,0.0046045592907439925,0.0,0.0,0.0,0.0,0.012561994954893326,0.0,0.003959655761717062,0.0,1.0,0.0,1.0,0.0,0.0,319.43752649514005,319.43752649514005,65831.24766654005,65831.24766654005,0,0.0
2019-11-07 00:00:00+00:00,0,0,0,1176784616,0.0,356647,0.0,0.0,0.9860491156578064,4262,92.29944610595705,0.0,0.0,4701.0,374223.0,92.29479217529295,1.130961537361145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418.5,331923.5,92.29291343688965,0.9693360328674316,0.0,0.0,4418.5,331923.5,92.29291343688965,0.9693360328674316,0.0,0.0,0.0,0.0,-9.338438630078706,0.0,-4.696664822846275,0.0,-12.813205128218641,0.0,0.005042462910864742,0.0,0.0,0.0,0.0,0.011950158139117562,0.0,0.004196929931632128,0.0,1.0,0.0,1.0,0.0,0.0,280.9133911605734,280.9133911605734,56221.31350001232,56221.31350001232,0,0.0
2019-11-08 00:00:00+00:00,0,0,0,1176784616,0.0,388164,0.0,0.0,0.9995431900024414,5120,92.31017303466795,0.0,0.0,4262.0,356647.0,92.29944610595705,0.9860491156578064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4558.8,343171.6,92.2963653564453,0.9753774642944336,0.0,0.0,4558.8,343171.6,92.2963653564453,0.9753774642944336,0.0,0.0,0.0,0.0,20.13139371187236,0.0,8.837029331523883,0.0,1.3684992086457015,0.0,0.011621877663925417,0.0,0.0,0.0,0.0,0.013190267025620548,0.0,0.005550384521478256,0.005550384521478256,1.0,0.0,1.0,0.0,0.0,396.9945843459328,396.9945843459328,54801.69556500967,54801.69556500967,0,0.0
2019-11-09 00:00:00+00:00,0,1,0,1176784616,0.0,632271,0.0,0.0,0.8126672506332397,8354,92.31884002685548,0.0,0.0,5120.0,388164.0,92.31017303466795,0.9995431900024414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5191.333333333333,391354.8333333333,92.300111134847,0.9482590953509012,0.0,0.0,5191.333333333333,391354.8333333333,92.300111134847,0.9482590953509012,0.0,0.0,0.0,0.0,63.16406249999999,0.0,62.887593903607765,0.0,-18.696134518083728,0.0,0.009388989211700505,0.0,0.0,0.0,0.0,0.013212667965685654,0.0,0.006382315499444052,0.006382315499444052,1.0,0.0,1.0,0.0,0.0,1589.5515929552794,1589.5515929552794,127797.9832241756,127797.9832241756,0,0.0
2019-11-10 00:00:00+00:00,0,1,0,1176784616,0.0,973474,0.0,0.0,1.417057991027832,14613,92.30418395996094,0.0,0.0,8354.0,632271.0,92.31884002685548,0.8126672506332397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6537.285714285715,474514.71428571426,92.30069296700614,1.0152303661618913,0.0,0.0,6537.285714285715,474514.71428571426,92.30069296700614,1.0152303661618913,0.0,0.0,0.0,0.0,74.9221929614556,0.0,53.96467653901571,0.0,74.37124357154099,0.0,-0.015875488567973495,0.0,0.0,0.0,0.0,0.015011171319242919,0.0,0.00442532130650416,0.00442532130650416,1.0,0.0,1.0,0.0,0.0,3845.3447922687724,3845.3447922687724,249036.60580372135,249036.60580372135,0,0.0
2019-11-11 00:00:00+00:00,0,0,1,1176784616,0.0,650322,0.0,0.0,1.4855411052703855,10902,92.29718017578124,0.0,0.0,14613.0,973474.0,92.30418395996094,1.417057991027832,0.0,0.0,4106.0,249239.0,92.28687286376952,0.8362099528312683,0.0,0.0,7508.142857142857,531812.2857142857,92.30216544015067,1.1079919593674796,0.0,0.0,7082.875,496490.625,92.30025386810303,1.0740192085504532,0.0,0.0,0.0,165.51388212372137,-25.395196058304247,160.92304976348,-33.19575047715707,77.65168905734615,4.832767231557034,0.011168773728997827,-0.007587721248625279,0.0,0.0,0.0,0.0,0.016763977285133694,0.0,0.0020746503557475373,0.0026574816022629597,1.0000207103660883,0.0,1.0316314182712594,0.0,0.0,3880.1592175542783,3880.1592175542783,238794.6106947125,238794.6106947125,0,0.0
2019-11-12 00:00:00+00:00,0,0,0,1176784616,0.0,535518,0.0,0.0,1.5282080173492432,7514,92.29791259765624,0.0,0.0,10902.0,650322.0,92.29718017578124,1.4855411052703855,0.0,0.0,4605.0,347585.0,92.29054260253906,0.9241235256195068,0.0,0.0,7923.714285714285,558659.8571428572,92.30321829659599,1.194289743900299,0.0,0.0,7130.777777777777,500827.0,92.29999372694228,1.1244846317503188,0.0,0.0,0.0,63.17046688382193,-31.076866629976152,54.06821353050333,-17.653408619114842,65.3683706758547,2.8721461780818025,0.007985645017738463,0.0007935474015674515,0.0,0.0,0.0,0.0,0.014031248191007229,0.0,-4.141671316735264e-05,0.0017041524251261795,1.000034935751602,0.0,1.0620774265641364,0.0,0.0,3632.400472751379,3632.400472751379,223750.4081962757,223750.4081962757,0,0.0
2019-11-13 00:00:00+00:00,0,0,0,1176784616,0.0,543861,0.0,0.0,1.603888988494873,6965,92.291748046875,0.0,0.0,7514.0,535518.0,92.29791259765624,1.5282080173492432,0.0,0.0,4701.0,374223.0,92.29479217529295,1.130961537361145,0.0,0.0,8247.142857142857,582893.8571428572,92.3027834211077,1.2618508083479745,0.0,0.0,7114.2,505130.4,92.29916915893554,1.1724250674247743,0.0,0.0,0.0,48.15996596468837,-7.3063614586105885,45.330725262744394,1.5579308258546032,41.816404493931984,4.952268950721939,-0.003298266723628096,-0.006678970962337161,0.0,0.0,0.0,0.0,0.012806557545848028,0.0,-0.002474103655130956,0.0007896192146081328,1.0000391581224957,0.0,1.0762741631920438,0.0,0.0,3425.0612257301327,3425.0612257301327,211392.3929001336,211392.3929001336,0,0.0
