timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,sort_sort_position,session_session_length,daily_Estimated Revenue,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-15 00:00:00+00:00,0,0,0,5576955991,0.0355183062918396,85.87762451171875,604,0.0078580351546406,469.0,15.786674976348875,207864,10192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207864.0,604.0,10192.0,85.87762451171875,0.0078580351546406,15.786674976348875,207864.0,604.0,10192.0,85.87762451171875,0.0078580351546406,15.786674976348875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.57685950413224,20.392818601000688,0.05925635239870499,7.59467682214364e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-04-16 00:00:00+00:00,0,0,0,5576955991,0.0394622082304664,86.04051208496094,727,0.0090130409225821,467.0,13.305619915326435,232470,73861,207864.0,604.0,10192.0,85.87762451171875,0.0078580351546406,15.786674976348875,0.0,0.0,0.0,0.0,0.0,0.0,220167.0,665.5,42026.5,85.95906829833984,0.00843553803861135,14.546147445837654,220167.0,665.5,42026.5,85.95906829833984,0.00843553803861135,14.546147445837654,0.0,11.837547627294764,0.0,20.364238410596023,0.0,624.6958398744113,0.0,14.698404183893278,0.0,0.18967405557424044,0.07902669091133634,0.07902669091133634,319.3269230769231,3.1473558798841084,0.009842679591670954,5.7235611819652493e-05,0.0,0.0,1.0,1.0,1.0,17399.069457876187,17399.069457876187,86.97413408594535,86.97413408594535,45020.78165136629,45020.78165136629,2,1.0
2025-04-17 00:00:00+00:00,0,0,0,5576955991,0.0420618709322137,86.14739227294922,789,0.0100043369457125,463.0,13.122511426607767,251058,79555,232470.0,727.0,73861.0,86.04051208496094,0.0090130409225821,13.305619915326435,0.0,0.0,0.0,0.0,0.0,0.0,230464.0,706.6666666666666,54536.0,86.02184295654297,0.008958471007645066,14.07160210609436,230464.0,706.6666666666666,54536.0,86.02184295654297,0.008958471007645066,14.07160210609436,0.0,7.995870434894825,0.0,8.52819807427785,0.0,7.709075154682443,0.0,10.998463577888762,0.0,0.12422077158575906,0.0940136367471335,0.0940136367471335,317.79493670886075,3.1557393534114335,0.009917542360098546,5.226863576532914e-05,0.13488388061523712,0.0,1.0,1.0,1.0,21666.758779291376,21666.758779291376,94.16120928138793,94.16120928138793,38508.41675530169,38508.41675530169,3,1.0
2025-04-18 00:00:00+00:00,0,0,0,5576955991,0.0530913284875439,86.28677368164062,787,0.0090105095878243,463.0,13.003670692443848,321802,106269,251058.0,789.0,79555.0,86.14739227294922,0.0100043369457125,13.122511426607767,0.0,0.0,0.0,0.0,0.0,0.0,253298.5,726.75,67469.25,86.08807563781738,0.008971480652689875,13.804619252681732,253298.5,726.75,67469.25,86.08807563781738,0.008971480652689875,13.804619252681732,0.0,28.178349226075248,0.0,-0.25348542458808465,0.0,33.57928477154171,0.0,-9.93396527207252,0.0,0.161794112408864,0.19335187843794163,0.19335187843794163,408.3781725888325,3.0281547002917097,0.007405664816034629,4.040879262295208e-05,0.1334327697753782,0.0,1.0,1.0,1.0,48975.740780512955,48975.740780512955,86.74243482863507,86.74243482863507,40714.550178652345,40714.550178652345,4,1.0
2025-04-19 00:00:00+00:00,0,1,0,5576955991,0.0527212375393064,86.36669921875,698,0.0076197045855224,448.0,13.131375749905905,325224,104987,321802.0,787.0,106269.0,86.28677368164062,0.0090105095878243,13.003670692443848,0.0,0.0,0.0,0.0,0.0,0.0,267683.6,721.0,74972.8,86.1438003540039,0.00870112543925638,13.669970552126566,267683.6,721.0,74972.8,86.1438003540039,0.00870112543925638,13.669970552126566,0.0,1.063386803065236,0.0,-11.30876747141042,0.0,-1.2063725075045384,0.0,-15.43536454565525,0.0,0.09262779647349895,0.1988608366993047,0.1988608366993047,465.2703862660944,3.0977254543376387,0.006648378862346173,4.037628026721779e-05,0.12244110107421838,0.12244110107421838,1.0,1.0,1.0,53231.784666682,53231.784666682,76.21351586168953,76.21351586168953,39048.332361318586,39048.332361318586,5,1.0
2025-04-20 00:00:00+00:00,0,1,0,5576955991,0.0457473622983052,86.40096282958984,634,0.0079117892310023,437.0,13.187278350194296,286779,93219,325224.0,698.0,104987.0,86.36669921875,0.0076197045855224,13.131375749905905,0.0,0.0,0.0,0.0,0.0,0.0,270866.1666666667,706.5,78013.83333333333,86.18666076660156,0.008569569404547367,13.58952185180452,270866.1666666667,706.5,78013.83333333333,86.18666076660156,0.008569569404547367,13.58952185180452,0.0,-11.821083314884506,0.0,-9.169054441260748,0.0,-11.209006829416978,0.0,3.8332804402268605,0.0,0.0396722476947442,0.17811726117683682,0.17811726117683682,451.62047244094487,3.076367732246299,0.006801115640420511,4.5983954076972926e-05,0.10670383998326848,0.10670383998326848,1.0,1.0,1.0,48245.93975213528,48245.93975213528,76.86546688858398,76.86546688858398,35711.41428964508,35711.41428964508,5,0.8817891668511549
2025-04-21 00:00:00+00:00,0,0,0,5576955991,0.0345151183098296,86.35533905029297,609,0.0074586733244359,424.0,13.232950607935589,219204,71467,286779.0,634.0,93219.0,86.40096282958984,0.0079117892310023,13.187278350194296,0.0,0.0,0.0,0.0,0.0,0.0,263485.85714285716,692.5714285714286,77078.57142857143,86.21075766427177,0.008410869964531442,13.538583102680388,263485.85714285716,692.5714285714286,77078.57142857143,86.21075766427177,0.008410869964531442,13.538583102680388,0.0,-23.56344083771824,0.0,-3.9432176656151396,0.0,-23.33429880174642,0.0,-5.727097794653924,0.0,-0.05280471166375644,0.18284413908093544,0.18284413908093544,359.35081967213114,3.067162926064812,0.00852129624447305,6.036792321313651e-05,0.0847625732421884,0.0847625732421884,1.0,1.0,1.0,48176.84470928806,48176.84470928806,79.25666563525776,79.25666563525776,32693.688421758834,32693.688421758834,5,0.6740092982067744
2025-04-22 00:00:00+00:00,0,0,0,5576955991,0.0274656146365675,86.39153289794922,532,0.0069732828997075,403.0,12.624160408973694,176235,59340,219204.0,609.0,71467.0,86.35533905029297,0.0074586733244359,13.232950607935589,207864.0,604.0,10192.0,85.87762451171875,0.0078580351546406,15.786674976348875,258967.42857142858,682.2857142857143,84099.71428571429,86.28417314801898,0.008284476785255285,13.086795307341076,252579.5,672.5,74861.25,86.23335456848145,0.00823117158142845,13.42428026596705,-15.216199053227108,-19.602288279410963,-11.92052980132451,-12.643678160919535,482.22135007849295,-16.96867085507997,-11.259204591501536,-6.5077313835179895,0.5984194243290331,0.04191269243372098,0.21470949010148155,0.21470949010148155,330.6472795497186,2.969869061862793,0.0089651337186768,7.1632131964943e-05,0.056540897914345294,0.07157298496791871,1.0005893146543101,1.025290764180896,1.0064760166034086,54231.21565508716,54231.21565508716,92.77468866637525,92.77468866637525,30911.367251500586,30911.367251500586,5,0.5418880525422478
2025-04-23 00:00:00+00:00,0,0,0,5576955991,0.0247603846332913,86.39590454101562,570,0.0080097336322069,399.0,13.28381601969401,160282,52553,176235.0,532.0,59340.0,86.39153289794922,0.0069732828997075,12.624160408973694,232470.0,727.0,73861.0,86.04051208496094,0.0090130409225821,13.305619915326435,248654.85714285713,659.8571428571429,81055.71428571429,86.33494349888393,0.008141147172344543,13.083680465107873,242324.22222222222,661.1111111111111,72382.55555555556,86.2514156765408,0.008206567364848278,13.40867312749227,-31.052608938787795,-9.052117910744172,-21.595598349381017,7.14285714285714,-28.848783525811996,-11.437478934951129,-11.131729002377233,14.863167713199665,0.41305246498737347,0.005060267968115539,0.24483324052715738,0.24483324052715738,280.70402802101574,3.0498534840354683,0.010845986984815618,8.287726096775085e-05,0.033703395298552985,0.06093775431315247,1.000968422624579,1.0261246476418253,0.9920283122534332,59329.02458488967,59329.02458488967,93.26634500778462,93.26634500778462,29855.801488618217,29855.801488618217,5,0.4928357070818882
2025-04-24 00:00:00+00:00,0,0,0,5576955991,0.0301260627925691,86.43055725097656,538,0.0066763828508555,399.0,12.720255215962728,196842,64446,160282.0,570.0,52553.0,86.39590454101562,0.0080097336322069,13.28381601969401,251058.0,789.0,79555.0,86.14739227294922,0.0100043369457125,13.122511426607767,240909.7142857143,624.0,78897.28571428571,86.37539563860211,0.007665725158793543,13.02621529215858,237776.0,648.8,71588.9,86.26932983398437,0.008053548913449001,13.339831336339316,-21.595009918026907,22.80979773149823,-31.812420785804818,-5.6140350877192935,-18.991892401483245,22.63048731756512,-33.26511404919486,-16.646630744248924,0.32869825836419064,0.04010920441777088,0.24289859472697375,0.24289859472697375,365.1985157699443,3.0543237078529644,0.008347944822877713,6.462132367400786e-05,0.017154693603520607,0.054089725378790345,1.0012294729172215,1.0131792707662435,0.9518443659033582,57755.456259800914,57755.456259800914,96.1651357474908,96.1651357474908,28259.985615511006,28259.985615511006,5,0.605250535015866
