timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,ratings_like_ratio,daily_rpv,visits_visits_gained,session_session_length,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-22 00:00:00+00:00,1,0,0,8353463684,0.1789680570363998,25646,98.53756713867188,0.0269611235879536,1673334,16.30034327507019,146027,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146027.0,25646.0,1673334.0,98.53756713867188,0.1789680570363998,16.30034327507019,146027.0,25646.0,1673334.0,98.53756713867188,0.1789680570363998,16.30034327507019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.693726361757711,0.0872670445547365,0.015326279555498451,0.00011162477932362418,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-23 00:00:00+00:00,1,1,0,8353463684,0.1399577409029007,21164,98.48274230957033,0.0219528215482619,2489660,19.837106943130493,168453,325,146027.0,25646.0,1673334.0,98.53756713867188,0.1789680570363998,16.30034327507019,0.0,0.0,0.0,0.0,0.0,0.0,157240.0,23405.0,2081497.0,98.5101547241211,0.15946289896965027,18.068725109100342,157240.0,23405.0,2081497.0,98.5101547241211,0.15946289896965027,18.068725109100342,0.0,15.357433899210427,0.0,-17.476409576542153,0.0,48.78440287473988,0.0,-21.7973624899805,0.0,-0.05563850488047306,0.10084950823511521,0.10084950823511521,7.959036144578313,0.06766101890980339,0.008500755725377873,0.00011775978571675646,0.0,0.0,1.0,1.0,1.0,15857.576674889515,15857.576674889515,3169.252593278106,3169.252593278106,577229.6502588895,577229.6502588895,2,1.0
2025-08-24 00:00:00+00:00,1,1,0,8353463684,0.1564412266016006,21990,98.38274383544922,0.0203602179510507,2114428,17.67781134446462,200040,245,168453.0,21164.0,2489660.0,98.48274230957033,0.1399577409029007,19.837106943130493,0.0,0.0,0.0,0.0,0.0,0.0,171506.66666666666,22933.333333333332,2092474.0,98.46768442789714,0.15845567484696702,17.93842052088843,171506.66666666666,22933.333333333332,2092474.0,98.46768442789714,0.15845567484696702,17.93842052088843,0.0,18.751224377125975,0.0,3.9028539028538978,0.0,-15.071616204622318,0.0,11.77747339472688,0.0,-0.1015390836769936,0.15821934309912827,0.15821934309912827,9.096448547132917,0.09460710196464388,0.010399970866839227,8.83709406794838e-05,-0.07741165161133505,0.0,1.0,1.0,1.0,27135.672137121157,27135.672137121157,2385.2650446718353,2385.2650446718353,408605.5777348126,408605.5777348126,3,1.0
2025-08-25 00:00:00+00:00,1,0,0,8353463684,0.2371359020471573,29415,98.2802505493164,0.0185048054890794,2712634,20.045419057210285,226281,195,200040.0,21990.0,2114428.0,98.38274383544922,0.1564412266016006,17.67781134446462,0.0,0.0,0.0,0.0,0.0,0.0,185200.25,24553.75,2247514.0,98.42082595825195,0.1781257316470146,18.465170154968895,185200.25,24553.75,2247514.0,98.42082595825195,0.1781257316470146,18.465170154968895,0.0,13.117876424715046,0.0,33.76534788540246,0.0,28.291623077257768,0.0,51.58146429716825,0.0,-0.10417811308885971,0.19021123358894348,0.19021123358894348,7.692446287734566,0.08341741517012057,0.010843699944887536,8.858600797770165e-05,-0.08719482421877452,0.0,1.0,1.0,1.0,35227.16801348073,35227.16801348073,3781.0043088223706,3781.0043088223706,455472.59541125706,455472.59541125706,4,1.0
2025-08-26 00:00:00+00:00,1,0,0,8353463684,0.1937038451433181,23560,98.23230743408205,0.0265756558312093,2595301,19.18642584482829,395510,160,226281.0,29415.0,2712634.0,98.2802505493164,0.2371359020471573,20.045419057210285,0.0,0.0,0.0,0.0,0.0,0.0,227262.2,24355.0,2317071.4,98.38312225341797,0.18124135434627528,18.609421292940773,227262.2,24355.0,2317071.4,98.38312225341797,0.18124135434627528,18.609421292940773,0.0,74.78710099389696,0.0,-19.90481047084821,0.0,-4.325426872921301,0.0,-18.315259953847995,0.0,-0.04878204417102516,0.43508100181941495,0.43508100181941495,16.786638937226773,0.15239459608168915,0.00907794160371317,4.851047339979998e-05,-0.08130111694335351,-0.08130111694335351,1.0,1.0,1.0,98877.46565168425,98877.46565168425,3304.467127995072,3304.467127995072,424007.81048442965,424007.81048442965,5,1.0
2025-08-27 00:00:00+00:00,1,0,0,8353463684,0.1821990013122558,21058,98.19609832763672,0.0278713356564516,2298660,18.186626036961872,484576,145,395510.0,23560.0,2595301.0,98.23230743408205,0.1937038451433181,19.18642584482829,0.0,0.0,0.0,0.0,0.0,0.0,270147.8333333333,23805.5,2314002.8333333335,98.3519515991211,0.18140096217393872,18.53895541694429,270147.8333333333,23805.5,2314002.8333333335,98.3519515991211,0.18140096217393872,18.53895541694429,0.0,22.51927890571668,0.0,-10.61969439728353,0.0,-11.429926625081254,0.0,-5.939398788160377,0.0,-0.03686069012440729,0.5083100352168081,0.5083100352168081,23.010399354195357,0.21080794427712482,0.009160985460666014,3.753093117700979e-05,-0.07317548479351862,-0.07317548479351862,1.0,1.0,1.0,137318.85467541104,137318.85467541104,3247.661296995116,3247.661296995116,379318.593387889,379318.593387889,6,1.0
2025-08-28 00:00:00+00:00,1,0,0,8353463684,0.1582074910402298,18186,98.17366790771484,0.0284750141036577,2062146,18.682500958442688,561610,131,484576.0,21058.0,2298660.0,98.19609832763672,0.1821990013122558,18.186626036961872,0.0,0.0,0.0,0.0,0.0,0.0,311785.28571428574,23002.714285714286,2278023.285714286,98.32648250034877,0.17808760915483743,18.559461922872632,311785.28571428574,23002.714285714286,2278023.285714286,98.32648250034877,0.17808760915483743,18.559461922872632,0.0,15.897196724559205,0.0,-13.638522176844903,0.0,-10.289211975672785,0.0,-13.167750700734604,0.0,-0.02284247572346132,0.5352452417816692,0.5352452417816692,30.879749271457634,0.27234236938491774,0.008818963924492289,3.326590995981683e-05,-0.06483650207519052,-0.06483650207519052,1.0,1.0,1.0,166881.59063610967,166881.59063610967,3647.008944065704,3647.008944065704,359115.38211217214,359115.38211217214,7,1.0
2025-08-29 00:00:00+00:00,1,0,0,8353463684,0.1721059083938598,24607,98.14241027832033,0.0286114037969007,2207017,31.253270467122395,619521,124,561610.0,18186.0,2062146.0,98.17366790771484,0.1582074910402298,18.682500958442688,146027.0,25646.0,1673334.0,98.53756713867188,0.1789680570363998,16.30034327507019,379427.28571428574,22854.285714285714,2354263.714285714,98.27003152029855,0.17710730220590315,20.69559437888009,350252.25,23203.25,2269147.5,98.30347347259521,0.17733989655971524,20.146187990903854,324.2509946790662,10.311604138102947,-4.0513140450752605,35.30737930276035,31.89339366797066,7.025254273945691,-3.834286830942313,8.78493000694629,-0.4010215310019216,-0.031839117413745566,0.539517646512334,0.539517646512334,25.175593302990897,0.2807050055776618,0.011149433307748284,5.0447394066913513e-05,-0.054403577532079764,-0.05856368655250178,0.9996598090472765,1.0832972114077375,0.9986884262462972,188967.26960564964,188967.26960564964,3423.7836526276014,3423.7836526276014,333422.6837025768,333422.6837025768,8,1.0
2025-08-30 00:00:00+00:00,1,1,0,8353463684,0.1375543475151062,20490,98.11785888671876,0.0194559729392533,2700538,21.12841002146403,474257,117,619521.0,24607.0,2207017.0,98.14241027832033,0.1721059083938598,31.253270467122395,168453.0,21164.0,2489660.0,98.48274230957033,0.1399577409029007,19.837106943130493,423113.5714285714,22758.0,2384389.1428571427,98.21790531703404,0.17676396029336108,20.880066247213453,364030.55555555556,22901.777777777777,2317079.777777778,98.28284962972005,0.17291927999920312,20.255323772077205,181.5366897591613,-23.447792730189942,-3.1846531846531856,-16.73101150079246,8.470152550950738,22.361449866494,-1.7172279091457354,-20.075755214448108,-0.37050493750934166,-0.025016087878759752,0.4986705992894458,0.4986705992894458,23.144648870235713,0.17561568264705676,0.007587374224182654,4.455045570441412e-05,-0.04032053266252618,-0.053368886311853915,0.999339210117221,1.1623023533913188,1.022233959649703,181531.33529855878,181531.33529855878,3327.908832051209,3327.908832051209,343441.23155671684,343441.23155671684,8,0.7655220726981006
2025-08-31 00:00:00+00:00,1,1,0,8353463684,0.1378398686647415,17924,98.0893783569336,0.027968710625104,2365864,17.803955396016438,751670,109,474257.0,20490.0,2700538.0,98.11785888671876,0.1375543475151062,21.12841002146403,200040.0,21990.0,2114428.0,98.38274383544922,0.1564412266016006,17.67781134446462,501917.85714285716,22177.14285714286,2420308.5714285714,98.17599596296039,0.17410662344523836,20.89808682600657,402794.5,22404.0,2321958.2,98.26350250244141,0.16941133886575696,20.01018693447113,275.7598480303939,58.49423413887407,-18.490222828558434,-12.52318204001952,11.891442981269629,-12.392863940444453,-11.890317112016803,0.2075697022981604,-0.2981879413795352,-0.029026856179215077,0.5226479101223634,0.5226479101223634,41.934170153417014,0.31771466250187563,0.007576087392983116,2.3685835153965547e-05,-0.030542918613980785,-0.04936671401514952,0.9991094705841688,1.2460891525153823,1.0277152911423597,210519.70363378234,210519.70363378234,3510.306444362562,3510.306444362562,324166.7860444681,324166.7860444681,9,1.0
