timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,daily_Estimated Revenue,session_session_length,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-03 00:00:00+00:00,1,1,0,7661221876,91.61793518066406,0.2791873634539413,1610,0.0122281908988952,148905,30.321690320968628,400,75097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148905.0,1610.0,75097.0,91.61793518066406,0.0122281908988952,30.321690320968628,148905.0,1610.0,75097.0,91.61793518066406,0.0122281908988952,30.321690320968628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.43016759776536,1.9828091294042451,0.02143865349276945,0.0002036297417227555,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-04 00:00:00+00:00,1,0,0,7661221876,91.27645874023438,0.2668870009512664,2058,0.0155571717768907,168192,33.83413235346476,346,114945,148905.0,1610.0,75097.0,91.61793518066406,0.0122281908988952,30.321690320968628,0.0,0.0,0.0,0.0,0.0,0.0,158548.5,1834.0,95021.0,91.44719696044922,0.01389268133789295,32.07791133721669,158548.5,1834.0,95021.0,91.44719696044922,0.01389268133789295,32.07791133721669,0.0,12.952553641583563,0.0,27.826086956521735,0.0,53.06203976190793,0.0,27.223821622675757,0.0,-0.3727178960716837,0.08601764437219489,0.08601764437219489,81.68625546381739,1.4632262105684408,0.01790405929740922,0.0002011625475106857,0.0,0.0,1.0,1.0,1.0,13637.968488744942,13637.968488744942,316.7838379715733,316.7838379715733,28176.791016721545,28176.791016721545,2,1.0
2025-08-05 00:00:00+00:00,1,0,0,7661221876,90.9626235961914,0.2455785603870506,1737,0.0130310133099555,182838,30.55230649312337,294,113908,168192.0,2058.0,114945.0,91.27645874023438,0.0155571717768907,33.83413235346476,0.0,0.0,0.0,0.0,0.0,0.0,166645.0,1801.6666666666667,101316.66666666667,91.28567250569661,0.0136054586619138,31.56937638918559,166645.0,1801.6666666666667,101316.66666666667,91.28567250569661,0.0136054586619138,31.56937638918559,0.0,8.707905251141558,0.0,-15.59766763848397,0.0,-0.9021706033320309,0.0,-16.23790302738487,0.0,-0.34382922866904586,0.10212915725964404,0.10212915725964404,105.20023014959723,1.6051233879675881,0.015249014564257434,0.00016709950553833356,-0.3276557922363269,0.0,1.0,1.0,1.0,17019.31341153338,17019.31341153338,230.89463686567805,230.89463686567805,22712.81647734013,22712.81647734013,3,1.0
2025-08-06 00:00:00+00:00,1,0,0,7661221876,90.92035675048828,0.2259160183607602,1788,0.0137124378234148,194723,31.203819274902344,265,114025,182838.0,1737.0,113908.0,90.9626235961914,0.0130310133099555,30.55230649312337,0.0,0.0,0.0,0.0,0.0,0.0,173664.5,1798.25,104493.75,91.19434356689453,0.013632203452289049,31.477987110614777,173664.5,1798.25,104493.75,91.19434356689453,0.013632203452289049,31.477987110614777,0.0,6.500289874096188,0.0,2.936096718480141,0.0,0.10271447132774725,0.0,5.229251918104505,0.0,-0.04646616822614469,0.11374480864818481,0.11374480864818481,108.84460592509782,1.7077070141897461,0.015680634241313385,0.00016024639630914702,-0.24065704345704392,0.0,1.0,1.0,1.0,19753.43532148269,19753.43532148269,188.64848263370686,188.64848263370686,19603.31916411096,19603.31916411096,4,1.0
2025-08-07 00:00:00+00:00,1,0,0,7661221876,90.93824005126952,0.2081013411648461,1751,0.0133235622197389,203969,30.58551200230916,243,118777,194723.0,1788.0,114025.0,90.92035675048828,0.0137124378234148,31.203819274902344,0.0,0.0,0.0,0.0,0.0,0.0,179725.4,1788.8,107350.4,91.14312286376953,0.01357047520577902,31.29949208895365,179725.4,1788.8,107350.4,91.14312286376953,0.01357047520577902,31.29949208895365,0.0,4.748283459067504,0.0,-2.069351230425054,0.0,4.167507125630343,0.0,-2.835933396262136,0.0,0.019669193369220572,0.12143405473454173,0.12143405473454173,116.42066210045662,1.717228779740356,0.014741787199649766,0.000149951032025833,-0.17154922485352664,-0.17154922485352664,1.0,1.0,1.0,21824.784060787406,21824.784060787406,164.73524213112384,164.73524213112384,18138.90398563265,18138.90398563265,5,1.0
2025-08-08 00:00:00+00:00,1,0,0,7661221876,90.89859008789062,0.1940196671937448,1661,0.0111645115539431,212526,32.13686601320902,230,105083,203969.0,1751.0,118777.0,90.93824005126952,0.0133235622197389,30.58551200230916,0.0,0.0,0.0,0.0,0.0,0.0,185192.16666666666,1767.5,106972.5,91.10236740112305,0.013169481263806368,31.439054409662884,185192.16666666666,1767.5,106972.5,91.10236740112305,0.013169481263806368,31.439054409662884,0.0,4.195245355911936,0.0,-5.139920045688173,0.0,-11.529168104936138,0.0,-16.204755381388615,0.0,-0.04360097947413433,0.12782473404054015,0.12782473404054015,127.87364620938628,2.0224391915039397,0.015806402497049978,0.0001512130976921004,-0.13296138218470083,-0.13296138218470083,1.0,1.0,1.0,23672.13945055805,23672.13945055805,156.30834910522213,156.30834910522213,16250.314480033916,16250.314480033916,6,1.0
2025-08-09 00:00:00+00:00,1,1,0,7661221876,90.89991760253906,0.1795346676975212,1685,0.0112366136163473,215088,33.90662805239359,228,104276,212526.0,1661.0,105083.0,90.89859008789062,0.0111645115539431,32.13686601320902,0.0,0.0,0.0,0.0,0.0,0.0,189463.0,1755.7142857142858,106587.28571428571,91.07344600132534,0.012893357314169357,31.79156493005298,189463.0,1755.7142857142858,106587.28571428571,91.07344600132534,0.012893357314169357,31.79156493005298,0.0,1.2054995624064757,0.0,1.4449127031908482,0.0,-0.7679643710210016,0.0,0.6458147502094391,0.0,0.0014604348066882267,0.1287087962932822,0.1287087962932822,127.57295373665481,2.062660030495699,0.01615888450952751,0.00015763999113108337,-0.10479191371372304,-0.10479191371372304,1.0,1.0,1.0,24385.55467211412,24385.55467211412,146.05674044210159,146.05674044210159,14869.40923186802,14869.40923186802,7,1.0
2025-08-10 00:00:00+00:00,1,1,0,7661221876,90.8989028930664,0.1636406519399177,1466,0.0112584587186574,214053,28.776668310165405,231,104394,215088.0,1685.0,104276.0,90.89991760253906,0.0112366136163473,33.90662805239359,148905.0,1610.0,75097.0,91.61793518066406,0.0122281908988952,30.321690320968628,198769.85714285713,1735.142857142857,110772.57142857143,90.9707271030971,0.012754824145563958,31.570847499938235,192536.75,1719.5,106313.125,91.05162811279297,0.012688994989730362,31.414702852567036,43.75138511131258,-0.48119839321579816,-8.944099378881987,-12.997032640949557,39.01221087393638,0.11316122597722078,-7.930299651483308,0.19441001582825024,-0.784816080148254,-0.0011162930610097987,0.125652515222763,0.125652515222763,145.9120654396728,2.050414291872216,0.014042818142631351,0.00013443648943801752,-0.04570879255022156,-0.08440653483071935,0.9991114820089143,1.0323735969515282,1.0051878935949516,24192.726910316313,24192.726910316313,169.63742848456866,169.63742848456866,13788.220515430658,13788.220515430658,7,0.995188016067842
2025-08-11 00:00:00+00:00,1,0,0,7661221876,90.93436431884766,0.1527388241668015,1260,0.0098700318485498,213541,33.06822935740153,233,84522,214053.0,1466.0,104394.0,90.8989028930664,0.0112584587186574,28.776668310165405,168192.0,2058.0,114945.0,91.27645874023438,0.0155571717768907,33.83413235346476,205248.2857142857,1621.142857142857,106426.42857142857,90.92185647147042,0.011942375584372401,31.461432786214917,194870.55555555556,1668.4444444444443,103891.88888888889,91.0385988023546,0.012375776862932522,31.598428019770868,26.962637937595126,-0.2391930970367162,-38.775510204081634,-14.051841746248295,-26.467440950019572,-19.0355767572849,-36.55638704709055,-12.332299693977777,-0.37478932257910547,0.03901194035638156,0.12156037962630101,0.12156037962630101,169.34258524980174,2.5264247601244634,0.014907185026560818,0.00015485585672795764,-0.005928856985909024,-0.06690216064452931,0.9987176611632872,1.0532544802838189,0.9649798729113944,23688.538711321515,23688.538711321515,220.54427622991665,220.54427622991665,14802.435799932087,14802.435799932087,7,0.9928075950308711
2025-08-12 00:00:00+00:00,1,0,0,7661221876,90.90840911865234,0.1423108828911485,1164,0.0091524710878729,210538,34.49890557924906,239,74411,213541.0,1260.0,84522.0,90.93436431884766,0.0098700318485498,33.06822935740153,182838.0,1737.0,113908.0,90.9626235961914,0.0130310133099555,30.55230649312337,209205.42857142858,1539.2857142857142,100784.0,90.9141115461077,0.011388298124074886,32.02523265566144,196437.3,1618.0,100943.8,91.02557983398438,0.01205344628542656,31.88847577571869,15.150023518087053,-1.4062873171896695,-32.98791018998273,-7.619047619047614,-34.67447413702286,-11.962565959158567,-29.763934160971584,-7.270095696624623,-0.05960082877527473,-0.02854278510630026,0.11645810214789847,0.11645810214789847,180.71931330472103,2.8293554802988767,0.01564263828414772,0.00016385992894071437,-0.0015457698277073898,-0.05575737230705383,0.9987754179860213,1.064998493521488,0.9448167647989701,22876.715149057374,22876.715149057374,262.07208507923497,262.07208507923497,16783.283262421173,16783.283262421173,7,0.9788458677378561
