timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,session_session_length,visits_visits_gained,platform_platform_share,ccu_playing,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-25 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,182663,0.3208750188350677,2547,0.0,87.88069915771484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2547.0,182663.0,87.88069915771484,0.3208750188350677,0.0,0.0,2547.0,182663.0,87.88069915771484,0.3208750188350677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013943634213638156,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-26 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,165178,0.313127189874649,2501,0.0,87.88297271728516,0.0,2547.0,182663.0,87.88069915771484,0.3208750188350677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.0,173920.5,87.8818359375,0.31700110435485834,0.0,0.0,2524.0,173920.5,87.8818359375,0.31700110435485834,0.0,0.0,0.0,0.0,-1.8060463290145323,0.0,-9.57227243612554,0.0,-2.414594002533166,0.0,0.0025870977269137896,0.0,0.0,0.0,0.0,0.015141149904043492,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.526911934581186,32.526911934581186,12363.762069046783,12363.762069046783,0,0.0
2020-02-27 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,215951,0.407273381948471,3284,0.0,87.85677337646484,0.0,2501.0,165178.0,87.88297271728516,0.313127189874649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.3333333333335,187930.66666666666,87.87348175048828,0.3470918635527292,0.0,0.0,2777.3333333333335,187930.66666666666,87.87348175048828,0.3470918635527292,0.0,0.0,0.0,0.0,31.307477009196315,0.0,30.738354986741577,0.0,30.066437894298037,0.0,-0.029811623355746608,0.0,0.0,0.0,0.0,0.015207083055493814,0.0,-0.011962890625006902,0.0,1.0,0.0,1.0,0.0,0.0,439.3885903540661,439.3885903540661,25793.13118513015,25793.13118513015,0,0.0
2020-02-28 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,240040,0.4019926488399505,3620,0.0,87.82130432128906,0.0,3284.0,215951.0,87.85677337646484,0.407273381948471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2988.0,200958.0,87.86043739318848,0.36081705987453455,0.0,0.0,2988.0,200958.0,87.86043739318848,0.36081705987453455,0.0,0.0,0.0,0.0,10.231425091352019,0.0,11.154845312131002,0.0,-1.296606491506147,0.0,-0.04037145209487836,0.0,0.0,0.0,0.0,0.015080757037339455,0.0,-0.020438385009775652,0.0,1.0,0.0,1.0,0.0,0.0,553.3805200763755,553.3805200763755,33501.7820322044,33501.7820322044,0,0.0
2020-02-29 00:00:00+00:00,0,1,0,1235188606,0.0,0.0,0.0,343218,0.4101223349571228,5983,0.0,87.74642944335938,0.0,3620.0,240040.0,87.82130432128906,0.4019926488399505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3587.0,229410.0,87.83763580322265,0.3706781148910522,0.0,0.0,3587.0,229410.0,87.83763580322265,0.3706781148910522,0.0,0.0,0.0,0.0,65.27624309392266,0.0,42.98366938843525,0.0,2.0223469609786493,0.0,-0.08525821668027289,0.0,0.0,0.0,0.0,0.017432018623677593,0.0,-0.03302078247070329,-0.03302078247070329,1.0,0.0,1.0,0.0,0.0,1422.5601920481256,1422.5601920481256,69923.94846903313,69923.94846903313,0,0.0
2020-03-01 00:00:00+00:00,0,1,0,1235188606,0.0,0.0,0.0,336908,0.4237908720970154,6078,0.0,87.68248748779297,0.0,5983.0,343218.0,87.74642944335938,0.4101223349571228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4002.1666666666665,247326.33333333334,87.81177775065105,0.3795302410920461,0.0,0.0,4002.1666666666665,247326.33333333334,87.81177775065105,0.3795302410920461,0.0,0.0,0.0,0.0,1.587832191208416,0.0,-1.838481664714553,0.0,3.332795113760767,0.0,-0.07287129057220731,0.0,0.0,0.0,0.0,0.018040479773469988,0.0,-0.04103306361606789,-0.04103306361606789,1.0,0.0,1.0,0.0,0.0,1628.8407431872113,1628.8407431872113,76403.25160794314,76403.25160794314,0,0.0
2020-03-02 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,195770,0.3724640309810638,2853,0.0,87.64422607421875,0.0,6078.0,336908.0,87.68248748779297,0.4237908720970154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3838.0,239961.14285714287,87.787841796875,0.37852078250476284,0.0,0.0,3838.0,239961.14285714287,87.787841796875,0.37852078250476284,0.0,0.0,0.0,0.0,-53.060217176702864,0.0,-41.89214859843043,0.0,-12.111360695895712,0.0,-0.04363632313640897,0.0,0.0,0.0,0.0,0.014573149240694486,0.0,-0.043597630092070044,-0.043597630092070044,1.0,0.0,1.0,0.0,0.0,1549.061005900026,1549.061005900026,72417.32938652315,72417.32938652315,0,0.0
2020-03-03 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,234303,0.4428707659244537,3217,0.0,87.64126586914062,0.0,2853.0,195770.0,87.64422607421875,0.3724640309810638,0.0,0.0,2547.0,182663.0,87.88069915771484,0.3208750188350677,0.0,0.0,3933.714285714286,247338.2857142857,87.7536370413644,0.39594874637467514,0.0,0.0,3760.375,239253.875,87.7695198059082,0.3865645304322242,0.0,0.0,0.0,26.305457400863762,12.758499824745883,28.270640469060517,19.682791030290648,38.01970858694137,18.902962188842707,-0.27245264417448123,-0.003377524351255712,0.0,0.0,0.0,0.0,0.01373002594919421,0.0,-0.046036856515067365,-0.041279747372576656,0.9998190400884165,0.0,1.0242759363668423,0.0,0.0,1450.8606251364838,1450.8606251364838,67075.25659487153,67075.25659487153,0,0.0
2020-03-04 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,206213,0.4435679018497467,3097,0.0,87.62785339355469,0.0,3217.0,234303.0,87.64126586914062,0.4428707659244537,0.0,0.0,2501.0,165178.0,87.88297271728516,0.313127189874649,0.0,0.0,4018.8571428571427,253200.42857142858,87.71719142368862,0.4145831337996891,0.0,0.0,3686.6666666666665,235582.66666666666,87.75377909342448,0.3928982383675045,0.0,0.0,0.0,23.830467812874858,-3.730183400683862,24.84289675380498,-11.988749610547023,41.65742107139137,0.15741294728222055,-0.2902943719839457,-0.01530383598744578,0.0,0.0,0.0,0.0,0.015018378965540652,0.0,-0.04103715079170665,-0.03834025065104406,0.9995830644547294,0.0,1.055192142174741,0.0,0.0,1375.0520899224146,1375.0520899224146,63702.462487724915,63702.462487724915,0,0.0
2020-03-05 00:00:00+00:00,0,0,0,1235188606,0.0,0.0,0.0,205224,0.448614627122879,3256,0.0,87.61392974853516,0.0,3097.0,206213.0,87.62785339355469,0.4435679018497467,0.0,0.0,3284.0,215951.0,87.85677337646484,0.407273381948471,0.0,0.0,4014.8571428571427,251668.0,87.68249947684151,0.4204890259674617,0.0,0.0,3643.6,232546.8,87.73979415893555,0.39846987724304195,0.0,0.0,0.0,-0.8526187576126665,5.134000645786241,-4.967330551838145,-0.4796011890617957,10.150735846429203,1.1377570947056048,-0.2764085438115349,-0.01588951969072605,0.0,0.0,0.0,0.0,0.01586551346083567,0.0,-0.032160622732977116,-0.03551196474017245,0.9993469932013944,0.0,1.0552592554216824,0.0,0.0,1303.5452683611209,1303.5452683611209,60821.70079977851,60821.70079977851,0,0.0
