timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,session_session_length,ccu_playing,platform_platform_share,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-05-23 00:00:00+00:00,0,1,0,2549475383,0.0,90.06962585449219,0.0,32073,0.7913854122161865,1440048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32073.0,1440048.0,90.06962585449219,0.7913854122161865,0.0,0.0,32073.0,1440048.0,90.06962585449219,0.7913854122161865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022272158794596573,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-05-24 00:00:00+00:00,0,0,0,2549475383,0.0,90.17317199707033,0.0,33231,0.999168336391449,1522572,0.0,0.0,0.0,32073.0,1440048.0,90.06962585449219,0.7913854122161865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32652.0,1481310.0,90.12139892578125,0.8952768743038177,0.0,0.0,32652.0,1481310.0,90.12139892578125,0.8952768743038177,0.0,0.0,0.0,0.0,3.610513516041536,0.0,5.730642311922929,0.0,26.255591898439157,0.0,0.1149623323021487,0.0,0.0,0.0,0.0,0.02182555450543258,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,818.829652614022,818.829652614022,58353.28001063865,58353.28001063865,0,0.0
2021-05-25 00:00:00+00:00,0,0,0,2549475383,0.0,90.02056884765625,0.0,33335,1.1473751068115234,1589231,0.0,0.0,0.0,33231.0,1522572.0,90.17317199707033,0.999168336391449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32879.666666666664,1517283.6666666667,90.08778889973958,0.979309618473053,0.0,0.0,32879.666666666664,1517283.6666666667,90.08778889973958,0.979309618473053,0.0,0.0,0.0,0.0,0.3129607896241504,0.0,4.3780524008059984,0.0,14.833013119223871,0.0,-0.1692334272315854,0.0,0.0,0.0,0.0,0.020975540386803184,0.0,-0.024528503417972577,0.0,1.0,0.0,1.0,0.0,0.0,700.5264686886101,700.5264686886101,74731.96588029336,74731.96588029336,0,0.0
2021-05-26 00:00:00+00:00,0,0,0,2549475383,0.0,90.25770568847656,0.0,42786,1.2819756269454956,1956377,0.0,0.0,0.0,33335.0,1589231.0,90.02056884765625,1.1473751068115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35356.25,1627057.0,90.13026809692383,1.0549761205911636,0.0,0.0,35356.25,1627057.0,90.13026809692383,1.0549761205911636,0.0,0.0,0.0,0.0,28.351582420878962,0.0,23.102116684106978,0.0,11.731169635361693,0.0,0.2634251747749117,0.0,0.0,0.0,0.0,0.02187000671649344,0.0,0.04116363525389043,0.0,1.0,0.0,1.0,0.0,0.0,4986.08245519466,4986.08245519466,227868.3464795699,227868.3464795699,0,0.0
2021-05-27 00:00:00+00:00,0,0,0,2549475383,0.0,90.48664855957033,0.0,39955,1.135107159614563,2131938,0.0,0.0,0.0,42786.0,1956377.0,90.25770568847656,1.2819756269454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36276.0,1728033.2,90.20154418945313,1.0710023283958434,0.0,0.0,36276.0,1728033.2,90.20154418945313,1.0710023283958434,0.0,0.0,0.0,0.0,-6.61665030617492,0.0,8.97378163820164,0.0,-11.456416506206857,0.0,0.2536546540236273,0.0,0.0,0.0,0.0,0.01874115535200585,0.0,0.09185791015624269,0.09185791015624269,1.0,0.0,1.0,0.0,0.0,4782.8301245183275,4782.8301245183275,299873.2270938838,299873.2270938838,0,0.0
2021-05-28 00:00:00+00:00,0,0,0,2549475383,0.0,90.4614715576172,0.0,39280,1.03309965133667,1940413,0.0,0.0,0.0,39955.0,2131938.0,90.48664855957033,1.135107159614563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36776.666666666664,1763429.8333333333,90.24486541748047,1.0646852155526478,0.0,0.0,36776.666666666664,1763429.8333333333,90.24486541748047,1.0646852155526478,0.0,0.0,0.0,0.0,-1.6894005756476038,0.0,-8.983610217557924,0.0,-8.986597204842816,0.0,-0.027823996527565065,0.0,0.0,0.0,0.0,0.020243102760544914,0.0,0.08962271554130406,0.08962271554130406,1.0,0.0,1.0,0.0,0.0,4450.210541835821,4450.210541835821,281880.63390408125,281880.63390408125,0,0.0
2021-05-29 00:00:00+00:00,0,1,0,2549475383,0.0,89.3879165649414,0.0,42744,1.065008282661438,2366480,0.0,0.0,0.0,39280.0,1940413.0,90.4614715576172,1.03309965133667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37629.142857142855,1849579.857142857,90.12244415283203,1.0647313679967607,0.0,0.0,37629.142857142855,1849579.857142857,90.12244415283203,1.0647313679967607,0.0,0.0,0.0,0.0,8.818737270875765,0.0,21.957542028423838,0.0,3.0886305385432244,0.0,-1.1867538457983384,0.0,0.0,0.0,0.0,0.018062262067601642,0.0,-0.03580175127301646,-0.03580175127301646,1.0,0.0,1.0,0.0,0.0,4646.574488393626,4646.574488393626,343753.83056068316,343753.83056068316,0,0.0
2021-05-30 00:00:00+00:00,0,1,0,2549475383,0.0,89.17677307128906,0.0,42992,1.1032679080963137,2321347,0.0,0.0,0.0,42744.0,2366480.0,89.3879165649414,1.065008282661438,0.0,0.0,32073.0,1440048.0,90.06962585449219,0.7913854122161865,0.0,0.0,39189.0,1975479.7142857143,89.99489375523159,1.1092860102653503,0.0,0.0,38299.5,1908550.75,90.00423526763916,1.0695484355092049,0.0,0.0,0.0,34.04421164219124,0.5801983904173635,61.19927946846215,-1.9071785943680086,39.409684720714665,3.592425153658474,-0.9912917642685981,-0.2362103310674546,0.0,0.0,0.0,0.0,0.018520273565187123,0.0,-0.1446691240583108,-0.10267375764392146,0.9998962103018841,0.0,1.0371536000024408,0.0,0.0,4701.202490548867,4701.202490548867,359313.60826591507,359313.60826591507,0,0.0
2021-05-31 00:00:00+00:00,0,0,1,2549475383,0.0,89.41903686523438,0.0,57481,1.5360753536224363,2657955,0.0,0.0,0.0,42992.0,2321347.0,89.17677307128906,1.1032679080963137,0.0,0.0,33231.0,1522572.0,90.17317199707033,0.999168336391449,0.0,0.0,42653.28571428572,2137677.285714286,89.8871601649693,1.18598701272692,0.0,0.0,40430.77777777778,1991817.888888889,89.93921322292752,1.1213847597440083,0.0,0.0,0.0,72.97403027293792,33.701618905842956,74.57006959276802,14.500546449970653,53.73539149269444,39.22958715194851,-0.8363187355330592,0.27166692133122616,0.0,0.0,0.0,0.0,0.02162601638251348,0.0,-0.18089975629533261,-0.1108848571777376,0.9994212417910617,0.0,1.057609355238303,0.0,0.0,7760.138300600347,7760.138300600347,418770.5018481019,418770.5018481019,0,0.0
2021-06-01 00:00:00+00:00,1,0,0,2549475383,0.0,89.56210327148438,0.0,37829,1.1108829975128174,2460048,0.0,0.0,0.0,57481.0,2657955.0,89.41903686523438,1.5360753536224363,0.0,0.0,33335.0,1589231.0,90.02056884765625,1.1473751068115234,0.0,0.0,43295.28571428572,2262079.714285714,89.82166508265904,1.1807738542556763,0.0,0.0,40170.6,2038640.9,89.9015022277832,1.1203345835208893,0.0,0.0,0.0,13.481325933703324,-34.188688436178914,54.79486619629241,-7.445837119138588,-3.180486406064287,-27.680436061089885,-0.5092898012539204,0.15999546770517625,0.0,0.0,0.0,0.0,0.015377335979893084,0.0,-0.19666889735630502,-0.10121316620797972,0.9991119487089117,0.0,1.0539475185572187,0.0,0.0,7362.444449139612,7362.444449139612,421671.98402456276,421671.98402456276,0,0.0
