timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,ccu_playing,session_session_length,daily_rpv,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-01-21 00:00:00+00:00,0,0,0,4281211770,75.81157684326172,249629.0,0.0327173061668872,2421,8.613039910793304,0.0033432049045265,338915,205351.0,2279.0,367408.0,75.83293151855469,0.0280523560941219,8.745599428812662,315490.0,2403.0,344853.0,75.83474731445312,0.0340704284608364,9.013871093591057,310922.5714285714,2436.8571428571427,391488.28571428574,75.82709721156529,0.0317331118775265,8.759987836792355,279148.6666666667,2298.0,382861.3,75.80614496866862,0.028191818545261975,8.706325087282393,-20.875780531871058,21.562105857775226,0.7490636704119868,6.230802983764816,-1.7218930964787882,-7.7551387013891855,-3.9715446945570276,16.62944123877994,-0.030553897800078555,-0.02816016058635462,0.2168006320432713,0.17902633941525706,103.06729975227086,0.7365512398352394,0.007143362957192933,3.4503224415307875e-05,-0.0020572117396740154,0.0022206460275969297,1.0002763924073086,1.1138243114012296,1.1256142212528424,61592.625962229286,49974.96394598312,110.10933627111956,185.42049137215787,51935.40988304378,40262.75606917822,8,0.642966057602654
2025-01-22 00:00:00+00:00,0,0,0,4281211770,75.8400650024414,182029.0,0.029778616502881,2162,8.918518324693045,0.0024269327162211,324786,249629.0,2421.0,338915.0,75.81157684326172,0.0327173061668872,8.613039910793304,340997.0,2410.0,351656.0,75.82884979248047,0.0355410873889923,8.766715904076895,288212.85714285716,2401.4285714285716,387649.71428571426,75.82869938441685,0.03090990175093917,8.781673896880376,275440.93333333335,2302.8,382029.13333333336,75.8096918741862,0.028375461759666553,8.716364457872178,-46.61859195242187,-27.080186997504295,-10.290456431535267,-10.698058653448983,-7.640990058466224,-4.168891905049943,-16.213546938060308,-8.9820648711611,0.014790162308453425,0.03757758427658242,0.24080916753987727,0.19216710063728862,84.15580212667591,0.5604565453666557,0.006656670371658964,4.899477187657553e-05,-0.0004174368722023019,0.0019395737016834089,1.000250726651972,1.04636901151532,1.0893180175441275,67130.0964246144,52930.68555549537,115.65826889952876,179.6977155267147,53398.39732485067,41217.36733275938,8,0.4688496468733741
2025-01-23 00:00:00+00:00,0,0,0,4281211770,75.8578872680664,295687.0,0.0322380289435386,2283,8.89150313536326,0.0039253914013906,340235,182029.0,2162.0,324786.0,75.8400650024414,0.029778616502881,8.918518324693045,331696.0,2428.0,352957.0,75.8275146484375,0.0352829843759536,8.840578953425089,283068.71428571426,2380.714285714286,385832.28571428574,75.83303833007812,0.03047490811773703,8.788948780014401,276783.0333333333,2315.366666666667,380850.63333333336,75.81332906087239,0.028489564731717064,8.72840398814943,-10.856024793787078,62.43950139812886,-5.971993410214171,5.596669750231276,-3.6044050691727336,4.756670546144237,-8.6300960258062,8.258988258973222,0.04005487951137532,0.02349980267610796,0.21962386141680101,0.19118255287936733,129.46015761821366,0.8690644141125572,0.006710048319401827,3.0070557937296273e-05,0.002540588378909676,0.0018303723701255474,1.0002599710294995,1.0227097769566353,1.0696866872033923,62792.62684284024,52916.08690636169,117.14094075087725,163.4383746213032,52601.94691107114,41907.48883818895,8,0.7615970286879968
2025-01-24 00:00:00+00:00,0,0,0,4281211770,75.86029815673828,354971.0,0.0293262172490358,2488,8.595881561438242,0.0046899610897246,385481,295687.0,2283.0,340235.0,75.8578872680664,0.0322380289435386,8.89150313536326,319394.0,2530.0,385336.0,75.83511352539062,0.0319924801588058,8.802499055862427,288151.14285714284,2374.714285714286,385853.0,75.83663613455636,0.030094013416341315,8.75943199509666,278807.06666666665,2321.866666666667,380201.26666666666,75.81547673543294,0.028526100764671915,8.746041306522157,11.138906804761529,20.049579453949605,-1.6600790513834007,8.979413053000428,0.03762949737371457,13.298455479301063,-8.334030048733565,-9.032226193488825,0.03320972327578442,0.003178164800909933,0.22279126922314646,0.1963263835614714,142.61591000401768,0.9208497413627614,0.006454257267524813,2.421566084490676e-05,0.005757740565714497,0.0020129771333383573,1.0002790907613397,1.0335144883599656,1.0549641419485967,65103.47588689063,54737.18311004872,117.55356506436215,166.3694959883127,51742.57764858416,41671.25983128396,8,0.9142940300737161
2025-01-25 00:00:00+00:00,0,1,0,4281211770,75.8377456665039,252649.0,0.0276310611516237,2574,8.527902404467264,0.0033186564470255,458270,354971.0,2488.0,385481.0,75.86029815673828,0.0293262172490358,8.595881561438242,388246.0,2504.0,471418.0,75.83519744873047,0.0284996554255485,8.814398487408956,268780.14285714284,2384.714285714286,383974.71428571426,75.83700016566685,0.02996992852006634,8.718503983247848,279031.13333333336,2342.4333333333334,383009.76666666666,75.81673787434896,0.02868069739391402,8.752150954802831,-34.925536901861186,-28.825453346893127,2.7955271565495154,3.456591639871376,-2.789032238904754,18.882642724284725,-3.047736054893313,-5.780343516577591,0.0033602045740765973,-0.029728976529697082,0.2263164079760198,0.19571852363531644,98.11611650485438,0.5513091598639233,0.005616763879887665,3.375381913503766e-05,0.005671092442104165,0.002049301198381851,1.000267253536435,0.9632621981865207,1.0449511777362113,65797.79372921157,54611.56146428914,113.00269859658417,157.61578849091285,54142.22845533669,44013.37964417456,8,0.6507446309813881
2025-01-26 00:00:00+00:00,0,1,0,4281211770,75.84335327148438,288793.0,0.0305904671549797,2679,8.682468891143799,0.0037704451093127,478212,252649.0,2574.0,458270.0,75.8377456665039,0.0276310611516237,8.527902404467264,341145.0,2486.0,472728.0,75.81849670410156,0.0300459135323762,8.737083117167154,261301.2857142857,2412.285714285714,384758.14285714284,75.8405511038644,0.03004772189472399,8.710701950958796,281232.36666666664,2364.5666666666666,386628.1,75.81792271931967,0.02896122789631283,8.753859594133164,-15.345967257324599,14.306013481153702,7.763475462590508,4.079254079254069,1.1600751383459507,4.3515831278504,1.812404944907775,10.710431955965948,0.03278430523334652,0.007394213700817609,0.22666746738140833,0.19054106139330537,107.75858208955223,0.6039003540263439,0.0056021061744452785,3.0064575064384297e-05,0.0037084306989398344,0.0021594275622007116,1.0002984569311995,0.9291294910731082,1.0375154673103306,65542.92201000727,53586.3136428179,130.6604524948328,156.6687001580037,57966.65378009599,47223.12493008067,8,0.7438402456174693
2025-01-27 00:00:00+00:00,0,0,0,4281211770,75.84127044677734,299433.0,0.0320362746715545,2433,8.676817337671915,0.0038880230457491,367010,288793.0,2679.0,478212.0,75.84335327148438,0.0305904671549797,8.682468891143799,205351.0,2279.0,367408.0,75.83293151855469,0.0280523560941219,8.745599428812662,274741.5714285714,2434.285714285714,384701.28571428574,75.84174237932477,0.0306168531200715,8.70087593793869,280392.9666666667,2372.9333333333334,386393.4,75.81826604207357,0.029269307665526826,8.754090321726268,45.81521395074775,3.6842998272118788,6.757349714787186,-9.182530795072786,-0.10832643818315946,-23.253703378417946,14.201725388290631,4.7263335641458015,0.010996447131428333,-0.002746219170424169,0.19445665260212786,0.18929910214274798,123.02095316351685,0.8158692791224241,0.006629229096675577,2.8977395144412176e-05,0.0026969909668021785,0.0024000445780684248,1.0003096395957958,0.9798447325363419,1.046039539778107,57857.93792719211,53078.136837141465,130.6530511707262,153.24758721920827,56285.782736187044,47305.214481542775,8,0.7712455505014861
2025-01-28 00:00:00+00:00,0,0,0,4281211770,75.86431884765625,217993.0,0.0298180542886257,2247,8.546253681182861,0.0028171620741764,357223,299433.0,2433.0,367010.0,75.84127044677734,0.0320362746715545,8.676817337671915,249629.0,2421.0,338915.0,75.81157684326172,0.0327173061668872,8.613039910793304,270222.14285714284,2409.4285714285716,387316.71428571426,75.84927695138114,0.03020267428031986,8.691335047994341,277962.8333333333,2378.4333333333334,385549.7,75.81988067626953,0.029503965067366713,8.747706670893564,-12.673207039246236,-27.198071020896165,-7.187112763320947,-7.644882860665847,5.401944440346407,-2.666684831475985,-8.861523817006056,-6.924089662954458,0.06956985541084482,0.030390314855122114,0.21094980024994564,0.19512287894918687,96.97197508896797,0.6102417530737017,0.006290170873177614,3.9204077548844746e-05,0.0008065359933061725,0.0026807027610970795,1.0003877119674867,0.9721520665789594,1.023681875007572,61296.18069744158,54236.908280873,139.85479125637136,145.19539351802348,55640.987552412014,47601.20926249313,8,0.5614816379305904
2025-01-29 00:00:00+00:00,0,0,0,4281211770,75.8890380859375,316965.0,0.0303739830851554,2050,8.488436003526052,0.0040772783902482,346290,217993.0,2247.0,357223.0,75.86431884765625,0.0298180542886257,8.546253681182861,182029.0,2162.0,324786.0,75.8400650024414,0.029778616502881,8.918518324693045,289498.71428571426,2393.4285714285716,390388.71428571426,75.8562731061663,0.030287726649216203,8.629894716399056,278670.2,2374.866666666667,384794.13333333336,75.82237370808919,0.029743900522589642,8.745223531458114,74.12884760120639,45.40145784497667,-5.18038852913969,-8.767245215843344,6.620975042027677,-3.0605532118592627,1.9993090754125475,1.864403328092945,0.06457415812408662,0.03258348411574463,0.2080632497101883,0.19598035129587615,154.54168698196003,0.9153139989199834,0.005919876635546405,2.6780272974155122e-05,0.00375066484724385,0.003088027563721063,1.000447089644115,1.038857812158294,1.0182836183913921,60100.27347330408,54613.88369169207,171.88489631848992,151.97815935042553,55938.69317823744,48051.43024010294,8,0.816402487082932
2025-01-30 00:00:00+00:00,0,0,0,4281211770,75.86904907226562,260919.0,0.0301788300275802,2101,8.571171224117279,0.0033423974170321,330347,316965.0,2050.0,346290.0,75.8890380859375,0.0303739830851554,8.488436003526052,295687.0,2283.0,340235.0,75.8578872680664,0.0322380289435386,8.89150313536326,284531.85714285716,2367.4285714285716,388976.14285714284,75.85786764962333,0.02999355537550786,8.584133014792489,277809.26666666666,2369.366666666667,382172.86666666664,75.82571461995443,0.029842099547386126,8.751486743821038,-11.758379637927941,-17.68207846292177,-7.971966710468681,2.4878048780487827,-2.9062265786882646,-4.60394467065176,-6.387483923303339,-0.6425007119681303,0.014714098429569056,-0.02633979053633384,0.20855985667312482,0.19684620430169755,124.12892483349191,0.7898307239638199,0.006359959799968518,3.284980539673953e-05,0.005350112915044892,0.003019834864259554,1.0004240385973289,1.0241985825629665,1.0050752403624026,59189.34691236331,54685.69966317144,188.79678300947188,158.88262493347162,57368.05356532156,48824.958154709544,8,0.6720455587436831
