timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,daily_rpv,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-31 00:00:00+00:00,1,1,0,8017887842,1202,0.0092595405876636,82.4820327758789,0.0330770770932678,20927,487.0,12.054040908813477,98152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98152.0,1202.0,20927.0,82.4820327758789,0.0092595405876636,12.054040908813477,98152.0,1202.0,20927.0,82.4820327758789,0.0092595405876636,12.054040908813477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.58935993349958,4.689984709480123,0.05743501529051988,0.00012280868550949514,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-01 00:00:00+00:00,0,0,1,8017887842,1386,0.0108448844403028,82.63243865966797,0.0340730288858528,194721,483.0,11.651099920272827,104422,98152.0,1202.0,20927.0,82.4820327758789,0.0092595405876636,12.054040908813477,0.0,0.0,0.0,0.0,0.0,0.0,101287.0,1294.0,107824.0,82.55723571777344,0.010052212513983201,11.852570414543152,101287.0,1294.0,107824.0,82.55723571777344,0.010052212513983201,11.852570414543152,0.0,6.388051185915722,0.0,15.30782029950084,0.0,830.4773737277202,0.0,17.121193407277026,0.0,0.18234987515128864,0.04377224636961953,0.04377224636961953,75.28622927180966,0.5362619529380347,0.007117839792113886,0.00011157599303096853,0.0,0.0,1.0,1.0,1.0,4433.559518039653,4433.559518039653,130.10764773832474,130.10764773832474,122890.91592953484,122890.91592953484,2,1.0
2025-09-02 00:00:00+00:00,0,0,0,8017887842,1096,0.0088999709114432,82.49826049804688,0.0436790762332703,158724,460.0,10.874929229418436,141991,104422.0,1386.0,194721.0,82.63243865966797,0.0108448844403028,11.651099920272827,0.0,0.0,0.0,0.0,0.0,0.0,114855.0,1228.0,124790.66666666667,82.53757731119792,0.0096681319798032,11.52669001950158,114855.0,1228.0,124790.66666666667,82.53757731119792,0.0096681319798032,11.52669001950158,0.0,35.978050602363474,0.0,-20.923520923520922,0.0,-18.48644984362241,0.0,-17.93392580221257,0.0,-0.16237952527786703,0.20642244792839273,0.20642244792839273,129.43573381950776,0.894572373602142,0.006905024413293432,7.658832349300268e-05,0.008113861083971182,0.0,1.0,1.0,1.0,23708.65025681555,23708.65025681555,146.7378615082011,146.7378615082011,91731.62999932647,91731.62999932647,3,1.0
2025-09-03 00:00:00+00:00,0,0,0,8017887842,1107,0.0099488915875554,82.6750717163086,0.0423096741155357,158215,453.0,12.459009130795796,144138,141991.0,1096.0,158724.0,82.49826049804688,0.0088999709114432,10.874929229418436,0.0,0.0,0.0,0.0,0.0,0.0,122175.75,1197.75,133146.75,82.57195091247559,0.00973832188174125,11.759769797325134,122175.75,1197.75,133146.75,82.57195091247559,0.00973832188174125,11.759769797325134,0.0,1.5120676662605304,0.0,1.0036496350364965,0.0,-0.3206824424787702,0.0,11.785664094289805,0.0,0.21432114713000328,0.1986607398370021,0.1986607398370021,130.0884476534296,0.9110203772058452,0.006996763917682156,8.643746058177034e-05,0.04449386596678106,0.0,1.0,1.0,1.0,24271.52488514061,24271.52488514061,134.21965827205292,134.21965827205292,76740.4140131956,76740.4140131956,4,1.0
2025-09-04 00:00:00+00:00,0,0,0,8017887842,1104,0.0097731202840805,82.92292785644531,0.0410766788286906,169157,442.0,17.46943497657776,146379,144138.0,1107.0,158215.0,82.6750717163086,0.0099488915875554,12.459009130795796,0.0,0.0,0.0,0.0,0.0,0.0,127016.4,1179.0,140348.8,82.64214630126953,0.0097452815622091,12.901702833175658,127016.4,1179.0,140348.8,82.64214630126953,0.0097452815622091,12.901702833175658,0.0,1.5547600216459179,0.0,-0.27100271002710175,0.0,6.91590557153241,0.0,-1.7667425755725774,0.0,0.29979549456844445,0.18614101803800392,0.18614101803800392,132.46968325791855,0.8653389139148016,0.006526442734011989,0.00011934304533800901,0.09244232177734264,0.09244232177734264,1.0,1.0,1.0,23642.96200352232,23642.96200352232,123.5677951571525,123.5677951571525,68382.49760135995,68382.49760135995,5,1.0
2025-09-05 00:00:00+00:00,0,0,0,8017887842,1222,0.0092205973342061,82.887451171875,0.0403865957487303,182294,432.0,35.34537709277609,152144,146379.0,1104.0,169157.0,82.92292785644531,0.0097731202840805,17.46943497657776,0.0,0.0,0.0,0.0,0.0,0.0,131204.33333333334,1186.1666666666667,147339.66666666666,82.68303044637044,0.009657834190875266,16.64231520977573,131204.33333333334,1186.1666666666667,147339.66666666666,82.68303044637044,0.009657834190875266,16.64231520977573,0.0,3.938406465408284,0.0,10.688405797101442,0.0,7.766158066175199,0.0,-5.653495852030055,0.0,-0.042782720638767646,0.17913822282201766,0.17913822282201766,124.4022894521668,0.8346032529690885,0.0067034202803148745,0.0002323137605098826,0.08786773681640898,0.08786773681640898,1.0,1.0,1.0,23503.711099880948,23503.711099880948,111.90784899490592,111.90784899490592,63515.08547633913,63515.08547633913,6,1.0
2025-09-06 00:00:00+00:00,0,1,0,8017887842,995,0.0070297140628099,83.0678482055664,0.0473927415956453,202882,433.0,36.03619909286499,187265,152144.0,1222.0,182294.0,82.887451171875,0.0092205973342061,35.34537709277609,0.0,0.0,0.0,0.0,0.0,0.0,139213.0,1158.857142857143,155274.2857142857,82.73800441196987,0.0092823884582945,19.412870050217055,139213.0,1158.857142857143,155274.2857142857,82.73800441196987,0.0092823884582945,19.412870050217055,0.0,23.08405195078347,0.0,-18.57610474631751,0.0,11.29384401022524,0.0,-23.760752063953316,0.0,0.21764094702023673,0.2166106205631086,0.2166106205631086,188.01706827309238,0.9230196714362465,0.0049043044513340205,0.00019243321848528292,0.09614780970981954,0.09614780970981954,1.0,1.0,1.0,30155.014320452035,30155.014320452035,125.12717340294044,125.12717340294044,61664.51431121545,61664.51431121545,7,1.0
2025-09-07 00:00:00+00:00,0,1,0,8017887842,1003,0.0081572420895099,83.2646713256836,0.0433957894261083,207218,428.0,201.78161716461184,180296,187265.0,995.0,202882.0,83.0678482055664,0.0070297140628099,36.03619909286499,98152.0,1202.0,20927.0,82.4820327758789,0.0092595405876636,12.054040908813477,150947.85714285713,1130.4285714285713,181887.2857142857,82.84980991908482,0.009124917244272543,46.516809515331104,144348.375,1139.375,161767.25,82.80383777618408,0.009141745162196426,42.2089634395164,83.69060233107832,-3.721464235174754,-16.55574043261231,0.8040201005025116,890.1944855927749,2.1372029061227815,-11.904462081221201,16.039457887271546,0.9488594345525847,0.23694260098097164,0.21801830854892493,0.21801830854892493,179.5776892430279,0.8700746553163561,0.004840289741770784,0.001119162366343377,0.11600903102329861,0.10798744928269723,1.000555193383971,1.0457191301450892,0.9981592225964172,31470.58855928592,31470.58855928592,128.2830993211053,128.2830993211053,59971.36783916138,59971.36783916138,7,0.9627853576482525
2025-09-08 00:00:00+00:00,0,0,0,8017887842,848,0.0074527575634419,83.44913482666016,0.0419451722878829,132672,420.0,33.68170530145819,182129,180296.0,1003.0,207218.0,83.2646713256836,0.0081572420895099,201.78161716461184,104422.0,1386.0,194721.0,82.63243865966797,0.0108448844403028,11.651099920272827,162048.85714285713,1053.5714285714287,173023.14285714287,82.9664808000837,0.008640327690435271,49.66403885550044,148546.22222222222,1107.0,158534.44444444444,82.8755374484592,0.008954079873445923,41.26149031306549,74.41631073911627,1.0166614899942417,-38.81673881673882,-15.453639082751746,-31.86559230899595,-35.974674014805665,-31.278589417280955,-8.63630769244862,0.9883481357192636,0.22153873670509583,0.21554687591152355,0.21554687591152355,214.52179034157834,1.3727661242302502,0.006391654669751947,0.00018493222040003398,0.1491693769182518,0.11861101786295299,1.001097348559351,1.090898541333722,0.9649598632751635,32018.674128458933,32018.674128458933,154.37859307559452,154.37859307559452,56930.252294169375,56930.252294169375,7,0.9725736256107655
2025-09-09 00:00:00+00:00,0,0,0,8017887842,766,0.0070273554883897,83.57415771484375,0.0422529084306415,126271,413.0,25.01827883720398,188834,182129.0,848.0,132672.0,83.44913482666016,0.0074527575634419,33.68170530145819,141991.0,1096.0,158724.0,82.49826049804688,0.0088999709114432,10.874929229418436,168740.7142857143,1006.4285714285714,168387.0,83.12018040248326,0.008372811201427629,51.68451737089838,152575.0,1072.9,155308.1,82.94539947509766,0.008761407434940301,39.637169165479335,32.99011909205514,3.6814565500277174,-30.109489051094897,-9.669811320754718,-20.446183311912502,-4.824680414857696,-21.040691499853914,-5.707982198950489,1.304145336279361,0.149819274272045,0.21475186278249733,0.21475186278249733,246.19817470664927,1.495454257475925,0.006066269640141916,0.0001324875093981729,0.14738900320870565,0.12436911843040115,1.00210718048851,1.105952576016479,0.955646825421797,32765.76546403953,32765.76546403953,181.14294539580246,181.14294539580246,54635.42386980569,54635.42386980569,8,1.0
