timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,session_session_length,daily_rpv,visits_visits_gained,platform_platform_share,ratings_like_ratio,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-03-29 00:00:00+00:00,0,1,0,1230230722,0.0,0.0,0.0,645866,0.3464452028274536,81.16815948486328,9668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9668.0,645866.0,81.16815948486328,0.3464452028274536,0.0,0.0,9668.0,645866.0,81.16815948486328,0.3464452028274536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01496902613076686,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-03-30 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,571258,0.3446487188339233,81.30269622802734,8977,0.0,0.0,9668.0,645866.0,81.16815948486328,0.3464452028274536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9322.5,608562.0,81.23542785644531,0.3455469608306885,0.0,0.0,9322.5,608562.0,81.23542785644531,0.3455469608306885,0.0,0.0,0.0,0.0,-7.1472900289615175,0.0,-11.55162216311123,0.0,-0.5185478046365266,0.0,0.16575063918895516,0.0,0.0,0.0,0.0,0.015714413252132572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,488.61078579990436,488.61078579990436,52755.82273076594,52755.82273076594,0,0.0
2020-03-31 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,558875,0.3456627130508423,81.45012664794922,8939,0.0,0.0,8977.0,571258.0,81.30269622802734,0.3446487188339233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9194.666666666666,591999.6666666666,81.30699412027995,0.34558554490407306,0.0,0.0,9194.666666666666,591999.6666666666,81.30699412027995,0.34558554490407306,0.0,0.0,0.0,0.0,-0.4233039991088372,0.0,-2.1676720501069613,0.0,0.29421093464374604,0.0,0.1813352161266435,0.0,0.0,0.0,0.0,0.01599460345407568,0.0,0.14098358154296986,0.0,1.0,0.0,1.0,0.0,0.0,410.3587861047126,410.3587861047126,47058.69815808054,47058.69815808054,0,0.0
2020-04-01 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,607211,0.3565971851348877,81.57085418701172,9511,0.0,0.0,8939.0,558875.0,81.45012664794922,0.3456627130508423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9273.75,595802.5,81.37295913696289,0.34833845496177673,0.0,0.0,9273.75,595802.5,81.37295913696289,0.34833845496177673,0.0,0.0,0.0,0.0,6.398926054368492,0.0,8.648803399686877,0.0,3.1633357232942583,0.0,0.14822265358078734,0.0,0.0,0.0,0.0,0.015663392686574046,0.0,0.13555145263670354,0.0,1.0,0.0,1.0,0.0,0.0,370.5125953774491,370.5125953774491,39168.78281233666,39168.78281233666,0,0.0
2020-04-02 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,625920,0.3629074692726135,81.7153549194336,9489,0.0,0.0,9511.0,607211.0,81.57085418701172,0.3565971851348877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9316.8,601826.0,81.44143829345703,0.3512522578239441,0.0,0.0,9316.8,601826.0,81.44143829345703,0.3512522578239441,0.0,0.0,0.0,0.0,-0.23131111344758537,0.0,3.081136540675322,0.0,1.7695832723241711,0.0,0.17714750429189685,0.0,0.0,0.0,0.0,0.015160060135384498,0.0,0.13625488281248982,0.13625488281248982,1.0,0.0,1.0,0.0,0.0,335.00179103998835,335.00179103998835,36497.368692824966,36497.368692824966,0,0.0
2020-04-03 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,749793,0.5076475143432617,81.8255386352539,13610,0.0,0.0,9489.0,625920.0,81.7153549194336,0.3629074692726135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10032.333333333334,626487.1666666666,81.50545501708984,0.377318133910497,0.0,0.0,10032.333333333334,626487.1666666666,81.50545501708984,0.377318133910497,0.0,0.0,0.0,0.0,43.42923384972073,0.0,19.790548312883427,0.0,39.88345716905608,0.0,0.13483844735049377,0.0,0.0,0.0,0.0,0.01815165232050403,0.0,0.1327314104352793,0.1327314104352793,1.0,0.0,1.0,0.0,0.0,1778.1194185618322,1778.1194185618322,68663.56519557274,68663.56519557274,0,0.0
2020-04-04 00:00:00+00:00,0,1,0,1230230722,0.0,0.0,0.0,795216,0.4903748631477356,81.96468353271484,11523,0.0,0.0,13610.0,749793.0,81.8255386352539,0.5076475143432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10245.285714285714,650591.2857142857,81.57105909075055,0.39346909523010254,0.0,0.0,10245.285714285714,650591.2857142857,81.57105909075055,0.39346909523010254,0.0,0.0,0.0,0.0,-15.334313005143274,0.0,6.058072027879691,0.0,-3.4024890711563116,0.0,0.17005069539619555,0.0,0.0,0.0,0.0,0.014490384385645679,0.0,0.1321601867675824,0.1321601867675824,1.0,0.0,1.0,0.0,0.0,1718.1962164127938,1718.1962164127938,89420.15548281847,89420.15548281847,0,0.0
2020-04-05 00:00:00+00:00,0,1,0,1230230722,0.0,0.0,0.0,764745,0.4063993096351623,82.11053466796875,11559,0.0,0.0,11523.0,795216.0,81.96468353271484,0.4903748631477356,0.0,0.0,9668.0,645866.0,81.16815948486328,0.3464452028274536,0.0,0.0,10515.42857142857,667574.0,81.70568411690849,0.4020339676312038,0.0,0.0,10409.5,664860.5,81.63849353790283,0.395085372030735,0.0,0.0,0.0,19.559371121224657,0.3124186409789065,18.406139973307155,-3.8317890988108894,17.30550930375234,-17.12476715742135,1.161015833162038,0.17794387651810517,0.0,0.0,0.0,0.0,0.015114822437776726,0.0,0.1324040549142055,0.13306308927990695,1.0008230257087543,0.0,1.017587580033027,0.0,0.0,1657.1621181146663,1657.1621181146663,92100.85459042016,92100.85459042016,0,0.0
2020-04-06 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,695127,0.3944734930992126,82.20600891113281,10618,0.0,0.0,11559.0,764745.0,82.11053466796875,0.4063993096351623,0.0,0.0,8977.0,571258.0,81.30269622802734,0.3446487188339233,0.0,0.0,10749.857142857143,685269.5714285715,81.83472878592355,0.4091517925262451,0.0,0.0,10432.666666666666,668223.4444444445,81.70155080159505,0.3950173854827881,0.0,0.0,0.0,18.28004901414726,-8.1408426334458,21.683547538940374,-9.103426632406887,14.456683441001994,-2.9345070853235233,1.1110488643229832,0.11627526668791521,0.0,0.0,0.0,0.0,0.015274884625565364,0.0,0.1284405844552204,0.13097852071126082,1.0016300545463563,0.0,1.0357817340778104,0.0,0.0,1551.6904491553723,1551.6904491553723,86741.17273404701,86741.17273404701,0,0.0
2020-04-07 00:00:00+00:00,0,0,0,1230230722,0.0,0.0,0.0,613091,0.2953253090381622,82.29644775390625,8454,0.0,0.0,10618.0,695127.0,82.20600891113281,0.3944734930992126,0.0,0.0,8939.0,558875.0,81.45012664794922,0.3456627130508423,0.0,0.0,10680.57142857143,693014.7142857143,81.95563180106026,0.401960734810148,0.0,0.0,10234.8,662710.2,81.76104049682617,0.3850481778383255,0.0,0.0,0.0,-5.425662825819444,-20.38048596722547,9.700917020800714,-11.80158445866727,-14.562578522976576,-25.13430833643213,1.0390666543897087,0.11001488087227784,0.0,0.0,0.0,0.0,0.013789121371670158,0.0,0.1229673113141761,0.1277060306433495,1.002380000340647,0.0,1.0439232229763304,0.0,0.0,1591.140597181783,1591.140597181783,83618.09756638945,83618.09756638945,0,0.0
