timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,daily_rpv,ratings_like_ratio,session_session_length,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-02-03 00:00:00+00:00,0,1,0,4785982047,0.0055880038999021,80800.0,0,0.2013837656770283,94.68919372558594,0.0,404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80800.0,404.0,0.0,94.68919372558594,0.0055880038999021,0.0,80800.0,404.0,0.0,94.68919372558594,0.0055880038999021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.50617283950618,80800.0,404.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-02-04 00:00:00+00:00,0,1,0,4785982047,0.0051072645001113,108371.0,40447,0.2451196495839683,94.50666809082033,0.0,370,0.0,80800.0,404.0,0.0,94.68919372558594,0.0055880038999021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94585.5,387.0,20223.5,94.59793090820312,0.0053476342000067,0.0,94585.5,387.0,20223.5,94.59793090820312,0.0053476342000067,0.0,0.0,34.12252475247526,0.0,-8.415841584158413,0.0,inf,0.0,-8.603061279166656,0.0,-0.19276289889486042,0.20611659360149603,0.20611659360149603,292.10512129380055,2.679267207278481,0.00914754746835443,0.0,0.0,0.0,1.0,1.0,1.0,19495.641064094303,19495.641064094303,24.041630560342615,24.041630560342615,28600.347978652288,28600.347978652288,2,1.0
2024-02-05 00:00:00+00:00,0,0,0,4785982047,0.0030551922973245,60104.0,21317,0.1222484146960737,94.52811431884766,0.0,153,0.0,108371.0,370.0,40447.0,94.50666809082033,0.0051072645001113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83091.66666666667,309.0,20588.0,94.5746587117513,0.004583486899112634,0.0,83091.66666666667,309.0,20588.0,94.5746587117513,0.004583486899112634,0.0,0.0,-44.53866809386275,0.0,-58.648648648648646,0.0,-47.29646203673944,0.0,-40.17947773689967,0.0,0.022692819946534826,0.291424735117902,0.291424735117902,390.2857142857143,2.8194014447884417,0.007177033492822967,0.0,-0.08053970336913824,0.0,1.0,1.0,1.0,24214.966948838344,24214.966948838344,136.1653406708183,136.1653406708183,20233.35199614735,20233.35199614735,2,0.5546133190613725
2024-02-06 00:00:00+00:00,0,0,0,4785982047,0.0037194211035966,52855.0,18892,0.1015486109276891,94.66089630126952,0.0,168,0.0,60104.0,153.0,21317.0,94.52811431884766,0.0030551922973245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75532.5,273.75,20164.0,94.59621810913086,0.004367470450233625,0.0,75532.5,273.75,20164.0,94.59621810913086,0.004367470450233625,0.0,0.0,-12.06076134699854,0.0,9.80392156862746,0.0,-11.375897171271754,0.0,21.740981962208394,0.0,0.14046824416065196,0.3295168258065969,0.3295168258065969,312.75147928994085,2.7975969935955116,0.00889218228973694,0.0,-0.006344604492199798,0.0,1.0,1.0,1.0,24889.22964523678,24889.22964523678,131.64693945043564,131.64693945043564,16542.212447755188,16542.212447755188,2,0.48772273025071283
2024-02-07 00:00:00+00:00,0,0,0,4785982047,0.0037505598738789,54048.0,19429,0.0985694411477682,94.65364837646484,0.0,169,0.0,52855.0,168.0,18892.0,94.66089630126952,0.0037194211035966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71235.6,252.8,20017.0,94.60770416259766,0.00424408833496268,0.0,71235.6,252.8,20017.0,94.60770416259766,0.00424408833496268,0.0,0.0,2.2571185318323694,0.0,0.5952380952380931,0.0,2.842473004446333,0.0,0.8371939991465238,0.0,-0.007656725308835544,0.3312837432615403,0.3312837432615403,317.9294117647059,2.7816778178075143,0.008697889861039629,0.0,0.008313751220691473,0.008313751220691473,1.0,1.0,1.0,23599.196221481783,23599.196221481783,123.25867109457249,123.25867109457249,14329.746665590428,14329.746665590428,2,0.49873121037916046
2024-02-08 00:00:00+00:00,0,0,0,4785982047,0.0034012936521321,55608.0,23598,0.0958750536177309,94.86148071289062,0.0,159,0.0,54048.0,169.0,19429.0,94.65364837646484,0.0037505598738789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68631.0,237.16666666666666,20613.833333333332,94.65000025431316,0.004103622554490917,0.0,68631.0,237.16666666666666,20613.833333333332,94.65000025431316,0.004103622554490917,0.0,0.0,2.886323268206037,0.0,-5.917159763313606,0.0,21.457614905553555,0.0,-9.312375578358168,0.0,0.21957139528228087,0.32129620329708863,0.32129620329708863,347.55,2.356371032670876,0.006737573626001102,0.0,0.04100450788225802,0.04100450788225802,1.0,1.0,1.0,22050.87972848249,22050.87972848249,116.70718344072343,116.70718344072343,12900.022161479672,12900.022161479672,2,0.5131262053501398
2024-02-09 00:00:00+00:00,0,0,0,4785982047,0.0042820684611797,64784.0,29451,0.1050018963999803,94.84314727783205,0.0,231,0.0,55608.0,159.0,23598.0,94.86148071289062,0.0034012936521321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68081.42857142857,236.28571428571428,21876.285714285714,94.67759268624442,0.004129114826875029,0.0,68081.42857142857,236.28571428571428,21876.285714285714,94.67759268624442,0.004129114826875029,0.0,0.0,16.501222845633713,0.0,45.28301886792452,0.0,24.80294940249175,0.0,25.895288649819648,0.0,-0.019326532667218732,0.296439923275956,0.296439923275956,279.2413793103448,2.1996468830639686,0.007843270406084476,0.0,0.046322141374865275,0.046322141374865275,1.0,1.0,1.0,20182.05346223176,20182.05346223176,106.56408758068903,106.56408758068903,12240.587345851854,12240.587345851854,2,0.5977983039743104
2024-02-10 00:00:00+00:00,0,1,0,4785982047,0.0046648643910884,86898.0,36275,0.1310502794102381,94.53441619873048,0.0,334,0.0,64784.0,231.0,29451.0,94.84314727783205,0.0042820684611797,0.0,80800.0,404.0,0.0,94.68919372558594,0.0055880038999021,0.0,68952.57142857143,226.28571428571428,27058.428571428572,94.65548161097935,0.003997237754187357,0.0,70433.5,248.5,23676.125,94.65969562530518,0.0041960835224017,0.0,7.547029702970298,34.13497159792542,-17.32673267326733,44.588744588744575,inf,23.17069029914094,-16.52002262972424,8.939509804176282,-0.1634584906320069,-0.32551753918200754,0.28159814922051446,0.28159814922051446,259.3970149253731,2.395468078068144,0.009207189326276326,0.0,0.032639094761449404,0.01895005362375317,0.9999554824859938,0.9789740880202096,0.9526115800239053,19833.943243123107,19833.943243123107,104.53297497509031,104.53297497509031,12423.477043053837,12423.477043053837,2,0.8018565852488212
2024-02-11 00:00:00+00:00,0,1,0,4785982047,0.0041867843829095,79925.0,30185,0.1122999539864592,94.61331176757812,0.0,298,0.0,86898.0,334.0,36275.0,94.53441619873048,0.0046648643910884,0.0,108371.0,370.0,40447.0,94.50666809082033,0.0051072645001113,0.0,64888.857142857145,216.0,25592.428571428572,94.67071642194476,0.0038657405945871,0.0,71488.11111111111,254.0,24399.333333333332,94.65454186333551,0.004195050284680344,0.0,-26.24871967592807,-8.024350387810998,-19.45945945945946,-10.77844311377245,-25.371473780502885,-16.788421778084086,-18.022957635770386,-10.248529605538115,0.11284248922553974,0.0834569800291396,0.2632715514954625,0.2632715514954625,267.3076923076923,2.6477506128668917,0.009872126151195919,0.0,0.006861822945738921,0.010172780354815423,1.000170879899589,0.907687392131581,0.9215004188875088,18820.785925702232,18820.785925702232,99.16400556653609,99.16400556653609,11821.89522665465,11821.89522665465,2,0.7375128032407193
2024-02-12 00:00:00+00:00,0,0,0,4785982047,0.0028841341845691,50194.0,19512,0.067043717162373,94.63487243652344,0.0,151,0.0,79925.0,298.0,30185.0,94.61331176757812,0.0041867843829095,0.0,60104.0,153.0,21317.0,94.52811431884766,0.0030551922973245,0.0,63473.142857142855,215.71428571428572,25334.571428571428,94.68596758161273,0.0038413037213363282,0.0,69358.7,243.7,23910.6,94.6525749206543,0.00406395867466922,0.0,-16.48808731532011,-37.198623709727876,-1.3071895424836555,-49.328859060402685,-8.467420368719802,-35.35862183203577,-5.598931134554097,-31.113381516799198,0.11293795337510293,0.02278819813250621,0.2736375372891748,0.2736375372891748,330.2236842105263,2.572336391123866,0.007738430789729924,0.0,-0.017350333077567736,0.006325507886481522,1.0003527918916777,0.9151432027581667,0.9452122988551269,18979.143857578685,18979.143857578685,99.00398420714639,99.00398420714639,11252.432223005537,11252.432223005537,2,0.4631681907521385
