timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,session_session_length,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2019-11-04 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.141846179962158,10517,0.0,85.74192810058594,552247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10517.0,552247.0,85.74192810058594,2.141846179962158,0.0,0.0,10517.0,552247.0,85.74192810058594,2.141846179962158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019043980240761395,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2019-11-05 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.3118138313293457,11520,0.0,85.7416000366211,922354,0.0,0.0,10517.0,552247.0,85.74192810058594,2.141846179962158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11018.5,737300.5,85.74176406860352,2.226830005645752,0.0,0.0,11018.5,737300.5,85.74176406860352,2.226830005645752,0.0,0.0,0.0,0.0,9.536940192069988,0.0,67.01838126780227,0.0,7.935567593849835,0.0,-0.000382617900152038,0.0,0.0,0.0,0.0,0.012489768039420831,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,709.2281015301072,709.2281015301072,261705.16946460956,261705.16946460956,0,0.0
2019-11-06 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.479646921157837,10307,0.0,85.7436752319336,917834,0.0,0.0,11520.0,922354.0,85.7416000366211,2.3118138313293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10781.333333333334,797478.3333333334,85.74240112304688,2.311102310816447,0.0,0.0,10781.333333333334,797478.3333333334,85.74240112304688,2.311102310816447,0.0,0.0,0.0,0.0,-10.529513888888886,0.0,-0.49005045785024404,0.0,7.259801267474186,0.0,0.002420289931159836,0.0,0.0,0.0,0.0,0.011229687253155523,0.0,0.0008735656738290262,0.0,1.0,0.0,1.0,0.0,0.0,648.2640922751572,648.2640922751572,212388.58899746317,212388.58899746317,0,0.0
2019-11-07 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.6539111137390137,11471,0.0,85.77510070800781,954871,0.0,0.0,10307.0,917834.0,85.7436752319336,2.479646921157837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10953.75,836826.5,85.75057601928711,2.3968045115470886,0.0,0.0,10953.75,836826.5,85.75057601928711,2.3968045115470886,0.0,0.0,0.0,0.0,11.29329581837586,0.0,4.035261278183211,0.0,7.027782507834068,0.0,0.036650488784406576,0.0,0.0,0.0,0.0,0.012013128461196893,0.0,0.010159301757796573,0.0,1.0,0.0,1.0,0.0,0.0,631.7232384517764,631.7232384517764,190435.6095140822,190435.6095140822,0,0.0
2019-11-08 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.734297275543213,14006,0.0,85.7811508178711,1103589,0.0,0.0,11471.0,954871.0,85.77510070800781,2.6539111137390137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11564.2,890179.0,85.7566909790039,2.4643030643463133,0.0,0.0,11564.2,890179.0,85.7566909790039,2.4643030643463133,0.0,0.0,0.0,0.0,22.099206695144268,0.0,15.574669248516294,0.0,3.028969636098533,0.0,0.00705345702114446,0.0,0.0,0.0,0.0,0.012691307460198082,0.0,0.011194610595695025,0.011194610595695025,1.0,0.0,1.0,0.0,0.0,1470.5616954075742,1470.5616954075742,203547.87473589598,203547.87473589598,0,0.0
2019-11-09 00:00:00+00:00,0,1,0,111958650,0.0,0.0,2.2977256774902344,23620,0.0,85.7797622680664,1652590,0.0,0.0,14006.0,1103589.0,85.7811508178711,2.734297275543213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13573.5,1017247.5,85.76053619384766,2.436540166536967,0.0,0.0,13573.5,1017247.5,85.76053619384766,2.436540166536967,0.0,0.0,0.0,0.0,68.6420105668999,0.0,49.74687134431388,0.0,-15.966500861404931,0.0,-0.0016187120264188337,0.0,0.0,0.0,0.0,0.01429270763304411,0.0,0.009692818777904441,0.009692818777904441,1.0,0.0,1.0,0.0,0.0,5094.48332022002,5094.48332022002,360588.1473386223,360588.1473386223,0,0.0
2019-11-10 00:00:00+00:00,0,1,0,111958650,0.0,0.0,2.120398998260498,21866,0.0,85.78697967529297,1628591,0.0,0.0,23620.0,1652590.0,85.7797622680664,2.2977256774902344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14758.142857142857,1104582.2857142857,85.76431383405414,2.3913771424974715,0.0,0.0,14758.142857142857,1104582.2857142857,85.76431383405414,2.3913771424974715,0.0,0.0,0.0,0.0,-7.425910245554612,0.0,-1.4522053261849632,0.0,-7.71748694663269,0.0,0.008413881125024503,0.0,0.0,0.0,0.0,0.013426321632428503,0.0,0.00889124189104348,0.00889124189104348,1.0,0.0,1.0,0.0,0.0,5608.1890549615455,5608.1890549615455,402174.99951874773,402174.99951874773,0,0.0
2019-11-11 00:00:00+00:00,0,0,1,111958650,0.0,0.0,2.1723074913024902,15942,0.0,85.7940902709961,1173748,0.0,0.0,21866.0,1628591.0,85.78697967529297,2.120398998260498,0.0,0.0,10517.0,552247.0,85.74192810058594,2.141846179962158,0.0,0.0,15533.142857142857,1193368.142857143,85.77176557268415,2.395728758403233,0.0,0.0,14906.125,1113228.0,85.76803588867188,2.3639934360980988,0.0,0.0,0.0,51.58315108871352,-27.09228939906705,112.54040311672134,-27.928620506928993,1.422198831331123,2.4480530826781255,0.06083624612331917,0.008288665401257056,0.0,0.0,0.0,0.0,0.013582120197759487,0.0,0.008883612496517552,0.008408864339192622,1.0000434857108902,0.0,1.0134244544932052,0.0,0.0,5209.017385745607,5209.017385745607,373143.84251652873,373143.84251652873,0,0.0
2019-11-12 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.315497398376465,11385,0.0,85.79647064208984,983344,0.0,0.0,15942.0,1173748.0,85.7940902709961,2.1723074913024902,0.0,0.0,11520.0,922354.0,85.7416000366211,2.3118138313293457,0.0,0.0,15513.857142857143,1202081.0,85.77960423060826,2.396254982267107,0.0,0.0,14514.888888888889,1098796.4444444445,85.77119530571832,2.358604987462362,0.0,0.0,0.0,-1.171875,-28.58487015430937,6.612428633691625,-16.221880676261,0.159336664449361,6.591603980894978,0.06399531317973217,0.002774516387127335,0.0,0.0,0.0,0.0,0.011577828737625147,0.0,0.0072212219238325425,0.007781855265297636,1.0000980390311685,0.0,1.01596282336588,0.0,0.0,5011.957762303181,5011.957762303181,351718.94243668165,351718.94243668165,0,0.0
2019-11-13 00:00:00+00:00,0,0,0,111958650,0.0,0.0,2.6822826862335205,11648,0.0,85.8033447265625,1084157,0.0,0.0,11385.0,983344.0,85.79647064208984,2.315497398376465,0.0,0.0,10307.0,917834.0,85.7436752319336,2.479646921157837,0.0,0.0,15705.42857142857,1225841.4285714286,85.78812844412667,2.425202948706491,0.0,0.0,14228.2,1097332.5,85.77441024780273,2.3909727573394775,0.0,0.0,0.0,13.010575337149511,2.310057092665785,18.121250683674827,10.252058282757615,8.171960424957025,15.84045346430667,0.06959054935247178,0.008012083039332651,0.0,0.0,0.0,0.0,0.010743821472516,0.0,0.004632132393974947,0.0074131358753560155,1.0001599334380067,0.0,1.0143164288517876,0.0,0.0,4811.501401156746,4811.501401156746,331636.1121186393,331636.1121186393,0,0.0
