timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,platform_platform_share,daily_Estimated Revenue,ccu_playing,session_session_length,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-06 00:00:00+00:00,0,1,0,5974860429,86.7796630859375,0.1260441927366413,0.0136451479047536,229961.0,1085,13.738101959228516,432.0,37195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229961.0,1085.0,37195.0,86.7796630859375,0.0136451479047536,13.738101959228516,229961.0,1085.0,37195.0,86.7796630859375,0.0136451479047536,13.738101959228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.75046040515653,6.182412087321217,0.02916980320464566,5.974074829418998e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-04-07 00:00:00+00:00,0,0,0,5974860429,86.81871032714844,0.2418633370709358,0.0196284614503383,464246.0,1489,11.895468672116598,427.0,163748,229961.0,1085.0,37195.0,86.7796630859375,0.0136451479047536,13.738101959228516,0.0,0.0,0.0,0.0,0.0,0.0,347103.5,1287.0,100471.5,86.79918670654297,0.01663680467754595,12.816785315672558,347103.5,1287.0,100471.5,86.79918670654297,0.01663680467754595,12.816785315672558,0.0,101.88031883667233,0.0,37.235023041474655,0.0,340.24196800645245,0.0,43.84938578423381,0.0,0.044995843291384396,0.47727698577021055,0.47727698577021055,311.5744966442953,2.8351073899687935,0.009093185301894973,2.562314602381189e-05,0.0,0.0,1.0,1.0,1.0,165664.51223029027,165664.51223029027,285.6711395993652,285.6711395993652,89486.48447950114,89486.48447950114,2,1.0
2025-04-08 00:00:00+00:00,0,0,0,5974860429,85.25910186767578,0.2404786459537088,0.0214203149080276,502251.0,1427,12.135196646054586,350.0,175171,464246.0,1489.0,163748.0,86.81871032714844,0.0196284614503383,11.895468672116598,0.0,0.0,0.0,0.0,0.0,0.0,398819.3333333333,1333.6666666666667,125371.33333333333,86.28582509358723,0.0182313080877065,12.589589092466568,398819.3333333333,1333.6666666666667,125371.33333333333,86.28582509358723,0.0182313080877065,12.589589092466568,0.0,8.186392559117373,0.0,-4.163868368032242,0.0,6.975963065197743,0.0,9.128853334851762,0.0,-1.7963967140214088,0.3697540716018373,0.3697540716018373,351.71638655462186,2.867187678396091,0.008146279085698628,2.4161569582708653e-05,-0.7602806091308576,0.0,1.0,1.0,1.0,147465.07233353035,147465.07233353035,217.57144420473318,217.57144420473318,76576.24012925506,76576.24012925506,3,1.0
2025-04-09 00:00:00+00:00,0,0,0,5974860429,84.66515350341797,0.2046854552675532,0.0176301691681146,460899.0,1142,12.907501300175984,305.0,153599,502251.0,1427.0,175171.0,85.25910186767578,0.0214203149080276,12.135196646054586,0.0,0.0,0.0,0.0,0.0,0.0,414339.25,1285.75,132428.25,85.88065719604492,0.018081023357808527,12.669067144393921,414339.25,1285.75,132428.25,85.88065719604492,0.018081023357808527,12.669067144393921,0.0,-8.233333532436971,0.0,-19.971969166082694,0.0,-12.31482380074327,0.0,-17.694164423757297,0.0,-0.6966392458363391,0.3000954970767188,0.3000954970767188,403.23622047244095,3.00064453125,0.007434895833333333,2.8004993057444095e-05,-0.790313720703134,0.0,1.0,1.0,1.0,124341.34318714486,124341.34318714486,201.84709559466046,201.84709559466046,64097.43099051111,64097.43099051111,3,0.9176666646756303
2025-04-10 00:00:00+00:00,0,0,0,5974860429,82.95977020263672,0.2372375057946259,0.0282316748052835,576676.0,1950,11.849501132965088,267.0,215449,460899.0,1142.0,153599.0,84.66515350341797,0.0176301691681146,12.907501300175984,0.0,0.0,0.0,0.0,0.0,0.0,446806.6,1418.6,149032.4,85.29647979736328,0.02011115364730352,12.505153942108155,446806.6,1418.6,149032.4,85.29647979736328,0.02011115364730352,12.505153942108155,0.0,25.119820177522634,0.0,70.75306479859896,0.0,40.26718923951327,0.0,60.13275049193783,0.0,-2.014268244033124,0.2906627094078755,0.2906627094078755,295.57970271655563,2.6766117428637735,0.009050823857043398,2.0547899661275008e-05,-0.9793342590332067,-0.9793342590332067,1.0,1.0,1.0,129870.01693732085,129870.01693732085,344.6770952645389,344.6770952645389,66782.10449514151,66782.10449514151,4,1.0
2025-04-11 00:00:00+00:00,0,0,0,5974860429,81.36328887939453,0.2821581992095252,0.0325192287564277,754002.0,2693,12.322500069936115,228.0,263502,576676.0,1950.0,215449.0,82.95977020263672,0.0282316748052835,11.849501132965088,0.0,0.0,0.0,0.0,0.0,0.0,498005.8333333333,1631.0,168110.66666666666,84.64094797770183,0.022179166165490885,12.474711630079481,498005.8333333333,1631.0,168110.66666666666,84.64094797770183,0.022179166165490885,12.474711630079481,0.0,30.749675727791683,0.0,38.102564102564095,0.0,22.3036542290751,0.0,15.187033644712411,0.0,-1.9244042254970561,0.34325288195011366,0.34325288195011366,279.88195991091317,2.8614550877978617,0.010219997495284683,1.634277326474313e-05,-1.1215039934430726,-1.1215039934430726,1.0,1.0,1.0,170941.93751963464,170941.93751963464,604.7515192209111,604.7515192209111,75840.36615593747,75840.36615593747,5,1.0
2025-04-12 00:00:00+00:00,0,1,0,5974860429,80.09029388427734,0.3278509847653298,0.024716867133975,979244.0,2173,13.163249691327414,213.0,327294,754002.0,2693.0,263502.0,81.36328887939453,0.0325192287564277,12.322500069936115,0.0,0.0,0.0,0.0,0.0,0.0,566754.1428571428,1708.4285714285713,190851.14285714287,83.99085453578404,0.02254169487527433,12.573074210257758,566754.1428571428,1708.4285714285713,190851.14285714287,83.99085453578404,0.02254169487527433,12.573074210257758,0.0,29.872865058713383,0.0,-19.309320460453026,0.0,24.209303914201797,0.0,-23.993070933179794,0.0,-1.5645815362800297,0.4228580598543342,0.4228580598543342,450.43422263109477,2.991930826929834,0.006639270382987825,1.3442243454219745e-05,-1.1885100773402566,-1.1885100773402566,1.0,1.0,1.0,239656.55726297759,239656.55726297759,588.8434588645943,588.8434588645943,91722.62034966906,91722.62034966906,6,1.0
2025-04-13 00:00:00+00:00,0,1,0,5974860429,79.76605987548828,0.2458958504532395,0.0205382127314806,809078.0,1626,12.701299826304115,186.0,275620,979244.0,2173.0,327294.0,80.09029388427734,0.024716867133975,13.163249691327414,229961.0,1085.0,37195.0,86.7796630859375,0.0136451479047536,13.738101959228516,649485.1428571428,1785.7142857142858,224911.85714285713,82.98891122000558,0.023526418421949614,12.424959619839985,597044.625,1698.125,201447.25,83.46275520324707,0.022291259607300114,12.589102412263552,251.8327020668722,-17.377282883530565,49.861751152073744,-25.17257248044179,641.0135770936954,-15.78825154142759,50.516600295154305,-16.906084334412107,-8.082081631849247,-0.4048355837694251,0.39837087406749705,0.39837087406749705,497.2821143208359,2.9354729864560394,0.005899405342843978,1.56984668076963e-05,-1.2427654266357404,-1.1444062732514866,0.9943226894189199,1.08783349796867,1.0554100053747075,237845.189118551,237845.189118551,545.941503276679,545.941503276679,90052.1862600475,90052.1862600475,6,0.8262271711646944
2025-04-14 00:00:00+00:00,0,0,0,5974860429,79.40947723388672,0.1410845380304229,0.01816469989717,495066.0,1351,12.10906744003296,177.0,177741,809078.0,1626.0,275620.0,79.76605987548828,0.0205382127314806,12.701299826304115,464246.0,1489.0,163748.0,86.81871032714844,0.0196284614503383,11.895468672116598,653888.0,1766.0,226910.85714285713,81.93044934953961,0.02331730962863986,12.455473729542323,585713.6666666666,1659.5555555555557,198813.22222222222,83.01239098442926,0.021832752972841214,12.535765193126819,6.638721712195683,-38.81109114325195,-9.267965077233043,-16.91266912669127,8.545447883332935,-35.512299542848844,-7.457342272453415,-11.55656952891777,-8.534143234036073,-0.4470355463942588,0.3842588746003663,0.3842588746003663,366.1730769230769,2.7853067929920896,0.007600904682067266,2.4459451831838844e-05,-1.079162052699498,-1.0713029225667314,0.9869665043729124,1.1163953262714832,1.0679967687833667,225065.67439138738,225065.67439138738,523.6258471253857,523.6258471253857,84605.93737997615,84605.93737997615,6,0.5055593907136525
2025-04-15 00:00:00+00:00,0,0,0,5974860429,79.2635269165039,0.125903085558472,0.0171404052525758,463606.0,1275,12.024763544400534,155.0,164553,495066.0,1351.0,177741.0,79.40947723388672,0.01816469989717,12.10906744003296,502251.0,1427.0,175171.0,85.25910186767578,0.0214203149080276,12.135196646054586,648367.2857142857,1744.2857142857142,225394.0,81.07393864222935,0.022705893963575315,12.439697572163173,573502.9,1621.1,195387.2,82.63750457763672,0.021363518200814672,12.484665028254192,-7.694359991319077,-6.354708261120734,-10.651716888577434,-5.625462620281274,-6.061505614513818,-7.419784968015253,-19.980610340363558,-5.638929629405998,-7.0321816906741,-0.1837945827963816,0.3760725541638753,0.3760725541638753,363.32758620689657,2.817348712276821,0.00774821639097196,2.5937407209987195e-05,-0.8893819536481499,-0.9836128928444606,0.9810792213124196,1.130538809331715,1.0628349577135405,215678.7004233896,215678.7004233896,508.4362628032479,508.4362628032479,80499.62295536269,80499.62295536269,6,0.4734325663471004
