timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_rpv,visits_visits_gained,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-10-09 00:00:00+00:00,0,0,0,6369934270,11.432979901631674,0.1649848359185644,69877,71.42857360839844,2715,111975.0,0.0465951263904571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111975.0,2715.0,69877.0,71.42857360839844,0.0465951263904571,11.432979901631674,111975.0,2715.0,69877.0,71.42857360839844,0.0465951263904571,11.432979901631674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.22790868924889,1.6024356736025644,0.038853430264174704,0.00010210205670529108,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-10-10 00:00:00+00:00,0,0,0,6369934270,11.455228527386984,0.1815679584503674,392664,70.88414764404297,5301,159033.0,0.0914425700902938,0.0,111975.0,2715.0,69877.0,71.42857360839844,0.0465951263904571,11.432979901631674,0.0,0.0,0.0,0.0,0.0,0.0,135504.0,4008.0,231270.5,71.1563606262207,0.06901884824037545,11.444104214509329,135504.0,4008.0,231270.5,71.1563606262207,0.06901884824037545,11.444104214509329,0.0,42.02545210984594,0.0,95.2486187845304,0.0,461.93597321006916,0.0,96.24921568840657,0.0,-0.7621963268372722,0.24556493468145996,0.24556493468145996,29.99490758204451,0.40500935912291647,0.01350005730075255,7.20300597821031e-05,0.0,0.0,1.0,1.0,1.0,33275.03090907655,33275.03090907655,1828.5781361484119,1828.5781361484119,228244.8765788621,228244.8765788621,2,1.0
2024-10-11 00:00:00+00:00,0,0,0,6369934270,11.763543049494425,0.1554610332744048,510929,73.63445281982422,5700,207361.0,0.0794363319873809,0.0,159033.0,5301.0,392664.0,70.88414764404297,0.0914425700902938,11.455228527386984,0.0,0.0,0.0,0.0,0.0,0.0,159456.33333333334,4572.0,324490.0,71.98239135742188,0.0724913428227106,11.550583826171028,159456.33333333334,4572.0,324490.0,71.98239135742188,0.0724913428227106,11.550583826171028,0.0,30.38866147277608,0.0,7.526881720430101,0.0,30.11862559338263,0.0,-13.129812614690838,0.0,3.8800003487273083,0.2991063953455609,0.2991063953455609,36.37274162427644,0.4058501164543088,0.011156127062415595,5.6729502268952e-05,1.1029396057128966,0.0,1.0,1.0,1.0,47694.40907835354,47694.40907835354,1620.536022432084,1620.536022432084,228292.54780434686,228292.54780434686,3,1.0
2024-10-12 00:00:00+00:00,0,1,0,6369934270,11.60888131459554,0.1645297699772954,815002,74.00135040283203,6770,330538.0,0.0923061892390251,0.0,207361.0,5700.0,510929.0,73.63445281982422,0.0794363319873809,11.763543049494425,0.0,0.0,0.0,0.0,0.0,0.0,202226.75,5121.5,447118.0,72.48713111877441,0.07744505442678923,11.565158198277155,202226.75,5121.5,447118.0,72.48713111877441,0.07744505442678923,11.565158198277155,0.0,59.402201956973585,0.0,18.771929824561397,0.0,59.51374848560172,0.0,16.201474727821875,0.0,0.4982689066836299,0.4647652723320282,0.4647652723320282,48.816718357701966,0.4055666052762996,0.008306717889382002,3.5121063821804806e-05,1.0468635559081971,0.0,1.0,1.0,1.0,93987.97053657098,93987.97053657098,1720.0462203092102,1720.0462203092102,308051.12745235435,308051.12745235435,4,1.0
2024-10-13 00:00:00+00:00,0,1,0,6369934270,11.878657341003418,0.1536530355217225,1071451,74.58731842041016,8586,448775.0,0.1266532689332962,0.0,330538.0,6770.0,815002.0,74.00135040283203,0.0923061892390251,11.60888131459554,0.0,0.0,0.0,0.0,0.0,0.0,251536.4,5814.4,571984.6,72.90716857910157,0.08728669732809062,11.627858026822407,251536.4,5814.4,571984.6,72.90716857910157,0.08728669732809062,11.627858026822407,0.0,35.771076245393864,0.0,26.82422451994091,0.0,31.466057752005526,0.0,37.20994223402507,0.0,0.7918342224680464,0.5448487953290342,0.5448487953290342,52.26214044485851,0.418847507867828,0.008013424773111628,2.646901202605179e-05,0.9434692382812484,0.9434692382812484,1.0,1.0,1.0,137049.30452140208,137049.30452140208,2149.2955357511914,2149.2955357511914,386173.48668869026,386173.48668869026,5,1.0
2024-10-14 00:00:00+00:00,0,0,1,6369934270,15.840142687161764,0.0853056947019513,794256,74.06910705566406,6489,332058.0,0.1084121689200401,0.0,448775.0,8586.0,1071451.0,74.58731842041016,0.1266532689332962,11.878657341003418,0.0,0.0,0.0,0.0,0.0,0.0,264956.6666666667,5926.833333333333,609029.8333333334,73.10082499186198,0.0908076092600822,12.329905470212301,264956.6666666667,5926.833333333333,609029.8333333334,73.10082499186198,0.0908076092600822,12.329905470212301,0.0,-26.00791042281767,0.0,-24.42348008385744,0.0,-25.870991767239005,0.0,-14.402391795242997,0.0,-0.6947714111736891,0.4789911629038077,0.4789911629038077,51.16456086286595,0.4180737469106347,0.008169899667236172,4.770279585001992e-05,0.7051164899553576,0.7051164899553576,1.0,1.0,1.0,126911.90188578323,126911.90188578323,1942.0155938268538,1942.0155938268538,357124.71957758215,357124.71957758215,5,0.7399208957718233
2024-10-15 00:00:00+00:00,0,0,0,6369934270,11.665230671564736,0.0757890537057603,862705,73.82213592529297,12454,351117.0,0.2114038914442062,0.0,332058.0,6489.0,794256.0,74.06910705566406,0.1084121689200401,15.840142687161764,0.0,0.0,0.0,0.0,0.0,0.0,277265.28571428574,6859.285714285715,645269.1428571428,73.20386941092355,0.10803564957209992,12.234951927548362,277265.28571428574,6859.285714285715,645269.1428571428,73.20386941092355,0.10803564957209992,12.234951927548362,0.0,5.739659938926334,0.0,91.92479580829097,0.0,8.618002256199508,0.0,95.00014947595794,0.0,-0.33343338429271396,0.43403962072971725,0.43403962072971725,28.19084704937776,0.4069949669991863,0.014435972393839848,3.32231063960399e-05,0.5179811205182765,0.5179811205182765,1.0,1.0,1.0,120344.11945294528,120344.11945294528,3037.947646810574,3037.947646810574,339815.73535443615,339815.73535443615,5,0.7823898390061835
2024-10-16 00:00:00+00:00,0,0,0,6369934270,11.642534534136454,0.0848229540150236,1200457,73.61299133300781,9865,485688.0,0.1784027963876724,0.0,351117.0,12454.0,862705.0,73.82213592529297,0.2114038914442062,11.665230671564736,111975.0,2715.0,69877.0,71.42857360839844,0.0465951263904571,11.432979901631674,330652.85714285716,7880.714285714285,806780.5714285715,73.51592908586774,0.12686531671455922,12.264888303620475,303318.125,7235.0,714667.625,73.25500965118408,0.11683154292404647,12.160899753371874,333.74681848626926,38.326540725741,263.35174953959483,-20.78850168620524,1617.957267770511,39.150346874076305,282.87866179972445,-15.610448242502418,3.058184721124735,-0.2833087794923861,0.44039738507627996,0.44039738507627996,49.22846138252584,0.4045855831690905,0.008217696912345121,2.3971171951879606e-05,0.3082019260951478,0.3794142405192086,1.003561796468611,1.09011901989984,1.0858824041811708,133580.50909624022,133580.50909624022,3006.654144203677,3006.654144203677,370820.08847107575,370820.08847107575,6,1.0
2024-10-17 00:00:00+00:00,0,0,0,6369934270,17.1112056573232,0.0635952835252284,1053297,73.4474105834961,11014,440379.0,0.1808067709207534,0.0,485688.0,9865.0,1200457.0,73.61299133300781,0.1784027963876724,11.642534534136454,159033.0,5301.0,392664.0,70.88414764404297,0.0914425700902938,11.455228527386984,370845.14285714284,8696.857142857143,901156.7142857143,73.88210950578961,0.1396316311189106,13.072885036468506,318547.1111111111,7654.888888888889,752293.1111111111,73.27638753255208,0.12393990159034723,12.7109337426998,176.91045254758447,-9.32882838365371,107.77211846821353,11.647237709072478,168.24384206344357,-12.25866482514576,97.72713162175783,1.3474982353175236,3.616130015874619,-0.22493414071800277,0.4176573190813563,0.4176573190813563,39.97993645029505,0.41809535383148927,0.010456679875970524,3.885554670358145e-05,-0.07510811941963945,0.2784166971842434,1.0082662641218285,1.1641767572890964,1.1266075680810892,133043.5324277776,133043.5324277776,3081.676996557412,3081.676996557412,364774.16384368716,364774.16384368716,6,0.9067117161634629
2024-10-18 00:00:00+00:00,0,0,0,6369934270,11.402166962623596,0.0853676866398643,1736954,73.30838775634766,20463,694087.0,0.2857953906059265,0.0,440379.0,11014.0,1053297.0,73.4474105834961,0.1808067709207534,17.1112056573232,207361.0,5700.0,510929.0,73.63445281982422,0.0794363319873809,11.763543049494425,440377.4285714286,10805.857142857143,1076303.142857143,73.83552878243583,0.1691114966358457,13.021259881201246,356101.1,8935.7,850759.2,73.27958755493164,0.14012545049190517,12.580057064692179,234.72398377708438,57.61128482511655,259.0,85.79081169420736,239.95995529711567,64.90638442908316,259.77918850951903,58.066752229754194,-0.4428158979797314,-0.18928213539998184,0.485068780039556,0.485068780039556,33.91746481626271,0.39959987449300644,0.011780961510229108,1.642755236025345e-05,-0.1719578334263404,0.20423033743193508,1.0075865769179917,1.2366640501010209,1.206857826627398,172733.52614774392,172733.52614774392,4984.607463649136,4984.607463649136,463930.4167604352,463930.4167604352,7,1.0
