timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,ratings_like_ratio,platform_platform_share,ccu_playing,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-11-19 00:00:00+00:00,0,1,0,1782832995,0.0,229988,85.80984497070312,0.0724664404988288,4298,0.0,0.0,0.0,0.0,3366.0,173440.0,85.81121826171875,0.084083154797554,0.0,0.0,4233.0,225052.0,85.81918334960938,0.0722233951091766,0.0,0.0,3186.1428571428573,170732.7142857143,85.81235177176339,0.07663563745362414,0.0,0.0,3422.4333333333334,187304.4,85.83391977945963,0.08052984053889907,0.0,0.0,0.0,1.5355539806283902,27.688651218062986,2.1932708885057606,32.60378228782288,0.3365189206140373,-13.815745052257633,-0.010881458599076854,-0.0016003630334604502,0.0,0.0,0.0,0.0,0.01868785028849206,0.0,-0.0008811950683591609,-0.0017284660636378247,0.999748723957246,0.0,0.9516427319461302,0.0,0.0,697.2326814579047,776.1786447115963,37129.634297639386,42291.2840581117,0,0.0
2022-11-20 00:00:00+00:00,0,1,0,1782832995,0.0,226757,85.8068618774414,0.072879709303379,4267,0.0,0.0,0.0,0.0,4298.0,229988.0,85.80984497070312,0.0724664404988288,0.0,0.0,3952.0,217979.0,85.8156967163086,0.0691991373896598,0.0,0.0,3231.1428571428573,171986.7142857143,85.81108965192523,0.07716143344129832,0.0,0.0,3431.266666666667,187540.73333333334,85.83225911458334,0.07958258166909213,0.0,0.0,0.0,7.97064777327936,-0.7212657049790572,4.026993425972236,-1.4048559055255039,5.3188118415319785,0.570289918623601,-0.010295131549642456,-0.0034763997799336366,0.0,0.0,0.0,0.0,0.01881741768757883,0.0,-0.000991548810683939,-0.0017460535577721282,0.9997533623968834,0.0,0.9695769076974525,0.0,0.0,716.365157211464,784.4655520157872,38432.125939366066,42497.67647843234,0,0.0
2022-11-21 00:00:00+00:00,0,0,0,1782832995,0.0,157982,85.80367279052734,0.0758945867419242,3316,0.0,0.0,0.0,0.0,4267.0,226757.0,85.8068618774414,0.072879709303379,0.0,0.0,2655.0,140913.0,85.81425476074219,0.0719856098294258,0.0,0.0,3325.5714285714284,174425.14285714287,85.80957794189453,0.07771985871451237,0.0,0.0,3368.9,183531.53333333333,85.83059895833334,0.07906875734527902,0.0,0.0,0.0,24.89642184557439,-22.287321303023198,12.113147828802173,-30.32982443761383,5.430219903340339,4.136785762955042,-0.012331249912200803,-0.0037165872801891986,0.0,0.0,0.0,0.0,0.020989600146851244,0.0,-0.0013340541294613165,-0.0017841479139151953,0.9997550871519723,0.0,0.9829401817347875,0.0,0.0,691.3572890365477,711.0021751753177,37411.09486758999,39188.93597446012,0,0.0
2022-11-22 00:00:00+00:00,0,0,0,1782832995,0.0,153584,85.80287170410156,0.0807513371109962,3290,0.0,0.0,0.0,0.0,3316.0,157982.0,85.80367279052734,0.0758945867419242,0.0,0.0,2655.0,139787.0,85.81226348876953,0.0750727578997612,0.0,0.0,3416.285714285714,176396.14285714287,85.80823625837054,0.07853108431611737,0.0,0.0,3321.8333333333335,179844.4,85.8289166768392,0.07904323190450664,0.0,0.0,0.0,23.917137476459516,-0.7840772014475306,9.870016525141834,-2.7838614525705463,7.564100973641019,6.399336998285721,-0.01094457165693452,-0.0009336271976856381,0.0,0.0,0.0,0.0,0.021421362763290687,0.0,-0.0016689300537097872,-0.0018061976278962453,0.999759050687468,0.0,0.9935206648811121,0.0,0.0,681.4615514898165,664.9555382254351,36644.70514260579,36445.204841975545,0,0.0
2022-11-23 00:00:00+00:00,0,0,0,1782832995,0.0,163835,85.7990951538086,0.0806213617324829,3546,0.0,0.0,0.0,0.0,3290.0,153584.0,85.80287170410156,0.0807513371109962,0.0,0.0,2658.0,144901.0,85.81196594238281,0.0822236910462379,0.0,0.0,3543.1428571428573,179101.0,85.80639757428851,0.07830218012843808,0.0,0.0,3341.266666666667,179294.03333333333,85.82715021769205,0.07898371641834573,0.0,0.0,0.0,33.40857787810383,7.781155015197561,13.066852540700191,6.674523387852904,-1.9487440825953106,-0.1609575558292664,-0.014998827299750328,-0.004401426453404245,0.0,0.0,0.0,0.0,0.02164359481432652,0.0,-0.00211552211216357,-0.0018387859204444434,0.9997582042121764,0.0,0.9913711797720708,0.0,0.0,644.493923623392,662.622008717917,35335.052943599454,36561.85024415282,0,0.0
2022-11-24 00:00:00+00:00,0,0,1,1782832995,0.0,168197,85.79757690429688,0.0829506516456604,3800,0.0,0.0,0.0,0.0,3546.0,163835.0,85.7990951538086,0.0806213617324829,0.0,0.0,2719.0,148121.0,85.81121826171875,0.0814186707139015,0.0,0.0,3697.5714285714284,181969.0,85.80444880894252,0.07852103454726078,0.0,0.0,3374.733333333333,179069.8,85.82542139689127,0.07894129951794938,0.0,0.0,0.0,39.757263699889656,7.163000564015798,13.553783730868684,2.662434766685995,1.8816088721739899,2.8891721289781014,-0.015896939465731563,-0.0017695402369843904,0.0,0.0,0.0,0.0,0.02259242083734646,0.0,-0.002371924264087895,-0.001875848313989514,0.9997556366446282,0.0,0.9946762344519925,0.0,0.0,619.2399808242404,659.4796764713418,33956.61620401792,36610.172151934064,0,0.0
2022-11-25 00:00:00+00:00,0,0,0,1782832995,0.0,187443,85.79689025878906,0.0836530402302742,4422,0.0,0.0,0.0,0.0,3800.0,168197.0,85.79757690429688,0.0829506516456604,0.0,0.0,3366.0,173440.0,85.81121826171875,0.084083154797554,0.0,0.0,3848.4285714285716,183969.42857142858,85.80240195138114,0.07845958960907796,0.0,0.0,3427.8333333333335,179622.43333333332,85.82365468343099,0.07887038737535472,0.0,0.0,0.0,31.372549019607842,16.36842105263159,8.073685424354249,11.442534646872415,-0.5115347637887568,0.8467547519869889,-0.01669712098246734,-0.0008003087413332999,0.0,0.0,0.0,0.0,0.023591045859029897,0.0,-0.0022147042410661784,-0.001891159719566213,0.9997523674314706,0.0,0.9947914828372566,0.0,0.0,665.0352919698987,677.8984810244791,34087.79947485551,36607.16420432964,0,0.0
2022-11-26 00:00:00+00:00,0,1,0,1782832995,0.0,232338,85.79393768310547,0.0714062973856926,4298,0.0,0.0,0.0,0.0,4422.0,187443.0,85.79689025878906,0.0836530402302742,0.0,0.0,4298.0,229988.0,85.80984497070312,0.0724664404988288,0.0,0.0,3848.4285714285716,184305.14285714287,85.80012948172433,0.07830814059291565,0.0,0.0,3472.3333333333335,181496.8,85.8218276977539,0.07838112066189444,0.0,0.0,0.0,0.0,-2.8041610131162353,1.021792441344771,23.9512811894816,-1.4629435444029282,-14.639925591311009,-0.018537835143606074,-0.0034413551291745392,0.0,0.0,0.0,0.0,0.018498831448874275,0.0,-0.0020583016531751657,-0.0019098300955047345,0.9997471713594123,0.0,0.999068907558829,0.0,0.0,670.6543794745139,690.0413947274205,34923.26148409266,37839.78240753265,0,0.0
2022-11-27 00:00:00+00:00,0,1,0,1782832995,0.0,222258,85.79122161865234,0.0672765374183654,3907,0.0,0.0,0.0,0.0,4298.0,232338.0,85.79393768310547,0.0714062973856926,0.0,0.0,4267.0,226757.0,85.8068618774414,0.072879709303379,0.0,0.0,3797.0,183662.42857142858,85.79789515904018,0.07750768746648513,0.0,0.0,3483.4,182187.6,85.82001546223958,0.07777920489509896,0.0,0.0,0.0,-8.436840871806893,-9.097254536993947,-1.9840622340214442,-4.338506830565814,-7.688246754235917,-5.783467451086,-0.018227282115734766,-0.0031657999696399486,0.0,0.0,0.0,0.0,0.017578590743231995,0.0,-0.0020509447370211735,-0.0019434197991266436,0.9997422477369614,0.0,0.9965091256849434,0.0,0.0,668.5150552724508,694.3932404728426,35321.0590827168,38403.16741122968,0,0.0
2022-11-28 00:00:00+00:00,0,0,0,1782832995,0.0,141239,85.7903060913086,0.0721414983272552,2701,0.0,0.0,0.0,0.0,3907.0,222258.0,85.79122161865234,0.0672765374183654,0.0,0.0,3316.0,157982.0,85.80367279052734,0.0758945867419242,0.0,0.0,3709.1428571428573,181270.57142857142,85.79598563058036,0.07697153197867526,0.0,0.0,3422.5666666666666,178150.16666666666,85.81819229125976,0.07745906561613078,0.0,0.0,0.0,-18.546441495778044,-30.867673406705908,-10.598042815004238,-36.452681118339946,-4.945133211451824,7.231289087660064,-0.015578236669866463,-0.0010671573693388225,0.0,0.0,0.0,0.0,0.01912347776833758,0.0,-0.002038683210096364,-0.001962777584358984,0.9997412359770521,0.0,0.9937059189447027,0.0,0.0,664.066216250675,679.6903799850795,35294.950752096294,35973.70789810147,0,0.0
