timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,sort_sort_position,daily_rpv,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-12-04 00:00:00+00:00,0,0,0,6783518913,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2024-12-05 00:00:00+00:00,0,0,0,6783518913,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2024-12-06 00:00:00+00:00,0,0,0,6783518913,3688.0,17.634320576985676,244.0,0.2836632926885922,92.88468933105467,153556.0,0.0513069778680801,457192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457192.0,3688.0,153556.0,92.88468933105467,0.0513069778680801,17.634320576985676,457192.0,3688.0,153556.0,92.88468933105467,0.0513069778680801,17.634320576985676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.93385741393331,2.9773439178936814,0.024017140215034156,3.8570845522537915e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-12-07 00:00:00+00:00,0,1,0,6783518913,4448.0,18.78650363286336,190.0,0.7109480448328067,93.48419189453124,390874.0,0.0580017566680908,1332134.0,457192.0,3688.0,153556.0,92.88468933105467,0.0513069778680801,17.634320576985676,0.0,0.0,0.0,0.0,0.0,0.0,894663.0,4068.0,272215.0,93.18444061279295,0.05465436726808545,18.21041210492452,894663.0,4068.0,272215.0,93.18444061279295,0.05465436726808545,18.21041210492452,0.0,191.3729899035854,0.0,20.607375271149664,0.0,154.54817786345046,0.0,13.048476207708504,0.0,0.6454266766612538,0.6915200710713646,0.6915200710713646,299.42324117779276,3.408081867604733,0.011379597057882955,1.4102552393611279e-05,0.0,0.0,1.0,1.0,1.0,618677.4213449203,618677.4213449203,537.4011537017761,537.4011537017761,167809.16709762908,167809.16709762908,2,1.0
2024-12-08 00:00:00+00:00,0,1,0,6783518913,4478.0,19.644742409388225,145.0,0.6115095975209388,93.96170806884766,391265.0,0.0659901350736618,1387058.0,1332134.0,4448.0,390874.0,93.48419189453124,0.0580017566680908,18.78650363286336,0.0,0.0,0.0,0.0,0.0,0.0,1058794.6666666667,4204.666666666667,311898.3333333333,93.4435297648112,0.0584329565366109,18.68852220641242,1058794.6666666667,4204.666666666667,311898.3333333333,93.4435297648112,0.0584329565366109,18.68852220641242,0.0,4.123008646277326,0.0,0.6744604316546665,0.0,0.10003223545183015,0.0,13.772649079033418,0.0,0.5107988469913227,0.49275507865442947,0.49275507865442947,309.6802857780755,3.5450511927946717,0.011444899377916814,1.4162874405045658e-05,0.0,0.0,1.0,1.0,1.0,521726.4492522238,521726.4492522238,447.6978147515725,447.6978147515725,137128.62252036712,137128.62252036712,3,1.0
2024-12-09 00:00:00+00:00,0,0,0,6783518913,4028.0,20.179166316986084,123.0,0.3531446812558743,94.10316467285156,250461.0,0.0640218779444694,916007.0,1387058.0,4478.0,391265.0,93.96170806884766,0.0659901350736618,19.644742409388225,0.0,0.0,0.0,0.0,0.0,0.0,1023097.75,4160.5,296539.0,93.60843849182129,0.059830186888575526,19.061183234055836,1023097.75,4160.5,296539.0,93.60843849182129,0.059830186888575526,19.061183234055836,0.0,-33.96044001043936,0.0,-10.049129075480124,0.0,-35.98686312345853,0.0,-2.9826535845021818,0.0,0.15054707594317485,0.4221777333519392,0.4221777333519392,227.35343757756266,3.6572693662112417,0.016082279946658576,2.202946515421927e-05,0.0,0.0,1.0,1.0,1.0,431929.08909246896,431929.08909246896,376.06515392947534,376.06515392947534,116102.58061157241,116102.58061157241,3,0.6603955998956064
2024-12-10 00:00:00+00:00,0,0,0,6783518913,3791.0,20.420748949050903,108.0,0.3385248951365575,94.2477035522461,262031.0,0.0629218891263008,966339.0,916007.0,4028.0,250461.0,94.10316467285156,0.0640218779444694,20.179166316986084,0.0,0.0,0.0,0.0,0.0,0.0,1011746.0,4086.6,289637.4,93.73629150390624,0.060448527336120585,19.33309637705485,1011746.0,4086.6,289637.4,93.73629150390624,0.060448527336120585,19.33309637705485,0.0,5.4947178351257175,0.0,-5.883813306852037,0.0,4.619481675789849,0.0,-1.7181451926834956,0.0,0.15359619402495195,0.3705691066467126,0.3705691066467126,254.8362341772152,3.687866367466569,0.014467698601697502,2.113205388274407e-05,0.0,0.0,1.0,1.0,1.0,374921.8113733849,374921.8113733849,365.2051478279023,365.2051478279023,101725.204995124,101725.204995124,3,0.6966824747054557
2024-12-11 00:00:00+00:00,0,0,0,6783518913,3472.0,21.40414452552795,97.0,0.2753478577527997,94.3750228881836,219850.0,0.0566183738410472,853080.0,966339.0,3791.0,262031.0,94.2477035522461,0.0629218891263008,20.420748949050903,0.0,0.0,0.0,0.0,0.0,0.0,985301.6666666666,3984.1666666666665,278006.1666666667,93.84274673461914,0.05981016842027501,19.678271068467033,985301.6666666666,3984.1666666666665,278006.1666666667,93.84274673461914,0.05981016842027501,19.678271068467033,0.0,-11.720421094460642,0.0,-8.414666314956476,0.0,-16.0977136293034,0.0,-10.01800068748856,0.0,0.13509012011834187,0.3466339706113295,0.3466339706113295,245.63201842787217,3.880264360862584,0.015792514020859582,2.509040117588828e-05,0.0,0.0,1.0,1.0,1.0,341539.0289666273,341539.0289666273,411.8924212299452,411.8924212299452,95342.1596051121,95342.1596051121,3,0.615028354978667
2024-12-12 00:00:00+00:00,0,0,0,6783518913,3512.0,21.433186848958332,88.0,0.2705570218318703,94.4933624267578,233317.0,0.0570815466344356,896738.0,853080.0,3472.0,219850.0,94.3750228881836,0.0566183738410472,21.40414452552795,0.0,0.0,0.0,0.0,0.0,0.0,972649.7142857143,3916.714285714286,271622.0,93.9356918334961,0.059420365308012243,19.928973322822934,972649.7142857143,3916.714285714286,271622.0,93.9356918334961,0.059420365308012243,19.928973322822934,0.0,5.117691189571905,0.0,1.1520737327188835,0.0,6.125540141005237,0.0,0.8180609261027705,0.0,0.1253928581447017,0.3223903084790909,0.3223903084790909,255.26273840022773,3.8434154244421777,0.015052417730307991,2.3901254265687488e-05,0.24620274135044107,0.0,1.0,1.0,1.0,313572.84143067105,313572.84143067105,416.2069654573768,416.2069654573768,88658.94908768847,88658.94908768847,3,0.6465036069147794
2024-12-13 00:00:00+00:00,0,0,0,6783518913,4000.0,20.53427068392436,83.0,0.2635612893320171,94.6447525024414,248047.0,0.0553117208182811,937850.0,896738.0,3512.0,233317.0,94.4933624267578,0.0570815466344356,21.433186848958332,457192.0,3688.0,153556.0,92.88468933105467,0.0513069778680801,17.634320576985676,1041315.1428571428,3961.285714285714,285120.71428571426,94.18712942940849,0.059992471443755246,20.34325190952846,968299.75,3927.125,268675.125,94.02432441711426,0.05890678474679585,20.00463549296061,105.13263574165777,4.584616688486487,8.459869848156188,13.89521640091116,61.535205397379464,6.3132990737923,7.805454767766573,-3.100521833244818,1.894890518623149,0.16021239142691712,0.3000854204101956,0.3000854204101956,234.4038990252437,3.7809214345610527,0.01612591111397794,2.189502456565527e-05,0.1720303126743911,0.0,1.0017315201497432,1.0754057747687562,1.018430588286665,290572.63756183727,290572.63756183727,386.456220954309,386.456220954309,82504.34063635251,82504.34063635251,3,0.6761433191690615
