timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-24 00:00:00+00:00,0,0,0,6371309794,0.0,0.0347656053990521,31971,147.34195127487183,882,0.0144639601930975,92052.0,90.52144622802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92052.0,882.0,31971.0,90.52144622802734,0.0144639601930975,147.34195127487183,92052.0,882.0,31971.0,90.52144622802734,0.0144639601930975,147.34195127487183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.24915062287656,2.8791442512198175,0.027586638308519956,0.0016006208518448267,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-25 00:00:00+00:00,0,0,0,6371309794,0.0,0.0215863544774852,125887,5.043321107563219,974,0.0161292441189289,59665.0,90.4223403930664,92052.0,882.0,31971.0,90.52144622802734,0.0144639601930975,147.34195127487183,0.0,0.0,0.0,0.0,0.0,0.0,75858.5,928.0,78929.0,90.47189331054688,0.015296602156013198,76.19263619121753,75858.5,928.0,78929.0,90.47189331054688,0.015296602156013198,76.19263619121753,0.0,-35.183374614348416,0.0,10.430839002267579,0.0,293.7537143035876,0.0,11.513333164634322,0.0,-0.10948326511629469,0.301891908254035,0.301891908254035,61.194871794871794,0.47395303762074226,0.007737036095577021,8.452587918686052e-05,0.0,0.0,1.0,1.0,1.0,22901.067322288716,22901.067322288716,65.05382386916237,65.05382386916237,66408.6404619158,66408.6404619158,1,0.6481662538565158
2024-09-26 00:00:00+00:00,0,0,0,6371309794,0.0,0.021288156402905,165491,4.963150719801585,1014,0.0163799878209829,61694.0,90.50855255126952,59665.0,974.0,125887.0,90.4223403930664,0.0161292441189289,5.043321107563219,0.0,0.0,0.0,0.0,0.0,0.0,71137.0,956.6666666666666,107783.0,90.48411305745442,0.0156577307110031,52.449474367412215,71137.0,956.6666666666666,107783.0,90.48411305745442,0.0156577307110031,52.449474367412215,0.0,3.4006536495432726,0.0,4.106776180698146,0.0,31.459960122967434,0.0,1.5545905326073584,0.0,0.09534386947775975,0.2550193290880549,0.2550193290880549,60.782266009852215,0.3727914340270225,0.006127184395620332,8.044656325150474e-05,-0.00644683837891712,0.0,1.0,1.0,1.0,18141.310013336963,18141.310013336963,67.6855474479843,67.6855474479843,68576.3349268536,68576.3349268536,1,0.6702081432233955
2024-09-27 00:00:00+00:00,0,0,0,6371309794,0.0,0.0286358414058696,211015,5.4723368105681045,1149,0.016329051926732,88759.0,90.57225036621094,61694.0,1014.0,165491.0,90.50855255126952,0.0163799878209829,4.963150719801585,0.0,0.0,0.0,0.0,0.0,0.0,75542.5,1004.75,133591.0,90.50614738464355,0.015825561014935326,40.70518997820118,75542.5,1004.75,133591.0,90.50614738464355,0.015825561014935326,40.70518997820118,0.0,43.869744221480204,0.0,13.313609467455612,0.0,27.508444567982558,0.0,-0.310964176576789,0.0,0.07037767497755087,0.2281471243042235,0.2281471243042235,77.18173913043478,0.42062687189597,0.005445084732911248,6.165318623893763e-05,0.023862457275383053,0.0,1.0,1.0,1.0,17234.804137751802,17234.804137751802,110.91550838363408,110.91550838363408,76153.48928753473,76153.48928753473,1,0.9642267414070308
2024-09-28 00:00:00+00:00,0,1,0,6371309794,0.0,0.0405318362245769,343827,5.0789976716041565,1458,0.0188368316739797,136307.0,90.47265625,88759.0,1149.0,211015.0,90.57225036621094,0.016329051926732,5.4723368105681045,0.0,0.0,0.0,0.0,0.0,0.0,87695.4,1095.4,175638.2,90.49944915771485,0.016427815146744202,33.57995151688178,87695.4,1095.4,175638.2,90.49944915771485,0.016427815146744202,33.57995151688178,0.0,53.56977883932896,0.0,26.8929503916449,0.0,62.939601450133885,0.0,15.35777924217545,0.0,-0.10996096023698776,0.35354113395692705,0.35354113395692705,93.42494859492804,0.396439498819177,0.004240492339192852,3.726118548877657e-05,0.005233001708980437,0.005233001708980437,1.0,1.0,1.0,31003.9311588063,31003.9311588063,224.3073783895661,224.3073783895661,114844.89795894286,114844.89795894286,2,1.0
2024-09-29 00:00:00+00:00,0,1,0,6371309794,0.0,0.0425108327690214,381945,5.321826954682668,1486,0.0219450779259204,158616.0,90.48572540283205,136307.0,1458.0,343827.0,90.47265625,0.0188368316739797,5.0789976716041565,0.0,0.0,0.0,0.0,0.0,0.0,99515.5,1160.5,210022.66666666666,90.49716186523438,0.017347358943273567,28.870264089848593,99515.5,1160.5,210022.66666666666,90.49716186523438,0.017347358943273567,28.870264089848593,0.0,16.366730982267974,0.0,1.9204389574760006,0.0,11.086389376052486,0.0,16.5008973150951,0.0,0.014445417404274075,0.40286127683159406,0.40286127683159406,106.6684599865501,0.41528383593492274,0.003890602336455939,3.3551428627969683e-05,0.0010297502790243456,0.0010297502790243456,1.0,1.0,1.0,40090.9413945345,40090.9413945345,256.2793397837602,256.2793397837602,132835.34829805908,132835.34829805908,3,1.0
2024-09-30 00:00:00+00:00,0,0,0,6371309794,0.0,0.0211453507982238,211961,5.164541045824687,1246,0.0192093662917614,85403.0,90.43478393554688,158616.0,1486.0,381945.0,90.48572540283205,0.0219450779259204,5.321826954682668,0.0,0.0,0.0,0.0,0.0,0.0,97499.42857142857,1172.7142857142858,210299.57142857142,90.48825073242188,0.01761335999305754,25.483732226416606,97499.42857142857,1172.7142857142858,210299.57142857142,90.48825073242188,0.01761335999305754,25.483732226416606,0.0,-46.15738639229334,0.0,-16.150740242261108,0.0,-44.504837083873326,0.0,-12.46617416166802,0.0,-0.05629779399831669,0.3793306436063597,0.3793306436063597,68.48676824378508,0.4029165605155641,0.005878412168218832,6.047188709925398e-05,-0.006039755684989591,-0.006039755684989591,1.0,1.0,1.0,36984.52099125229,36984.52099125229,236.17134619149877,236.17134619149877,121263.74093253259,121263.74093253259,3,0.5384261360770666
2024-10-01 00:00:00+00:00,0,0,0,6371309794,0.0,0.0203571911414343,216992,5.111829360326131,1403,0.0230150148272514,86436.0,90.3123550415039,85403.0,1246.0,211961.0,90.43478393554688,0.0192093662917614,5.164541045824687,92052.0,882.0,31971.0,90.52144622802734,0.0144639601930975,147.34195127487183,96697.14285714286,1247.142857142857,236731.14285714287,90.45838056291852,0.018834939226508102,5.165143381481507,96116.5,1201.5,211136.125,90.46626377105713,0.018288566847331773,22.937244368155298,-6.100899491591704,1.2095593831598528,59.070294784580504,12.60032102728732,578.7150855462763,2.373549851151857,59.11973290852004,19.81142156221043,-0.23098524740394755,-0.13537810200356937,0.3585617875199561,0.3585617875199561,61.56410256410256,0.3983354301751669,0.006465646357255764,5.913936578463078e-05,-0.02014350891112909,-0.018684478033153172,0.9999128602441396,1.0060410320511344,1.0298750789899123,34463.70405016186,34463.70405016186,233.31891111891096,233.31891111891096,112293.33984503966,112293.33984503966,3,0.5449387199273718
2024-10-02 00:00:00+00:00,0,0,0,6371309794,0.0,0.0215803568654782,240966,5.173978428045909,1536,0.0257556345313787,96570.0,90.27600860595705,86436.0,1403.0,216992.0,90.3123550415039,0.0230150148272514,5.111829360326131,59665.0,974.0,125887.0,90.4223403930664,0.0161292441189289,5.043321107563219,101969.28571428571,1327.4285714285713,253171.0,90.4374760219029,0.02021013785685807,5.183808712979035,96166.88888888889,1238.6666666666667,214450.55555555556,90.44512430826823,0.0191182410344481,20.963548152587588,61.85368306377272,11.724281549354432,57.70020533880904,9.479686386315045,91.4145225479994,11.048333579118118,59.682836600833,11.907964103860635,-0.16183145279502487,-0.04024525274549662,0.33523178297145095,0.33523178297145095,62.83018867924528,0.4007602700784755,0.006374316815165562,5.3576937466174205e-05,-0.044831957135878925,-0.025762812296540958,0.9999154372728897,1.060336742640192,1.0571128285516718,32238.197625039636,32238.197625039636,245.08212909145374,245.08212909145374,105510.37366547318,105510.37366547318,3,0.6088288697231049
2024-10-03 00:00:00+00:00,0,0,0,6371309794,0.0,0.0222866433656452,274209,4.968904713789622,1202,0.0203350521624088,105561.0,90.07785034179688,96570.0,1536.0,240966.0,90.27600860595705,0.0257556345313787,5.173978428045909,61694.0,1014.0,165491.0,90.50855255126952,0.0163799878209829,4.963150719801585,108236.0,1354.2857142857142,268702.14285714284,90.37594713483539,0.020775147048490344,5.184630712120183,97106.3,1235.0,220426.4,90.4083969116211,0.01923992214724417,19.364083808707793,71.10415923752716,9.310344827586214,18.540433925049314,-21.744791666666664,65.69420693572461,13.79572221807226,24.145709903150436,-21.046200055237918,-0.4758690724046999,-0.21950268650567928,0.3144934211738967,0.3144934211738967,87.74812967581047,0.3849640786258707,0.0043835016957806065,4.707096032463976e-05,-0.07320949009486023,-0.03876971620502168,0.9996410756313108,1.1146135729607656,1.0797937169130423,30539.29250453877,30539.29250453877,231.35638693966885,231.35638693966885,101255.1650931667,101255.1650931667,3,0.6655129369042215
