timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,session_session_length,ccu_playing,sort_sort_position,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-08 00:00:00+00:00,1,0,0,8140627455,334857,0.0564683154225349,153336,12.11457702091762,9592,419,0.0367998795259463,96.08360290527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153336.0,9592.0,334857.0,96.08360290527344,0.0564683154225349,12.11457702091762,153336.0,9592.0,334857.0,96.08360290527344,0.0564683154225349,12.11457702091762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.984155113103304,0.4579135036343764,0.028644977871217052,7.900622172676928e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-09 00:00:00+00:00,1,1,0,8140627455,1034558,0.05763940513134,152936,11.887184381484984,7037,407,0.0318106749155539,95.9191665649414,153336.0,9592.0,334857.0,96.08360290527344,0.0564683154225349,12.11457702091762,0.0,0.0,0.0,0.0,0.0,0.0,153136.0,8314.5,684707.5,96.00138473510742,0.05705386027693745,12.000880701201302,153136.0,8314.5,684707.5,96.00138473510742,0.05705386027693745,12.000880701201302,0.0,-0.26086502843428727,0.0,-26.636780650542114,0.0,208.95516593650422,0.0,2.073888161958082,0.0,-0.17113881594775782,0.0018470033987737634,0.0018470033987737634,21.730036942313156,0.1478272384658584,0.006801932030942653,7.772602039718959e-05,0.0,0.0,1.0,1.0,1.0,282.842712474619,282.842712474619,1806.6578259316288,1806.6578259316288,494763.3219030085,494763.3219030085,1,0.9973913497156571
2025-08-10 00:00:00+00:00,1,1,0,8140627455,1545442,0.0743013694882392,169776,9.558043797810871,8971,335,0.0279079510091198,95.66240692138672,152936.0,7037.0,1034558.0,95.9191665649414,0.05763940513134,11.887184381484984,0.0,0.0,0.0,0.0,0.0,0.0,158682.66666666666,8533.333333333334,971619.0,95.88839213053386,0.06280303001403803,11.186601733404492,158682.66666666666,8533.333333333334,971619.0,95.88839213053386,0.06280303001403803,11.186601733404492,0.0,11.01114191557253,0.0,27.483302543697597,0.0,49.38186162593108,0.0,28.907245518812054,0.0,-0.26768335542286525,0.06055601564744865,0.06055601564744865,18.92287115470352,0.10985587951157047,0.005804808071213238,5.629763629826697e-05,-0.21059799194335815,0.0,1.0,1.0,1.0,9609.190045645544,9609.190045645544,1332.5428073173985,1332.5428073173985,607741.720508803,607741.720508803,2,1.0
2025-08-11 00:00:00+00:00,1,0,0,8140627455,1644657,0.0763882994651794,183501,10.554980357487995,9553,291,0.0235375557770652,95.48074340820312,169776.0,8971.0,1545442.0,95.66240692138672,0.0743013694882392,9.558043797810871,0.0,0.0,0.0,0.0,0.0,0.0,164887.25,8788.25,1139878.5,95.78647994995117,0.06619934737682337,11.028696389425367,164887.25,8788.25,1139878.5,95.78647994995117,0.06619934737682337,11.028696389425367,0.0,8.084181509754028,0.0,6.487571062311903,0.0,6.419846231692938,0.0,2.8087368931612122,0.0,-0.18990062975613453,0.08903935568390783,0.08903935568390783,19.206719698555577,0.11157395640917443,0.00580850243637279,5.7519702005907265e-05,-0.20653381347657307,0.0,1.0,1.0,1.0,14681.454500491433,14681.454500491433,1201.5449429796622,1201.5449429796622,599565.1506931225,599565.1506931225,3,1.0
2025-08-12 00:00:00+00:00,1,0,0,8140627455,1224590,0.0715714916586875,200040,9.436027526855469,13824,252,0.0217545873559066,95.415283203125,183501.0,9553.0,1644657.0,95.48074340820312,0.0763882994651794,10.554980357487995,0.0,0.0,0.0,0.0,0.0,0.0,171917.8,9795.4,1156820.8,95.71224060058594,0.0672737762331962,10.710162616911386,171917.8,9795.4,1156820.8,95.71224060058594,0.0672737762331962,10.710162616911386,0.0,9.013029901744396,0.0,44.70846854391291,0.0,-25.541313477521456,0.0,-6.305687965586381,0.0,-0.0685585414833545,0.11760767351978535,0.11760767351978535,14.469439421338155,0.1633524989159646,0.011288666991673139,4.717046768840122e-05,-0.17750625610351425,-0.17750625610351425,1.0,1.0,1.0,20218.852494639752,20218.852494639752,2480.834194378979,2480.834194378979,520618.84819001704,520618.84819001704,4,1.0
2025-08-13 00:00:00+00:00,1,0,0,8140627455,1962787,0.1048851609230041,217739,9.914643665154776,15028,220,0.0203090521156877,95.28018951416016,200040.0,13824.0,1224590.0,95.415283203125,0.0715714916586875,9.436027526855469,0.0,0.0,0.0,0.0,0.0,0.0,179554.66666666666,10667.5,1291148.5,95.64023208618164,0.07354234034816419,10.577576124951952,179554.66666666666,10667.5,1291148.5,95.64023208618164,0.07354234034816419,10.577576124951952,0.0,8.847730453909207,0.0,8.709490740740744,0.0,60.281155325455856,0.0,46.546003851902285,0.0,-0.1415849583313089,0.1449067624917081,0.1449067624917081,14.487923348193492,0.11093352924513498,0.007656456020721545,4.553432380432982e-05,-0.1631537301199773,-0.1631537301199773,1.0,1.0,1.0,26018.685436944485,26018.685436944485,3080.0943329709885,3080.0943329709885,570174.3364939359,570174.3364939359,5,1.0
2025-08-14 00:00:00+00:00,1,0,0,8140627455,2626184,0.1433660835027694,227062,10.090697745482126,19277,198,0.0175241062596719,95.06879425048828,217739.0,15028.0,1962787.0,95.28018951416016,0.1048851609230041,9.914643665154776,0.0,0.0,0.0,0.0,0.0,0.0,186341.42857142858,11897.42857142857,1481867.857142857,95.55859810965401,0.08351716079882207,10.508022070741976,186341.42857142858,11897.42857142857,1481867.857142857,95.55859810965401,0.08351716079882207,10.508022070741976,0.0,4.281731798162025,0.0,28.273888741016773,0.0,33.798725995230264,0.0,36.688624244962575,0.0,-0.22186696389857596,0.15978856468818184,0.15978856468818184,11.7782965037867,0.08646077865801534,0.007340305424027629,4.444007938537818e-05,-0.16319656372069752,-0.16319656372069752,1.0,1.0,1.0,29775.22941337393,29775.22941337393,4300.568290243467,4300.568290243467,724936.3815672445,724936.3815672445,6,1.0
2025-08-15 00:00:00+00:00,1,0,0,8140627455,2974275,0.1234545409679412,248176,9.256275594234468,17652,171,0.015632809374312,94.80181121826172,227062.0,19277.0,2626184.0,95.06879425048828,0.1433660835027694,10.090697745482126,153336.0,9592.0,334857.0,96.08360290527344,0.0564683154225349,12.11457702091762,199890.0,13048.857142857143,1858927.5714285714,95.37548501150948,0.09308662159102296,10.099693295501526,194070.75,12616.75,1668418.75,95.46399974822998,0.08850933331996196,10.351553761178538,61.851098241769705,9.298781830513247,84.02835696413678,-8.429734917258912,788.2224352484792,13.25463105403124,118.62621550540182,-13.888600461380085,-1.3340379089191834,-0.28083140670019935,0.18129014384398415,0.18129014384398415,14.058573613550104,0.08344081046950586,0.0059348897008885525,3.729707263055992e-05,-0.16928018842424658,-0.17186328342982177,0.9990727945932085,1.0299851986968669,1.0517153174627818,35183.11418340989,35183.11418340989,4471.257916643018,4471.257916643018,853736.8061280027,853736.8061280027,7,1.0
2025-08-16 00:00:00+00:00,1,1,0,8140627455,2949803,0.1150130107998848,419228,11.683438857396444,22452,159,0.0221488397040089,94.56511688232422,248176.0,17652.0,2974275.0,94.80181121826172,0.1234545409679412,9.256275594234468,152936.0,7037.0,1034558.0,95.9191665649414,0.05763940513134,11.887184381484984,237931.7142857143,15251.0,2132534.0,95.18204934256417,0.10128285097224365,10.070586792060308,219088.22222222222,13709.555555555555,1810794.7777777778,95.36412387424045,0.09145418637328671,10.499540994091639,174.1198932886959,68.92366707497905,219.05641608640045,27.19238613188306,185.12688510455675,-0.8227887468374662,99.53885807428176,-6.8377640076022095,-1.4116570557360264,-0.24967279938624687,0.37405532192769375,0.37405532192769375,18.671357947713002,0.14212062903162379,0.007611353161091381,2.786887084957492e-05,-0.1784365517752504,-0.18022982279459673,0.9980907439372443,1.0860086949100305,1.1074709096294344,81951.11549389944,81951.11549389944,5314.239811843062,5314.239811843062,905647.0708517996,905647.0708517996,8,1.0
2025-08-17 00:00:00+00:00,1,1,0,8140627455,2499552,0.1345105469226837,495266,13.527178565661112,19813,142,0.0228967474684798,94.49620819091795,419228.0,22452.0,2949803.0,94.56511688232422,0.1150130107998848,11.683438857396444,169776.0,8971.0,1545442.0,95.66240692138672,0.0743013694882392,9.558043797810871,284430.28571428574,16799.85714285714,2268835.4285714286,95.01544952392578,0.10988416203430715,10.63760604461034,246706.0,14319.9,1879670.5,95.2773323059082,0.09575982242822642,10.802304751248586,191.71732164734706,18.137624395317097,120.85609185152157,-11.753964012114738,61.73703057118934,-15.263765071769198,81.03373847500173,16.952461279987997,-1.2190773450088122,-0.07286903847643078,0.4726555167020154,0.4726555167020154,24.99576057333199,0.19814182775880326,0.007926617279169516,2.7312901052686957e-05,-0.18329702104841275,-0.17841709021365745,0.9972513631978949,1.1529119101857503,1.1474975542761388,116606.95190348741,116606.95190348741,5369.212531750919,5369.212531750919,881193.6850776464,881193.6850776464,9,1.0
