timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,ccu_playing,sort_sort_position,daily_rpv,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-09 00:00:00+00:00,0,0,0,8514476218,0.0,0.0,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-09-10 00:00:00+00:00,0,0,0,8514476218,14.852374803452264,8780.0,431,0.015888344233643,90.87167358398438,1187914.0,178054.0,0.0852307081222534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178054.0,8780.0,1187914.0,90.87167358398438,0.0852307081222534,14.852374803452264,178054.0,8780.0,1187914.0,90.87167358398438,0.0852307081222534,14.852374803452264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.277189386174694,0.14988782867461056,0.007391101215154283,8.341453373088239e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-11 00:00:00+00:00,0,0,0,8514476218,43.82267625708329,6513.0,359,0.0169303190760807,90.2415542602539,1168364.0,212100.0,0.0640260353684425,178054.0,8780.0,1187914.0,90.87167358398438,0.0852307081222534,14.852374803452264,0.0,0.0,0.0,0.0,0.0,0.0,195077.0,7646.5,1178139.0,90.55661392211914,0.07462837174534795,29.337525530267776,195077.0,7646.5,1178139.0,90.55661392211914,0.07462837174534795,29.337525530267776,0.0,19.12116548912128,0.0,-25.82004555808656,0.0,-1.6457420318305882,0.0,-24.87914652004921,0.0,-0.6934166598660751,0.12340848727567677,0.12340848727567677,32.560638624501074,0.1815357358359759,0.005574456612445597,0.00020661230384148724,0.0,0.0,1.0,1.0,1.0,24074.1574722772,24074.1574722772,1603.0110729499033,1603.0110729499033,13823.937572197005,13823.937572197005,2,1.0
2025-09-12 00:00:00+00:00,0,0,0,8514476218,93.89351118178595,6996.0,310,0.0184202792810462,89.88378143310547,1073362.0,252275.0,0.0533507913351058,212100.0,6513.0,1168364.0,90.2415542602539,0.0640260353684425,43.82267625708329,0.0,0.0,0.0,0.0,0.0,0.0,214143.0,7429.666666666667,1143213.3333333333,90.33233642578125,0.06753584494193389,50.85618741410716,214143.0,7429.666666666667,1143213.3333333333,90.33233642578125,0.06753584494193389,50.85618741410716,0.0,18.941537010843934,0.0,7.415937356057123,0.0,-8.131198838718067,0.0,-16.67328606543451,0.0,-0.3964612866890871,0.17349459297761402,0.17349459297761402,36.05473774474775,0.23503232364074408,0.006517832271095612,0.0003721856664200556,0.0,0.0,1.0,1.0,1.0,37152.6526240052,37152.6526240052,1194.0989629563094,1194.0989629563094,61277.70558150272,61277.70558150272,3,1.0
2025-09-13 00:00:00+00:00,0,1,0,8514476218,27.605645298957825,5201.0,281,0.0196043184925237,89.66647338867188,1302143.0,290771.0,0.0352590158581733,252275.0,6996.0,1073362.0,89.88378143310547,0.0533507913351058,93.89351118178595,0.0,0.0,0.0,0.0,0.0,0.0,233300.0,6872.5,1182945.75,90.1658706665039,0.05946663767099375,45.04355188531983,233300.0,6872.5,1182945.75,90.1658706665039,0.05946663767099375,45.04355188531983,0.0,15.259538202358547,0.0,-25.65751858204688,0.0,21.314430732595333,0.0,-33.91097868313675,0.0,-0.24176557880503102,0.20946834199122882,0.20946834199122882,55.89600153787005,0.22330172392607883,0.003994181903076772,9.493914578761994e-05,0.0,0.0,1.0,1.0,1.0,48868.96418655368,48868.96418655368,1480.6486191305935,1480.6486191305935,93904.01768605715,93904.01768605715,4,1.0
2025-09-14 00:00:00+00:00,0,1,0,8514476218,23.60564359029134,4129.0,258,0.01969377805213,89.55888366699219,1018128.0,316508.0,0.0370277240872383,290771.0,5201.0,1302143.0,89.66647338867188,0.0352590158581733,27.605645298957825,0.0,0.0,0.0,0.0,0.0,0.0,249941.6,6323.8,1149982.2,90.04447326660156,0.054978854954242665,40.75597022631413,249941.6,6323.8,1149982.2,90.04447326660156,0.054978854954242665,40.75597022631413,0.0,8.8512953492611,0.0,-20.611420880599884,0.0,-21.811352516582282,0.0,5.016328975770312,0.0,-0.11998879582709732,0.22547124955950287,0.22547124955950287,76.6363196125908,0.31087219792383874,0.004055478235076302,7.458127127598691e-05,0.0,0.0,1.0,1.0,1.0,56354.64486890144,56354.64486890144,1774.7108778615182,1774.7108778615182,109756.32804626801,109756.32804626801,5,1.0
2025-09-15 00:00:00+00:00,0,0,0,8514476218,64.21269740229067,4203.0,239,0.0198834306489821,89.47225189208984,621981.0,336216.0,0.0370062999427318,316508.0,4129.0,1018128.0,89.55888366699219,0.0370277240872383,23.60564359029134,0.0,0.0,0.0,0.0,0.0,0.0,264320.6666666667,5970.333333333333,1061982.0,89.94910303751628,0.05198342911899085,44.665424755643556,264320.6666666667,5970.333333333333,1061982.0,89.94910303751628,0.05198342911899085,44.665424755643556,0.0,6.226698851213874,0.0,1.792201501574242,0.0,-38.90935127999623,0.0,-0.057859738978338626,0.0,-0.09673163772838667,0.23264031407852426,0.23264031407852426,79.97526165556613,0.5405558360209781,0.0067574302793328425,0.00019098587341595064,0.0,0.0,1.0,1.0,1.0,61491.64291077825,61491.64291077825,1808.123631466241,1808.123631466241,236857.282846021,236857.282846021,6,1.0
2025-09-16 00:00:00+00:00,0,0,0,8514476218,34.366119509157926,3677.0,239,0.0202238447797942,89.33038330078125,552548.0,353421.0,0.0275033041834831,336216.0,4203.0,621981.0,89.47225189208984,0.0370062999427318,64.21269740229067,0.0,0.0,0.0,0.0,0.0,0.0,277049.28571428574,5642.714285714285,989205.7142857143,89.86071450369698,0.04848626841391831,43.19409543471704,277049.28571428574,5642.714285714285,989205.7142857143,89.86071450369698,0.04848626841391831,43.19409543471704,0.0,5.1172460561067945,0.0,-12.514870330716155,0.0,-11.163202734488674,0.0,-25.679399923674705,0.0,-0.15856155211081413,0.23627926297208107,0.23627926297208107,96.0905383360522,0.6396192916827286,0.006654613436998347,9.723820109998225e-05,-0.2316919054303803,0.0,1.0,1.0,1.0,65461.00103551294,65461.00103551294,1864.3405191725496,1864.3405191725496,289526.955626308,289526.955626308,7,1.0
2025-09-17 00:00:00+00:00,0,0,0,8514476218,26.427312289967254,3825.0,248,0.0188528736143871,89.30899047851562,621243.0,339224.0,0.0449945032596588,353421.0,3677.0,552548.0,89.33038330078125,0.0275033041834831,34.366119509157926,178054.0,8780.0,1187914.0,90.87167358398438,0.0852307081222534,14.852374803452264,300073.5714285714,4934.857142857143,908252.7142857143,89.6374740600586,0.04273823914783337,44.847657932790604,284821.125,5415.5,943210.375,89.79174900054932,0.048049797769635874,41.098247541623316,90.5174834600739,-4.0170221916637665,-56.43507972665148,4.025020397062828,-47.703032374397466,12.432404062633463,-47.20857745881979,63.596718995966704,-1.7196592115413245,-0.023947979931526753,0.2263474297631862,0.2263474297631862,88.66283324621014,0.5460398812704831,0.006157001113894058,7.7904966585503e-05,-0.14638246808732394,0.0,0.9982818583866789,1.053550966167174,0.8894572117188172,64468.52958600918,64468.52958600918,1841.8029986169222,1841.8029986169222,297951.8507174979,297951.8507174979,7,0.9598297780833623
2025-09-18 00:00:00+00:00,0,0,0,8514476218,30.660637855529785,2786.0,265,0.0168998197617128,89.29479217529297,413905.0,316508.0,0.0325946137309074,339224.0,3825.0,621243.0,89.30899047851562,0.0449945032596588,26.427312289967254,212100.0,6513.0,1168364.0,90.2415542602539,0.0640260353684425,43.82267625708329,314989.0,4402.428571428572,800472.8571428572,89.5022223336356,0.038248036056756925,42.96736673256868,288341.8888888889,5123.333333333333,884398.6666666666,89.73653157552083,0.046332555098666045,39.938513132057366,49.22583686940123,-6.696460156121031,-57.22401351143866,-27.16339869281046,-64.57396838656446,-33.374702008714785,-49.09162570610641,-27.558676350293,-1.049142041847484,-0.015897955118049367,0.21232705799646803,0.21232705799646803,113.56584140653032,0.7646857015844177,0.0067309968930143555,9.687129862193424e-05,-0.09680121285574857,0.0,0.9973889202338064,1.0924149842181947,0.8255110467209722,61222.78496492225,61222.78496492225,1932.9926926918272,1932.9926926918272,329860.19085591397,329860.19085591397,7,0.895555159427425
