timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-03-13 00:00:00+00:00,0,0,0,6682487255,22.233723640441895,0.6775790161104382,419,13753,94.3620147705078,2412,0.0349461510777473,238736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238736.0,2412.0,13753.0,94.3620147705078,0.0349461510777473,22.233723640441895,238736.0,2412.0,13753.0,94.3620147705078,0.0349461510777473,22.233723640441895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.93742229589722,17.357568707285154,0.17536716591537008,9.313061503010382e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-03-14 00:00:00+00:00,0,0,0,6682487255,19.17265017827352,1.1075261419019389,413,251983,93.5118408203125,3461,0.0416831523180007,525036.0,238736.0,2412.0,13753.0,94.3620147705078,0.0349461510777473,22.233723640441895,0.0,0.0,0.0,0.0,0.0,0.0,381886.0,2936.5,132868.0,93.93692779541016,0.038314651697874,20.703186909357708,381886.0,2936.5,132868.0,93.93692779541016,0.038314651697874,20.703186909357708,0.0,119.92326251591719,0.0,43.490878938640144,0.0,1732.2038827892097,0.0,19.27823532057964,0.0,-0.9009705359332987,0.5301180756919828,0.5301180756919828,151.6568457538995,2.0836084830782906,0.013734999047558575,3.6516760110760806e-05,0.0,0.0,1.0,1.0,1.0,202444.67145370855,202444.67145370855,741.7550134646883,741.7550134646883,168454.04848207123,168454.04848207123,2,1.0
2025-03-15 00:00:00+00:00,0,1,0,6682487255,20.1465003490448,1.2321506701452278,249,465773,96.89532470703124,7804,0.0881241708993911,1017440.0,525036.0,3461.0,251983.0,93.5118408203125,0.0416831523180007,19.17265017827352,0.0,0.0,0.0,0.0,0.0,0.0,593737.3333333334,4559.0,243836.33333333334,94.92306009928386,0.05491782476504637,20.51762472258674,593737.3333333334,4559.0,243836.33333333334,94.92306009928386,0.05491782476504637,20.51762472258674,0.0,93.7848071370344,0.0,125.48396417220458,0.0,84.8430251247108,0.0,111.4143628751778,0.0,3.6182411307892792,0.6633769483744758,0.6633769483744758,130.35746316463806,2.1844070300188503,0.016754906886172264,1.980114851774678e-05,1.2666549682617148,0.0,1.0,1.0,1.0,393871.66032266564,393871.66032266564,2858.77928493964,2858.77928493964,226120.09250248712,226120.09250248712,3,1.0
2025-03-16 00:00:00+00:00,0,1,0,6682487255,23.75090742111206,0.9680029138424414,174,502206,97.9708023071289,6318,0.0836248844861984,1286884.0,1017440.0,7804.0,465773.0,96.89532470703124,0.0881241708993911,20.1465003490448,0.0,0.0,0.0,0.0,0.0,0.0,767024.0,4998.75,308428.75,95.68499565124512,0.06209458969533438,21.32594539721807,767024.0,4998.75,308428.75,95.68499565124512,0.06209458969533438,21.32594539721807,0.0,26.482544425224084,0.0,-19.0415171706817,0.0,7.822050655576862,0.0,-5.105621269707505,0.0,1.1099375572035441,0.6164035155110236,0.6164035155110236,203.65310966925148,2.5624573134185704,0.012580469806275101,1.8456122669167844e-05,1.4209846496581942,0.0,1.0,1.0,1.0,472796.2900813274,472796.2900813274,2494.3802670536556,2494.3802670536556,225334.38556713145,225334.38556713145,4,1.0
2025-03-17 00:00:00+00:00,0,0,0,6682487255,23.092657645543415,0.5779618391106772,157,412589,98.05614471435548,6061,0.085904024541378,1031679.0,1286884.0,6318.0,502206.0,97.9708023071289,0.0836248844861984,23.75090742111206,0.0,0.0,0.0,0.0,0.0,0.0,819955.0,5211.2,329260.8,96.15922546386719,0.06685647666454311,21.67928784688314,819955.0,5211.2,329260.8,96.15922546386719,0.06685647666454311,21.67928784688314,0.0,-19.8312357601773,0.0,-4.067742956631848,0.0,-17.844669318964723,0.0,2.725432829214558,0.0,0.0871100421930171,0.5198050284738619,0.5198050284738619,170.18789178488947,2.500494437577256,0.01469012821445018,2.2383546880373193e-05,1.184722137451172,1.184722137451172,1.0,1.0,1.0,426216.7321222854,426216.7321222854,2211.8147978526595,2211.8147978526595,200627.91561794185,200627.91561794185,4,0.801687642398227
2025-03-18 00:00:00+00:00,0,0,0,6682487255,22.405691840431903,0.4743487202560791,80,424432,98.04949188232422,6257,0.0912975743412971,1047765.0,1031679.0,6061.0,412589.0,98.05614471435548,0.085904024541378,23.092657645543415,0.0,0.0,0.0,0.0,0.0,0.0,857923.3333333334,5385.5,345122.6666666667,96.47426986694336,0.0709299929440021,21.800355179141263,857923.3333333334,5385.5,345122.6666666667,96.47426986694336,0.0709299929440021,21.800355179141263,0.0,1.5592059157935712,0.0,3.2337898036627566,0.0,2.8704109901136476,0.0,6.278576386512769,0.0,-0.006784717113494931,0.45738407376249657,0.45738407376249657,167.428092042186,2.4686228450662413,0.014742020530920075,2.1384251674927325e-05,0.9470221383231123,0.9470221383231123,1.0,1.0,1.0,392400.4691759003,392400.4691759003,2023.8534284873497,2023.8534284873497,183605.1233083289,183605.1233083289,4,0.8141876035446862
2025-03-19 00:00:00+00:00,0,0,0,6682487255,22.341412941614788,0.4088722526711654,77,442125,98.05621337890624,7491,0.1115505099296569,1072084.0,1047765.0,6257.0,424432.0,98.04949188232422,0.0912975743412971,22.405691840431903,0.0,0.0,0.0,0.0,0.0,0.0,888517.7142857143,5686.285714285715,358980.14285714284,96.70026179722377,0.07673292394195277,21.877649145208913,888517.7142857143,5686.285714285715,358980.14285714284,96.70026179722377,0.07673292394195277,21.877649145208913,0.0,2.3210357284314753,0.0,19.72191145916573,0.0,4.1686300750179095,0.0,22.183432292131222,0.0,0.006855207969946875,0.4133206577429771,0.4133206577429771,143.09717031500267,2.4248381683049627,0.016943133857769053,2.0839217917996045e-05,0.7613827841622554,0.7613827841622554,1.0,1.0,1.0,367242.72608485806,367242.72608485806,2011.6220415612966,2011.6220415612966,171570.90452291007,171570.90452291007,4,0.8330851887194184
2025-03-20 00:00:00+00:00,0,0,0,6682487255,21.71155532201131,0.4039333224447702,63,533665,98.13006591796876,7838,0.1122469678521156,1261372.0,1072084.0,7491.0,442125.0,98.05621337890624,0.1115505099296569,22.341412941614788,238736.0,2412.0,13753.0,94.3620147705078,0.0349461510777473,22.233723640441895,1034608.5714285715,6461.428571428572,433253.28571428574,97.23855481828961,0.08777589776686254,21.8030536711474,935124.5,5955.25,380815.75,96.8789873123169,0.08117217943072313,21.85688741730921,428.3543328195162,17.656079187824837,224.95854063018243,4.63222533707115,3780.3533774449215,20.704551880124388,221.19980138124916,0.6243431095903418,3.9931864072900725,0.07531653172976327,0.3899603806859434,0.3899603806859434,160.9098099247353,2.363598205619245,0.014687088928280984,1.721263680292135e-05,0.5805407932826446,0.6267388661702534,1.0037115118143582,1.1063859105697385,1.0813544539822955,364661.5060087525,364661.5060087525,2011.7824186526732,2011.7824186526732,170427.9911087294,170427.9911087294,4,0.9801753693417589
2025-03-21 00:00:00+00:00,0,0,0,6682487255,21.55052375793457,0.3823344837034359,60,601054,98.1520004272461,10236,0.1210531890392303,1407299.0,1261372.0,7838.0,533665.0,98.13006591796876,0.1122469678521156,21.71155532201131,525036.0,3461.0,251983.0,93.5118408203125,0.0416831523180007,19.17265017827352,1160646.142857143,7429.285714285715,483120.5714285714,97.90143476213727,0.09911447444132392,22.142749896813264,987588.3333333334,6430.888888888889,405286.6666666667,97.02043321397569,0.08560340272055728,21.822847010712028,168.0385725931174,11.568910678213884,195.75267263796593,30.59453942332229,138.5295833449082,12.627584720751784,190.41275025390524,7.845397836239831,4.962109147065008,0.022352486031818053,0.3803911518785667,0.3803911518785667,137.4718179154049,2.341381404363993,0.017030055485770853,1.531338290196445e-05,0.146022251674116,0.5235847473144537,1.0090805773482638,1.1752327398802904,1.157833348808248,375669.86369850056,375669.86369850056,2361.6627852238157,2361.6627852238157,175511.87850612844,175511.87850612844,5,1.0
2025-03-22 00:00:00+00:00,0,1,0,6682487255,22.433072725931805,0.4487694848038611,52,809870,98.2179183959961,11826,0.1329419463872909,1971579.0,1407299.0,10236.0,601054.0,98.1520004272461,0.1210531890392303,21.55052375793457,1017440.0,7804.0,465773.0,96.89532470703124,0.0881241708993911,20.1465003490448,1296951.7142857143,8003.857142857143,532277.2857142857,98.09037671770368,0.10551701379673818,22.469403093511406,1085987.4,6970.4,445745.0,97.14018173217774,0.09033725708723064,21.883869582234006,93.77840462336846,40.09666744593721,51.53767298821117,15.533411488862846,73.87654501226993,34.741637190668385,50.85752867855857,9.821102147261684,1.3649716257866817,0.06715906804044547,0.43412656223772245,0.43412656223772245,166.70153039655025,2.434435854599066,0.01460232555555144,1.1378220881694786e-05,0.03620120457240286,0.4461062807025336,1.0097816883660533,1.1942603701347865,1.1680342883872354,471455.9765954823,471455.9765954823,2805.076952796681,2805.076952796681,209166.13870424734,209166.13870424734,6,1.0
