timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,ccu_playing,platform_platform_share,session_session_length,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-01-05 00:00:00+00:00,0,1,0,6726637224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-06 00:00:00+00:00,0,0,0,6726637224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-07 00:00:00+00:00,0,0,0,6726637224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-08 00:00:00+00:00,0,0,0,6726637224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-17 00:00:00+00:00,0,0,0,6726637224,70670.0,84.46749877929688,164854.0,1316.0,0.0162602979689836,15.038883256912232,0.0604457867927464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164854.0,1316.0,70670.0,84.46749877929688,0.0162602979689836,15.038883256912232,164854.0,1316.0,70670.0,84.46749877929688,0.0162602979689836,15.038883256912232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.17388003037206,2.3326965799267025,0.018621499625022995,9.122491436057282e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-01-18 00:00:00+00:00,0,1,0,6726637224,120103.0,84.617431640625,598172.0,1450.0,0.0160644818097352,15.067918062210085,0.2116892883621079,0.0,164854.0,1316.0,70670.0,84.46749877929688,0.0162602979689836,15.038883256912232,0.0,0.0,0.0,0.0,0.0,0.0,381513.0,1383.0,95386.5,84.54246520996094,0.0161623898893594,15.05340065956116,381513.0,1383.0,95386.5,84.54246520996094,0.0161623898893594,15.05340065956116,0.0,262.8495517245563,0.0,10.182370820668684,0.0,69.94905900665063,0.0,-1.2042593538071578,0.0,0.17750361203412446,0.8031236057754059,0.8031236057754059,412.24810475534116,4.980450276427097,0.012072870179178045,2.5189900015898552e-05,0.0,0.0,1.0,1.0,1.0,306402.0962101924,306402.0962101924,94.75230867899737,94.75230867899737,34954.4095143946,34954.4095143946,2,1.0
2025-01-19 00:00:00+00:00,0,1,0,6726637224,121185.0,84.87480926513672,654459.0,1532.0,0.0187162235379219,16.18519155184428,0.2220247700299508,0.0,598172.0,1450.0,120103.0,84.617431640625,0.0160644818097352,15.067918062210085,0.0,0.0,0.0,0.0,0.0,0.0,472495.0,1432.6666666666667,103986.0,84.6532465616862,0.017013667772213567,15.430664290322198,472495.0,1432.6666666666667,103986.0,84.6532465616862,0.017013667772213567,15.430664290322198,0.0,9.409835298208534,0.0,5.655172413793097,0.0,0.9008933998318147,0.0,16.50686128313035,0.0,0.30416619781703513,0.5670054735265408,0.5670054735265408,426.91389432485323,5.400450547092898,0.012641724291584836,2.4730604699820126e-05,0.0,0.0,1.0,1.0,1.0,267907.2512139229,267907.2512139229,109.03821959906227,109.03821959906227,28857.57392782699,28857.57392782699,3,1.0
2025-01-20 00:00:00+00:00,0,0,1,6726637224,97261.0,84.89253234863281,576683.0,1519.0,0.0191489774733781,17.532981594403584,0.1885186525336601,0.0,654459.0,1532.0,121185.0,84.87480926513672,0.0187162235379219,16.18519155184428,0.0,0.0,0.0,0.0,0.0,0.0,498542.0,1454.25,102304.75,84.71306800842285,0.0175474951975047,15.956243616342544,498542.0,1454.25,102304.75,84.71306800842285,0.0175474951975047,15.956243616342544,0.0,-11.884014124643405,0.0,-0.8485639686684032,0.0,-19.741717209225563,0.0,2.312186187450571,0.0,0.020881441324638317,0.45104099644740026,0.45104099644740026,379.3967105263158,5.929170693590508,0.015617610166354795,3.040310047513644e-05,0.0,0.0,1.0,1.0,1.0,224862.8804508798,224862.8804508798,98.94232326630161,98.94232326630161,23800.8288703706,23800.8288703706,3,0.881159858753566
2025-01-21 00:00:00+00:00,0,0,0,6726637224,77013.0,84.85992431640625,479002.0,1261.0,0.0182535499334335,18.772619525591537,0.1522055896642014,385.0,576683.0,1519.0,97261.0,84.89253234863281,0.0191489774733781,17.532981594403584,0.0,0.0,0.0,0.0,0.0,0.0,494634.0,1415.6,97246.4,84.74243927001953,0.01768870614469046,16.519518798192344,494634.0,1415.6,97246.4,84.74243927001953,0.01768870614469046,16.519518798192344,0.0,-16.93842197533133,0.0,-16.984858459512843,0.0,-20.818210793637736,0.0,-4.676111511382109,0.0,-0.03841095479711898,0.3940952977901828,0.3940952977901828,379.5578446909667,6.219674344924299,0.016373646350014284,3.9191027040731556e-05,0.0,0.0,1.0,1.0,1.0,194932.9335271493,194932.9335271493,121.70168445835083,121.70168445835083,23511.57406044946,23511.57406044946,3,0.7319052836006533
2025-01-22 00:00:00+00:00,0,0,0,6726637224,77317.0,84.97618865966797,459790.0,1266.0,0.017486497759819,17.4955548842748,0.1425796103413526,372.0,479002.0,1261.0,77013.0,84.85992431640625,0.0182535499334335,18.772619525591537,0.0,0.0,0.0,0.0,0.0,0.0,488826.6666666667,1390.6666666666667,93924.83333333333,84.78139750162761,0.017655004747211885,16.682191479206086,488826.6666666667,1390.6666666666667,93924.83333333333,84.78139750162761,0.017655004747211885,16.682191479206086,0.0,-4.010839203176609,0.0,0.3965107057890549,0.0,0.3947385506342993,0.0,-4.202208208330793,0.0,0.13700736148223314,0.357862315853506,0.357862315853506,362.8966061562747,5.946739439716495,0.01637393621149021,3.805110340192566e-05,0.0,0.0,1.0,1.0,1.0,174932.64298428316,174932.64298428316,124.81613143607142,124.81613143607142,22548.439470763085,22548.439470763085,3,0.7025497395558774
