timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,visits_visits_gained,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-11-02 00:00:00+00:00,0,0,0,3746418487,593,0.0118770413100719,89.78230285644531,12456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,12456.0,89.78230285644531,0.0118770413100719,0.0,0.0,593.0,12456.0,89.78230285644531,0.0118770413100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047603756923817936,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-11-03 00:00:00+00:00,0,0,0,3746418487,525,0.0096945716068148,89.73799133300781,27997,0.0,0.0,0.0,0.0,0.0,593.0,12456.0,89.78230285644531,0.0118770413100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,20226.5,89.76014709472656,0.010785806458443351,0.0,0.0,559.0,20226.5,89.76014709472656,0.010785806458443351,0.0,0.0,0.0,0.0,-11.467116357504214,0.0,124.76718047527298,0.0,-18.37553348750529,0.0,-0.049354407302681924,0.0,0.0,0.0,0.0,0.018751339381384385,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.08326112068523,48.08326112068523,10989.146486420135,10989.146486420135,0,0.0
2023-11-04 00:00:00+00:00,0,1,0,3746418487,794,0.0113903023302555,89.69341278076172,36708,0.0,0.0,0.0,0.0,0.0,525.0,27997.0,89.73799133300781,0.0096945716068148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.3333333333334,25720.333333333332,89.73790232340495,0.010987305082380735,0.0,0.0,637.3333333333334,25720.333333333332,89.73790232340495,0.010987305082380735,0.0,0.0,0.0,0.0,51.23809523809524,0.0,31.114047933707177,0.0,17.491548798800814,0.0,-0.04967634285535372,0.0,0.0,0.0,0.0,0.02162957312920537,0.0,-0.04444503784179988,0.0,1.0,0.0,1.0,0.0,0.0,139.8725610451647,139.8725610451647,12285.246612637995,12285.246612637995,0,0.0
2023-11-05 00:00:00+00:00,0,1,0,3746418487,816,0.0118298437446355,89.65666961669922,40248,0.0,0.0,0.0,0.0,0.0,794.0,36708.0,89.69341278076172,0.0113903023302555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,29352.25,89.71759414672852,0.011197939747944426,0.0,0.0,682.0,29352.25,89.71759414672852,0.011197939747944426,0.0,0.0,0.0,0.0,2.7707808564231717,0.0,9.643674403399793,0.0,3.858909110888731,0.0,-0.04096528710788583,0.0,0.0,0.0,0.0,0.020273795622251484,0.0,-0.042147827148447795,0.0,1.0,0.0,1.0,0.0,0.0,144.994252759664,144.994252759664,12384.727055934662,12384.727055934662,0,0.0
2023-11-06 00:00:00+00:00,0,0,0,3746418487,409,0.0099362041801214,89.6525650024414,23083,0.0,0.0,0.0,0.0,0.0,816.0,40248.0,89.65666961669922,0.0118298437446355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.4,28098.4,89.7045883178711,0.01094559263437982,0.0,0.0,627.4,28098.4,89.7045883178711,0.01094559263437982,0.0,0.0,0.0,0.0,-49.877450980392155,0.0,-42.64808189226794,0.0,-16.00730834143784,0.0,-0.004578147142164646,0.0,0.0,0.0,0.0,0.017717899844047827,0.0,-0.03407974243164486,-0.03407974243164486,1.0,0.0,1.0,0.0,0.0,175.13794563143648,175.13794563143648,11085.88279299398,11085.88279299398,0,0.0
2023-11-07 00:00:00+00:00,0,0,0,3746418487,511,0.0124745992943644,89.62254333496094,22401,0.0,0.0,0.0,0.0,0.0,409.0,23083.0,89.6525650024414,0.0099362041801214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,27148.833333333332,89.69091415405273,0.011200427077710582,0.0,0.0,608.0,27148.833333333332,89.69091415405273,0.011200427077710582,0.0,0.0,0.0,0.0,24.938875305623466,0.0,-2.9545553004375558,0.0,25.546929876112777,0.0,-0.03348667991780463,0.0,0.0,0.0,0.0,0.022810463351486475,0.0,-0.031194850376660352,-0.031194850376660352,1.0,0.0,1.0,0.0,0.0,163.69728159013513,163.69728159013513,10184.669801553051,10184.669801553051,0,0.0
2023-11-08 00:00:00+00:00,0,0,0,3746418487,368,0.0099017629399895,89.58668518066406,19394,0.0,0.0,0.0,0.0,0.0,511.0,22401.0,89.62254333496094,0.0124745992943644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.7142857142857,26041.0,89.67602430071149,0.011014903629464714,0.0,0.0,573.7142857142857,26041.0,89.67602430071149,0.011014903629464714,0.0,0.0,0.0,0.0,-27.98434442270059,0.0,-13.42350787911254,0.0,-20.62460118889127,0.0,-0.040010194938178145,0.0,0.0,0.0,0.0,0.01897396236143336,0.0,-0.030664171491354305,-0.030664171491354305,1.0,0.0,1.0,0.0,0.0,174.81200786913377,174.81200786913377,9748.366290478285,9748.366290478285,0,0.0
2023-11-09 00:00:00+00:00,0,0,0,3746418487,342,0.0089078247547149,89.58244323730469,16722,0.0,0.0,0.0,0.0,0.0,368.0,19394.0,89.58668518066406,0.0099017629399895,0.0,0.0,593.0,12456.0,89.78230285644531,0.0118770413100719,0.0,0.0,537.8571428571429,26650.428571428572,89.64747292654855,0.010590729835842286,0.0,0.0,544.75,24876.125,89.66432666778564,0.010751518770120988,0.0,0.0,0.0,-42.32715008431703,-7.065217391304346,34.2485549132948,-13.777456945447042,-24.999631455681325,-10.037992136334195,-0.22260469244165249,-0.004735015422008271,0.0,0.0,0.0,0.0,0.02045087603898822,0.0,-0.02550806318010109,-0.02824120294479802,0.9998120351553016,0.0,0.9850450026906392,0.0,0.0,181.39755077886642,181.39755077886642,9607.825403396073,9607.825403396073,0,0.0
2023-11-10 00:00:00+00:00,0,0,1,3746418487,444,0.008385119959712,89.5788803100586,18659,0.0,0.0,0.0,0.0,0.0,342.0,16722.0,89.58244323730469,0.0089078247547149,0.0,0.0,525.0,27997.0,89.73799133300781,0.0096945716068148,0.0,0.0,526.2857142857143,25316.428571428572,89.62474278041294,0.010403665314827601,0.0,0.0,533.5555555555555,24185.333333333332,89.65483262803819,0.010488585568964433,0.0,0.0,0.0,-15.428571428571425,29.824561403508774,-33.35357359717113,11.58354263844037,-13.507060447955432,-5.867928584093807,-0.17730620062440527,-0.003977260629806079,0.0,0.0,0.0,0.0,0.023794212218649517,0.0,-0.019926071166996392,-0.0254652659098305,0.9996643811968275,0.0,0.9919035551954585,0.0,0.0,172.97334412497716,172.97334412497716,9223.137128981658,9223.137128981658,0,0.0
2023-11-11 00:00:00+00:00,0,1,1,3746418487,675,0.01028264593333,89.56050109863281,33300,0.0,0.0,0.0,0.0,0.0,444.0,18659.0,89.5788803100586,0.008385119959712,0.0,0.0,794.0,36708.0,89.69341278076172,0.0113903023302555,0.0,0.0,509.2857142857143,24829.571428571428,89.60575539725167,0.010245428686695385,0.0,0.0,547.7,25096.8,89.64539947509766,0.010467991605400991,0.0,0.0,0.0,-14.987405541561715,52.02702702702702,-9.284079764628961,78.4661557425371,-9.724556599198309,22.629681897635876,-0.148184440761312,-0.020517348913229316,0.0,0.0,0.0,0.0,0.020269661571724572,0.0,-0.016999108450746894,-0.023665549538352437,0.9995577678489012,0.0,0.9787387182665706,0.0,0.0,169.1035514444067,169.1035514444067,9160.904259102615,9160.904259102615,0,0.0
