timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-27 00:00:00+00:00,1,0,0,5569032992,364571,0.0,0.0741169154644012,4954,140393.0,92.66675567626952,0.0629687388159709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140393.0,4954.0,364571.0,92.66675567626952,0.0741169154644012,0.0,140393.0,4954.0,364571.0,92.66675567626952,0.0741169154644012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.333602421796165,0.38508991365217293,0.01358853669508355,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-06-28 00:00:00+00:00,1,0,0,5569032992,436672,0.0,0.0829807892441749,5814,162332.0,92.52367401123048,0.0576857944042336,0.0,140393.0,4954.0,364571.0,92.66675567626952,0.0741169154644012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151362.5,5384.0,400621.5,92.59521484375,0.07854885235428805,0.0,151362.5,5384.0,400621.5,92.59521484375,0.07854885235428805,0.0,0.0,15.626847492396333,0.0,17.359709325797333,0.0,19.776943311453742,0.0,11.959312829243519,0.0,-0.15440452619156497,0.1024904825993999,0.1024904825993999,27.916079105760964,0.37174728000128243,0.013314310708470641,0.0,0.0,0.0,1.0,1.0,1.0,15513.215672451666,15513.215672451666,608.1118318204309,608.1118318204309,50983.10603033126,50983.10603033126,2,1.0
2024-06-29 00:00:00+00:00,1,1,0,5569032992,528247,0.0,0.0777012482285499,5834,181344.0,92.4550323486328,0.0515889183912414,0.0,162332.0,5814.0,436672.0,92.52367401123048,0.0829807892441749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161356.33333333334,5534.0,443163.3333333333,92.54848734537761,0.07826631764570867,0.0,161356.33333333334,5534.0,443163.3333333333,92.54848734537761,0.07826631764570867,0.0,0.0,11.7118005076017,0.0,0.3439972480220099,0.0,20.97111791001025,0.0,-6.36236539048779,0.0,-0.07418821542836129,0.1270041669077145,0.1270041669077145,31.07866323907455,0.3432933016310521,0.011044055065045206,0.0,-0.10586166381836128,0.0,1.0,1.0,1.0,20492.926690283482,20492.926690283482,502.3942674832188,502.3942674832188,82030.85578203689,82030.85578203689,3,1.0
2024-06-30 00:00:00+00:00,1,1,0,5569032992,497263,0.0,0.0807759091258049,6197,182935.0,92.20599365234376,0.0430548261642508,0.0,181344.0,5834.0,528247.0,92.4550323486328,0.0777012482285499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166751.0,5699.75,456688.25,92.46286392211914,0.07889371551573272,0.0,166751.0,5699.75,456688.25,92.46286392211914,0.07889371551573272,0.0,0.0,0.8773380977589618,0.0,6.222146040452525,0.0,-5.865437948535435,0.0,3.957028963307274,0.0,-0.26936196977352944,0.11939581519090668,0.11939581519090668,29.51516618263956,0.3678830560828856,0.012462193120756781,0.0,-0.14509277343750662,0.0,1.0,1.0,1.0,19909.37157889888,19909.37157889888,527.4077328468618,527.4077328468618,72233.88644016048,72233.88644016048,4,1.0
2024-07-01 00:00:00+00:00,1,0,0,5569032992,461000,0.0,0.0819481238722801,6111,181962.0,92.14549255371094,0.036967046933504,0.0,182935.0,6197.0,497263.0,92.20599365234376,0.0807759091258049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169793.2,5782.0,457550.6,92.3993896484375,0.0795045971870422,0.0,169793.2,5782.0,457550.6,92.3993896484375,0.0795045971870422,0.0,0.0,-0.5318829092300525,0.0,-1.3877682749717568,0.0,-7.292519250376561,0.0,1.4511935045503632,0.0,-0.06561514738504526,0.10916474424219721,0.10916474424219721,29.771269633507853,0.3947106405409099,0.013255936538098615,0.0,-0.1360206604003909,-0.1360206604003909,1.0,1.0,1.0,18535.43125206424,18535.43125206424,492.3865351530239,492.3865351530239,62586.09270676674,62586.09270676674,4,0.9946811709076995
2024-07-02 00:00:00+00:00,1,0,0,5569032992,504119,0.0,0.0922850295901298,6709,164360.0,91.97631072998048,0.0292851281431349,0.0,181962.0,6111.0,461000.0,92.14549255371094,0.0819481238722801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168887.66666666666,5936.5,465312.0,92.32887649536133,0.08163466925422347,0.0,168887.66666666666,5936.5,465312.0,92.32887649536133,0.08163466925422347,0.0,0.0,-9.673448302392806,0.0,9.785632466044847,0.0,9.353362255965303,0.0,12.613962625868336,0.0,-0.18360292949960444,0.09903812579743564,0.09903812579743564,24.494783904619972,0.3260334840910894,0.01330833928429739,0.0,-0.13816593715121733,-0.13816593715121733,1.0,1.0,1.0,16726.31797696871,16726.31797696871,580.6695273561373,580.6695273561373,59118.9578730884,59118.9578730884,4,0.8984612020663078
2024-07-03 00:00:00+00:00,1,0,0,5569032992,503173,0.0,0.0942718386650085,6842,206929.0,91.98468017578124,0.0325828411586345,0.0,164360.0,6709.0,504119.0,91.97631072998048,0.0922850295901298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174322.14285714287,6065.857142857143,470720.71428571426,92.27970559256417,0.0834399791700499,0.0,174322.14285714287,6065.857142857143,470720.71428571426,92.27970559256417,0.0834399791700499,0.0,0.0,25.89985397907033,0.0,1.9824116857952045,0.0,-0.18765410547906258,0.0,2.152905063478694,0.0,0.009099566762715838,0.1203130262232793,0.1203130262232793,30.239514832675727,0.4112474014953078,0.013597681915202296,0.0,-0.1232318878173732,-0.1232318878173732,1.0,1.0,1.0,20973.22454486967,20973.22454486967,630.9626054876861,630.9626054876861,55832.98291844552,55832.98291844552,5,1.0
2024-07-04 00:00:00+00:00,1,0,1,5569032992,452535,0.0,0.0895358100533485,6438,196391.0,92.04621124267578,0.0278962727998341,0.0,206929.0,6842.0,503173.0,91.98468017578124,0.0942718386650085,0.0,140393.0,4954.0,364571.0,92.66675567626952,0.0741169154644012,0.0,182321.85714285713,6277.857142857143,483287.0,92.19105638776507,0.08564267839704236,0.0,177080.75,6112.375,468447.5,92.25051879882812,0.08420195803046222,0.0,39.8866040329646,-5.092567982254781,29.95559144125959,-5.904706226249634,24.128084790068314,-10.063735534299333,20.80347582240263,-5.023799979641119,-0.6696516232440497,0.0668927334170899,0.11817457698691035,0.11817457698691035,30.50023295542786,0.4339787331836583,0.014226492477946506,0.0,-0.09295627049037888,-0.10161245436895047,0.9993554246432725,1.029597272108104,1.0171102952981084,20926.442723774824,20926.442723774824,598.7918640300412,598.7918640300412,52089.63712129863,52089.63712129863,5,0.9490743201774522
2024-07-05 00:00:00+00:00,1,0,0,5569032992,436125,0.0,0.0929039791226387,6916,194828.0,92.1093521118164,0.025450944799274,0.0,196391.0,6438.0,452535.0,92.04621124267578,0.0895358100533485,0.0,162332.0,5814.0,436672.0,92.52367401123048,0.0829807892441749,0.0,186964.14285714287,6435.285714285715,483208.85714285716,92.13186754499164,0.08706027695110863,0.0,179052.66666666666,6201.666666666667,464856.1111111111,92.23483361138238,0.08516884926292628,0.0,20.018234236010144,-0.7958613174738116,18.954248366013072,7.424666045355699,-0.1252656456104395,-3.6262388544532453,11.958418290363992,3.761812248399088,-0.4478009588808396,0.06859692353242686,0.11420812310371307,0.11420812310371307,28.166546190545034,0.4467241118392391,0.01585780256164503,0.0,-0.05419349670409808,-0.0805398305257115,0.9988836531453552,1.0441851905238844,1.0222079751523152,20449.268996714767,20449.268996714767,620.8782086689787,620.8782086689787,49902.37144526412,49902.37144526412,5,0.9415210047890823
2024-07-06 00:00:00+00:00,1,1,0,5569032992,512331,0.0,0.0878503695130348,6846,215476.0,92.1056900024414,0.0258386322281781,0.0,194828.0,6916.0,436125.0,92.1093521118164,0.0929039791226387,0.0,181344.0,5834.0,528247.0,92.4550323486328,0.0777012482285499,0.0,191840.14285714287,6579.857142857143,480935.14285714284,92.08196149553571,0.08851015142032075,0.0,182695.0,6266.1,469603.6,92.22191925048828,0.08543700128793713,0.0,18.82168695959061,10.598065986408534,17.346588961261578,-1.0121457489878583,-3.012984456135104,17.473430782459154,13.061722322185032,-5.439605124913793,-0.377851088596326,-0.003975827959956657,0.12292778937499049,0.12292778937499049,31.470132904921865,0.42057884340622875,0.013362429049912947,0.0,-0.010831832885744344,-0.06561861905184235,0.9984823808039341,1.0500568863797195,1.0359697799086671,22458.29247986389,22458.29247986389,619.8177958077679,619.8177958077679,49385.61641071889,49385.61641071889,6,1.0
