timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,session_session_length,platform_platform_share,daily_Estimated Revenue,ccu_playing,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-02-10 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.0465932674705982,0.0,2289,90.99102783203124,147640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2289.0,147640.0,90.99102783203124,0.0465932674705982,0.0,0.0,2289.0,147640.0,90.99102783203124,0.0465932674705982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015503823463672016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-02-11 00:00:00+00:00,0,1,0,3457700596,0.0,0.0,0.0,0.1705899238586425,0.0,12685,90.9940185546875,544555,0.0,2289.0,147640.0,90.99102783203124,0.0465932674705982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7487.0,346097.5,90.99252319335938,0.10859159566462034,0.0,0.0,7487.0,346097.5,90.99252319335938,0.10859159566462034,0.0,0.0,0.0,0.0,454.17212756662303,0.0,268.83974532646977,0.0,266.1256939455685,0.0,0.0032868324795654047,0.0,0.0,0.0,0.0,0.023294206656432028,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7351.082097215348,7351.082097215348,280661.2880546585,280661.2880546585,0,0.0
2023-02-12 00:00:00+00:00,0,1,0,3457700596,0.0,0.0,0.0,0.1468434780836105,0.0,10480,90.96599578857422,546696,0.0,12685.0,544555.0,90.9940185546875,0.1705899238586425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8484.666666666666,412963.6666666667,90.98368072509766,0.12134222313761707,0.0,0.0,8484.666666666666,412963.6666666667,90.98368072509766,0.12134222313761707,0.0,0.0,0.0,0.0,-17.382735514387072,0.0,0.393165061380385,0.0,-13.92019249314469,0.0,-0.030796272720323703,0.0,0.0,0.0,0.0,0.019169668024518152,0.0,-0.012516021728496234,0.0,1.0,0.0,1.0,0.0,0.0,5477.702103376318,5477.702103376318,229779.52920208825,229779.52920208825,0,0.0
2023-02-13 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.1671767979860305,0.0,7705,90.95968627929688,460948,0.0,10480.0,546696.0,90.96599578857422,0.1468434780836105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8289.75,424959.75,90.97768211364746,0.13280086684972042,0.0,0.0,8289.75,424959.75,90.97768211364746,0.13280086684972042,0.0,0.0,0.0,0.0,-26.47900763358778,0.0,-15.68476813439279,0.0,13.846934278444767,0.0,-0.006936118516209788,0.0,0.0,0.0,0.0,0.016715515165452142,0.0,-0.012204742431651672,0.0,1.0,0.0,1.0,0.0,0.0,4489.482180608361,4489.482180608361,189142.04209601312,189142.04209601312,0,0.0
2023-02-14 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.1773926168680191,0.0,7780,90.9506378173828,487968,0.0,7705.0,460948.0,90.95968627929688,0.1671767979860305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8187.8,437561.4,90.97227325439454,0.14171921685338015,0.0,0.0,8187.8,437561.4,90.97227325439454,0.14171921685338015,0.0,0.0,0.0,0.0,0.9733939000649006,0.0,5.861832571136016,0.0,6.110787504640602,0.0,-0.0099477716823837,0.0,0.0,0.0,0.0,0.01594363576374729,0.0,-0.011511230468762994,-0.011511230468762994,1.0,0.0,1.0,0.0,0.0,3894.683132168778,3894.683132168778,166207.82767306716,166207.82767306716,0,0.0
2023-02-15 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.169802114367485,0.0,7541,90.92634582519533,366130,0.0,7780.0,487968.0,90.9506378173828,0.1773926168680191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8080.0,425656.1666666667,90.96461868286133,0.14639969977239764,0.0,0.0,8080.0,425656.1666666667,90.96461868286133,0.14639969977239764,0.0,0.0,0.0,0.0,-3.071979434447303,0.0,-24.96844055347892,0.0,-4.278928083112654,0.0,-0.026708984972978467,0.0,0.0,0.0,0.0,0.02059645318205779,0.0,-0.01313890729631682,-0.01313890729631682,1.0,0.0,1.0,0.0,0.0,3493.5040289085114,3493.5040289085114,151494.02981030857,151494.02981030857,0,0.0
2023-02-16 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.1640231162309646,0.0,7607,90.9199676513672,367963,0.0,7541.0,366130.0,90.92634582519533,0.169802114367485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8012.428571428572,417414.28571428574,90.95823996407645,0.14891733069505003,0.0,0.0,8012.428571428572,417414.28571428574,90.95823996407645,0.14891733069505003,0.0,0.0,0.0,0.0,0.8752154886619845,0.0,0.5006418485237418,0.0,-3.403372306668395,0.0,-0.0070146597999087845,0.0,0.0,0.0,0.0,0.020673218032198803,0.0,-0.012995856148848385,-0.012995856148848385,1.0,0.0,1.0,0.0,0.0,3194.1253292642764,3194.1253292642764,140003.09913797656,140003.09913797656,0,0.0
2023-02-17 00:00:00+00:00,0,0,0,3457700596,0.0,0.0,0.0,0.1552806198596954,0.0,8592,90.89894104003906,400570,0.0,7607.0,367963.0,90.9199676513672,0.1640231162309646,0.0,0.0,2289.0,147640.0,90.99102783203124,0.0465932674705982,0.0,0.0,8912.857142857143,453547.14285714284,90.94508470807757,0.16444409532206392,0.0,0.0,8084.875,415308.75,90.95082759857178,0.14971274184063071,0.0,0.0,0.0,275.36041939711663,12.94859997370843,171.31536169059873,8.861488790992578,233.26836319792835,-5.330039187256197,-0.10120425517355924,-0.023126505509507567,0.0,0.0,0.0,0.0,0.02144938100861021,0.0,-0.014665331159310981,-0.013605481102345255,0.9999368571936524,0.0,1.098397459697283,0.0,0.0,2964.2762276096046,2964.2762276096046,129754.42206915338,129754.42206915338,0,0.0
2023-02-18 00:00:00+00:00,0,1,0,3457700596,0.0,0.0,0.0,0.1725822836160659,0.0,12804,90.847412109375,635907,0.0,8592.0,400570.0,90.89894104003906,0.1552806198596954,0.0,0.0,12685.0,544555.0,90.9940185546875,0.1705899238586425,0.0,0.0,8929.857142857143,466597.4285714286,90.92414093017578,0.16472871814455298,0.0,0.0,8609.222222222223,439819.6666666667,90.93933698866103,0.1522538020379013,0.0,0.0,0.0,0.9381158849034232,49.02234636871508,16.775532315376786,58.750530494046,1.1679234695446405,11.14219132561649,-0.16111657407941182,-0.0566881528810792,0.0,0.0,0.0,0.0,0.020134988080036734,0.0,-0.01813970293316934,-0.016418202718098403,0.9998328989523297,0.0,1.0819350054952732,0.0,0.0,3187.9502732076053,3187.9502732076053,141911.06057404404,141911.06057404404,0,0.0
2023-02-19 00:00:00+00:00,0,1,0,3457700596,0.0,0.0,0.0,0.1723425984382629,0.0,12145,90.81171417236328,712397,0.0,12804.0,635907.0,90.847412109375,0.1725822836160659,0.0,0.0,10480.0,546696.0,90.96599578857422,0.1468434780836105,0.0,0.0,9167.714285714286,490269.0,90.90210069928851,0.16837144962378905,0.0,0.0,8962.8,467077.4,90.92657470703125,0.15426268167793747,0.0,0.0,0.0,15.887404580152676,-5.146829115901285,30.309532171444452,12.02848844249238,17.364830013174704,-0.13888168170042015,-0.16960361382677425,-0.03929439065225582,0.0,0.0,0.0,0.0,0.017048054598693428,0.0,-0.02420616149902128,-0.01890175559303609,0.9997308376806056,0.0,1.0914593717183474,0.0,0.0,3206.8636044861305,3206.8636044861305,159156.9998071087,159156.9998071087,0,0.0
