timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-04-23 00:00:00+00:00,0,1,0,2251388500,0.0,89.89408874511719,243,0.0045614298433065,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,89.89408874511719,0.0045614298433065,0.0,0.0,243.0,0.0,89.89408874511719,0.0045614298433065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-04-24 00:00:00+00:00,0,1,0,2251388500,0.0,89.793701171875,544,0.0104318615049123,0.0,28697,0.0,0.0,0.0,243.0,0.0,89.89408874511719,0.0045614298433065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.5,14348.5,89.8438949584961,0.0074966456741094,0.0,0.0,393.5,14348.5,89.8438949584961,0.0074966456741094,0.0,0.0,0.0,0.0,123.86831275720165,0.0,inf,0.0,128.69718187642732,0.0,-0.11167316410184425,0.0,0.0,0.0,0.0,0.018956024810091295,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,212.83914113715082,212.83914113715082,20291.843299710355,20291.843299710355,0,0.0
2022-04-25 00:00:00+00:00,0,0,0,2251388500,0.0,89.67620849609375,284,0.0086587611585855,0.0,21659,0.0,0.0,0.0,544.0,28697.0,89.793701171875,0.0104318615049123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,16785.333333333332,89.78799947102864,0.0078840175022681,0.0,0.0,357.0,16785.333333333332,89.78799947102864,0.0078840175022681,0.0,0.0,0.0,0.0,-47.79411764705882,0.0,-24.525211694602223,0.0,-16.99696976893201,0.0,-0.13084734702755174,0.0,0.0,0.0,0.0,0.013111726685133888,0.0,-0.10894012451172679,0.0,1.0,0.0,1.0,0.0,0.0,163.23908845616603,163.23908845616603,14956.400714521304,14956.400714521304,0,0.0
2022-04-26 00:00:00+00:00,0,0,0,2251388500,0.0,89.64306640625,135,0.0042691295966506,0.0,10577,0.0,0.0,0.0,284.0,21659.0,89.67620849609375,0.0086587611585855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.5,15233.25,89.75176620483398,0.006980295525863725,0.0,0.0,301.5,15233.25,89.75176620483398,0.006980295525863725,0.0,0.0,0.0,0.0,-52.464788732394375,0.0,-51.1657971282146,0.0,-50.695838371548206,0.0,-0.036957505674639624,0.0,0.0,0.0,0.0,0.012762336925694838,0.0,-0.08705596923829075,0.0,1.0,0.0,1.0,0.0,0.0,173.4522028302514,173.4522028302514,12600.203659068373,12600.203659068373,0,0.0
2022-04-27 00:00:00+00:00,0,0,0,2251388500,0.0,89.6266860961914,99,0.0031948222313076,0.0,9035,0.0,0.0,0.0,135.0,10577.0,89.64306640625,0.0042691295966506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,13993.6,89.72675018310547,0.0062232008669525,0.0,0.0,261.0,13993.6,89.72675018310547,0.0062232008669525,0.0,0.0,0.0,0.0,-26.66666666666667,0.0,-14.578803063250446,0.0,-25.164552656959906,0.0,-0.01827281318597107,0.0,0.0,0.0,0.0,0.010956175298804782,0.0,-0.06854400634765885,-0.06854400634765885,1.0,0.0,1.0,0.0,0.0,175.4009692105491,175.4009692105491,11258.663766184689,11258.663766184689,0,0.0
2022-04-28 00:00:00+00:00,0,0,0,2251388500,0.0,89.62821960449219,40,0.0051674377173185,0.0,8349,0.0,0.0,0.0,99.0,9035.0,89.6266860961914,0.0031948222313076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.16666666666666,13052.833333333334,89.71032842000325,0.0060472403420135,0.0,0.0,224.16666666666666,13052.833333333334,89.71032842000325,0.0060472403420135,0.0,0.0,0.0,0.0,-59.5959595959596,0.0,-7.592695074709466,0.0,61.74413921000961,0.0,0.0017109952041849397,0.0,0.0,0.0,0.0,0.004790419161676647,0.0,-0.053243800571978986,-0.053243800571978986,1.0,0.0,1.0,0.0,0.0,180.97670199964045,180.97670199964045,10330.356207153103,10330.356207153103,0,0.0
2022-04-29 00:00:00+00:00,0,0,0,2251388500,0.0,89.64972686767578,105,0.0028799544088542,0.0,8239,0.0,0.0,0.0,40.0,8349.0,89.62821960449219,0.0051674377173185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.14285714285714,12365.142857142857,89.70167105538505,0.0055947709229907435,0.0,0.0,207.14285714285714,12365.142857142857,89.70167105538505,0.0055947709229907435,0.0,0.0,0.0,0.0,162.5,0.0,-1.3175230566534912,0.0,-44.26726423422335,0.0,0.02399608435657008,0.0,0.0,0.0,0.0,0.012742718446601941,0.0,-0.0397703988211488,-0.0397703988211488,1.0,0.0,1.0,0.0,0.0,171.23806875363957,171.23806875363957,9604.19926262416,9604.19926262416,0,0.0
2022-04-30 00:00:00+00:00,0,1,0,2251388500,0.0,89.64323425292969,206,0.0039558722637593,0.0,11515,0.0,0.0,0.0,105.0,8239.0,89.64972686767578,0.0028799544088542,0.0,0.0,243.0,0.0,89.89408874511719,0.0045614298433065,0.0,0.0,201.85714285714286,14010.142857142857,89.66583469935826,0.005508262697341143,0.0,0.0,207.0,12258.875,89.69436645507812,0.005389908590586813,0.0,0.0,0.0,-15.226337448559669,96.19047619047618,inf,39.762107051826675,-13.275608753158895,37.358850251145384,-0.27905560386597417,-0.00724220248398133,0.0,0.0,0.0,0.0,0.01788815560958666,0.0,-0.018543243408201814,-0.03138333275204179,0.9996819002480589,0.0,1.0219584627021374,0.0,0.0,158.53616081422652,158.53616081422652,8896.839413722799,8896.839413722799,0,0.0
2022-05-01 00:00:00+00:00,0,1,0,2251388500,0.0,89.61589050292969,213,0.0040319003164768,0.0,11394,0.0,0.0,0.0,206.0,11515.0,89.64323425292969,0.0039558722637593,0.0,0.0,544.0,28697.0,89.793701171875,0.0104318615049123,0.0,0.0,154.57142857142858,11538.285714285714,89.64043317522321,0.004593982527564643,0.0,0.0,207.66666666666666,12162.777777777777,89.68564690483942,0.005239018782352367,0.0,0.0,0.0,-60.845588235294116,3.398058252427183,-60.295501271909956,-1.0508033000434236,-61.3501356917152,1.9219036320765825,-0.19802131622235208,-0.030502859728209764,0.0,0.0,0.0,0.0,0.018692408951294426,0.0,-0.00562776838029453,-0.02720006306966009,0.9994958643754426,0.0,0.8768784229290171,0.0,0.0,148.31048513169932,148.31048513169932,8327.223108242293,8327.223108242293,0,0.0
2022-05-02 00:00:00+00:00,0,0,0,2251388500,0.0,89.60808563232422,56,0.0016743367305025,0.0,6154,0.0,0.0,0.0,213.0,11394.0,89.61589050292969,0.0040319003164768,0.0,0.0,284.0,21659.0,89.67620849609375,0.0086587611585855,0.0,0.0,122.0,9323.285714285714,89.63070133754185,0.0035962076092670714,0.0,0.0,192.5,11561.9,89.67789077758789,0.00488255057716738,0.0,0.0,0.0,-80.28169014084507,-73.70892018779342,-71.58686919987072,-45.98911707916448,-80.66309140722365,-58.472764724362335,-0.07596537020462257,-0.008709248506788558,0.0,0.0,0.0,0.0,0.0090982940698619,0.0,-0.0039828164236890016,-0.024012478915124588,0.9994737895858515,0.0,0.7365428278581022,0.0,0.0,147.82515948842328,147.82515948842328,8077.651108666017,8077.651108666017,0,0.0
