timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,daily_Estimated Revenue,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-01-17 00:00:00+00:00,0,0,0,2979369058,0.0,69739,49436.0,0.0033204356831909,78.22354888916016,1139,0.0198080968111753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49436.0,1139.0,69739.0,78.22354888916016,0.0198080968111753,0.0,49436.0,1139.0,69739.0,78.22354888916016,0.0198080968111753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.36491228070175,0.708861485517637,0.016332090622311442,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-01-18 00:00:00+00:00,0,0,0,2979369058,0.0,100895,43302.0,0.0028832268014273,78.18193054199219,1070,0.0192256923764944,0.0,49436.0,1139.0,69739.0,78.22354888916016,0.0198080968111753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46369.0,1104.5,85317.0,78.20273971557617,0.01951689459383485,0.0,46369.0,1104.5,85317.0,78.20273971557617,0.01951689459383485,0.0,0.0,-12.407961809207869,0.0,-6.057945566286216,0.0,44.6751459011457,0.0,-2.9402341892448725,0.0,-0.053204371009729634,0.09354079224909492,0.09354079224909492,40.431372549019606,0.42917459562321597,0.010604979384712972,0.0,0.0,0.0,1.0,1.0,1.0,4337.392995798283,4337.392995798283,48.79036790187178,48.79036790187178,22030.618874648073,22030.618874648073,1,0.8759203819079213
2024-01-19 00:00:00+00:00,0,0,0,2979369058,0.0,100302,58773.0,0.0038775714622175,78.10509490966797,1136,0.0177614372223615,0.0,43302.0,1070.0,100895.0,78.18193054199219,0.0192256923764944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50503.666666666664,1115.0,90312.0,78.17019144694011,0.018931742136677067,0.0,50503.666666666664,1115.0,90312.0,78.17019144694011,0.018931742136677067,0.0,0.0,35.72814188721076,0.0,6.168224299065428,0.0,-0.5877397294216768,0.0,-7.616137434525482,0.0,-0.09827799312649432,0.1542574026150789,0.1542574026150789,51.69129287598945,0.5859545576901987,0.011325683179964708,0.0,-0.05922698974609535,0.0,1.0,1.0,1.0,7790.564442537739,7790.564442537739,39.0,39.0,17819.207586197543,17819.207586197543,2,1.0
2024-01-20 00:00:00+00:00,0,1,0,2979369058,0.0,143771,60050.0,0.0039185951277349,78.0804443359375,1442,0.0176674295216798,0.0,58773.0,1136.0,100302.0,78.10509490966797,0.0177614372223615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52890.25,1196.75,103676.75,78.14775466918945,0.01861566398292775,0.0,52890.25,1196.75,103676.75,78.14775466918945,0.01861566398292775,0.0,0.0,2.172766406343052,0.0,26.93661971830985,0.0,43.33811888097945,0.0,-0.5292798071731775,0.0,-0.03156077559214321,0.15036184597679397,0.15036184597679397,41.614691614691615,0.4176752079681718,0.010029769357037532,0.0,-0.050614929199227866,0.0,1.0,1.0,1.0,7952.675624174128,7952.675624174128,166.5720564800711,166.5720564800711,30432.695294972917,30432.695294972917,3,1.0
2024-01-21 00:00:00+00:00,0,1,0,2979369058,0.0,138422,68030.0,0.0043828875784975,78.1201171875,1386,0.0175575427711009,0.0,60050.0,1442.0,143771.0,78.0804443359375,0.0176674295216798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55918.2,1234.6,110625.8,78.14222717285156,0.01840403974056238,0.0,55918.2,1234.6,110625.8,78.14222717285156,0.01840403974056238,0.0,0.0,13.288925895087434,0.0,-3.8834951456310662,0.0,-3.7204999617447165,0.0,-0.6219736178602275,0.0,0.05081022770798693,0.17271586165462016,0.17271586165462016,49.048305695746215,0.491464568749413,0.010012786892351704,0.0,-0.03083496093749824,-0.03083496093749824,1.0,1.0,1.0,9657.96009517538,9657.96009517538,167.2507100134406,167.2507100134406,30595.068012671585,30595.068012671585,4,1.0
2024-01-22 00:00:00+00:00,0,0,0,2979369058,0.0,90148,54481.0,0.0034732681992222,78.08366394042969,973,0.0167163033038377,0.0,68030.0,1386.0,138422.0,78.1201171875,0.0175575427711009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55678.666666666664,1191.0,107212.83333333333,78.13246663411458,0.0181227503344416,0.0,55678.666666666664,1191.0,107212.83333333333,78.13246663411458,0.0181227503344416,0.0,0.0,-19.91621343524915,0.0,-29.7979797979798,0.0,-34.87451416682319,0.0,-4.7913280248296,0.0,-0.04666307269204362,0.1555038191360556,0.1555038191360556,55.935318275154,0.6043439195110317,0.010793242298860774,0.0,-0.025986153738833794,-0.025986153738833794,1.0,1.0,1.0,8658.24531107006,8658.24531107006,183.80424369420854,183.80424369420854,28613.573669967664,28613.573669967664,4,0.8008378656475085
2024-01-23 00:00:00+00:00,0,0,0,2979369058,0.0,85417,58770.0,0.0037172260326815,78.09484100341797,879,0.0153996339067816,0.0,54481.0,973.0,90148.0,78.08366394042969,0.0167163033038377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56120.28571428572,1146.4285714285713,104099.14285714286,78.12709154401507,0.017733733701918743,0.0,56120.28571428572,1146.4285714285713,104099.14285714286,78.12709154401507,0.017733733701918743,0.0,0.0,7.872469301224272,0.0,-9.660842754367938,0.0,-5.24803656209788,0.0,-7.8765584299599345,0.0,0.014314214298161154,0.14236841345071927,0.14236841345071927,66.7840909090909,0.6880282844365356,0.010290571074012503,0.0,-0.020272663661409413,-0.020272663661409413,1.0,1.0,1.0,7989.756039543923,7989.756039543923,205.0844193195062,205.0844193195062,27388.792911387263,27388.792911387263,4,0.8638835807731883
2024-01-24 00:00:00+00:00,0,0,0,2979369058,0.0,79214,50043.0,0.0031423700805642,78.13162231445312,796,0.014629615470767,0.0,58770.0,879.0,85417.0,78.09484100341797,0.0153996339067816,0.0,49436.0,1139.0,69739.0,78.22354888916016,0.0198080968111753,0.0,56207.0,1097.4285714285713,105452.71428571429,78.11395917619977,0.016993950653288986,0.0,55360.625,1102.625,100988.5,78.12765789031982,0.017345718923024774,0.0,1.227850149688492,-14.84941296579888,-30.114135206321336,-9.442548350398184,13.586372044336748,-7.262020440895844,-26.143255405974763,-5.000238581486693,-0.11751777567301502,0.047098259709055235,0.13913894444395686,0.13913894444395686,62.7892095357591,0.6317364135580382,0.010048601906204633,0.0,-0.0060076032366051055,-0.013137544904430679,0.9998246624244223,1.0152883931494632,0.9797201677660734,7702.81892625773,7702.81892625773,226.71816204265593,226.71816204265593,26840.1016764095,26840.1016764095,4,0.7356019403204469
2024-01-25 00:00:00+00:00,0,0,0,2979369058,0.0,74370,53932.0,0.0033640005232376,78.10907745361328,785,0.0146891921758651,0.0,50043.0,796.0,79214.0,78.13162231445312,0.014629615470767,0.0,43302.0,1070.0,100895.0,78.18193054199219,0.0192256923764944,0.0,57725.57142857143,1056.7142857142858,101663.42857142857,78.10355159214565,0.016345879196056227,0.0,55201.88888888889,1067.3333333333333,98030.88888888889,78.12559339735243,0.017050549284451478,0.0,24.548519698859185,7.771316667665817,-26.635514018691588,-1.3819095477386911,-26.289707121264684,-6.11508066755877,-23.596030310854697,0.4072335682174799,-0.09318404888937204,-0.028854975964931473,0.13081158831478185,0.13081158831478185,68.61577608142494,0.7251751354694707,0.010555189522797865,0.0,0.0031795501709011766,-0.010434977213543998,0.9997178670362902,1.0457173221873302,0.9586717074834742,7221.046763531664,7221.046763531664,237.03480757053381,237.03480757053381,26628.35607226085,26628.35607226085,4,0.7927678965162428
2024-01-26 00:00:00+00:00,0,0,0,2979369058,0.0,80930,32788.0,0.0020314897455842,78.07732391357422,767,0.0122764585539698,0.0,53932.0,785.0,74370.0,78.10907745361328,0.0146891921758651,0.0,58773.0,1136.0,100302.0,78.10509490966797,0.0177614372223615,0.0,54013.42857142857,1004.0,98896.0,78.0995843069894,0.015562310814857415,0.0,52960.5,1037.3,96320.8,78.1207664489746,0.016573140211403308,0.0,-44.21247851904786,-39.2049247200178,-32.482394366197184,-2.292993630573248,-19.31367270842057,8.82076105956704,-30.88138983193408,-16.42523014886764,-0.03555593412423175,-0.04065281664339393,0.1855707769918249,0.1855707769918249,42.692708333333336,0.40513523866009316,0.009477208980489553,0.0,0.000589915684292261,-0.010221955270478039,0.9997288538893299,1.01988139408481,0.9390079741285009,9827.921134875542,9827.921134875542,242.82231729760295,242.82231729760295,25681.275361199998,25681.275361199998,4,0.4819638394825812
