timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,visits_visits_gained,daily_Estimated Revenue,session_session_length,ccu_playing,daily_rpv,platform_platform_share,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-05 00:00:00+00:00,1,0,0,7782036711,0.0,1747.0,3297,13.979499816894531,38.0,0.0617370153978927,0.000485398544697,97.31182861328124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3297.0,38.0,1747.0,97.31182861328124,0.000485398544697,13.979499816894531,3297.0,38.0,1747.0,97.31182861328124,0.000485398544697,13.979499816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53846153846153,1.8861556064073226,0.021739130434782608,0.004238781023921932,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-06 00:00:00+00:00,1,0,0,7782036711,0.0,15503.0,5036,10.401241838932036,26.0,0.0812320081658272,0.0002172869717469,97.74774932861328,3297.0,38.0,1747.0,97.31182861328124,0.000485398544697,13.979499816894531,0.0,0.0,0.0,0.0,0.0,0.0,4166.5,32.0,8625.0,97.52978897094727,0.00035134275822195,12.190370827913284,4166.5,32.0,8625.0,97.52978897094727,0.00035134275822195,12.190370827913284,0.0,52.74491962390051,0.0,-31.57894736842105,0.0,787.4069834001144,0.0,-55.235347505514895,0.0,0.44796272102172185,0.29512989139167317,0.29512989139167317,186.5185185185185,0.32481940144478844,0.001676986584107327,0.0020649676074909738,0.0,0.0,1.0,1.0,1.0,1229.6586924834062,1229.6586924834062,8.48528137423857,8.48528137423857,9726.960882002148,9726.960882002148,2,1.0
2025-06-07 00:00:00+00:00,1,1,0,7782036711,0.0,47717.0,13286,11.617904365062714,343.0,0.1470725447714279,0.0031721121631562,98.38710021972656,5036.0,26.0,15503.0,97.74774932861328,0.0002172869717469,10.401241838932036,0.0,0.0,0.0,0.0,0.0,0.0,7206.333333333333,135.66666666666666,21655.666666666668,97.81555938720703,0.0012915992265333665,11.99954867362976,7206.333333333333,135.66666666666666,21655.666666666668,97.81555938720703,0.0012915992265333665,11.99954867362976,0.0,163.82049245432881,0.0,1219.230769230769,0.0,207.79204025027417,0.0,1359.87223147973,0.0,0.6540824678876955,0.7405234184841322,0.7405234184841322,38.622093023255815,0.27842742780502117,0.007188063204660715,0.0008743813024055629,0.5376358032226495,0.0,1.0,1.0,1.0,5336.458594736151,5336.458594736151,179.65615306282535,179.65615306282535,23594.527020759146,23594.527020759146,3,1.0
2025-06-08 00:00:00+00:00,1,1,0,7782036711,0.0,63633.0,25591,11.365006724993387,227.0,0.1717494247115184,0.0024428905453532,97.70491790771484,13286.0,343.0,47717.0,98.38710021972656,0.0031721121631562,11.617904365062714,0.0,0.0,0.0,0.0,0.0,0.0,11802.5,158.5,32150.0,97.78789901733398,0.001579422056238325,11.840913186470667,11802.5,158.5,32150.0,97.78789901733398,0.001579422056238325,11.840913186470667,0.0,92.61628782176727,0.0,-33.819241982507286,0.0,33.354988788062954,0.0,-22.988519330206657,0.0,-0.6933656043202951,0.8619121129350216,0.8619121129350216,112.24122807017544,0.4021592230568564,0.003567275355941792,0.0004440843515549151,0.1818618774413979,0.0,1.0,1.0,1.0,10172.717712915592,10172.717712915592,153.6326788154135,153.6326788154135,28489.622648723634,28489.622648723634,4,1.0
2025-06-09 00:00:00+00:00,1,0,0,7782036711,0.0,54570.0,23417,11.578812837600708,94.0,0.1132763791843382,0.0021200969349592,97.94686126708984,25591.0,227.0,63633.0,97.70491790771484,0.0024428905453532,11.365006724993387,0.0,0.0,0.0,0.0,0.0,0.0,14125.4,145.6,36634.0,97.81969146728515,0.0016875570319824999,11.788493116696674,14125.4,145.6,36634.0,97.81969146728515,0.0016875570319824999,11.788493116696674,0.0,-8.495174084639135,0.0,-58.590308370044056,0.0,-14.242609966526798,0.0,-13.213592848357836,0.0,0.2476265929658883,0.7240181219806174,0.7240181219806174,246.49473684210525,0.4291106998222499,0.0017225266167011782,0.0004944407224186826,0.12272338867187155,0.12272338867187155,1.0,1.0,1.0,10227.045580225013,10227.045580225013,136.14073600506205,136.14073600506205,26632.22163094923,26632.22163094923,4,0.9150482591536087
2025-06-10 00:00:00+00:00,1,0,0,7782036711,0.0,60214.0,18849,11.270911256472267,387.0,0.0703084515333794,0.0043029128573834,97.4757308959961,23417.0,94.0,54570.0,97.94686126708984,0.0021200969349592,11.578812837600708,0.0,0.0,0.0,0.0,0.0,0.0,14912.666666666666,185.83333333333334,40564.0,97.76236470540364,0.002123449669549317,11.702229473325941,14912.666666666666,185.83333333333334,40564.0,97.76236470540364,0.002123449669549317,11.702229473325941,0.0,-19.50719562710851,0.0,311.7021276595745,0.0,10.342679127725862,0.0,102.9583075391884,0.0,-0.481006093507208,0.6268769087437143,0.6268769087437143,48.579896907216494,0.3130283152038529,0.006426970024080379,0.0005979263266033034,0.02099042619978409,0.02099042619978409,1.0,1.0,1.0,9348.40638112543,9348.40638112543,156.65173687727395,156.65173687727395,25692.208608837038,25692.208608837038,4,0.7365480051580634
2025-06-11 00:00:00+00:00,1,0,0,7782036711,0.0,62123.0,20375,11.390913585821789,385.0,0.0624976610653863,0.0035266100894659,97.34880065917967,18849.0,387.0,60214.0,97.4757308959961,0.0043029128573834,11.270911256472267,0.0,0.0,0.0,0.0,0.0,0.0,15693.0,214.28571428571428,43643.857142857145,97.70328412737165,0.0023239011581088287,11.657755775111061,15693.0,214.28571428571428,43643.857142857145,97.70328412737165,0.0023239011581088287,11.657755775111061,0.0,8.095920207968588,0.0,-0.5167958656330796,0.0,3.1703590527119907,0.0,-18.04133138753755,0.0,-0.13021727116040438,0.5594898104240036,0.5594898104240036,52.784974093264246,0.3279730860858927,0.006197282853647543,0.0005590358061357375,-0.031191417149133045,-0.031191417149133045,1.0,1.0,1.0,8780.073594983889,8780.073594983889,161.60622335965726,161.60622335965726,24828.880216584956,24828.880216584956,4,0.7961783439490446
2025-06-12 00:00:00+00:00,1,0,0,7782036711,0.0,92092.0,26712,48.01862517647121,1095.0,0.0676641254452359,0.0123488437384366,97.22955322265624,20375.0,385.0,62123.0,97.34880065917967,0.0035266100894659,11.390913585821789,3297.0,38.0,1747.0,97.31182861328124,0.000485398544697,13.979499816894531,19038.0,365.2857142857143,56550.28571428572,97.6915305001395,0.0040186790429287715,16.5204879693363,17070.375,324.375,49699.875,97.64406776428223,0.0035770189806498,16.20286445028108,710.1910828025477,31.10184049079754,2781.578947368421,184.41558441558442,5171.436748712077,48.241392077008506,2444.062785797001,250.16186720848447,-0.08454819090077947,-0.12249502378660626,0.5280557534562674,0.5280557534562674,24.37226277372263,0.2900546187006613,0.011890154517715787,0.001797575157281893,-0.13787051609584416,-0.06027185349237181,1.0004860790516414,1.1152654818655126,1.1234715456272863,9014.109732406032,9014.109732406032,345.46032953975237,345.46032953975237,28667.202476685543,28667.202476685543,5,1.0
2025-06-13 00:00:00+00:00,1,0,0,7782036711,0.0,129458.0,38315,12.500430385271708,1177.0,0.0748920651018413,0.010614464059472,97.44701385498048,26712.0,1095.0,92092.0,97.22955322265624,0.0123488437384366,48.01862517647121,5036.0,26.0,15503.0,97.74774932861328,0.0002172869717469,10.401241838932036,23792.14285714286,529.7142857142857,72829.57142857143,97.64856828962054,0.005503990055460929,16.820372047384826,19430.88888888889,419.1111111111111,58561.88888888889,97.62217288547092,0.004358957322741156,15.79148288750226,660.8220810166799,43.43740640910452,4426.923076923076,7.488584474885851,735.0512803973425,40.5746427485558,4784.997924236309,-14.044875096817577,-0.30766485745034045,0.2236569284919554,0.5666832651458671,0.5666832651458671,32.52546689303905,0.29596242825914,0.009091681536239272,0.0003262457037600926,-0.1560374668666242,-0.05532722473144704,1.0002703832886468,1.2244495346143351,1.26268500651429,11011.159560242106,11011.159560242106,430.3479535342432,430.3479535342432,37761.09170973624,37761.09170973624,6,1.0
2025-06-14 00:00:00+00:00,1,1,0,7782036711,0.0,166857.0,51101,14.215094010035196,1471.0,0.0768180315187582,0.0122348461300134,97.54863739013672,38315.0,1177.0,129458.0,97.44701385498048,0.010614464059472,12.500430385271708,13286.0,343.0,47717.0,98.38710021972656,0.0031721121631562,11.617904365062714,29194.285714285714,690.8571428571429,89849.57142857143,97.52878788539341,0.006798666336440529,17.19139913952375,22597.9,524.3,69391.4,97.6148193359375,0.00514654620346838,15.633843999755555,284.6229113352401,33.370742529035624,328.86297376093296,24.978759558198817,249.68040740197415,28.888906054473274,285.70030001208806,15.265792615270325,-0.8522080920337238,0.10428594077542819,0.6383227084760751,0.6383227084760751,34.71535326086956,0.30625441992592506,0.008815879370482687,0.00027817099154700786,-0.06123978751046047,-0.044249008641098826,0.9991186640396474,1.2919025977761522,1.3210153115615177,14424.752733871499,14424.752733871499,524.6605357540986,524.6605357540986,49398.88478093408,49398.88478093408,7,1.0
