timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,sort_sort_position,ccu_playing,session_session_length,daily_Estimated Revenue,platform_platform_share,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-03 00:00:00+00:00,1,1,0,7960300951,92.77338409423828,0.2245389954161034,397,2313,18.844143322535924,154760,0.0181517694145441,86131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154760.0,2313.0,86131.0,92.77338409423828,0.0181517694145441,18.844143322535924,154760.0,2313.0,86131.0,92.77338409423828,0.0181517694145441,18.844143322535924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.87986171132239,1.7967770398922585,0.026854130868898898,0.00012176286869777221,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-04 00:00:00+00:00,1,0,0,7960300951,93.8764419555664,0.1823298333536201,372,4315,18.32133197784424,158380,0.0318368449807167,338122,154760.0,2313.0,86131.0,92.77338409423828,0.0181517694145441,18.844143322535924,0.0,0.0,0.0,0.0,0.0,0.0,156570.0,3314.0,212126.5,93.32491302490234,0.0249943071976304,18.582737650190083,156570.0,3314.0,212126.5,93.32491302490234,0.0249943071976304,18.582737650190083,0.0,2.3391057120702996,0.0,86.55425853869434,0.0,292.56713610662825,0.0,75.39251548230574,0.0,1.1889809476041568,0.01634876763042283,0.01634876763042283,36.696014828544946,0.46840942497256915,0.012761628164898573,0.0001156788502272636,0.0,0.0,1.0,1.0,1.0,2559.7265478953022,2559.7265478953022,1415.6277759354682,1415.6277759354682,178184.5448979793,178184.5448979793,2,1.0
2025-08-05 00:00:00+00:00,1,0,0,7960300951,94.43484497070312,0.1497123189218135,256,3786,20.89254649480184,191644,0.0285803005099296,429330,158380.0,4315.0,338122.0,93.8764419555664,0.0318368449807167,18.32133197784424,0.0,0.0,0.0,0.0,0.0,0.0,168261.33333333334,3471.3333333333335,284527.6666666667,93.69489034016927,0.02618963830173013,19.352673931727335,168261.33333333334,3471.3333333333335,284527.6666666667,93.69489034016927,0.02618963830173013,19.352673931727335,0.0,21.00265184998107,0.0,-12.259559675550403,0.0,26.974878889868158,0.0,-10.228854249720909,0.0,0.5948276303452404,0.1208281988466223,0.1208281988466223,50.60575653551624,0.44637820236600667,0.008818370907295304,0.00010901691405881625,0.8307304382324178,0.0,1.0,1.0,1.0,20330.713842197798,20330.713842197798,1037.4306402518355,1037.4306402518355,177765.72454872547,177765.72454872547,3,1.0
2025-08-06 00:00:00+00:00,1,0,0,7960300951,94.8518524169922,0.1283408862767882,199,4840,17.609726270039875,219928,0.0372191667556762,465424,191644.0,3786.0,429330.0,94.43484497070312,0.0285803005099296,20.89254649480184,0.0,0.0,0.0,0.0,0.0,0.0,181178.0,3813.5,329751.75,93.984130859375,0.02894702041521665,18.916937016305468,181178.0,3813.5,329751.75,93.984130859375,0.02894702041521665,18.916937016305468,0.0,14.75861493185282,0.0,27.839408346539884,0.0,8.4070528497892,0.0,30.226645947075383,0.0,0.44158217913996545,0.16948524671740017,0.16948524671740017,45.430282999380296,0.4725315571789225,0.010399097598968685,8.007005110758416e-05,0.6793807983398314,0.0,1.0,1.0,1.0,30706.99802976513,30706.99802976513,1088.9537792456267,1088.9537792456267,171020.38690240998,171020.38690240998,4,1.0
2025-08-07 00:00:00+00:00,1,0,0,7960300951,95.02770233154295,0.1162496581239676,158,11118,17.85163374741872,267154,0.0875955298542976,756640,219928.0,4840.0,465424.0,94.8518524169922,0.0372191667556762,17.609726270039875,0.0,0.0,0.0,0.0,0.0,0.0,198373.2,5274.4,415129.4,94.19284515380859,0.04067672230303284,18.70387636252812,198373.2,5274.4,415129.4,94.19284515380859,0.04067672230303284,18.70387636252812,0.0,21.473391291695453,0.0,129.71074380165288,0.0,62.570043659115136,0.0,135.35059349747166,0.0,0.1853942860047475,0.23566701233391893,0.23566701233391893,24.02680097131037,0.3530789370388335,0.014693890497607187,6.682126012022505e-05,0.5484046936035131,0.5484046936035131,1.0,1.0,1.0,46750.01937111897,46750.01937111897,3400.0748962339053,3400.0748962339053,241625.11282935803,241625.11282935803,5,1.0
2025-08-08 00:00:00+00:00,1,0,0,7960300951,95.17880249023438,0.1521910794034604,134,12184,17.95387347539266,512039,0.0826955139636993,1396392,267154.0,11118.0,756640.0,95.02770233154295,0.0875955298542976,17.85163374741872,0.0,0.0,0.0,0.0,0.0,0.0,250650.83333333334,6426.0,578673.1666666666,94.35717137654622,0.04767985424647725,18.578875881338877,250650.83333333334,6426.0,578673.1666666666,94.35717137654622,0.04767985424647725,18.578875881338877,0.0,91.66435838505132,0.0,9.588055405648488,0.0,84.55170226263479,0.0,-5.593910897906273,0.0,0.15900643179211915,0.5374315779464032,0.5374315779464032,42.02207632334838,0.3666868854255213,0.008725337351304397,3.506341980195426e-05,0.45422515869140545,0.45422515869140545,1.0,1.0,1.0,134707.67287191426,134707.67287191426,4147.951639062346,4147.951639062346,455176.38099199155,455176.38099199155,6,1.0
2025-08-09 00:00:00+00:00,1,1,0,7960300951,95.19124603271484,0.1615046988599577,108,11438,16.23916184902191,774628,0.0785439312458038,1387779,512039.0,12184.0,1396392.0,95.17880249023438,0.0826955139636993,17.95387347539266,0.0,0.0,0.0,0.0,0.0,0.0,325504.71428571426,7142.0,694259.7142857143,94.47632489885602,0.052089008103523904,18.24463101957931,325504.71428571426,7142.0,694259.7142857143,94.47632489885602,0.052089008103523904,18.24463101957931,0.0,51.28300773964482,0.0,-6.122783978988833,0.0,-0.6168038774212348,0.0,-5.020323979989905,0.0,0.013073859047296743,0.7161707973678245,0.7161707973678245,67.71815718157181,0.5581778091628357,0.008241940365187566,2.0963792795030798e-05,0.37325586591447846,0.37325586591447846,1.0,1.0,1.0,233116.9707769859,233116.9707769859,4233.971067449564,4233.971067449564,515922.8283159909,515922.8283159909,7,1.0
2025-08-10 00:00:00+00:00,1,1,0,7960300951,95.17792510986328,0.1719226167303549,82,12927,18.227412780125935,1088880,0.0951160192489624,1727785,774628.0,11438.0,1387779.0,95.19124603271484,0.0785439312458038,16.23916184902191,154760.0,2313.0,86131.0,92.77338409423828,0.0181517694145441,18.844143322535924,458950.4285714286,8658.285714285714,928781.7142857143,94.81983075823102,0.06308390093701223,18.15652665637788,420926.625,7865.125,823450.375,94.56402492523193,0.057467384496703716,18.242478739647638,603.5926596019643,40.5681178578621,458.8845654993515,13.018010141633152,1905.9966794766112,24.500010448349485,424.00411814812236,21.09913234581564,2.591843597278376,-0.013993852803417806,0.8209891004953681,0.8209891004953681,84.22648514851485,0.6302169365882118,0.007481829346921436,1.6739581993005604e-05,0.2051500592912987,0.3073039281935945,1.0027051072879072,1.0903335672135934,1.0977339840589173,345576.1712333011,345576.1712333011,4421.409162489133,4421.409162489133,601392.5376455019,601392.5376455019,8,1.0
2025-08-11 00:00:00+00:00,1,0,0,7960300951,95.21530151367188,0.1519156063039541,73,9949,16.466179728507996,1240202,0.0970301702618599,1921534,1088880.0,12927.0,1727785.0,95.17792510986328,0.0951160192489624,18.227412780125935,158380.0,4315.0,338122.0,93.8764419555664,0.0318368449807167,18.32133197784424,613496.4285714285,9463.142857142857,1154983.4285714286,95.01109640938895,0.07239723312003268,17.891504906472704,511957.22222222225,8096.666666666667,945459.6666666666,94.63638899061415,0.06186324958172107,18.045112182854343,683.0546786210381,13.89703181250459,130.5677867902665,-23.037054227585674,468.29605881900613,11.213721614668493,204.77319696920415,2.012438102447578,1.426193334786996,0.03927003427048881,0.8265759823155564,0.8265759823155564,124.64341708542713,0.6454225397924056,0.005177631424876466,1.3277003626428896e-05,0.11275209699358486,0.2585311889648411,1.0039594433258856,1.1983353333867643,1.170278535471957,423171.54386187694,423171.54386187694,4193.7758046896115,4193.7758046896115,671148.4683516383,671148.4683516383,9,1.0
2025-08-12 00:00:00+00:00,1,0,0,7960300951,95.20126342773438,0.1321636100322584,66,13781,17.12682791550954,1342444,0.1038683876395225,1860947,1240202.0,9949.0,1921534.0,95.21530151367188,0.0970301702618599,16.466179728507996,191644.0,3786.0,429330.0,94.43484497070312,0.0285803005099296,20.89254649480184,777896.4285714285,10891.0,1359500.142857143,95.12058476039341,0.08315267413854596,17.353545109430947,595005.9,8665.1,1037008.4,94.69287643432617,0.06606376338750121,17.953283756119866,600.4884055853562,8.243979609773255,263.99894347596404,38.51643381244345,333.4537535229311,-3.1530537580911955,263.42650632184814,7.047516622106276,0.8115843863237382,-0.014743518861282112,0.8027622170877823,0.8027622170877823,97.40560150921492,0.7213764167510323,0.007405365437400723,1.2757936388834954e-05,0.05080550057547663,0.21883401581735626,1.0045167951610794,1.3073759916858445,1.2586729831119166,477648.2554643113,477648.2554643113,4343.354117371607,4343.354117371607,695847.0046010594,695847.0046010594,10,1.0
