timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,visits_visits_gained,ratings_like_ratio,platform_platform_share,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-01 00:00:00+00:00,1,0,0,605887098,18122,0.0,900158,92.90177917480467,0.2430148720741272,0.0010220627639013,1972702.0,0.0,2332916.0,20314.0,1129808.0,92.89974975585938,0.2647864818572998,0.0,1827103.0,16529.0,862261.0,92.89495086669922,0.2436197102069854,0.0,1892720.5714285714,18030.714285714286,904286.0,92.89857264927456,0.25236679400716505,0.0,1986374.7333333334,18671.633333333335,941844.1,92.88569513956706,0.2794678141673406,0.0,7.96884466830825,-15.4405045016623,9.637606630770158,-10.79058777197992,4.395072953548862,-20.326462549388925,-0.24827142776925326,-8.222326770785028,0.007350569693764797,0.002184525739457044,0.15708685218815124,0.1692689021753794,108.85074215085803,2.191503945414088,0.02013199890241613,0.0,0.0011098044259244568,0.001220002137248815,1.0001386382444373,0.952851715070096,0.9030263279479191,302924.8270960034,336231.4704202454,3993.4070123060155,3752.184600297877,176203.9117572485,177365.7382137127,5,0.4684928377214367
2024-07-02 00:00:00+00:00,1,0,0,605887098,16374,0.0,817965,92.9040069580078,0.2252310514450073,0.0009221759964677,1781023.0,0.0,1972702.0,18122.0,900158.0,92.90177917480467,0.2430148720741272,0.0,1681023.0,14999.0,796356.0,92.8947525024414,0.2247872650623321,0.0,1907006.2857142857,18227.14285714286,907373.0,92.89989471435547,0.2524301920618329,0.0,1948064.2,18333.466666666667,923131.9666666667,92.88697942097981,0.2749265511830648,0.0,5.94875858331505,-9.716571484187675,9.167277818521224,-9.64573446639444,2.7134849238280356,-9.130952566105066,0.1974250554417134,-7.317996827657225,0.009962301763111192,0.0023979984268507337,0.1541028560544457,0.14722904150340288,108.76476335877862,2.1773802334082344,0.020017946956230454,0.0,0.0011463165283180123,0.0011987179086786917,1.0001390430979258,0.9789237365556462,0.9181732028993727,298199.7145991545,286811.6249530933,3953.2902981338807,3466.863053234867,174094.8556990711,158195.45127762732,5,0.4229713962459339
2024-07-03 00:00:00+00:00,1,0,0,605887098,15506,0.0,756589,92.9060287475586,0.2136479169130325,0.0008593939547246,1660700.0,0.0,1781023.0,16374.0,817965.0,92.9040069580078,0.2252310514450073,0.0,1614414.0,14574.0,765509.0,92.89642333984376,0.220749944448471,0.0,1913618.5714285714,18360.285714285714,906098.7142857143,92.90126691545758,0.2514156166996274,0.0,1931415.8333333333,18209.7,915994.3333333334,92.88824361165365,0.27045379926760993,0.0,2.8670464948891583,-6.7558363929045235,6.394949910800052,-5.3010870892878925,-1.1652377699021166,-7.5034995384888115,-3.2172273262321527,-5.1427786966589455,0.010339911236068033,0.0021762135100411584,0.1603262051206061,0.14940673445872554,107.09357064551493,2.1949801081166815,0.020494587557329597,0.0,0.0013076237269798426,0.0011914347647562205,1.0001402040053462,0.9907853805495389,0.9296065257003674,307068.63508990733,288566.53254021145,4024.8742257327535,3500.275340401184,180083.25033786043,160783.85343456193,5,0.3943961407267747
2024-07-04 00:00:00+00:00,1,0,1,605887098,14377,0.0,712141,92.9077606201172,0.1999466270208358,0.0008179778711982,1581504.0,0.0,1660700.0,15506.0,756589.0,92.9060287475586,0.2136479169130325,0.0,1607949.0,14528.0,753831.0,92.89704895019533,0.2173537760972976,0.0,1909840.7142857143,18338.714285714286,900143.0,92.90279715401786,0.24892888111727576,0.0,1918871.1,18095.2,910686.6333333333,92.8895273844401,0.26618750592072804,0.0,-1.644641714382733,-4.768832420063829,-1.0393722466960353,-7.281052495808071,-5.53041729512318,-5.87478802890341,-8.008671111685484,-6.413022925832667,0.011530689126204585,0.0018641121377838132,0.166451375674551,0.15398402533664707,109.99471414661288,2.220770576654656,0.020188389394250023,0.0,0.0014008113316179313,0.001186342844045603,1.0001428553890994,0.9952939070715663,0.9351636556202906,316887.81057933473,295475.49608015985,4131.831316435043,3569.236433362369,184490.3515403875,164883.64306205453,5,0.3755880497043157
2024-07-05 00:00:00+00:00,1,0,0,605887098,14568,0.0,696703,92.90853881835938,0.1956947892904281,0.0007931258393188,1534221.0,0.0,1581504.0,14377.0,712141.0,92.9077606201172,0.1999466270208358,0.0,1616271.0,14825.0,771773.0,92.89986419677734,0.2115910202264785,0.0,1898119.2857142857,18302.0,889418.7142857143,92.90403638567243,0.24665799098355426,0.0,1906451.3,18015.266666666666,905788.9666666667,92.89077631632487,0.26236096471548076,0.0,-5.076500166123132,-2.9897489984217596,-1.7335581787521037,1.3285108158864745,-9.726953391735648,-2.1678291237269054,-7.512715293416372,-2.1264863497620357,0.009337604158021762,0.0008376030559587022,0.17683850652132943,0.15930934260655513,105.30722767520076,2.202113092504134,0.02090988425500643,0.0,0.0015969957624253162,0.0011817108935073554,1.0001427490421912,0.9956295687774902,0.9401474462904353,331800.82665378094,303715.50331441243,4165.334735173728,3621.860732802415,192938.41470546028,169073.0354488787,5,0.3643589097500891
2024-07-06 00:00:00+00:00,1,1,0,605887098,18258,0.0,885426,92.90892028808594,0.2342933118343353,0.0009585371479969,1855198.0,0.0,1534221.0,14568.0,696703.0,92.90853881835938,0.1956947892904281,0.0,2423769.0,28853.0,1212567.0,92.900390625,0.3842841982841491,0.0,1816894.857142857,16788.428571428572,842684.2857142857,92.90525490897042,0.2252307214907237,0.0,1905479.2666666666,18037.2,907884.5666666667,92.89198226928711,0.259556079407533,0.0,-23.458134830505717,20.921171069878454,-36.72061830658857,25.329489291598016,-26.97921022096098,27.08801311319171,-39.031239670934085,19.723837657539068,0.009181514769274202,0.0004105862942305194,0.16028750823194046,0.15945347370277027,101.60457856399584,2.095257994165527,0.02062055934594269,0.0,0.0015994480678040214,0.0011743921061391157,1.0001428825110528,0.9535106935701411,0.8677535968521295,294414.62963463867,303835.2881386073,3900.3786347618043,3621.2515497003033,164807.74964343803,168394.0942714375,5,0.44058706056724933
2024-07-07 00:00:00+00:00,1,1,0,605887098,18130,0.0,901762,92.91022491455078,0.2302604019641876,0.0010085555565922,1953273.0,0.0,1855198.0,18258.0,885426.0,92.90892028808594,0.2342933118343353,0.0,2332916.0,20314.0,1129808.0,92.89974975585938,0.2647864818572998,0.0,1762660.142857143,16476.428571428572,810106.2857142857,92.90675136021206,0.22029842436313626,0.0,1905324.5333333334,18043.2,906529.1,92.89322433471679,0.25727860182523726,0.0,-16.2733248861082,5.286497721536998,-10.751206064782902,-0.7010625479242028,-20.18449152422358,1.8449876104835505,-13.039215465583776,-1.7213081494188431,0.011275766316853897,0.001404199360832692,0.15134404389559483,0.15945254420674268,107.73112349015499,2.166060261953529,0.02010506086410731,0.0,0.001345498221261381,0.0011609188839376689,1.0001456190760105,0.925123312076079,0.85626407637577,275036.08239275863,303808.8443795247,3839.9958369083415,3621.251206896344,150309.15450711583,168270.08412061117,5,0.4638786854855238
2024-07-08 00:00:00+00:00,1,0,0,605887098,25248,0.0,853138,92.91129302978516,0.3319527506828308,0.0010775708558825,2088211.0,0.0,1953273.0,18130.0,901762.0,92.91022491455078,0.2302604019641876,0.0,1972702.0,18122.0,900158.0,92.90177917480467,0.2430148720741272,0.0,1779161.4285714286,17494.428571428572,803389.1428571428,92.90811048235211,0.23300383559295104,0.0,1897184.8666666667,18074.366666666665,897978.4666666667,92.89444071451823,0.2572053626179695,0.0,5.855369944370725,6.908302116498821,39.32237059927159,39.260893546607825,-5.22352742518536,-5.3921101133114995,36.59771019346287,44.164062883230535,0.010240767254399152,0.0011496207606320752,0.15493133205515952,0.15555622707160568,82.7047011762842,2.447679686428589,0.02959423962566475,0.0,0.0011217934744683926,0.001150438013809994,1.0001471537772202,0.9377902279483159,0.9059058225742933,284444.7847046816,295118.91991601395,4399.58385644494,3680.6107016066717,150292.64408568002,164056.97927092676,5,0.49592482653290715
2024-07-09 00:00:00+00:00,1,0,0,605887098,18089,0.0,1537717,92.91181182861328,0.2396952509880066,0.0012312049034714,2388212.0,0.0,2088211.0,25248.0,853138.0,92.91129302978516,0.3319527506828308,0.0,1781023.0,16374.0,817965.0,92.9040069580078,0.2252310514450073,0.0,1865902.7142857143,17739.428571428572,906210.8571428572,92.90922546386719,0.2350701498133795,0.0,1886093.6,17814.9,907057.2,92.89562199910482,0.2538508559266726,0.0,34.09214816428536,14.366412206429334,10.47392207157689,-28.35472116603295,87.99300703575337,80.24246956529892,6.421938471716859,-27.79235885379755,0.008401005361391434,0.0005583808073250651,0.1674434020564178,0.14215034139812371,132.01835268103926,1.5530884076274063,0.011763535316618522,0.0,0.0009321485246902545,0.0011379067969420763,1.000146438168663,0.9892948654752416,0.9260167705768221,315874.35930463864,268108.8491488162,4327.191457757412,3373.4347721675217,235138.43252677683,190494.2077856753,5,0.5671714313466442
2024-07-10 00:00:00+00:00,1,0,0,605887098,15200,0.0,752144,92.91370391845705,0.2040324062108993,0.000870643536807,1690102.0,0.0,2388212.0,18089.0,1537717.0,92.91181182861328,0.2396952509880066,0.0,1660700.0,15506.0,756589.0,92.9060287475586,0.2136479169130325,0.0,1870103.0,17695.714285714286,905575.8571428572,92.91032191685268,0.23369650542736048,0.0,1871319.4,17721.133333333335,898833.2333333333,92.89682413736979,0.2509200056393941,0.0,1.7704582405009939,-29.23149201159696,-1.9734296401393014,-15.971032118967333,-0.5875052373217171,-51.08696853842417,-4.50063395939746,-14.878411078278608,0.008261219429916977,0.0020364362792291146,0.16464068306851043,0.14226354745396463,111.18360634168805,2.247042790951213,0.02020886930046733,0.0,0.0009553091866697676,0.001130548971514054,1.0001452986106707,0.9993499773475336,0.9313586010483911,311477.25203052885,266220.5362634246,4292.346283256445,3406.6693991936286,235782.40114544876,191715.84923467776,5,0.40137875970048975
