timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,daily_rpv,sort_sort_position,visits_visits_gained,session_session_length,platform_platform_share,daily_Estimated Revenue,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-21 00:00:00+00:00,1,0,0,8330409552,44403,92.7497329711914,0.0086772117350625,458,5743341,15.93075136343638,0.3524575233459472,145853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145853.0,44403.0,5743341.0,92.7497329711914,0.3524575233459472,15.93075136343638,145853.0,44403.0,5743341.0,92.7497329711914,0.3524575233459472,15.93075136343638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2846815602198,0.02539514449949176,0.0077312129418725195,0.00010922395932532794,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-22 00:00:00+00:00,1,0,0,8330409552,40026,92.5456771850586,0.007449341336043,256,5616276,11.577624162038168,0.2666547894477844,168453,145853.0,44403.0,5743341.0,92.7497329711914,0.3524575233459472,15.93075136343638,0.0,0.0,0.0,0.0,0.0,0.0,157153.0,42214.5,5679808.5,92.647705078125,0.30955615639686584,13.754187762737274,157153.0,42214.5,5679808.5,92.647705078125,0.30955615639686584,13.754187762737274,0.0,15.495053238534684,0.0,-9.857442064725353,0.0,-2.2123882249025395,0.0,-24.34413460198577,0.0,-0.22000687182160972,0.10168824810736019,0.10168824810736019,4.208484273115647,0.02999371291693768,0.0071267852351299624,6.872869841047508e-05,0.0,0.0,1.0,1.0,1.0,15980.613254815975,15980.613254815975,3095.0063812535186,3095.0063812535186,89848.52315146866,89848.52315146866,2,1.0
2025-08-23 00:00:00+00:00,1,1,0,8330409552,29083,92.3072509765625,0.0084453902631135,176,5222660,13.247857769330343,0.1817281544208526,239993,168453.0,40026.0,5616276.0,92.5456771850586,0.2666547894477844,11.577624162038168,0.0,0.0,0.0,0.0,0.0,0.0,184766.33333333334,37837.333333333336,5527425.666666667,92.53422037760417,0.2669468224048614,13.585411098268297,184766.33333333334,37837.333333333336,5527425.666666667,92.53422037760417,0.2669468224048614,13.585411098268297,0.0,42.468819195858785,0.0,-27.339729176035576,0.0,-7.008487474618407,0.0,-31.848906671733314,0.0,-0.25763084322061314,0.2659817135599849,0.2659817135599849,8.251719158300096,0.04595224541665637,0.005568617224054941,5.520078739189456e-05,-0.22124099731445723,0.0,1.0,1.0,1.0,49144.46594819536,49144.46594819536,7891.026316857228,7891.026316857228,271473.6860919183,271473.6860919183,3,1.0
2025-08-24 00:00:00+00:00,1,1,0,8330409552,24845,92.1332550048828,0.0136600407803173,143,4705319,12.244607865810394,0.1737488657236099,454665,239993.0,29083.0,5222660.0,92.3072509765625,0.1817281544208526,13.247857769330343,0.0,0.0,0.0,0.0,0.0,0.0,252241.0,34589.25,5321899.0,92.43397903442383,0.24364733323454854,13.250210290153822,252241.0,34589.25,5321899.0,92.43397903442383,0.24364733323454854,13.250210290153822,0.0,89.44927560387177,0.0,-14.572086786094973,0.0,-9.905699394561395,0.0,-4.390782882636879,0.0,-0.1884965372047298,0.5581512979627737,0.5581512979627737,18.299323834822506,0.09662785952921374,0.005280193483121233,2.693099520485454e-05,-0.20878601074219716,0.0,1.0,1.0,1.0,140788.64154942802,140788.64154942802,9149.446918621185,9149.446918621185,467008.3700227796,467008.3700227796,4,1.0
2025-08-25 00:00:00+00:00,1,0,0,8330409552,32368,91.9667739868164,0.0196961172725449,114,5069793,20.46200422445933,0.253037691116333,744298,454665.0,24845.0,4705319.0,92.1332550048828,0.1737488657236099,12.244607865810394,0.0,0.0,0.0,0.0,0.0,0.0,350652.4,34145.0,5271477.8,92.34053802490234,0.24552540481090546,14.692569077014923,350652.4,34145.0,5271477.8,92.34053802490234,0.24552540481090546,14.692569077014923,0.0,63.702506240858646,0.0,30.27973435298852,0.0,7.745999793000213,0.0,45.63415425045214,0.0,-0.18069590405501712,0.717449063932744,0.717449063932744,22.99416108004572,0.1468103043240021,0.0063844803161627476,2.7491645460304706e-05,-0.19783401489258395,-0.19783401489258395,1.0,1.0,1.0,251575.23614577012,251575.23614577012,7985.679338666186,7985.679338666186,419862.00149656326,419862.00149656326,5,1.0
2025-08-26 00:00:00+00:00,1,0,0,8330409552,28536,91.73819732666016,0.0203170754408047,100,4821212,10.3720805644989,0.2291632294654846,871291,744298.0,32368.0,5069793.0,91.9667739868164,0.253037691116333,20.46200422445933,0.0,0.0,0.0,0.0,0.0,0.0,437425.5,33210.166666666664,5196433.5,92.24014790852864,0.2427983755866686,13.972487658262253,437425.5,33210.166666666664,5196433.5,92.24014790852864,0.2427983755866686,13.972487658262253,0.0,17.062117592684658,0.0,-11.838853188334152,0.0,-4.903178492691906,0.0,-9.435140490541482,0.0,-0.24854265322932223,0.7076201657801793,0.7076201657801793,30.531976031117498,0.18072028761226688,0.00591884241579868,1.190425318320253e-05,-0.1990966796874896,-0.1990966796874896,1.0,1.0,1.0,309531.1048264778,309531.1048264778,7500.689286103423,7500.689286103423,418111.42296701256,418111.42296701256,6,1.0
2025-08-27 00:00:00+00:00,1,0,0,8330409552,27896,91.54408264160156,0.0197796790257553,95,4414846,13.175336678822836,0.2333810925483703,945400,871291.0,28536.0,4821212.0,91.73819732666016,0.2291632294654846,10.3720805644989,0.0,0.0,0.0,0.0,0.0,0.0,509993.28571428574,32451.0,5084778.142857143,92.14071001325335,0.24145304943834028,13.858608946913764,509993.28571428574,32451.0,5084778.142857143,92.14071001325335,0.24145304943834028,13.858608946913764,0.0,8.50565425328622,0.0,-2.242781048500142,0.0,-8.428710457038601,0.0,1.840549678377168,0.0,-0.21159635867641358,0.6698508491536791,0.6698508491536791,33.88894863246944,0.21414105630387645,0.006318678767350262,1.3936241530126196e-05,-0.19901384626116012,-0.19901384626116012,1.0,1.0,1.0,341619.4354983892,341619.4354983892,7135.681794101154,7135.681794101154,482648.3189623091,482648.3189623091,7,1.0
2025-08-28 00:00:00+00:00,1,0,0,8330409552,30035,91.42543029785156,0.0187119791102678,90,4249880,12.11457335948944,0.2513628304004669,968781,945400.0,27896.0,4414846.0,91.54408264160156,0.2333810925483703,13.175336678822836,145853.0,44403.0,5743341.0,92.7497329711914,0.3524575233459472,15.93075136343638,627554.4285714285,30398.428571428572,4871426.571428572,91.95152391706195,0.22701095044612882,13.31344066063563,567341.75,32149.0,4980415.875,92.05130004882812,0.24269177205860612,13.640604498485724,564.2173969681803,2.4731330653691597,-32.358173997252436,7.667765987955266,-26.003348921820933,-3.736619578576472,-28.68280182694609,7.704882026109172,-1.4278237046258413,-0.1296122483574691,0.6265131877311935,0.6265131877311935,32.2539952057531,0.22795485332412838,0.0070672567067172,1.2504952981671252e-05,-0.18864767892019854,-0.1922825404575841,0.9989160812317344,1.106131231434014,0.9353879141453109,355447.08832549385,355447.08832549385,6661.350699584667,6661.350699584667,535539.7069593673,535539.7069593673,8,1.0
2025-08-29 00:00:00+00:00,1,0,0,8330409552,25241,91.30567169189452,0.0183235256764881,89,3979534,15.375914812088013,0.1761805117130279,1032245,968781.0,30035.0,4249880.0,91.42543029785156,0.2513628304004669,12.11457335948944,168453.0,40026.0,5616276.0,92.5456771850586,0.2666547894477844,11.577624162038168,750953.2857142857,28286.285714285714,4637606.285714285,91.77438027518136,0.21408605362687788,13.85605361064275,618997.6666666666,31381.444444444445,4869206.777777778,91.96845245361328,0.2353016320202085,13.833416755552644,512.7792321893941,6.55091295143071,-36.938489981512014,-15.961378391876146,-29.142834148464214,-6.3612619650437185,-33.92936534990418,-29.909879104901805,-1.3398848340420155,-0.13099047558965404,0.59262058735824,0.59262058735824,40.8939465969416,0.25938834562329516,0.006342700843188965,1.4895591566436696e-05,-0.17296709333147128,-0.18430633544922256,0.9978897961936479,1.213176278608943,0.9098366712921542,366830.76079338003,366830.76079338003,6642.978833157439,6642.978833157439,601880.0547108157,601880.0547108157,9,1.0
2025-08-30 00:00:00+00:00,1,1,0,8330409552,20560,91.25342559814452,0.0130638766403361,89,3403010,12.490749279658,0.1333939284086227,782574,1032245.0,25241.0,3979534.0,91.30567169189452,0.1761805117130279,15.375914812088013,239993.0,29083.0,5222660.0,92.3072509765625,0.1817281544208526,13.247857769330343,828464.8571428572,27068.714285714286,4377656.285714285,91.62383379255023,0.20718116419655935,13.747895254975274,635355.3,30299.3,4722587.1,91.8969497680664,0.22511086165904995,13.69915000796318,226.08201072531284,-24.187184244050584,-29.30578000893993,-18.545224040251973,-34.84144095154576,-14.487223880987067,-26.596993826446823,-24.285650489026988,-1.141649618279239,-0.057221082526282,0.5503979819965603,0.5503979819965603,38.06108652302903,0.2299651690811461,0.006041708357686766,1.5961089070897998e-05,-0.1526592799595429,-0.17304243607954617,0.997028019143122,1.3039394762943775,0.9203516999119896,349698.2749708192,349698.2749708192,7136.966645571491,7136.966645571491,732790.4425413025,732790.4425413025,9,0.7581281575594941
