timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,visits_visits_gained,platform_platform_share,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-05-27 00:00:00+00:00,0,0,1,2820580801,2878,90.34455871582033,162878,0.046175979077816,0.0,0.0073803693052998,1230596.0,0.0,1647980.0,3334.0,238431.0,90.34803009033205,0.0454267188906669,0.0,1085517.0,2197.0,145980.0,90.3732681274414,0.044714655727148,0.0,1220866.0,2643.8571428571427,170681.42857142858,90.35815974644252,0.04494563862681383,0.0,1282619.0666666667,2773.9,170611.16666666666,90.41534805297852,0.04992040966947868,0.0,13.364968029058954,-25.327006395708686,30.99681383705053,-13.677264547090584,11.57555829565693,-31.68757418288729,3.2681082452811427,1.6493821377511875,-0.0317675925812444,-0.0038422249032388223,0.18742642166676843,0.18821594303084407,427.4386939909691,7.55527723033663,0.01766955838383094,0.0,-0.004432133265899384,-0.005075400822420093,0.9993674933762078,0.9518539305460713,0.9003459491698358,229277.57690362318,241409.35718200772,472.05841624914785,563.629699298252,38427.106113357295,38369.33693502197,6,0.49523676144851386
2024-05-28 00:00:00+00:00,0,0,0,2820580801,2525,90.34317779541016,149537,0.0474985390901565,0.0,0.0069281885965487,1156668.0,0.0,1230596.0,2878.0,162878.0,90.34455871582033,0.046175979077816,0.0,1015688.0,2275.0,137552.0,90.36973571777344,0.0480257421731948,0.0,1241006.0,2679.5714285714284,172393.57142857142,90.35436575753349,0.0448703239006655,0.0,1264831.3333333333,2724.4,168661.9,90.4105931599935,0.04971978304286793,0.0,13.880246689928398,-6.007495554999364,10.989010989010994,-12.265462126476724,8.713068512271715,-8.19079310895271,-1.0977510376353083,2.864173188643626,-0.029388071296587714,-0.001528504239545203,0.1846241208340779,0.18161373178332854,457.90498812351547,7.734943626369217,0.016885340181091092,0.0,-0.004383632114955934,-0.005054970339222198,0.9993780883357274,0.9811632328315713,0.9024641934173109,226782.6168285491,229710.7385231498,467.94361922055964,514.3853111004101,37802.67636580182,37885.971848701396,6,0.4654854350177716
2024-05-29 00:00:00+00:00,0,0,0,2820580801,2397,90.33939361572266,146151,0.0452313832938671,0.0,0.0065798617965758,1099800.0,0.0,1156668.0,2525.0,149537.0,90.34317779541016,0.0474985390901565,0.0,1076656.0,2202.0,145416.0,90.3670883178711,0.0466064102947711,0.0,1244312.2857142857,2707.4285714285716,172498.57142857142,90.35040937151227,0.044673891471964926,0.0,1261498.6333333333,2724.0666666666666,168557.66666666666,90.40586293538412,0.04951884696880971,0.0,2.1496188197530186,-4.916536119266723,8.855585831062672,-5.069306930693074,0.5054464433074779,-2.264322542247066,-2.950295876055209,-4.7731063727794565,-0.030646889994967452,-0.00418867232683251,0.1856716896630406,0.18343742976514485,458.6321934945788,7.525042421588483,0.016400733482949258,0.0,-0.004170281546454411,-0.005026686416980907,0.999386615402239,0.9863762455503934,0.9021593636884061,227743.17044642445,231406.06695090953,468.82566056051724,514.6012807610599,37694.93368470721,37945.39548944614,6,0.442599675475197
2024-05-30 00:00:00+00:00,0,0,0,2820580801,2620,90.3352508544922,152842,0.0455043204128742,0.0,0.0068250103913559,1142120.0,0.0,1099800.0,2397.0,146151.0,90.33939361572266,0.0452313832938671,0.0,1023888.0,2051.0,142180.0,90.36431121826172,0.0392628759145736,0.0,1261202.5714285714,2788.714285714286,174021.7142857143,90.34625789097379,0.045565526400293585,0.0,1261339.9333333333,2729.3333333333335,168749.46666666667,90.40110422770182,0.04933720851937925,0.0,11.547356742143666,3.847972358610652,27.742564602632868,9.303295786399657,7.498944999296664,4.57814178486633,15.896554577103462,0.6034242137452184,-0.032159116113139596,-0.004585774892484906,0.18027899180792797,0.1835262602093777,435.75734452499046,7.472504465366422,0.017141772930392624,0.0,-0.0038084302629746362,-0.004984667887279035,0.9993933001460924,0.9998910984254665,0.9235529890669802,222514.77976283105,231489.00081741248,457.7132902199381,512.6314353468297,36648.935500184336,37847.548137897655,6,0.4596307886467831
2024-05-31 00:00:00+00:00,0,0,0,2820580801,2894,90.33029174804688,167479,0.045812327414751,0.0,0.0072561764899005,1215784.0,0.0,1142120.0,2620.0,152842.0,90.3352508544922,0.0455043204128742,0.0,1084326.0,2552.0,150915.0,90.35953521728516,0.0442925691604614,0.0,1279982.2857142857,2837.5714285714284,176388.0,90.34208025251118,0.04578263472233496,0.0,1255732.5,2736.366666666667,168026.5,90.3963404337565,0.049237833047906514,0.0,12.123475781268734,6.4497600952614365,13.401253918495293,10.458015267175579,10.975714806347936,9.576556182201234,3.4311810831832323,0.6768741936637124,-0.032363456903539145,-0.005489669202685121,0.1777950650572238,0.1835185949767707,419.95993091537133,7.259278719847146,0.017279675185096727,0.0,-0.003622327532085292,-0.0049442719829752525,0.9993997524569582,1.0193112671005056,0.9298263527923786,220552.37797010786,230450.2640666677,461.1218105618399,513.4206773728797,36327.862178217,37650.702818689635,6,0.4892758718384588
2024-06-01 00:00:00+00:00,1,1,0,2820580801,3177,90.32627868652344,210389,0.0440578125417232,0.0,0.008831849874956,1482005.0,0.0,1215784.0,2894.0,167479.0,90.33029174804688,0.045812327414751,0.0,1466928.0,3215.0,217398.0,90.3538589477539,0.044829174876213,0.0,1282136.142857143,2832.1428571428573,175386.7142857143,90.33814021519254,0.045672440103122124,0.0,1265272.2,2765.266666666667,169672.66666666666,90.39157155354818,0.04896620959043498,0.0,1.0277941384989608,21.897063952149388,-1.1819595645412129,9.778852798894256,-3.224040699546449,25.621122648212612,-1.7206703817765123,-3.82978768387755,-0.0305247186469515,-0.004442653118652551,0.17093640602043023,0.18476957873205643,466.3325991189427,7.044084794904701,0.015100527591615572,0.0,-0.003632681710379737,-0.00489280284843439,0.9994088902600395,1.0133283121664596,0.9327338277791414,210910.7514600812,233783.81137538224,442.47048700239554,512.994450015914,35520.73799421705,38405.12592344034,6,0.5964129223973625
2024-06-02 00:00:00+00:00,1,1,0,2820580801,3119,90.32095336914062,203408,0.0425137318670749,0.0,0.0087777575623926,1475260.0,0.0,1482005.0,3177.0,210389.0,90.32627868652344,0.0440578125417232,0.0,1647980.0,3334.0,238431.0,90.34803009033205,0.0454267188906669,0.0,1257461.857142857,2801.4285714285716,170383.42857142858,90.3342721121652,0.04525629909975184,0.0,1270742.9666666666,2779.6666666666665,170436.2,90.38667602539063,0.04862036779522891,0.0,-10.480709717350933,-0.4551266696131262,-6.4487102579484095,-1.8256216556499893,-14.688945648845998,-3.318139256329944,-6.412497082615598,-3.504669400429372,-0.02996935424529612,-0.005895645719333764,0.1656699533951893,0.1863437637018934,472.8397435897436,7.252678101755576,0.015333638137938832,0.0,-0.004061290196010168,-0.0048225581049254765,0.9994202252419293,0.9895485476825832,0.9308094766036059,203575.42806909824,236795.0271063763,428.2077137953629,516.7710313577749,33260.9120803617,38852.934908356816,6,0.5936984881265132
2024-06-03 00:00:00+00:00,1,0,0,2820580801,2406,90.32076263427734,147947,0.043544415384531,0.0,0.0067509346441884,1136169.0,0.0,1475260.0,3119.0,203408.0,90.32095336914062,0.0425137318670749,0.0,1230596.0,2878.0,162878.0,90.34455871582033,0.046175979077816,0.0,1243972.2857142857,2734.0,168250.42857142858,90.33087267194476,0.044880361429282555,0.0,1252249.8666666667,2735.1,167685.66666666666,90.38199055989584,0.04836634062230582,0.0,-7.673273763282184,-22.98516871602294,-16.40027797081306,-22.859890990702148,-9.166983877503409,-27.26588924722725,-5.698988404447858,2.424354372555859,-0.026339252613805098,-0.0002111745460720016,0.16331303138722825,0.17901609482641542,472.0270045700042,7.679515775813123,0.016262470597777596,0.0,-0.004039219447539253,-0.004732974246558075,0.9994344239639511,0.9933898328339097,0.9279255129048241,201270.10615964953,224172.8808775661,413.6961843757302,487.65967146404205,33158.70851030536,37348.567977285646,6,0.4572358889661567
2024-06-04 00:00:00+00:00,1,0,0,2820580801,2455,90.31866455078124,141883,0.0451988242566585,0.0,0.0066521995934812,1120828.0,0.0,1136169.0,2406.0,147947.0,90.32076263427734,0.043544415384531,0.0,1156668.0,2525.0,149537.0,90.34317779541016,0.0474985390901565,0.0,1238852.2857142857,2724.0,167157.0,90.32737077985492,0.04455183073878284,0.0,1234810.3666666667,2697.9666666666667,164969.53333333333,90.37749328613282,0.048271002372105874,0.0,-3.0985555059878878,-1.3502392689819898,-2.7722772277227747,2.036575228595172,-5.1184656640162585,-4.09876509831223,-4.84165382251639,3.799359475877173,-0.027133476181717686,-0.0023229249121903273,0.15678768998159376,0.17225466635463546,456.36319218241044,7.899608130585548,0.017302867130895662,0.0,-0.0035893576485745713,-0.0046477898076853754,0.9994454094215779,1.003273311560001,0.9229522601446493,194405.626049429,212701.84772141176,402.4874921270057,463.8016433431643,32856.89090218687,36101.67427842713,6,0.4510621104414568
2024-06-05 00:00:00+00:00,1,0,0,2820580801,2465,90.31105041503906,146403,0.045111421495676,0.0,0.0066046133906221,1114083.0,0.0,1120828.0,2455.0,141883.0,90.31866455078124,0.0451988242566585,0.0,1099800.0,2397.0,146151.0,90.33939361572266,0.0452313832938671,0.0,1240892.7142857143,2733.714285714286,167193.0,90.32332175118583,0.04453469333904126,0.0,1235066.0666666667,2701.5,165262.43333333332,90.37295735677084,0.04803227037191386,0.0,1.2986906710310997,-0.6017872501400734,2.8368794326241176,0.40733197556008793,0.1724244103700867,3.185723448193234,-0.2652180620073219,-0.19337397027451297,-0.031374132091432916,-0.008430301510820026,0.15470182161429588,0.17209340520329364,451.7773722627737,7.609648643479686,0.01683697166744078,0.0,-0.0036204201834489683,-0.004596212045500662,0.9994507692673035,1.0047176809211293,0.9271827667984281,192232.8702924781,212546.72506370474,383.0335824372719,461.52847635087727,32801.615804896814,35907.21872835109,6,0.44834767617060733
