timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ratings_like_ratio,visits_visits_gained,session_session_length,ccu_playing,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-08-13 00:00:00+00:00,1,1,0,3647333358,0.049556441605091,92.87248992919922,49606,0.0,2620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,49606.0,92.87248992919922,0.049556441605091,0.0,0.0,2620.0,49606.0,92.87248992919922,0.049556441605091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05281512689741367,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-08-14 00:00:00+00:00,1,1,0,3647333358,0.0777242109179496,92.72237396240234,227276,0.0,4134,0.0,0.0,0.0,0.0,2620.0,49606.0,92.87248992919922,0.049556441605091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377.0,138441.0,92.79743194580078,0.0636403262615203,0.0,0.0,3377.0,138441.0,92.79743194580078,0.0636403262615203,0.0,0.0,0.0,0.0,57.786259541984734,0.0,358.16231907430557,0.0,56.839773802412964,0.0,-0.1616366341758657,0.0,0.0,0.0,0.0,0.018189258041948812,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1070.559666716433,1070.559666716433,125631.6618134139,125631.6618134139,0,0.0
2022-08-15 00:00:00+00:00,1,0,0,3647333358,0.0854489132761955,92.60676574707033,237070,0.0,4033,0.0,0.0,0.0,0.0,4134.0,227276.0,92.72237396240234,0.0777242109179496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3595.6666666666665,171317.33333333334,92.73387654622395,0.07090985526641203,0.0,0.0,3595.6666666666665,171317.33333333334,92.73387654622395,0.07090985526641203,0.0,0.0,0.0,0.0,-2.443154329946784,0.0,4.309297946109569,0.0,9.938605058854266,0.0,-0.12468211327170131,0.0,0.0,0.0,0.0,0.017011781280713373,0.0,-0.13286209106444438,0.0,1.0,0.0,1.0,0.0,0.0,846.4598828847905,846.4598828847905,105518.79977204693,105518.79977204693,0,0.0
2022-08-16 00:00:00+00:00,1,0,0,3647333358,0.0990185067057609,92.1417007446289,290855,0.0,4376,0.0,0.0,0.0,0.0,4033.0,237070.0,92.60676574707033,0.0854489132761955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3790.75,201201.75,92.5858325958252,0.07793701812624924,0.0,0.0,3790.75,201201.75,92.5858325958252,0.07793701812624924,0.0,0.0,0.0,0.0,8.504835110339704,0.0,22.68739190956257,0.0,15.88035811023667,0.0,-0.5021933318690941,0.0,0.0,0.0,0.0,0.015045245757350717,0.0,-0.23079757690431174,0.0,1.0,0.0,1.0,0.0,0.0,793.6579342932739,793.6579342932739,104857.64083548386,104857.64083548386,0,0.0
2022-08-17 00:00:00+00:00,1,0,0,3647333358,0.1372928768396377,91.97570037841795,346995,0.0,5861,0.0,0.0,0.0,0.0,4376.0,290855.0,92.1417007446289,0.0990185067057609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4204.8,230360.4,92.46380615234375,0.08980818986892694,0.0,0.0,4204.8,230360.4,92.46380615234375,0.08980818986892694,0.0,0.0,0.0,0.0,33.93510054844606,0.0,19.301713912430586,0.0,38.65375413872001,0.0,-0.18015769718753294,0.0,0.0,0.0,0.0,0.01689068461884287,0.0,-0.2374252319336016,-0.2374252319336016,1.0,0.0,1.0,0.0,0.0,1153.0857296836173,1153.0857296836173,111792.11949104462,111792.11949104462,0,0.0
2022-08-18 00:00:00+00:00,1,0,0,3647333358,0.2458825409412384,91.82752990722656,542979,0.0,10486,0.0,0.0,0.0,0.0,5861.0,346995.0,91.97570037841795,0.1372928768396377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5251.666666666667,282463.5,92.35776011149089,0.11582058171431218,0.0,0.0,5251.666666666667,282463.5,92.35776011149089,0.11582058171431218,0.0,0.0,0.0,0.0,78.9114485582665,0.0,56.48035274283492,0.0,79.09344359389947,0.0,-0.1610974100569762,0.0,0.0,0.0,0.0,0.01931194519135143,0.0,-0.2265681675502187,-0.2265681675502187,1.0,0.0,1.0,0.0,0.0,2763.9218995236943,2763.9218995236943,162130.75143815254,162130.75143815254,0,0.0
2022-08-19 00:00:00+00:00,1,0,0,3647333358,0.3984633982181549,92.080078125,1063251,0.0,17425,0.0,0.0,0.0,0.0,10486.0,542979.0,91.82752990722656,0.2458825409412384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6990.714285714285,394004.5714285714,92.3180912562779,0.15619812692914684,0.0,0.0,6990.714285714285,394004.5714285714,92.3180912562779,0.15619812692914684,0.0,0.0,0.0,0.0,66.17394621399961,0.0,95.81807031211152,0.0,62.054368192567466,0.0,0.27502451392147353,0.0,0.0,0.0,0.0,0.01638840086827958,0.0,-0.17135674612862747,-0.17135674612862747,1.0,0.0,1.0,0.0,0.0,5247.481291511376,5247.481291511376,330144.1979543975,330144.1979543975,0,0.0
2022-08-20 00:00:00+00:00,1,1,0,3647333358,0.6180800199508667,92.39488220214844,1927287,0.0,33942,0.0,0.0,0.0,0.0,17425.0,1063251.0,92.080078125,0.3984633982181549,0.0,0.0,2620.0,49606.0,92.87248992919922,0.049556441605091,0.0,0.0,11465.285714285714,662244.7142857143,92.24986158098493,0.23741578097854335,0.0,0.0,10359.625,585664.875,92.32769012451172,0.21393336355686182,0.0,0.0,0.0,1195.4961832061067,94.78909612625539,3785.1892916179495,81.26359627218784,1147.2243767546267,55.11588334456601,-0.5142617877639366,0.34188076678332013,0.0,0.0,0.0,0.0,0.017611275533288225,0.0,-0.08392933436802436,-0.10783858526320367,0.9991570400665084,0.0,1.1097651017646908,0.0,0.0,10695.73804222304,10695.73804222304,622329.3545454707,622329.3545454707,0,0.0
2022-08-21 00:00:00+00:00,1,1,0,3647333358,1.1603883504867554,92.9611358642578,3307034,0.0,65151,0.0,0.0,0.0,0.0,33942.0,1927287.0,92.39488220214844,0.6180800199508667,0.0,0.0,4134.0,227276.0,92.72237396240234,0.0777242109179496,0.0,0.0,20182.0,1102210.142857143,92.28397042410714,0.39208208663122995,0.0,0.0,16447.555555555555,888039.2222222222,92.3980729844835,0.3190950287712944,0.0,0.0,0.0,1475.9796806966617,91.94802899063109,1355.0740069343,71.59011605432921,1392.9561031011713,87.74079618024193,0.2575019293102443,0.6128625835254198,0.0,0.0,0.0,0.0,0.01970072890066177,0.0,0.05978039332798402,-0.03325729370117335,0.9987650980513898,0.0,1.2287314162836667,0.0,0.0,20824.62596969698,20824.62596969698,1077847.0717409055,1077847.0717409055,0,0.0
2022-08-22 00:00:00+00:00,1,0,0,3647333358,1.5354493856430054,93.57134246826172,4105491,0.0,66518,0.0,0.0,0.0,0.0,65151.0,3307034.0,92.9611358642578,1.1603883504867554,0.0,0.0,4033.0,237070.0,92.60676574707033,0.0854489132761955,0.0,0.0,29108.428571428572,1654841.7142857143,92.42176709856305,0.5992250112550599,0.0,0.0,21454.6,1209784.4,92.51539993286133,0.4407304644584656,0.0,0.0,0.0,1549.342920902554,2.0982026369510853,1631.7631923060699,24.144202932295222,1696.9209048686093,32.32202693166653,1.041583423640846,0.656410443279154,0.0,0.0,0.0,0.0,0.016202199395346527,0.0,0.2438267299107205,0.03980939460522874,0.998987921639357,0.0,1.3596178607515588,0.0,0.0,25222.707671197135,25222.707671197135,1438009.0723163206,1438009.0723163206,0,0.0
