timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,sort_sort_position,daily_Estimated Revenue,session_session_length,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-30 00:00:00+00:00,1,0,0,7922055773,624771,460.0,146203,13.322283506393433,11080,0.0891042649745941,0.0586602780370316,86.24620056152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146203.0,11080.0,624771.0,86.24620056152344,0.0891042649745941,13.322283506393433,146203.0,11080.0,624771.0,86.24620056152344,0.0891042649745941,13.322283506393433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19402580994495,0.23401016690888837,0.01773446953448618,9.112119713820028e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-31 00:00:00+00:00,1,0,0,7922055773,2315333,454.0,146027,9.307270685831703,11053,0.0849823355674743,0.0372992720818576,87.16437530517578,146203.0,11080.0,624771.0,86.24620056152344,0.0891042649745941,13.322283506393433,0.0,0.0,0.0,0.0,0.0,0.0,146115.0,11066.5,1470052.0,86.70528793334961,0.0870433002710342,11.314777096112568,146115.0,11066.5,1470052.0,86.70528793334961,0.0870433002710342,11.314777096112568,0.0,-0.12038056674623654,0.0,-0.24368231046931754,0.0,270.5890638329884,0.0,-4.625961965226999,0.0,1.0645973244900908,0.0008517318104837447,0.0008517318104837447,13.210331101863579,0.06306951826388763,0.004773825288273744,6.373620597304423e-05,0.0,0.0,1.0,1.0,1.0,124.45079348883236,124.45079348883236,19.091883092036785,19.091883092036785,1195407.8542162923,1195407.8542162923,1,0.9987961943325376
2025-08-01 00:00:00+00:00,1,0,0,7922055773,1800887,391.0,159883,7.387965142726898,8556,0.0596547685563564,0.0259261036059603,87.45531463623047,146027.0,11053.0,2315333.0,87.16437530517578,0.0849823355674743,9.307270685831703,0.0,0.0,0.0,0.0,0.0,0.0,150704.33333333334,10229.666666666666,1580330.3333333333,86.95529683430989,0.07791378969947493,10.005839778317345,150704.33333333334,10229.666666666666,1580330.3333333333,86.95529683430989,0.07791378969947493,10.005839778317345,0.0,9.488656207413705,0.0,-22.59115172351398,0.0,-22.21909332264517,0.0,-29.803331294664538,0.0,0.33378238533352533,0.05274861991881097,0.05274861991881097,18.684468855907443,0.0887800907108049,0.0047509895118408255,4.6208283147324925e-05,0.6045570373535073,0.0,1.0,1.0,1.0,7949.445599117795,7949.445599117795,1449.5007186384325,1449.5007186384325,866593.2733233817,866593.2733233817,2,1.0
2025-08-02 00:00:00+00:00,1,1,0,7922055773,1531366,331.0,174504,10.152412196000418,6839,0.0452727600932121,0.022065717156447,86.78263092041016,159883.0,8556.0,1800887.0,87.45531463623047,0.0596547685563564,7.387965142726898,0.0,0.0,0.0,0.0,0.0,0.0,156654.25,9382.0,1568089.25,86.91213035583496,0.06975353229790923,10.042482882738113,156654.25,9382.0,1568089.25,86.91213035583496,0.06975353229790923,10.042482882738113,0.0,9.144812143880209,0.0,-20.067788686302013,0.0,-14.966013969782665,0.0,-24.108732312920612,0.0,-0.7691741989818812,0.08652745907176021,0.08652745907176021,25.512280701754385,0.11395308897214058,0.004465944479670777,5.817834558322351e-05,0.190023040771473,0.0,1.0,1.0,1.0,13554.894205292292,13554.894205292292,2067.572650879931,2067.572650879931,707993.8634839406,707993.8634839406,3,1.0
2025-08-03 00:00:00+00:00,1,1,0,7922055773,1524697,295.0,179267,9.107446293036142,5454,0.0411456823348999,0.019081996835022,86.60041046142578,174504.0,6839.0,1531366.0,86.78263092041016,0.0452727600932121,10.152412196000418,0.0,0.0,0.0,0.0,0.0,0.0,161176.8,8596.4,1559410.8,86.84978637695312,0.06403196230530736,9.855475564797718,161176.8,8596.4,1559410.8,86.84978637695312,0.06403196230530736,9.855475564797718,0.0,2.729450327786176,0.0,-20.25149875712824,0.0,-0.4354935397547055,0.0,-9.116028600454129,0.0,-0.20997342100804728,0.09613138630862535,0.09613138630862535,32.862878093492206,0.11757541493462968,0.003577101826066539,5.080352485126259e-05,0.032667541503897245,0.032667541503897245,1.0,1.0,1.0,15494.149224788045,15494.149224788045,2508.3818090553914,2508.3818090553914,613447.6836048857,613447.6836048857,4,1.0
2025-08-04 00:00:00+00:00,1,0,0,7922055773,1320391,260.0,199616,12.010079979896544,6263,0.0479558147490024,0.0185076330193034,86.51697540283203,179267.0,5454.0,1524697.0,86.60041046142578,0.0411456823348999,9.107446293036142,0.0,0.0,0.0,0.0,0.0,0.0,167583.33333333334,8207.5,1519574.1666666667,86.79431788126628,0.06135260437925653,10.214576300647524,167583.33333333334,8207.5,1519574.1666666667,86.79431788126628,0.06135260437925653,10.214576300647524,0.0,11.35122470951151,0.0,14.833149981664828,0.0,-13.399777136047364,0.0,16.551268632932903,0.0,-0.09634487659953006,0.12492901198541616,0.12492901198541616,31.867177522349937,0.15117934673945313,0.004743288356791013,6.016561705614524e-05,-0.02887725830078286,-0.02887725830078286,1.0,1.0,1.0,20936.020258555993,20936.020258555993,2437.425424500204,2437.425424500204,557293.6322515866,557293.6322515866,5,1.0
2025-08-05 00:00:00+00:00,1,0,0,7922055773,1300256,246.0,203522,10.525107224782309,6100,0.0471918508410453,0.0168198122194309,86.35064697265625,199616.0,6263.0,1320391.0,86.51697540283203,0.0479558147490024,12.010079979896544,0.0,0.0,0.0,0.0,0.0,0.0,172717.42857142858,7906.428571428572,1488243.0,86.73093632289341,0.0593296395880835,10.258937861238207,172717.42857142858,7906.428571428572,1488243.0,86.73093632289341,0.0593296395880835,10.258937861238207,0.0,1.9567569733889068,0.0,-2.602586619830749,0.0,-1.5249270859919561,0.0,-1.5930579262507294,0.0,-0.19224947404984372,0.13575535968774113,0.13575535968774113,33.35879364038682,0.15652444093744544,0.004691380242521286,5.171458373148149e-05,-0.0655844552176352,-0.0655844552176352,1.0,1.0,1.0,23447.316640056022,23447.316640056022,2363.3402108839414,2363.3402108839414,515446.39665342506,515446.39665342506,6,1.0
2025-08-06 00:00:00+00:00,1,0,0,7922055773,1338204,234.0,210538,8.736797253290812,7384,0.0576593391597271,0.0157506464115945,86.29317474365234,203522.0,6100.0,1300256.0,86.35064697265625,0.0471918508410453,10.525107224782309,146203.0,11080.0,624771.0,86.24620056152344,0.0891042649745941,13.322283506393433,181908.14285714287,7378.428571428572,1590162.0,86.7376469203404,0.05483750732881678,9.60386839650926,177445.0,7841.125,1469488.125,86.67621612548828,0.05912085203453895,10.068670285244782,44.003885009199536,3.4472931673234397,-33.35740072202166,21.049180327868843,114.19111962623103,2.9185022026431806,-35.290034460003405,22.180711568060918,0.05446521913206048,-0.0665568018524576,0.14368291643935804,0.14368291643935804,28.508869329722412,0.15732866040703777,0.005517839195041119,4.149728674160517e-05,-0.18173544747488132,-0.08020310174850699,1.0007087387705431,1.0251522604589753,0.927549340743266,25495.815107581886,25495.815107581886,2195.8101946011375,2195.8101946011375,480149.9268485797,480149.9268485797,7,1.0
2025-08-07 00:00:00+00:00,1,0,0,7922055773,1097383,231.0,215088,8.633115629355112,3353,0.025828406214714,0.014578784905991,86.21803283691406,210538.0,7384.0,1338204.0,86.29317474365234,0.0576593391597271,8.736797253290812,146027.0,11053.0,2315333.0,87.16437530517578,0.0849823355674743,9.307270685831703,191774.0,6278.428571428572,1416169.142857143,86.60245513916016,0.046386945992708165,9.507560531298319,181627.55555555556,7342.444444444444,1428143.111111111,86.62530687120226,0.055421691387891735,9.909164212368152,47.29330877166551,2.1611300572818237,-69.66434452184926,-54.591007583965336,-52.60366435411235,-17.99583621032369,-69.60732363703188,-55.20516434785263,-1.0856986755752307,-0.08707746233871383,0.14837274948907334,0.14837274948907334,64.12880143112702,0.19600067068592217,0.0030554482296078675,4.013741116168243e-05,-0.1764471871512267,-0.08668772379557758,0.9997362002760224,1.0558640147603642,0.836981781520341,26948.579800757194,26948.579800757194,2541.067743641987,2541.067743641987,465951.33842748124,465951.33842748124,8,1.0
2025-08-08 00:00:00+00:00,1,0,0,7922055773,889284,237.0,211030,9.849394261837006,4245,0.0284153223037719,0.0134527737971161,86.20240020751953,215088.0,3353.0,1097383.0,86.21803283691406,0.025828406214714,8.633115629355112,159883.0,8556.0,1800887.0,87.45531463623047,0.0596547685563564,7.387965142726898,199080.7142857143,5662.571428571428,1285940.142857143,86.42346736363002,0.041924167956624674,9.859193262599762,184567.8,7032.7,1374257.2,86.58301620483398,0.052721054479479744,9.903187217315038,31.990267883389723,-1.8866696421929618,-50.38569424964937,26.603042051893834,-50.619666864161935,-18.96320610033142,-52.36705632856879,10.015779013047176,-1.432633835830821,-0.018131507853003104,0.1465868535932968,0.1465868535932968,49.70089495996232,0.2373030018498007,0.004773497810038402,4.667273652608861e-05,-0.09747314453124484,-0.08611325350674187,0.9981572732367454,1.0786318864163429,0.7952073108276416,27055.21307663688,27055.21307663688,2588.2415330361528,2588.2415330361528,471194.3955669818,471194.3955669818,8,0.9811333035780704
