timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,platform_platform_share,ccu_playing,ratings_like_ratio,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-07-10 00:00:00+00:00,1,0,0,4518160318,0,0.0,0.3667820990085602,20490,97.84228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.0,0.0,97.84228515625,0.3667820990085602,0.0,0.0,20490.0,0.0,97.84228515625,0.3667820990085602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20490.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-07-11 00:00:00+00:00,1,0,0,4518160318,1004660,0.0,0.3597837388515472,19946,97.84229278564452,0.0,0.0,0.0,0.0,20490.0,0.0,97.84228515625,0.3667820990085602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20218.0,502330.0,97.84228897094727,0.3632829189300537,0.0,0.0,20218.0,502330.0,97.84228897094727,0.3632829189300537,0.0,0.0,0.0,0.0,-2.6549536359199655,0.0,inf,0.0,-1.9080429977171964,0.0,7.797645462659375e-06,0.0,0.0,0.0,0.0,0.019853463008915447,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,384.66608896548183,384.66608896548183,710401.8987868768,710401.8987868768,0,0.0
2023-07-12 00:00:00+00:00,1,0,0,4518160318,1014336,0.0,0.3661684095859527,20338,97.83487701416016,0.0,0.0,0.0,0.0,19946.0,1004660.0,97.84229278564452,0.3597837388515472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20258.0,672998.6666666666,97.83981831868489,0.3642447491486867,0.0,0.0,20258.0,672998.6666666666,97.83981831868489,0.3642447491486867,0.0,0.0,0.0,0.0,1.9653063270831161,0.0,0.9631118985527376,0.0,1.774585687164687,0.0,-0.007579310820737817,0.0,0.0,0.0,0.0,0.02005053547292468,0.0,-0.0037040710449172598,0.0,1.0,0.0,1.0,0.0,0.0,280.68487668558134,280.68487668558134,582854.0213855724,582854.0213855724,0,0.0
2023-07-13 00:00:00+00:00,1,0,0,4518160318,1011666,0.0,0.3558095395565033,19968,97.833740234375,0.0,0.0,0.0,0.0,20338.0,1014336.0,97.83487701416016,0.3661684095859527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20185.5,757665.5,97.83829879760742,0.36213594675064087,0.0,0.0,20185.5,757665.5,97.83829879760742,0.36213594675064087,0.0,0.0,0.0,0.0,-1.8192545973055418,0.0,-0.26322638652280794,0.0,-2.828990638805451,0.0,-0.001161937153548731,0.0,0.0,0.0,0.0,0.019737720020520585,0.0,-0.0033050537109450074,0.0,1.0,0.0,1.0,0.0,0.0,271.19673056043035,271.19673056043035,505126.8132825657,505126.8132825657,0,0.0
2023-07-14 00:00:00+00:00,1,0,0,4518160318,1020916,0.0,0.3422125279903412,19322,97.8546905517578,0.0,0.0,0.0,0.0,19968.0,1011666.0,97.833740234375,0.3558095395565033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20012.8,810315.6,97.8415771484375,0.3581512629985809,0.0,0.0,20012.8,810315.6,97.8415771484375,0.3581512629985809,0.0,0.0,0.0,0.0,-3.2351762820512775,0.0,0.9143333867106307,0.0,-3.8214297410659737,0.0,0.021414204682979054,0.0,0.0,0.0,0.0,0.018926122299853954,0.0,0.001625823974604931,0.001625823974604931,1.0,0.0,1.0,0.0,0.0,451.98141554714374,451.98141554714374,453017.64675650327,453017.64675650327,0,0.0
2023-07-15 00:00:00+00:00,1,1,0,4518160318,1047878,0.0,0.3216959536075592,18106,97.873291015625,0.0,0.0,0.0,0.0,19322.0,1020916.0,97.8546905517578,0.3422125279903412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19695.0,849909.3333333334,97.84686279296875,0.35207537810007733,0.0,0.0,19695.0,849909.3333333334,97.84686279296875,0.35207537810007733,0.0,0.0,0.0,0.0,-6.293344374288379,0.0,2.6409616462079066,0.0,-5.9952727339546925,0.0,0.01900824964273795,0.0,0.0,0.0,0.0,0.0172787125231062,0.0,0.005459594726571404,0.005459594726571404,1.0,0.0,1.0,0.0,0.0,877.1606466320748,877.1606466320748,416636.49976192275,416636.49976192275,0,0.0
2023-07-16 00:00:00+00:00,1,1,0,4518160318,1078970,0.0,0.3121190965175628,18329,97.87313842773438,0.0,0.0,0.0,0.0,18106.0,1047878.0,97.873291015625,0.3216959536075592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19499.85714285714,882632.2857142857,97.85061645507812,0.3463673378740038,0.0,0.0,19499.85714285714,882632.2857142857,97.85061645507812,0.3463673378740038,0.0,0.0,0.0,0.0,1.2316359217938722,0.0,2.9671393043846805,0.0,-2.976990224029774,0.0,-0.00015590350446181844,0.0,0.0,0.0,0.0,0.016987481591256855,0.0,0.006227493286129916,0.006227493286129916,1.0,0.0,1.0,0.0,0.0,952.7543280005654,952.7543280005654,390064.76222875016,390064.76222875016,0,0.0
2023-07-17 00:00:00+00:00,1,0,0,4518160318,965967,0.0,0.3282437026500702,18819,97.88196563720705,0.0,0.0,0.0,0.0,18329.0,1078970.0,97.87313842773438,0.3121190965175628,0.0,0.0,20490.0,0.0,97.84228515625,0.3667820990085602,0.0,0.0,19261.14285714286,1020627.5714285715,97.85628509521484,0.3408618526799338,0.0,0.0,19414.75,893049.125,97.85453510284424,0.3441018834710121,0.0,0.0,0.0,-8.155197657393852,2.673359157619082,inf,-10.473229098121362,-10.507163916304041,5.166170962435834,0.04055555416933032,0.009019031794088583,0.0,0.0,0.0,0.0,0.019482011826478723,0.0,0.008396148681650716,0.0067640940348417215,1.000017883610287,0.0,0.9905840945757239,0.0,0.0,914.335472976334,914.335472976334,362329.704368603,362329.704368603,0,0.0
2023-07-18 00:00:00+00:00,1,0,0,4518160318,920269,0.0,0.3167755901813507,18264,97.8958969116211,0.0,0.0,0.0,0.0,18819.0,965967.0,97.88196563720705,0.3282437026500702,0.0,0.0,19946.0,1004660.0,97.84229278564452,0.3597837388515472,0.0,0.0,19020.85714285714,1008571.7142857143,97.86394282749721,0.3347178314413343,0.0,0.0,19286.88888888889,896073.5555555555,97.859130859375,0.3410656286610497,0.0,0.0,0.0,-8.43276847488218,-2.949147138530206,-8.399956204088943,-4.7308034332435795,-11.953888968823678,-3.493779888580306,0.05478625290804562,0.014232728494323332,0.0,0.0,0.0,0.0,0.019846349440924945,0.0,0.010641370500839971,0.00749231974283885,1.0000491723979148,0.0,0.9813883408755215,0.0,0.0,937.3603155196569,937.3603155196569,339049.8303436056,339049.8303436056,0,0.0
2023-07-19 00:00:00+00:00,1,0,0,4518160318,907985,0.0,0.3202296793460846,18354,97.91543579101562,0.0,0.0,0.0,0.0,18264.0,920269.0,97.8958969116211,0.3167755901813507,0.0,0.0,20338.0,1014336.0,97.83487701416016,0.3661684095859527,0.0,0.0,18737.428571428572,993378.7142857143,97.87545122419085,0.3281551556927817,0.0,0.0,19193.6,897264.7,97.86476135253906,0.3389820337295532,0.0,0.0,0.0,-9.755138165011312,0.4927726675427069,-10.484790049845415,-1.3348270994676503,-12.545792874872419,1.0903899390595218,0.08234157318336432,0.01995883383363317,0.0,0.0,0.0,0.0,0.020213968056776204,0.0,0.012006214686806729,0.008520137902461113,1.0001092310603332,0.0,0.9680606139574659,0.0,0.0,931.6895286401891,931.6895286401891,319681.43759862287,319681.43759862287,0,0.0
