timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,session_session_length,visits_visits_gained,sort_sort_position,ratings_like_ratio,daily_rpv,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-24 00:00:00+00:00,1,1,0,8330910875,143786,0.0308014079928398,31.054358209882466,230395,465.0,82.2956771850586,0.0390869235013185,4343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143786.0,4343.0,230395.0,82.2956771850586,0.0308014079928398,31.054358209882466,143786.0,4343.0,230395.0,82.2956771850586,0.0308014079928398,31.054358209882466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09990791896869,0.6240820153127659,0.01885015364850084,0.00021597472796485402,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-25 00:00:00+00:00,1,0,0,8330910875,143136,0.0295451879501342,10.013867417971293,602499,443.0,83.03723907470703,0.0349690177953953,3890,143786.0,4343.0,230395.0,82.2956771850586,0.0308014079928398,31.054358209882466,0.0,0.0,0.0,0.0,0.0,0.0,143461.0,4116.5,416447.0,82.66645812988281,0.030173297971487,20.53411281392688,143461.0,4116.5,416447.0,82.66645812988281,0.030173297971487,20.53411281392688,0.0,-0.45206070132001175,0.0,-10.430577941515084,0.0,161.5069771479416,0.0,-4.078450059807737,0.0,0.9010945835962847,0.0032037934196140825,0.0032037934196140825,36.78643022359291,0.2375701244813278,0.00645643153526971,6.996002024613687e-05,0.0,0.0,1.0,1.0,1.0,459.6194077712559,459.6194077712559,320.319371877506,320.319371877506,263117.2617066391,263117.2617066391,1,0.9954793929867999
2025-08-26 00:00:00+00:00,1,0,0,8330910875,162959,0.0273690428584814,12.072624444961548,554228,370.0,83.45462799072266,0.034734685017434,3383,143136.0,3890.0,602499.0,83.03723907470703,0.0295451879501342,10.013867417971293,0.0,0.0,0.0,0.0,0.0,0.0,149960.33333333334,3872.0,462374.0,82.92918141682942,0.0292385462671518,17.713616690938434,149960.33333333334,3872.0,462374.0,82.92918141682942,0.0292385462671518,17.713616690938434,0.0,13.849066621953954,0.0,-13.03341902313625,0.0,-8.011797529954412,0.0,-7.3654806167612,0.0,0.502652690126304,0.07509896632837494,0.07509896632837494,48.1557328605201,0.29402828072872406,0.006103975071676149,7.408336060972967e-05,0.579475402832039,0.0,1.0,1.0,1.0,11261.866023591883,11261.866023591883,480.2530582932294,480.2530582932294,202344.2974017306,202344.2974017306,2,1.0
2025-08-27 00:00:00+00:00,1,0,0,8330910875,168716,0.0232959147542715,12.492952823638916,469880,350.0,84.01119995117188,0.0323857311942822,2723,162959.0,3383.0,554228.0,83.45462799072266,0.0273690428584814,12.072624444961548,0.0,0.0,0.0,0.0,0.0,0.0,154649.25,3584.75,464250.5,83.19968605041504,0.027752888388931723,16.408450724113557,154649.25,3584.75,464250.5,83.19968605041504,0.027752888388931723,16.408450724113557,0.0,3.532790456495194,0.0,-19.509311262193318,0.0,-15.219007339939516,0.0,-14.882245335618949,0.0,0.6669156329006665,0.08492640813017541,0.08492640813017541,61.93685756240822,0.35906112398671153,0.0057950842872982735,7.404679329077044e-05,0.5563957214355342,0.0,1.0,1.0,1.0,13133.805322525528,13133.805322525528,695.5661363234988,695.5661363234988,165256.04820903428,165256.04820903428,3,1.0
2025-08-28 00:00:00+00:00,1,0,0,8330910875,176861,0.0189843457192182,10.720253944396973,365308,320.0,84.13240814208984,0.0314290645558409,2264,168716.0,2723.0,469880.0,84.01119995117188,0.0232959147542715,12.492952823638916,0.0,0.0,0.0,0.0,0.0,0.0,159091.6,3320.6,444462.0,83.38623046875,0.025999179854989018,15.27081136817024,159091.6,3320.6,444462.0,83.38623046875,0.025999179854989018,15.27081136817024,0.0,4.82763934659427,0.0,-16.85640837311788,0.0,-22.25504384098067,0.0,-18.507833156724352,0.0,0.14427622863191214,0.0949211578282499,0.0949211578282499,78.08432671081678,0.4841408232482638,0.006197493081199751,6.061366457688465e-05,0.4647422790527287,0.4647422790527287,1.0,1.0,1.0,15101.158872748803,15101.158872748803,843.6440600158339,843.6440600158339,149800.18278860676,149800.18278860676,4,1.0
2025-08-29 00:00:00+00:00,1,0,0,8330910875,184847,0.0228157099336385,11.647081891695658,390546,302.0,84.42217254638672,0.0307900341817091,3774,176861.0,2264.0,365308.0,84.13240814208984,0.0189843457192182,10.720253944396973,0.0,0.0,0.0,0.0,0.0,0.0,163384.16666666666,3396.1666666666665,435476.0,83.55888748168945,0.025468601534763935,14.666856455424474,163384.16666666666,3396.1666666666665,435476.0,83.55888748168945,0.025468601534763935,14.666856455424474,0.0,4.515410407042819,0.0,66.69611307420496,0.0,6.908690748628565,0.0,20.181702709626403,0.0,0.34441472756550073,0.10476554707975286,0.10476554707975286,48.96609271523179,0.47330282910891647,0.009663369581638062,6.300896894581309e-05,0.41355874197823955,0.41355874197823955,1.0,1.0,1.0,17117.031605002852,17117.031605002852,776.9492690431381,776.9492690431381,135781.31309867348,135781.31309867348,5,1.0
2025-08-30 00:00:00+00:00,1,1,0,8330910875,159490,0.0231385938823223,10.798911094665527,594949,302.0,84.96023559570312,0.0245270676466274,3597,184847.0,3774.0,390546.0,84.42217254638672,0.0228157099336385,11.647081891695658,0.0,0.0,0.0,0.0,0.0,0.0,162827.85714285713,3424.8571428571427,458257.85714285716,83.7590800694057,0.02513574329870084,14.114292832458911,162827.85714285713,3424.8571428571427,458257.85714285716,83.7590800694057,0.02513574329870084,14.114292832458911,0.0,-13.717831503892409,0.0,-4.689984101748812,0.0,52.33775278712367,0.0,1.4151825633431425,0.0,0.6373480249169949,0.09638896240923416,0.09638896240923416,44.327404113396334,0.26807294730649633,0.00604588620892512,6.770859230091683e-05,0.408618654523576,0.408618654523576,1.0,1.0,1.0,15694.808201319005,15694.808201319005,713.3048503436728,713.3048503436728,137829.22498443327,137829.22498443327,5,0.8628216849610759
2025-08-31 00:00:00+00:00,1,1,0,8330910875,185580,0.0213962662965059,13.195706367492676,562215,304.0,85.31025695800781,0.0261518248015524,2822,159490.0,3597.0,594949.0,84.96023559570312,0.0231385938823223,10.798911094665527,143786.0,4343.0,230395.0,82.2956771850586,0.0308014079928398,31.054358209882466,168798.42857142858,3207.5714285714284,505660.71428571426,84.18973432268415,0.023792151627796,11.563056854974656,165671.875,3349.5,471252.5,83.95297718048096,0.024668308673426474,13.999469524338132,29.066807616875078,16.35839237569754,-35.02187428045131,-21.54573255490687,144.02222270448578,-5.501984203688048,-30.534778470257763,-7.5299631199609145,3.6631082896010803,0.41198257025829577,0.10024984688152663,0.10024984688152663,65.7385759829968,0.330086657085533,0.005019423139860837,7.110483491032313e-05,0.3657586233956517,0.40167717706589906,1.0028201160953971,1.0188719634604761,0.9644824840961107,16608.58010132542,16608.58010132542,693.9359789325978,693.9359789325978,132792.84251688526,132792.84251688526,6,1.0
2025-09-01 00:00:00+00:00,0,0,1,8330910875,183501,0.0201273392885923,11.244339187939962,442226,302.0,85.64401245117188,0.0241424727465764,2516,185580.0,2822.0,562215.0,85.31025695800781,0.0213962662965059,13.195706367492676,143136.0,3890.0,602499.0,83.03723907470703,0.0295451879501342,10.013867417971293,174564.85714285713,3011.285714285714,482764.5714285714,84.56213051932198,0.022446744676147157,11.73883853639875,167652.88888888888,3256.8888888888887,468027.3333333333,84.14086998833551,0.02416375651955601,13.693343931405003,28.200452716297786,-1.1202715809893293,-35.32133676092545,-10.843373493975905,-26.601371952484566,-21.342191154629454,-31.87608309494312,-5.930600181961754,3.1392823334595477,0.3912255162100253,0.09921584352228925,0.09921584352228925,72.9046483909416,0.41494752694882947,0.0056893857679427085,6.127638493280707e-05,0.35693195887974616,0.3939097086588522,1.0050066101175905,1.041227850589256,0.9289426773515428,16633.822790059745,16633.822790059745,706.0772699295106,706.0772699295106,124592.58383226507,124592.58383226507,6,0.9887972841901067
2025-09-02 00:00:00+00:00,0,0,0,8330910875,177768,0.0187501274049282,10.711564540863035,337029,323.0,85.85181427001953,0.0222509040133598,2174,183501.0,2516.0,442226.0,85.64401245117188,0.0201273392885923,11.244339187939962,162959.0,3383.0,554228.0,83.45462799072266,0.0273690428584814,12.072624444961548,176680.42857142858,2838.5714285714284,451736.14285714284,84.90458570207868,0.02121547103992527,11.544401407241821,168664.4,3148.6,454927.5,84.31196441650391,0.02362239360809323,13.395165992350806,9.087561902073539,-3.1242336554024197,-35.73751108483595,-13.593004769475359,-39.189467150703315,-23.78806311704875,-31.491475599345932,-6.842493505560721,2.8724425918756236,0.24263438026812523,0.09489497066610929,0.09489497066610929,81.73241379310345,0.5274545292703914,0.006450464350354568,6.025552565893398e-05,0.3368977137974332,0.3798040216619309,1.0070289108986619,1.047526499791471,0.898108438623962,16005.403290416922,16005.403290416922,748.6094071306105,748.6094071306105,124557.43992699379,124557.43992699379,6,0.9579049466537343
