timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ccu_playing,session_session_length,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-04 00:00:00+00:00,0,0,0,6443367640,0.0846419642505619,8385,0.0,0.1410601139068603,760532.0,92.89849853515624,112508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760532.0,8385.0,112508.0,92.89849853515624,0.1410601139068603,0.0,760532.0,8385.0,112508.0,92.89849853515624,0.1410601139068603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.6906749344145,6.759743664951248,0.07452737114364184,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-05 00:00:00+00:00,0,0,0,6443367640,0.0833237420872764,7890,0.0,0.1070548892021179,781943.0,92.98255920410156,648567,0.0,760532.0,8385.0,112508.0,92.89849853515624,0.1410601139068603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771237.5,8137.5,380537.5,92.9405288696289,0.12405750155448911,0.0,771237.5,8137.5,380537.5,92.9405288696289,0.12405750155448911,0.0,0.0,2.8152661557962144,0.0,-5.903398926654746,0.0,476.4630070750524,0.0,-24.1069029103404,0.0,0.09048657434813645,0.01963061092333447,0.01963061092333447,99.09301736155113,1.2056453602397899,0.012165262547643423,0.0,0.0,0.0,1.0,1.0,1.0,15139.86329198517,15139.86329198517,350.017856687341,350.017856687341,379050.9540160795,379050.9540160795,2,1.0
2024-09-06 00:00:00+00:00,0,0,0,6443367640,0.0856998630211009,9627,0.0,0.1332796663045883,862748.0,93.01714324951172,702496,0.0,781943.0,7890.0,648567.0,92.98255920410156,0.1070548892021179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801741.0,8634.0,487857.0,92.96606699625652,0.12713155647118882,0.0,801741.0,8634.0,487857.0,92.96606699625652,0.12713155647118882,0.0,0.0,10.333873440902973,0.0,22.015209125475277,0.0,8.315100829983635,0.0,24.49657114955155,0.0,0.03719412081812923,0.06723781347578624,0.06723781347578624,89.6082260074782,1.2281162766531388,0.01370397311305244,0.0,0.059322357177744374,0.0,1.0,1.0,1.0,53907.31181389033,53907.31181389033,894.8703816754693,894.8703816754693,326178.230590271,326178.230590271,3,1.0
2024-09-07 00:00:00+00:00,0,1,0,6443367640,0.1084562987296628,10133,0.0,0.1344483643770218,1190459.0,93.07982635498048,955399,0.0,862748.0,9627.0,702496.0,93.01714324951172,0.1332796663045883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898920.5,9008.75,604742.5,92.9945068359375,0.12896075844764707,0.0,898920.5,9008.75,604742.5,92.9945068359375,0.12896075844764707,0.0,0.0,37.98455632467419,0.0,5.256050690765557,0.0,36.000632032068516,0.0,0.8768764994974143,0.0,0.06738876649934333,0.22168877978218504,0.22168877978218504,117.47177817248865,1.2460320284697508,0.010606028888423697,0.0,0.05785675048827321,0.0,1.0,1.0,1.0,199280.58876619168,199280.58876619168,1046.7149803074378,1046.7149803074378,354368.50760425464,354368.50760425464,4,1.0
2024-09-08 00:00:00+00:00,0,1,0,6443367640,0.0979575759509947,8836,0.0,0.1331469267606735,1168941.0,93.1554718017578,913520,0.0,1190459.0,10133.0,955399.0,93.07982635498048,0.1344483643770218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952924.6,8974.2,666498.0,93.02669982910156,0.12979799211025236,0.0,952924.6,8974.2,666498.0,93.02669982910156,0.12979799211025236,0.0,0.0,-1.8075381008501812,0.0,-12.799763150103626,0.0,-4.383404211224839,0.0,-0.9679832271509037,0.0,0.08126943263604414,0.2210397654469773,0.2210397654469773,132.27803553242052,1.27959948375571,0.009672465110271138,0.0,0.06112136840819957,0.06112136840819957,1.0,1.0,1.0,210634.23007265464,210634.23007265464,909.76793744339,909.76793744339,336528.5846514379,336528.5846514379,4,0.9819246189914982
2024-09-09 00:00:00+00:00,0,0,0,6443367640,0.0536236730744234,6516,0.0,0.112210713326931,679854.0,93.20960998535156,526622,0.0,1168941.0,8836.0,913520.0,93.1554718017578,0.1331469267606735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907412.8333333334,8564.5,643185.3333333334,93.05718485514323,0.1268667789796988,0.0,907412.8333333334,8564.5,643185.3333333334,93.05718485514323,0.1268667789796988,0.0,0.0,-41.84017841790133,0.0,-26.256224535989137,0.0,-42.35243891759348,0.0,-15.724143202624974,0.0,0.058115945898462584,0.24124570953499866,0.24124570953499866,104.32008592910849,1.290969061358885,0.012373177776132071,0.0,0.06105651855469612,0.06105651855469612,1.0,1.0,1.0,218909.4528186635,218909.4528186635,1292.0010448912185,1292.0010448912185,306369.17794168956,306369.17794168956,4,0.5710856064761575
2024-09-10 00:00:00+00:00,0,0,0,6443367640,0.0440909819662581,6254,0.0,0.1066678315401077,581221.0,93.2537078857422,456762,0.0,679854.0,6516.0,526622.0,93.20960998535156,0.112210713326931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860814.0,8234.42857142857,616553.4285714285,93.08525957380023,0.1239812150597572,0.0,860814.0,8234.42857142857,616553.4285714285,93.08525957380023,0.1239812150597572,0.0,0.0,-14.50796788722285,0.0,-4.020871700429707,0.0,-13.265682026197156,0.0,-4.939708181583214,0.0,0.047310465516980926,0.2727739265869626,0.2727739265869626,92.92102318145484,1.272478287426959,0.013692002198076465,0.0,0.05921636308943085,0.05921636308943085,1.0,1.0,1.0,234807.61484102963,234807.61484102963,1467.5440773781272,1467.5440773781272,288414.9836363437,288414.9836363437,4,0.4882326900800448
2024-09-11 00:00:00+00:00,0,0,0,6443367640,0.0422611803092186,6232,4.41010848681132,0.1095203608274459,586212.0,93.30447387695312,495778,0.0,581221.0,6254.0,456762.0,93.2537078857422,0.1066678315401077,0.0,760532.0,8385.0,112508.0,92.89849853515624,0.1410601139068603,0.0,835911.1428571428,7926.857142857143,671306.2857142857,93.14325605119977,0.1194755360484123,0.6300154981159028,826488.75,7984.125,601456.5,93.11266136169434,0.1221736082807183,0.551263560851415,-22.920797546980275,0.8587095098077979,-25.6768038163387,-0.35177486408698444,340.6602197177089,8.541866442479895,-22.359086637516533,2.6742170025886747,0.4370095837913368,0.054438576612003686,0.28806692213773283,0.28806692213773283,94.0497352799615,1.1824058703575586,0.012570116927098566,7.523047914002795e-06,0.05602346147810372,0.05774543398903055,1.0003285771135526,1.0114005095134602,0.9779160796650399,238084.07039396215,238084.07039396215,1532.0676446740667,1532.0676446740667,270413.0657356841,270413.0657356841,4,0.49242519061975254
2024-09-12 00:00:00+00:00,0,0,0,6443367640,0.0448271134360519,6189,20.541053613026936,0.1087218672037124,637274.0,93.3360366821289,511040,0.0,586212.0,6232.0,495778.0,93.30447387695312,0.1095203608274459,4.41010848681132,781943.0,7890.0,648567.0,92.98255920410156,0.1070548892021179,0.0,815244.1428571428,7683.857142857143,651659.5714285715,93.19375283377511,0.1197136757629258,3.5644517285483226,805464.8888888889,7784.666666666667,591410.2222222222,93.13748084174262,0.1206789703832732,2.772351344426473,-18.501220677210483,8.710500637994457,-21.558935361216726,-0.6899871630295262,-21.20474831436073,3.078393958586312,1.5571245872266992,-0.7290823529987889,0.3801546021673152,0.033827751086623614,0.28736954652772884,0.28736954652772884,102.95218093699515,1.247011492228608,0.012110574298343968,3.223263679420491e-05,0.053721836635044845,0.055313491821285116,1.0006041820277285,1.0121411300519183,0.9920011364259932,231466.07986400748,231466.07986400748,1553.022858814383,1553.022858814383,254737.457257849,254737.457257849,4,0.5353178899903315
2024-09-13 00:00:00+00:00,0,0,0,6443367640,0.035716192232763,2482,14.946462333202362,0.0344874076545238,525785.0,93.27913665771484,592701,0.0,637274.0,6189.0,511040.0,93.3360366821289,0.1087218672037124,20.541053613026936,862748.0,9627.0,702496.0,93.01714324951172,0.1332796663045883,0.0,767106.5714285715,6663.142857142857,635974.5714285715,93.23118046351841,0.10560049595577373,5.699660633291517,777496.9,7254.4,591539.3,93.15164642333984,0.11205981411039825,3.9897624433040617,-39.05694362664417,-17.494672621195907,-74.21834424015789,-59.89659072548069,-15.629270486949387,15.979375391358808,-74.12402911055568,-68.27923531711917,0.28166142180947595,-0.06096254612550922,0.30285531044936237,0.30285531044936237,211.7539267015707,0.8870984069566157,0.004187601864005858,2.8426892943521437e-05,0.03764016287667576,0.047954674923058854,1.0008538125007165,0.9866361800652471,0.9423583002889779,235469.06502291685,235469.06502291685,2226.1448091063417,2226.1448091063417,240169.124793828,240169.124793828,4,0.4416657776538293
