timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,daily_rpv,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-01 00:00:00+00:00,1,0,0,8070392042,103882,0.0352611802518367,5028,90.87541961669922,0.0102025512121737,17220,496,17.787456512451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103882.0,5028.0,17220.0,90.87541961669922,0.0352611802518367,17.787456512451172,103882.0,5028.0,17220.0,90.87541961669922,0.0352611802518367,17.787456512451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.656591767747067,6.032286162243772,0.29196910748504734,0.00017122586479453975,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-02 00:00:00+00:00,1,1,0,8070392042,95347,0.0242504458874464,3557,91.03287506103516,0.0090506740519482,632783,496,12.69055171807607,103882.0,5028.0,17220.0,90.87541961669922,0.0352611802518367,17.787456512451172,0.0,0.0,0.0,0.0,0.0,0.0,99614.5,4292.5,325001.5,90.95414733886719,0.02975581306964155,15.239004115263622,99614.5,4292.5,325001.5,90.95414733886719,0.02975581306964155,15.239004115263622,0.0,-8.216052829171561,0.0,-29.25616547334925,0.0,3574.6980255516837,0.0,-31.226221827378474,0.0,0.17326516345130827,0.06058511940959583,0.06058511940959583,26.797920179876336,0.15067858858631064,0.005621191433411717,0.0001330971988723001,0.0,0.0,1.0,1.0,1.0,6035.1563774271835,6035.1563774271835,1040.1540751254115,1040.1540751254115,435268.77154753474,435268.77154753474,1,0.9178394717082844
2025-08-03 00:00:00+00:00,1,1,0,8070392042,87380,0.028058661147952,3562,90.9904556274414,0.0078135065238966,641366,453,13.026276230812073,95347.0,3557.0,632783.0,91.03287506103516,0.0242504458874464,12.69055171807607,0.0,0.0,0.0,0.0,0.0,0.0,95536.33333333333,4049.0,430456.3333333333,90.96625010172527,0.0291900957624117,14.501428153779772,95536.33333333333,4049.0,430456.3333333333,90.96625010172527,0.0291900957624117,14.501428153779772,0.0,-8.35579514824798,0.0,0.14056789429295335,0.0,1.3563891571044095,0.0,15.70369171016759,0.0,-0.04659792801809948,0.08638209954163001,0.08638209954163001,24.52427729441482,0.13624024934242018,0.005553762510387968,0.00014907446963083592,0.05751800537108801,0.0,1.0,1.0,1.0,8252.629055842344,8252.629055842344,847.8425561388152,847.8425561388152,357898.89265312534,357898.89265312534,1,0.8411466856625787
2025-08-04 00:00:00+00:00,1,0,0,8070392042,154145,0.0242355354130268,3089,91.0090103149414,0.0130995076891571,555990,408,12.961507201194763,87380.0,3562.0,641366.0,90.9904556274414,0.028058661147952,13.026276230812073,0.0,0.0,0.0,0.0,0.0,0.0,110188.5,3809.0,461839.75,90.9769401550293,0.027951455675065476,14.11644791563352,110188.5,3809.0,461839.75,90.9769401550293,0.027951455675065476,14.11644791563352,0.0,76.40764476997023,0.0,-13.279056709713643,0.0,-13.31158807919347,0.0,-13.625474554063855,0.0,0.02039190525209289,0.27288738664225876,0.27288738664225876,49.885113268608414,0.2772436963907689,0.005555845328431576,8.408591336262221e-05,0.03583526611327074,0.0,1.0,1.0,1.0,30069.05180303053,30069.05180303053,842.3922285174921,842.3922285174921,298888.0843084638,298888.0843084638,2,1.0
2025-08-05 00:00:00+00:00,1,0,0,8070392042,162248,0.0277913510799407,3674,91.07238006591795,0.0131986326758449,564740,371,15.83511439959208,154145.0,3089.0,555990.0,91.0090103149414,0.0242355354130268,12.961507201194763,0.0,0.0,0.0,0.0,0.0,0.0,120600.4,3782.0,482419.8,90.99602813720703,0.02791943475604052,14.460181212425232,120600.4,3782.0,482419.8,90.99602813720703,0.02791943475604052,14.460181212425232,0.0,5.256738784910309,0.0,18.93816769180965,0.0,1.5737693123976992,0.0,14.671908857448312,0.0,0.06963019458980924,0.28963945674013697,0.28963945674013697,44.1491156462585,0.2872963004279838,0.006505637097359675,9.759760861140641e-05,0.03700561523436651,0.03700561523436651,1.0,1.0,1.0,34930.63433864321,34930.63433864321,732.0269803770897,732.0269803770897,262903.5136627124,262903.5136627124,3,1.0
2025-08-06 00:00:00+00:00,1,0,0,8070392042,170314,0.037361204624176,4749,91.11058807373048,0.0132024517167848,697481,353,11.805036306381226,162248.0,3674.0,564740.0,91.07238006591795,0.0277913510799407,15.83511439959208,0.0,0.0,0.0,0.0,0.0,0.0,128886.0,3943.1666666666665,518263.3333333333,91.01512145996094,0.029493063067396436,14.017657061417898,128886.0,3943.1666666666665,518263.3333333333,91.01512145996094,0.029493063067396436,14.017657061417898,0.0,4.971401804644748,0.0,29.259662493195428,0.0,23.504798668413773,0.0,34.43464665214728,0.0,0.04195345261084338,0.2890634049357408,0.2890634049357408,35.85557894736842,0.24418407930240493,0.006808777860934046,6.931295720506841e-05,0.03751177106585883,0.03751177106585883,1.0,1.0,1.0,37256.226008547885,37256.226008547885,764.5514807170716,764.5514807170716,251004.30133339684,251004.30133339684,4,1.0
2025-08-07 00:00:00+00:00,1,0,0,8070392042,170314,0.0310425646603107,3953,91.13011169433594,0.0124671213599753,700601,345,14.078906416893004,170314.0,4749.0,697481.0,91.11058807373048,0.037361204624176,11.805036306381226,0.0,0.0,0.0,0.0,0.0,0.0,134804.2857142857,3944.5714285714284,544311.5714285715,91.03154863630023,0.029714420437812757,14.026406969342913,134804.2857142857,3944.5714285714284,544311.5714285715,91.03154863630023,0.029714420437812757,14.026406969342913,0.0,0.0,0.0,-16.76142345757001,0.0,0.44732401312723713,0.0,-16.912302554015024,0.0,0.02142848709270062,0.2777476456801531,0.2777476456801531,43.0738492665655,0.24309665116571177,0.005642290487323759,8.266392517918565e-05,0.03576523917062142,0.03576523917062142,1.0,1.0,1.0,37441.57298473755,37441.57298473755,697.9467164817233,697.9467164817233,239274.3356378874,239274.3356378874,5,1.0
2025-08-08 00:00:00+00:00,1,0,0,8070392042,173643,0.0220792219042778,3329,91.13602447509766,0.0121396698892959,572090,338,12.154885609944662,170314.0,3953.0,700601.0,91.13011169433594,0.0310425646603107,14.078906416893004,103882.0,5028.0,17220.0,90.87541961669922,0.0352611802518367,17.787456512451172,144770.14285714287,3701.8571428571427,623578.7142857143,91.06877790178571,0.02783128353101863,13.221753983270554,139659.125,3867.625,547783.875,91.0446081161499,0.028760020621120888,13.792466799418131,67.15407866617893,1.9546249867891108,-33.79077167859984,-15.78547938274728,3222.241579558653,-18.342965539586732,-37.38376949782408,-28.874362843779245,0.28677155989775827,0.00648828433520432,0.26697035574191985,0.26697035574191985,52.145045045045045,0.3035233905095518,0.005819004319242918,6.999888052535454e-05,0.024654933384481832,0.0325498126802011,1.0002654719058703,1.0365963760487749,0.9677073565997304,37284.84628385525,37284.84628385525,681.8399346097084,681.8399346097084,221742.58954500602,221742.58954500602,6,1.0
2025-08-09 00:00:00+00:00,1,1,0,8070392042,173928,0.0263075716793537,3978,91.13509368896484,0.0116403172725342,618076,334,12.635502457618712,173643.0,3329.0,572090.0,91.13602447509766,0.0220792219042778,12.154885609944662,95347.0,3557.0,632783.0,91.03287506103516,0.0242504458874464,12.69055171807607,155996.0,3762.0,621477.7142857143,91.08338056291852,0.028125158644148242,13.213889803205218,143466.77777777778,3879.8888888888887,555594.1111111111,91.05466206868489,0.028487526294257867,13.663915205884862,82.41580752409618,0.1641298526286583,11.835816699465852,19.49534394713126,-2.3241774826441297,8.038245730566862,8.482836981451957,19.150809722405416,0.11228759704793312,-0.0010213152682236881,0.2558068107449844,0.2558068107449844,43.71148529781352,0.28140183181059963,0.006436091296068289,7.264747372559327e-05,0.026631219046457467,0.028817240397135842,1.0003153983945596,1.0873318716450808,0.987279778301331,36699.778871192735,36699.778871192735,638.8631395777277,638.8631395777277,208740.3940517051,208740.3940517051,7,1.0
2025-08-10 00:00:00+00:00,1,1,0,8070392042,173075,0.0199223235249519,2816,91.21450805664062,0.0111459646816446,610026,334,13.119008620580038,173928.0,3978.0,618076.0,91.13509368896484,0.0263075716793537,12.635502457618712,87380.0,3562.0,641366.0,90.9904556274414,0.028058661147952,13.026276230812073,168238.14285714287,3655.4285714285716,617000.5714285715,91.11538805280414,0.026962824698005372,13.227137287457783,146427.6,3773.5,561037.3,91.07064666748047,0.02763100601732727,13.60942454735438,98.071641107805,-0.49043282277724254,-20.943290286355975,-29.210658622423324,-4.8864454929010925,-1.302428827522828,-28.99759749796177,-24.27152240513697,0.24623728681676393,0.0871391737927052,0.24479882128327304,0.24479882128327304,61.43947461838836,0.2837169502333503,0.004616189119497989,7.57991207364397e-05,0.027405602591377663,0.029676865086410965,1.0004912821744532,1.1489510369434646,0.9758176984615441,35845.303883338594,35845.303883338594,689.9148498184395,689.9148498184395,197553.6395081093,197553.6395081093,7,0.9950956717722276
