timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,platform_platform_share,ccu_playing,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-04-14 00:00:00+00:00,0,0,0,6504986360,98.74453735351562,8.40967051008474,1.319128155708313,97971,6,71269606,758842,45.74419250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71269606.0,97971.0,758842.0,98.74453735351562,1.319128155708313,45.74419250488281,71269606.0,97971.0,758842.0,98.74453735351562,1.319128155708313,45.74419250488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.4487200424611,93.91877634767665,0.12910575705383062,6.418471271334892e-07,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-04-15 00:00:00+00:00,0,0,0,6504986360,98.67561340332033,2.4520798192562667,1.5060420036315918,110999,6,26322129,4033993,42.67850669225057,71269606.0,97971.0,758842.0,98.74453735351562,1.319128155708313,45.74419250488281,0.0,0.0,0.0,0.0,0.0,0.0,48795867.5,104485.0,2396417.5,98.71007537841797,1.4125850796699524,44.21134959856669,48795867.5,104485.0,2396417.5,98.71007537841797,1.4125850796699524,44.21134959856669,0.0,-63.06682402593891,0.0,13.297812618019611,0.0,431.59854093474,0.0,14.169498779511258,0.0,-0.06980026646794535,0.6513392918760258,0.6513392918760258,237.1362972972973,6.5250788672467035,0.027515906072245026,1.621392595973448e-06,0.0,0.0,1.0,1.0,1.0,31782665.78392638,31782665.78392638,9212.187145298341,9212.187145298341,2315881.4815099025,2315881.4815099025,1,0.3693317597406109
2025-04-16 00:00:00+00:00,0,0,0,6504986360,98.6375503540039,1.8623744698581368,1.7164026498794556,127405,4,28142340,4850427,40.79218792915344,26322129.0,110999.0,4033993.0,98.67561340332033,1.5060420036315918,42.67850669225057,0.0,0.0,0.0,0.0,0.0,0.0,41911358.333333336,112125.0,3214420.6666666665,98.68590037027995,1.5138576030731201,43.071629042095616,41911358.333333336,112125.0,3214420.6666666665,98.68590037027995,1.5138576030731201,43.071629042095616,0.0,6.91513592992421,0.0,14.780313336156192,0.0,20.238855149228073,0.0,13.967780828198073,0.0,-0.03857391710436753,0.6070257090972278,0.6070257090972278,220.88708538059433,5.802032315498756,0.026266754191588866,1.4494951905086164e-06,-0.05349349975586919,0.0,1.0,1.0,1.0,25441272.011519674,25441272.011519674,14749.27103283413,14749.27103283413,2165419.372830661,2165419.372830661,1,0.39487155295905524
2025-04-17 00:00:00+00:00,0,0,0,6504986360,98.5937271118164,2.1303080662951497,1.9497874975204468,152649,4,43806841,5829797,41.49332094192505,28142340.0,127405.0,4850427.0,98.6375503540039,1.7164026498794556,40.79218792915344,0.0,0.0,0.0,0.0,0.0,0.0,42385229.0,122256.0,3868264.75,98.66285705566406,1.6228400766849518,42.67705201705297,42385229.0,122256.0,3868264.75,98.66285705566406,1.6228400766849518,42.67705201705297,0.0,55.66168627058019,0.0,19.813979043208676,0.0,20.191418198851352,0.0,13.597325059908405,0.0,-0.04442855893138642,0.4906029978211397,0.4906029978211397,286.97570258761874,7.5142982655659765,0.026184269163356946,9.47188134262795e-07,-0.049049377441421606,0.0,1.0,1.0,1.0,20794320.410735507,20794320.410735507,23570.659190329545,23570.659190329545,2199107.9361247635,2199107.9361247635,1,0.6146637179388925
2025-04-18 00:00:00+00:00,0,0,0,6504986360,98.46641540527344,1.59934199461601,2.265641689300537,194275,4,43523309,8370251,35.56018360455831,43806841.0,152649.0,5829797.0,98.5937271118164,1.9497874975204468,41.49332094192505,0.0,0.0,0.0,0.0,0.0,0.0,42612845.0,136659.8,4768662.0,98.62356872558594,1.751400399208069,41.25367833455404,42612845.0,136659.8,4768662.0,98.62356872558594,1.751400399208069,41.25367833455404,0.0,-0.64723224393195,0.0,27.269094458529054,0.0,43.57705765741071,0.0,16.19941620211245,0.0,-0.12912759287270204,0.4227739460860585,0.4227739460860585,224.02823302929852,5.1997608913088875,0.023210173361566652,8.170376656683123e-07,-0.06381301879882748,-0.06381301879882748,1.0,1.0,1.0,18015600.634603567,18015600.634603567,38131.73551256224,38131.73551256224,2771395.4652995663,2771395.4652995663,1,0.6106854161646411
2025-04-19 00:00:00+00:00,0,1,0,6504986360,98.35303497314452,1.0785001811244244,1.8637096881866455,169932,3,39187481,8442773,36.51444864273071,43523309.0,194275.0,8370251.0,98.46641540527344,2.265641689300537,35.56018360455831,0.0,0.0,0.0,0.0,0.0,0.0,42041951.0,142205.16666666666,5381013.833333333,98.5784797668457,1.7701186140378316,40.46380671925015,42041951.0,142205.16666666666,5381013.833333333,98.5784797668457,1.7701186140378316,40.46380671925015,0.0,-9.962082616466505,0.0,-12.530176296486939,0.0,0.8664256304858675,0.0,-17.7403162650127,0.0,-0.11514629801669951,0.3847159294973351,0.3847159294973351,230.60547980674735,4.64154092008148,0.020127507854645878,9.317885911304715e-07,-0.07511226109095186,-0.07511226109095186,1.0,1.0,1.0,16174208.256846417,16174208.256846417,36711.44169556226,36711.44169556226,2897301.3075596,2897301.3075596,1,0.5498484304796073
2025-04-20 00:00:00+00:00,0,1,0,6504986360,98.30463409423828,0.7753546424871953,2.1553807258605957,180624,2,34193992,7521286,38.84365558624267,39187481.0,169932.0,8442773.0,98.35303497314452,1.8637096881866455,36.51444864273071,0.0,0.0,0.0,0.0,0.0,0.0,40920814.0,147693.57142857142,5686767.0,98.53935895647321,1.8251560585839408,40.23235655739194,40920814.0,147693.57142857142,5686767.0,98.53935895647321,1.8251560585839408,40.23235655739194,0.0,-12.74256184009378,0.0,6.291928536120328,0.0,-10.914506406840497,0.0,15.650025297541958,0.0,-0.049211373008928305,0.3680272323175977,0.3680272323175977,189.3092982698962,4.546295334827669,0.0240150389155473,1.13597893016597e-06,-0.07628577096121272,-0.07628577096121272,1.0,1.0,1.0,15059973.920603205,15059973.920603205,36523.5047691079,36523.5047691079,2765807.4254743406,2765807.4254743406,1,0.47978365419895824
2025-04-21 00:00:00+00:00,0,0,0,6504986360,98.26654052734376,0.8415093729587709,2.2978553771972656,187387,3,43397108,7570398,39.60255002975464,34193992.0,180624.0,7521286.0,98.30463409423828,2.1553807258605957,38.84365558624267,71269606.0,97971.0,758842.0,98.74453735351562,1.319128155708313,45.74419250488281,36939028.571428575,160467.2857142857,6659846.428571428,98.47107369559151,1.9649742330823625,39.35497906094505,41230350.75,152655.25,5922220.875,98.50525665283203,1.8842434734106064,40.153630741437276,-39.108533867859464,26.91442403098181,91.267824152045,3.744242182655677,897.6250655604197,0.6529734409780552,74.19500654683698,6.610184902705907,-0.48407419689514564,-0.03875053017133867,0.3388350246438201,0.3388350246438201,231.58957884176147,5.732473017604488,0.02475259230061718,9.125619411595975e-07,-0.07620511736188629,-0.07359204973493198,0.999652983420357,0.8959183683740205,1.0428451847178901,13970286.912449596,13970286.912449596,36610.73347979485,36610.73347979485,2645824.2522077495,2645824.2522077495,1,0.6089146613214054
2025-04-22 00:00:00+00:00,0,0,0,6504986360,98.22206115722656,0.7242594575166577,2.5938448905944824,197294,3,42900133,7520475,41.365025679270424,43397108.0,187387.0,7570398.0,98.26654052734376,2.2978553771972656,39.60255002975464,26322129.0,110999.0,4033993.0,98.67561340332033,1.5060420036315918,42.67850669225057,39307314.85714286,172795.14285714287,7157915.285714285,98.40628051757812,2.1203746455056325,39.16733891623361,41415882.11111111,157615.11111111112,6099804.666666667,98.47379048665364,1.963088075319926,40.288230178974295,62.98124289262468,-1.1451799967868825,77.74394363913188,5.2869195835356875,86.4275669293427,-0.6594501372318873,72.22925285880599,12.881120210369401,-0.4596396520383905,-0.04526400326958502,0.31581736348713835,0.31581736348713835,217.4415621277782,5.704443841054742,0.026234243683511523,9.642167010310602e-07,-0.07366507393972793,-0.07039413452148476,0.9993144371843321,0.949087954994865,1.080122013965203,13079854.694825249,13079854.694825249,37339.04900183066,37339.04900183066,2531632.231276642,2531632.231276642,1,0.60194149242245
2025-04-23 00:00:00+00:00,0,0,0,6504986360,98.1770477294922,0.6163387078220872,2.657689094543457,195237,3,41154658,8116444,40.64215326309204,42900133.0,197294.0,7520475.0,98.22206115722656,2.5938448905944824,41.365025679270424,28142340.0,127405.0,4850427.0,98.6375503540039,1.7164026498794556,40.79218792915344,41166217.428571425,182485.42857142858,7624489.142857143,98.34049442836216,2.25484413760049,39.14590539251055,41389759.7,161377.3,6301468.6,98.4441162109375,2.032548177242279,40.32362248738607,46.23751258779476,-4.0686936798074775,53.24123856991483,-1.0426064654779132,67.33462847703923,7.924619123127186,54.84065436103287,2.461373237099851,-0.466863403297213,-0.045828225557498214,0.29795007340242724,0.29795007340242724,210.79225355719686,5.070527552395168,0.024054496765517415,9.875468355379166e-07,-0.06518718174525111,-0.06738170276988742,0.9989474050195819,0.9945990923105413,1.1093681138027527,12332081.940723825,12332081.940723825,37159.56959758519,37159.56959758519,2470569.993075876,2470569.993075876,1,0.5774503369641191
