timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,visits_visits_gained,session_session_length,platform_platform_share,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-07-17 00:00:00+00:00,1,0,0,4807308814,0,98.11320495605467,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.11320495605467,0.0,0.0,0.0,0.0,199.0,95.83333587646484,0.0,0.0,0.0,0.0,95.85714285714286,97.52495901925224,0.0,0.0,0.0,0.0,79.0909090909091,96.34164081920277,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,2.378993759049286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24239512852259565,0.504271073774858,1.0122825207250739,0.0,0.0,0.0,0.0,0.0,0.0,115.9503812373677,115.9503812373677,0,0.0
2023-07-18 00:00:00+00:00,1,0,0,4807308814,0,98.26589965820312,2197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.11320495605467,0.0,0.0,0.0,0.0,296.0,96.96969604492188,0.0,0.0,0.0,0.0,367.42857142857144,97.7101309640067,0.0,0.0,0.0,0.0,255.58333333333334,96.5019957224528,0.0,0.0,0.0,0.0,0.0,0.0,642.2297297297297,inf,0.0,0.0,1.3367099889441514,0.15563114283836388,0.0,0.0,0.0,0.0,0.0,0.0,0.24245834350586049,0.4619107813268285,1.01251927726996,0.0,0.0,0.0,0.0,0.0,0.0,621.302803987254,621.302803987254,0,0.0
2023-07-19 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2197.0,98.26589965820312,0.0,0.0,0.0,0.0,0.0,96.96969604492188,0.0,0.0,0.0,0.0,367.42857142857144,97.93397194998605,0.0,0.0,0.0,0.0,235.92307692307693,96.65850243201622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,1.6158521329484143,0.2754600421059017,0.0,0.0,0.0,0.0,0.0,0.0,0.2252303532191704,0.4300042037125501,1.0131956267258218,0.0,0.0,0.0,0.0,0.0,0.0,599.0608568888558,599.0608568888558,0,0.0
2023-07-20 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,0.0,96.96969604492188,0.0,0.0,0.0,0.0,367.42857142857144,98.1578129359654,0.0,0.0,0.0,0.0,219.07142857142858,96.79265104021344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6158521329484143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15204211643764293,0.3976628062489258,1.0141039829065617,0.0,0.0,0.0,0.0,0.0,0.0,579.0025194957424,579.0025194957424,0,0.0
2023-07-21 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,134.0,97.5,0.0,0.0,0.0,0.0,348.2857142857143,98.30589621407645,0.0,0.0,0.0,0.0,204.46666666666667,96.9089131673177,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,1.063161996694717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09865134102958135,0.3666993277413496,1.0144154237324567,0.0,0.0,0.0,0.0,0.0,0.0,579.0025194957424,560.800686094275,0,0.0
2023-07-22 00:00:00+00:00,1,1,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,241.0,98.03921508789062,0.0,0.0,0.0,0.0,313.85714285714283,98.37694876534599,0.0,0.0,0.0,0.0,191.6875,97.01064252853394,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.5073152191608532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08527047293526624,0.33789216209860684,1.0140840860466436,0.0,0.0,0.0,0.0,0.0,0.0,579.0025194957424,544.190985929266,0,0.0
2023-07-23 00:00:00+00:00,1,1,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,0.0,98.11320495605467,0.0,0.0,0.0,0.0,313.85714285714283,98.43743133544922,0.0,0.0,0.0,0.0,180.41176470588235,97.10040372960708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4315198865558534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06469644818987932,0.3114972021065512,1.0137695370409099,0.0,0.0,0.0,0.0,0.0,0.0,579.0025194957424,528.9577084729376,0,0.0
2023-07-24 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,0.0,98.11320495605467,0.0,0.0,0.0,0.0,313.85714285714283,98.49791390555245,0.0,0.0,0.0,0.0,170.38888888888889,97.18019146389432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4315198865558534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029001780918670787,0.28750955996990457,1.0135595785705744,0.0,0.0,0.0,0.0,0.0,0.0,581.9682593965541,514.9231968874683,0,0.0
2023-07-25 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,2197.0,98.26589965820312,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,161.42105263157896,97.2515804893092,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.2754600421059017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657998335988911,1.0132131781406821,0.0,0.0,0.0,0.0,0.0,0.0,583.776357147868,501.9398277117237,0,0.0
2023-07-26 00:00:00+00:00,1,0,0,4807308814,0,98.53658294677734,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,0.0,98.53658294677734,0.0,0.0,0.0,0.0,153.35,97.31583061218262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24618560676287785,1.0125442317751938,0.0,0.0,0.0,0.0,0.0,0.0,583.776357147868,489.88390407696005,0,0.0
