timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_rpv,session_session_length,platform_platform_share,ccu_playing,daily_Estimated Revenue,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-03-11 00:00:00+00:00,0,0,0,2516044547,0.0,0.0013341363804221,0.0,0.0413046665489673,1971,662200.0,82.94803619384766,133866,989966.0,3009.0,212875.0,82.95284271240234,0.0417998470366001,0.0,572442.0,1614.0,114680.0,82.97721099853516,0.0354048386216163,0.0,668865.7142857143,2087.285714285714,143193.14285714287,82.96360887799945,0.037974082997867,0.0,633729.3,1934.3666666666666,136923.16666666666,83.00497131347656,0.03392986239244536,0.0,15.679841800566695,-33.108813838051,22.118959107806702,-34.496510468594224,16.730031391698642,-37.11520845566647,16.663902893060722,-1.18464665002056,-0.03516002084960057,-0.005794278288151489,0.25286366276629263,0.21974385300885924,335.80121703853956,4.946700829928212,0.014723568915416048,0.0,-0.004678181239535222,-0.0034792822645817625,0.9995016872505034,1.0554438847718013,1.119193545751665,165099.23696604226,139258.11814660727,560.9908424162337,471.15869523094455,37678.73229302201,31469.23127939916,8,0.6630009050933527
2024-03-12 00:00:00+00:00,0,0,0,2516044547,0.0,0.0012392915566995,0.0,0.0410827063024044,1874,615349.0,82.94586944580078,131652,662200.0,1971.0,133866.0,82.94803619384766,0.0413046665489673,0.0,504748.0,1531.0,105908.0,82.9751968383789,0.034875001758337,0.0,684665.8571428572,2136.285714285714,146870.85714285713,82.95941925048828,0.03886089793273377,0.0,630884.4666666667,1925.5333333333333,136100.16666666666,83.00151952107747,0.03429754854490356,0.0,21.912122484883547,-7.075052854122621,22.403657740039186,-4.9213597158802695,24.307889866676735,-1.653892698668813,17.799868762969794,-0.5373732924335961,-0.03534477011877257,-0.0026121752199292914,0.24547007491546452,0.21987168176387384,328.1861333333333,4.674021860496913,0.014234388885934996,0.0,-0.004923411778040357,-0.0035540197794632442,0.999492777110201,1.0852476060479808,1.1330517655469083,161764.93717148213,138713.6286847046,547.917942240187,469.6716926219276,36748.04476977686,31266.064694077588,8,0.6160932406346867
2024-03-13 00:00:00+00:00,0,0,0,2516044547,0.0,0.001361111165097,0.0,0.0456155911087989,2087,676095.0,82.94161224365234,148147,615349.0,1874.0,131652.0,82.94586944580078,0.0410827063024044,0.0,509254.0,1555.0,104926.0,82.97256469726562,0.0363364890217781,0.0,708500.2857142857,2212.285714285714,153045.2857142857,82.95499747140067,0.040186483945165316,0.0,635140.7666666667,1944.1333333333334,137211.43333333332,82.9980354309082,0.034844593393305895,0.0,32.761843795041365,9.8717963302126,34.21221864951769,11.366061899679835,41.191887616034165,12.529243763862308,25.53659513295137,11.0335594082545,-0.03730444361483842,-0.005132506509220036,0.23374304663885578,0.21735814901654238,323.80028735632186,4.563645813645814,0.014087264087264087,0.0,-0.004953384399415094,-0.003632825738993766,0.9994814580937478,1.115501197368613,1.1533061525948434,156662.48703315115,138053.02140761432,521.0472600953728,464.4465548355624,35641.56856270934,31075.104931924332,8,0.6769127105543497
2024-03-14 00:00:00+00:00,0,0,0,2516044547,0.0,0.0014361186778382,0.0,0.048103641718626,2248,713651.0,82.93577575683594,150321,676095.0,2087.0,148147.0,82.94161224365234,0.0456155911087989,0.0,500429.0,1443.0,109044.0,82.9703598022461,0.0318847186863422,0.0,738960.5714285715,2327.285714285714,158942.0,82.95005689348493,0.042503472949777285,0.0,643039.9666666667,1970.0,138476.36666666667,82.99443079630534,0.03551448980967199,0.0,42.60784247115974,5.554840665882743,55.78655578655578,7.714422616195504,37.85352701661715,1.4674613728256292,50.86738632331471,5.454386426546121,-0.0416824098299462,-0.0070368620268213,0.22729323294489717,0.21060577398629862,317.31925300133395,4.747482071819162,0.014954564202179322,0.0,-0.0048182351248568425,-0.0037180916485972802,0.9994653387896675,1.1491674075238736,1.1967924409884643,154580.34185042285,135427.929883957,513.1041975881353,458.82007592163944,35241.320821007954,30800.309854561612,8,0.7145141330727519
2024-03-15 00:00:00+00:00,0,0,0,2516044547,0.0,0.0015295334402961,0.0,0.0353833362460136,2216,760408.0,82.9311752319336,169135,713651.0,2248.0,150321.0,82.93577575683594,0.048103641718626,0.0,636286.0,2273.0,138990.0,82.9659652709961,0.0418152175843715,0.0,756692.2857142857,2319.1428571428573,163248.42857142858,82.94508688790458,0.0415846327585833,0.0,652153.4666666667,1997.9333333333334,140425.83333333334,82.99077631632487,0.03579696677625175,0.0,19.507265600689006,6.551801931196066,-2.5076990761108697,-1.4234875444839812,21.688610691416656,12.515882677736311,-15.381676121570209,-26.4435394455531,-0.04193290459391097,-0.005547093350677379,0.2205571780976741,0.205096529638811,342.9896256202075,4.495837669094693,0.013101882508750355,0.0,-0.004568644932332211,-0.003806338029125363,0.9994494637784066,1.1602978813897062,1.1616803462289764,152898.31770247655,133754.41280525335,506.5481112501897,446.8897830122032,35353.981996225295,30829.230244270577,8,0.7613276838420813
2024-03-16 00:00:00+00:00,0,1,0,2516044547,0.0,0.0018120923918252,0.0,0.0348821617662906,2762,901335.0,82.92704010009766,209917,760408.0,2216.0,169135.0,82.9311752319336,0.0353833362460136,0.0,879177.0,2829.0,196743.0,82.96029663085938,0.0378026403486728,0.0,759857.7142857143,2309.5714285714284,165130.42857142858,82.94033595493862,0.041167421532528704,0.0,665545.1666666666,2037.9666666666667,143771.4,82.98704681396484,0.03592222246030963,0.0,2.5203116096076172,18.53307697972668,-2.3683280311063926,24.638989169675085,6.69604509436168,24.11209980193336,-7.7255941792561345,-1.416413862837651,-0.04008728525850547,-0.004986221194103191,0.22658644424473898,0.20734410271372036,326.21606948968514,4.293748034946979,0.013157518650139578,0.0,-0.004329408918106493,-0.003885478358114331,0.9994371307231725,1.1417072083798685,1.1460154387166464,158027.76300621184,137996.86539795346,512.1760782826358,460.00041104405074,38057.04487389128,32749.162851741447,8,0.9024251295565042
2024-03-17 00:00:00+00:00,0,1,0,2516044547,0.0,0.0020121251267014,0.0,0.0399934165179729,3098,1001421.0,82.92274475097656,226719,901335.0,2762.0,209917.0,82.92704010009766,0.0348821617662906,0.0,989966.0,3009.0,212875.0,82.95284271240234,0.0417998470366001,0.0,761494.1428571428,2322.285714285714,167108.14285714287,82.93603624616351,0.04090936002986767,0.0,680651.9333333333,2081.1666666666665,147310.03333333333,82.98325754801432,0.03624606852730112,0.0,1.1571104462173354,11.10419544342558,2.957793286806254,12.16509775524981,6.503347034644746,8.004115912479692,-4.321619926133902,14.652918548820292,-0.036283218804367134,-0.005179672536137492,0.24567659152674162,0.21901355825211333,323.1432720232333,4.416994530698659,0.013664431898376853,0.0,-0.004427501133506461,-0.003959806822031816,0.9994309538665256,1.118771732753191,1.128656477572294,174127.8643581773,149072.00185051357,563.3532064033889,496.4846827744667,42428.665522590665,35752.30874482495,9,1.0
2024-03-18 00:00:00+00:00,0,0,0,2516044547,0.0,0.0014463743201656,0.0,0.0434242263436317,2253,720223.0,82.92107391357422,143618,1001421.0,3098.0,226719.0,82.92274475097656,0.0399934165179729,0.0,662200.0,1971.0,133866.0,82.94803619384766,0.0413046665489673,0.0,769783.1428571428,2362.5714285714284,168501.2857142857,82.93218449183873,0.041212154286248304,0.0,680423.4666666667,2077.3,146724.33333333334,82.97940470377604,0.036631225173672,0.0,8.762156448202951,-28.07989846428226,14.30745814307459,-27.275661717236932,7.284896837135646,-36.65374317988347,5.131526221502436,8.578436463703998,-0.03250502544801526,-0.0020149325825613573,0.2358457833108303,0.21898661859125837,319.53105590062114,5.014816981040113,0.015687339418879117,0.0,-0.004316329956050979,-0.003992704024435657,0.999430940579703,1.1313295037107423,1.1250553070736156,169649.63331104396,149003.63417547513,539.4077185333273,494.6138967885247,41060.10655158934,35660.909679866985,9,0.7192010153571774
2024-03-19 00:00:00+00:00,0,0,0,2516044547,0.0,0.0013911112930176,0.0,0.0436081662774086,2053,692995.0,82.918701171875,151239,720223.0,2253.0,143618.0,82.92107391357422,0.0434242263436317,0.0,615349.0,1874.0,131652.0,82.94586944580078,0.0410827063024044,0.0,780875.4285714285,2388.1428571428573,171299.42857142858,82.92830330984933,0.04157293428267748,0.0,678417.3666666667,2069.3333333333335,146241.23333333334,82.97556660970052,0.03705295212566848,0.0,12.61820527863049,-3.780495763117808,9.551760939167565,-8.877052818464271,14.877859812232241,5.306437911682371,6.147258061371663,0.42358828070145904,-0.03275422164756847,-0.002861445935553597,0.21619723654675171,0.2187358810834216,337.38802336903603,4.5820880719386405,0.013574451203385348,0.0,-0.003805977957592952,-0.004008896332295777,0.9994303949730947,1.1510251166006833,1.1219870994807393,158422.98800830104,148394.22044012803,504.6741795184975,492.9585093634152,38528.363703520045,35492.30278446168,9,0.6920116514432991
2024-03-20 00:00:00+00:00,0,0,0,2516044547,0.0,0.0013466387810548,0.0,0.0403373129665851,1836,671119.0,82.91434478759766,141848,692995.0,2053.0,151239.0,82.918701171875,0.0436081662774086,0.0,676095.0,2087.0,148147.0,82.94161224365234,0.0456155911087989,0.0,780164.5714285715,2352.285714285714,170399.57142857142,82.92440795898438,0.0408188945480755,0.0,679246.7333333333,2059.4333333333334,146607.9,82.97168731689453,0.037273815770943915,0.0,-0.7359912438340777,-3.1567327325593975,-12.026832774317198,-10.56989771066732,-4.2518579518991295,-6.209377210904599,-11.57121504711941,-7.500552281919692,-0.032875483508310044,-0.0052538018755377,0.19654976534150587,0.2182971905889842,365.3342406096897,4.73122122820746,0.01294334115855593,0.0,-0.003400257655552222,-0.0040234829878251135,0.9994301748049358,1.1485731666312098,1.0951090921014608,146298.36417178746,148277.65360341157,479.33566664585044,494.61532829895464,35695.49099022666,35384.4494798193,9,0.6701666931290636
