timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,platform_platform_share,ccu_playing,session_session_length,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-06-12 00:00:00+00:00,1,0,0,5972059550,1516485,98.22360229492188,4886855.0,0.6895521879196167,41050,0.0,1.410576810100962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4886855.0,41050.0,1516485.0,98.22360229492188,0.6895521879196167,0.0,4886855.0,41050.0,1516485.0,98.22360229492188,0.6895521879196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.04350685732382,3.222486063174998,0.027069158567899737,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-06-13 00:00:00+00:00,1,0,0,5972059550,2883589,98.35710144042967,8577539.0,1.3817217350006104,84700,0.0,1.3906367830749444,0.0,4886855.0,41050.0,1516485.0,98.22360229492188,0.6895521879196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6732197.0,62875.0,2200037.0,98.29035186767578,1.0356369614601135,0.0,6732197.0,62875.0,2200037.0,98.29035186767578,1.0356369614601135,0.0,0.0,75.52268278882839,0.0,106.33373934226552,0.0,90.14952340445174,0.0,100.37957375920645,0.0,0.13591350997996798,0.38764576907311116,0.38764576907311116,101.2684501953932,2.974604225982196,0.02937310782739571,0.0,0.0,0.0,1.0,1.0,1.0,2609707.6836166917,2609707.6836166917,30865.210998792798,30865.210998792798,966688.5089872539,966688.5089872539,2,1.0
2024-06-14 00:00:00+00:00,1,0,0,5972059550,4377886,98.43766784667967,12488096.0,1.5998411178588867,103282,0.0,1.119344114214355,0.0,8577539.0,84700.0,2883589.0,98.35710144042967,1.3817217350006104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8650830.0,76344.0,2925986.6666666665,98.33945719401042,1.2237050135930378,0.0,8650830.0,76344.0,2925986.6666666665,98.33945719401042,1.2237050135930378,0.0,0.0,45.5906641753538,0.0,21.93860684769775,0.0,51.82073450828118,0.0,15.786057158475542,0.0,0.081912139611795,0.4393971983865562,0.4393971983865562,120.91143750665647,2.8525395927304658,0.02359174642927056,0.0,0.10703277587890525,0.0,1.0,1.0,1.0,3801150.4657183723,3801150.4657183723,31946.4005484186,31946.4005484186,1431171.5803160476,1431171.5803160476,3,1.0
2024-06-15 00:00:00+00:00,1,1,0,5972059550,5501674,98.41414642333984,14900011.0,1.495956540107727,113621,0.0,0.84319021345884,0.0,12488096.0,103282.0,4377886.0,98.43766784667967,1.5998411178588867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10213125.25,85663.25,3569908.5,98.35812950134277,1.2917678952217102,0.0,10213125.25,85663.25,3569908.5,98.35812950134277,1.2917678952217102,0.0,0.0,19.313712835007024,0.0,10.010456807575373,0.0,25.669649689370623,0.0,-6.493430915826903,0.0,-0.023894738522722836,0.43121368007115546,0.43121368007115546,131.1366724754009,2.7082681183457766,0.02065207414105704,0.0,0.06521987915037417,0.0,1.0,1.0,1.0,4404039.324080139,4404039.324080139,32058.935638133717,32058.935638133717,1738977.4882507825,1738977.4882507825,4,1.0
2024-06-16 00:00:00+00:00,1,1,0,5972059550,5344895,98.44386291503906,14514409.0,1.4430640935897827,108226,0.0,0.587578719746362,0.0,14900011.0,113621.0,5501674.0,98.41414642333984,1.495956540107727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11073382.0,90175.8,3924905.8,98.37527618408203,1.3220271348953248,0.0,11073382.0,90175.8,3924905.8,98.37527618408203,1.3220271348953248,0.0,0.0,-2.58793097535297,0.0,-4.748241962313305,0.0,-2.8496599398655786,0.0,-3.5356940592763064,0.0,0.030195345668482254,0.3857571884441769,0.3857571884441769,134.11079490330508,2.7155643440022033,0.020248476303374285,0.0,0.04975662231444595,0.04975662231444595,1.0,1.0,1.0,4271636.706888356,4271636.706888356,29540.60008192115,29540.60008192115,1702394.6203858552,1702394.6203858552,4,0.9741206902464703
2024-06-17 00:00:00+00:00,1,0,0,5972059550,4449549,98.33914947509766,12573536.0,1.5010619163513184,99547,0.0,0.3996266871770405,0.0,14514409.0,108226.0,5344895.0,98.44386291503906,1.4430640935897827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11323407.666666666,91737.66666666667,4012346.3333333335,98.36925506591797,1.3518662651379902,0.0,11323407.666666666,91737.66666666667,4012346.3333333335,98.36925506591797,1.3518662651379902,0.0,0.0,-13.372042912666993,0.0,-8.019329920721452,0.0,-16.75142355462549,0.0,4.019074621783392,0.0,-0.10636868245588182,0.34172062685856075,0.34172062685856075,126.30626431470246,2.8257994628670313,0.022372374734523717,0.0,0.023271397181937707,0.023271397181937707,1.0,1.0,1.0,3869441.966028366,3869441.966028366,26697.456947557133,26697.456947557133,1537658.2962520206,1537658.2962520206,4,0.8438608535255444
2024-06-18 00:00:00+00:00,1,0,0,5972059550,4668610,98.3608627319336,13359485.0,1.6870489120483398,108515,0.0,0.3566326380206763,0.0,12573536.0,99547.0,4449549.0,98.33914947509766,1.5010619163513184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11614275.857142856,94134.42857142857,4106098.285714286,98.36805616106305,1.3997495004108973,0.0,11614275.857142856,94134.42857142857,4106098.285714286,98.36805616106305,1.3997495004108973,0.0,0.0,6.2508191808573255,0.0,9.008809908887262,0.0,4.923218060976509,0.0,12.390361361582357,0.0,0.022079972169608553,0.3112686438623204,0.3112686438623204,123.11073943013012,2.861554539455097,0.023243530034950437,0.0,0.013645444597518184,0.013645444597518184,1.0,1.0,1.0,3615159.895495746,3615159.895495746,25182.793986219658,25182.793986219658,1425430.997998116,1425430.997998116,4,0.8966090696174653
2024-06-19 00:00:00+00:00,1,0,1,5972059550,4786636,98.35308074951172,13913482.0,1.69524347782135,112323,0.0,0.3168769133404138,0.0,13359485.0,108515.0,4668610.0,98.3608627319336,1.6870489120483398,0.0,4886855.0,41050.0,1516485.0,98.22360229492188,0.6895521879196167,0.0,12903794.0,104316.28571428571,4573262.714285715,98.38655308314732,1.5434196846825736,0.0,11901676.625,96408.0,4191165.5,98.36618423461914,1.436686247587204,0.0,184.7123968278167,4.146843983881121,173.62484774665043,3.5091922775653206,215.64018107663446,2.528075808431196,145.84701600844895,0.48573373981557477,0.13182010389019005,-0.007911665479265473,0.28939519773781097,0.28939519773781097,123.86918200918771,2.906734310539947,0.023465953236061144,0.0,-0.008595330374576209,0.007849012102401754,1.0002070716546205,1.0841996809840226,1.0742914030635566,3444288.060303358,3444288.060303358,24185.325515397024,24185.325515397024,1341447.049874447,1341447.049874447,4,0.9337900488798296
2024-06-20 00:00:00+00:00,1,0,0,5972059550,4930417,98.35648345947266,14348110.0,1.7214447259902954,114301,0.0,0.283993729185069,0.0,13913482.0,112323.0,4786636.0,98.35308074951172,1.69524347782135,0.0,8577539.0,84700.0,2883589.0,98.35710144042967,1.3817217350006104,0.0,13728161.285714285,108545.0,4865666.714285715,98.38646480015346,1.591951540538243,0.0,12173502.555555556,98396.11111111111,4273304.555555556,98.36510637071397,1.4683260785208807,0.0,67.27536884414049,3.123790292034734,34.94805194805195,1.7609928509744188,70.9819603279108,3.0038005814521984,24.58693254829165,1.5455743385379694,-0.000628303343597203,0.003459688232454461,0.2730058253436188,0.2730058253436188,125.52807474934822,2.910120399527991,0.02318282141595297,0.0,-0.016024453299388137,0.0048475901285833164,1.000217134207724,1.1277084161328113,1.0841948282645069,3323437.112502097,3323437.112502097,23396.303043667198,23396.303043667198,1278775.4236740626,1278775.4236740626,4,0.9629596917747242
2024-06-21 00:00:00+00:00,1,0,0,5972059550,5718218,98.34130096435548,15529359.0,1.84765625,128077,0.0,0.2698940607220915,0.0,14348110.0,114301.0,4930417.0,98.35648345947266,1.7214447259902954,0.0,12488096.0,103282.0,4377886.0,98.43766784667967,1.5998411178588867,0.0,14162627.42857143,112087.14285714286,5057142.714285715,98.37269810267857,1.6273537022726876,0.0,12509088.2,101364.2,4417795.9,98.36272583007812,1.5062590956687927,0.0,24.353296130971437,8.232784666412506,24.007087391801086,12.052387993105928,30.615963960687886,15.978384789765254,15.489983934952956,7.331720972748568,-0.0978963484529971,-0.015436191477335992,0.2644634300804074,0.2644634300804074,121.24923093739753,2.7157684936516073,0.0223980578568257,0.0,-0.013548714773986833,0.002227043383049863,1.0001013826377452,1.1321870309117679,1.0803942741007169,3308196.372550349,3308196.372550349,23972.103272113793,23972.103272113793,1289320.6673492354,1289320.6673492354,5,1.0
