timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,visits_visits_gained,session_session_length,ratings_like_ratio,platform_platform_share,daily_rpv,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-10-27 00:00:00+00:00,0,0,0,4263371487,0.0,13916,0.0,87.67664337158203,0.0091707399114966,0.0,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,13916.0,87.67664337158203,0.0091707399114966,0.0,0.0,456.0,13916.0,87.67664337158203,0.0091707399114966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032765682259107566,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-10-28 00:00:00+00:00,0,1,0,4263371487,0.0,43227,0.0,87.7094955444336,0.0075453547760844,0.0,517,0.0,0.0,456.0,13916.0,87.67664337158203,0.0091707399114966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.5,28571.5,87.69306945800781,0.0083580473437905,0.0,0.0,486.5,28571.5,87.69306945800781,0.0083580473437905,0.0,0.0,0.0,0.0,13.377192982456144,0.0,210.6280540385168,0.0,-17.723598652869754,0.0,0.037469697274250535,0.0,0.0,0.0,0.0,0.011959840843897474,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,43.1335136523794,43.1335136523794,20726.006863358896,20726.006863358896,0,0.0
2023-10-29 00:00:00+00:00,0,1,0,4263371487,0.0,62024,0.0,87.67894744873047,0.0118363369256258,0.0,838,0.0,0.0,517.0,43227.0,87.7094955444336,0.0075453547760844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603.6666666666666,39722.333333333336,87.68836212158203,0.009517477204402266,0.0,0.0,603.6666666666666,39722.333333333336,87.68836212158203,0.009517477204402266,0.0,0.0,0.0,0.0,62.0889748549323,0.0,43.48439632637009,0.0,56.86919007628386,0.0,-0.034828721238799876,0.0,0.0,0.0,0.0,0.01351068117694478,0.0,0.0011520385742090874,0.0,1.0,0.0,1.0,0.0,0.0,205.21777051058064,205.21777051058064,24244.729990934797,24244.729990934797,0,0.0
2023-10-30 00:00:00+00:00,0,0,0,4263371487,0.0,35162,0.0,87.73255920410156,0.0084209712222218,0.0,366,0.0,0.0,838.0,62024.0,87.67894744873047,0.0118363369256258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.25,38582.25,87.69941139221191,0.00924335070885715,0.0,0.0,544.25,38582.25,87.69941139221191,0.00924335070885715,0.0,0.0,0.0,0.0,-56.32458233890214,0.0,-43.309041661292405,0.0,-28.854921289116874,0.0,0.061145528009953765,0.0,0.0,0.0,0.0,0.010408668202371811,0.0,0.013719940185532504,0.0,1.0,0.0,1.0,0.0,0.0,205.4205036828927,205.4205036828927,19926.626614909004,19926.626614909004,0,0.0
2023-10-31 00:00:00+00:00,0,0,0,4263371487,0.0,25995,0.0,87.74589538574219,0.0091810133308172,0.0,340,0.0,0.0,366.0,35162.0,87.73255920410156,0.0084209712222218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.4,36064.8,87.70870819091797,0.00923088323324916,0.0,0.0,503.4,36064.8,87.70870819091797,0.00923088323324916,0.0,0.0,0.0,0.0,-7.103825136612018,0.0,-26.070758204880274,0.0,9.025587293182436,0.0,0.015200949067950553,0.0,0.0,0.0,0.0,0.0130789352208032,0.0,0.016156768798830677,0.016156768798830677,1.0,0.0,1.0,0.0,0.0,199.9794989492673,199.9794989492673,18151.876175756595,18151.876175756595,0,0.0
2023-11-01 00:00:00+00:00,0,0,0,4263371487,0.0,21736,0.0,87.74735260009766,0.0077356304973363,0.0,350,0.0,0.0,340.0,25995.0,87.74589538574219,0.0091810133308172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.8333333333333,33676.666666666664,87.71514892578125,0.00898167444393035,0.0,0.0,477.8333333333333,33676.666666666664,87.71514892578125,0.00898167444393035,0.0,0.0,0.0,0.0,2.941176470588225,0.0,-16.383919984612426,0.0,-15.743173235892105,0.0,0.0016607208223939907,0.0,0.0,0.0,0.0,0.016101577954639554,0.0,0.014753069196436737,0.014753069196436737,1.0,0.0,1.0,0.0,0.0,189.51349995888597,189.51349995888597,17257.217964279953,17257.217964279953,0,0.0
2023-11-02 00:00:00+00:00,0,0,0,4263371487,0.0,20411,0.0,87.68315124511719,0.007350546773523,0.0,367,0.0,0.0,350.0,21736.0,87.74735260009766,0.0077356304973363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,31781.571428571428,87.71057782854352,0.008748656205300728,0.0,0.0,462.0,31781.571428571428,87.71057782854352,0.008748656205300728,0.0,0.0,0.0,0.0,4.857142857142849,0.0,-6.095877806404126,0.0,-4.978052195563121,0.0,-0.07316614470759264,0.0,0.0,0.0,0.0,0.017979619831471682,0.0,0.0057923453194791774,0.0057923453194791774,1.0,0.0,1.0,0.0,0.0,178.00093632712534,178.00093632712534,16532.271822682073,16532.271822682073,0,0.0
2023-11-03 00:00:00+00:00,0,0,0,4263371487,0.0,24305,0.0,87.67107391357422,0.0087158810347318,0.0,472,0.0,0.0,367.0,20411.0,87.68315124511719,0.007350546773523,0.0,0.0,456.0,13916.0,87.67664337158203,0.0091707399114966,0.0,0.0,464.2857142857143,33265.71428571428,87.70978219168526,0.008683676365762899,0.0,0.0,463.25,30847.0,87.70563983917236,0.008744559308979612,0.0,0.0,0.0,3.5087719298245723,28.610354223433234,74.6550732969244,19.07794816520503,-4.959892889281258,18.574594561139257,-0.006352271019560707,-0.013773833822650072,0.0,0.0,0.0,0.0,0.019419073479799227,0.0,-0.0032879965645866514,0.0005695706322132216,1.0000472301726604,0.0,0.993037620185823,0.0,0.0,164.83476575043264,164.83476575043264,15532.490371568145,15532.490371568145,0,0.0
2023-11-04 00:00:00+00:00,0,1,0,4263371487,0.0,33282,0.0,87.66344451904297,0.0063406974077224,0.0,442,0.0,0.0,472.0,24305.0,87.67107391357422,0.0087158810347318,0.0,0.0,517.0,43227.0,87.7094955444336,0.0075453547760844,0.0,0.0,453.57142857142856,31845.0,87.70320347377232,0.0085115824559969,0.0,0.0,460.8888888888889,31117.555555555555,87.7009514702691,0.008477463542173255,0.0,0.0,0.0,-14.506769825918763,-6.355932203389836,-23.006454299396207,36.93478708084756,-15.965549720475124,-27.251216687613823,-0.052504036313028024,-0.008702293915974213,0.0,0.0,0.0,0.0,0.013280052879848571,0.0,-0.008293696812220822,-0.0024143218994159992,1.0000256782106176,0.0,1.004024660637455,0.0,0.0,154.3514208263439,154.3514208263439,14551.968175397367,14551.968175397367,0,0.0
2023-11-05 00:00:00+00:00,0,1,0,4263371487,0.0,31283,0.0,87.62712097167969,0.0062338635325431,0.0,430,0.0,0.0,442.0,33282.0,87.66344451904297,0.0063406974077224,0.0,0.0,838.0,62024.0,87.67894744873047,0.0118363369256258,0.0,0.0,395.2857142857143,27453.428571428572,87.69579969133649,0.007711229114127943,0.0,0.0,457.8,31134.1,87.69356842041016,0.00825310354121024,0.0,0.0,0.0,-48.6873508353222,-2.714932126696834,-49.5630723590868,-6.006249624421612,-47.33283133359683,-1.6848915554491861,-0.05910937409585593,-0.04143522714920023,0.0,0.0,0.0,0.0,0.013745045390615012,0.0,-0.019910539899548763,-0.00578298857717667,1.0000254439517804,0.0,0.9343429505789485,0.0,0.0,145.85137031314522,145.85137031314522,13719.826921891787,13719.826921891787,0,0.0
