timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-15 00:00:00+00:00,0,0,0,7471000866,0.0168971549719572,143136.0,1368,0.4674664231434862,96.47266387939452,13697,476.0,27.306196212768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143136.0,1368.0,13697.0,96.47266387939452,0.0168971549719572,27.306196212768555,143136.0,1368.0,13697.0,96.47266387939452,0.0168971549719572,27.306196212768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.55514974433893,10.449408672798949,0.09986859395532194,0.00019076965573379737,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-16 00:00:00+00:00,0,0,0,7471000866,0.0224079899489879,134296.0,1990,0.3665108519862879,96.20360565185548,132085,447.0,22.812006910641987,143136.0,1368.0,13697.0,96.47266387939452,0.0168971549719572,27.306196212768555,0.0,0.0,0.0,0.0,0.0,0.0,138716.0,1679.0,72891.0,96.338134765625,0.01965257246047255,25.05910156170527,138716.0,1679.0,72891.0,96.338134765625,0.01965257246047255,25.05910156170527,0.0,-6.175944556226243,0.0,45.46783625730995,0.0,864.3352558954515,0.0,32.61398138430152,0.0,-0.2788958205563796,0.04506202561845122,0.04506202561845122,67.45153189352084,1.0167315234014203,0.015065941886346775,0.00016986237153951308,0.0,0.0,1.0,1.0,1.0,6250.82394568908,6250.82394568908,439.8204178980326,439.8204178980326,83712.95761111299,83712.95761111299,1,0.9382405544377376
2025-05-17 00:00:00+00:00,0,1,0,7471000866,0.0214185193181037,202219.0,2142,0.3683891562133841,96.36666870117188,196695,377.0,21.09522279103597,134296.0,1990.0,132085.0,96.20360565185548,0.0224079899489879,22.812006910641987,0.0,0.0,0.0,0.0,0.0,0.0,159883.66666666666,1833.3333333333333,114159.0,96.34764607747395,0.020241221413016267,23.737808638148834,159883.66666666666,1833.3333333333333,114159.0,96.34764607747395,0.020241221413016267,23.737808638148834,0.0,50.5770834574373,0.0,7.638190954773871,0.0,48.91547109815648,0.0,-4.415704546176347,0.0,0.16949785635529402,0.23097382294799224,0.23097382294799224,94.36257582827811,1.028078862813682,0.010889901167283524,0.00010431818213349802,-0.05299758911134003,0.0,1.0,1.0,1.0,36928.94171694247,36928.94171694247,410.0942980990267,410.0942980990267,92806.64366304818,92806.64366304818,2,1.0
2025-05-18 00:00:00+00:00,0,1,0,7471000866,0.0257060527801513,191908.0,2324,0.2609169605677372,96.20917510986328,186078,327.0,21.263689041137695,202219.0,2142.0,196695.0,96.36666870117188,0.0214185193181037,21.09522279103597,0.0,0.0,0.0,0.0,0.0,0.0,167889.75,1956.0,132138.75,96.31302833557129,0.021607429254800026,23.11927873889605,167889.75,1956.0,132138.75,96.31302833557129,0.021607429254800026,23.11927873889605,0.0,-5.098927400491549,0.0,8.496732026143782,0.0,-5.39769694196599,0.0,20.01787984673442,0.0,-0.16343160288851966,0.2033489863987865,0.2033489863987865,82.54107526881721,1.0313254048011866,0.012489319052660429,0.00011080089543032216,-0.06274032592774975,0.0,1.0,1.0,1.0,34140.21048924567,34140.21048924567,415.09838191285047,415.09838191285047,83875.70791901948,83875.70791901948,2,0.9490107259950845
2025-05-19 00:00:00+00:00,0,0,0,7471000866,0.0244944766163826,193008.0,1979,0.2090828683423718,96.22708892822266,178760,281.0,22.163166840871177,191908.0,2324.0,186078.0,96.20917510986328,0.0257060527801513,21.263689041137695,0.0,0.0,0.0,0.0,0.0,0.0,172913.4,1960.6,141463.0,96.29584045410157,0.02218483872711654,22.928056359291077,172913.4,1960.6,141463.0,96.29584045410157,0.02218483872711654,22.928056359291077,0.0,0.5731913208412376,0.0,-14.845094664371771,0.0,-3.9327593804748595,0.0,-4.713194103079921,0.0,0.018619656949470098,0.18291423549462704,0.18291423549462704,97.47878787878788,1.0796985919747597,0.011070647400719396,0.00011482970659850668,-0.048558044433589374,-0.048558044433589374,1.0,1.0,1.0,31628.322367776644,31628.322367776644,359.63286835326943,359.63286835326943,75571.54871047701,75571.54871047701,2,0.9544503731103408
2025-05-20 00:00:00+00:00,0,0,0,7471000866,0.0265972781926393,179403.0,2190,0.1645274240029776,96.20445251464844,156052,246.0,23.440826018651325,193008.0,1979.0,178760.0,96.22708892822266,0.0244944766163826,22.163166840871177,0.0,0.0,0.0,0.0,0.0,0.0,173995.0,1998.8333333333333,143894.5,96.28060913085938,0.022920245304703667,23.013517969184452,173995.0,1998.8333333333333,143894.5,96.28060913085938,0.022920245304703667,23.013517969184452,0.0,-7.048930614275051,0.0,10.661950480040417,0.0,-12.703065562765714,0.0,8.584798969945284,0.0,-0.023523951338799698,0.16329791758314402,0.16329791758314402,81.8817891373802,1.1496286518041947,0.014033693680992996,0.00013065943913542243,-0.040802873883921155,-0.040802873883921155,1.0,1.0,1.0,28413.021169879143,28413.021169879143,335.0214420998553,335.0214420998553,67855.14227455425,67855.14227455425,2,0.8871718285621034
2025-05-21 00:00:00+00:00,0,0,0,7471000866,0.0299202632158994,190226.0,2377,0.1510864012533071,96.13733673095705,175068,228.0,23.44805987675985,179403.0,2190.0,156052.0,96.20445251464844,0.0265972781926393,23.440826018651325,0.0,0.0,0.0,0.0,0.0,0.0,176313.7142857143,2052.8571428571427,148347.85714285713,96.26014164515904,0.023920247863445914,23.075595384552365,176313.7142857143,2052.8571428571427,148347.85714285713,96.26014164515904,0.023920247863445914,23.075595384552365,0.0,6.0327865197348896,0.0,8.538812785388128,0.0,12.185681695844973,0.0,12.493703299985516,0.0,-0.0697636979755889,0.15116830881381918,0.15116830881381918,79.99411269974769,1.0865772923818608,0.013577503727101885,0.00012326357392357474,-0.04085241045269784,-0.04085241045269784,1.0,1.0,1.0,26653.04600925434,26653.04600925434,337.5837814881064,337.5837814881064,63053.63066318643,63053.63066318643,2,0.9406930110424836
2025-05-22 00:00:00+00:00,0,0,0,7471000866,0.0305312853306531,185881.0,2436,0.1310539540416636,96.2325668334961,150066,218.0,26.121885140736897,190226.0,2377.0,175068.0,96.13733673095705,0.0299202632158994,23.44805987675985,143136.0,1368.0,13697.0,96.47266387939452,0.0168971549719572,27.306196212768555,182420.14285714287,2205.4285714285716,167829.14285714287,96.22584206717355,0.02586798077183104,22.906408088547842,177509.625,2100.75,148562.625,96.25669479370117,0.02474662754684681,23.456381604075432,29.863207019897153,-2.2841251984481614,78.0701754385965,2.482120319730763,995.612177849164,-14.281307834669954,80.6889111292601,2.0421682467987257,-0.24887572939685798,0.0990563144114942,0.14031174046089515,0.14031174046089515,76.27451784981535,1.238653401480672,0.016232749371947196,0.00014052939574965245,-0.01344653538295271,-0.02953284127371315,0.999679474486489,1.027663389278992,1.0453133754432373,24906.684432310823,24906.684432310823,340.6350162354339,340.6350162354339,58379.47909016734,58379.47909016734,2,0.9192064049372215
2025-05-23 00:00:00+00:00,0,0,0,7471000866,0.0292384028434753,233374.0,2802,0.146545020834405,96.29497528076172,206746,204.0,25.11910525957743,185881.0,2436.0,150066.0,96.2325668334961,0.0305312853306531,26.121885140736897,134296.0,1990.0,132085.0,96.20360565185548,0.0224079899489879,22.812006910641987,196574.14285714287,2321.4285714285716,178495.0,96.23889487130302,0.0268437540424721,23.23599356696719,183716.77777777778,2178.6666666666665,155027.44444444444,96.26094818115234,0.025245713690916646,23.641128676908988,73.77583844641687,25.550217612343374,40.804020100502505,15.02463054187193,56.52496498466897,37.7700478456146,30.48204194145452,-4.234615323842128,0.09497526447905802,0.06485169139633928,0.16234484544458494,0.16234484544458494,83.25865144488048,1.1287902605600082,0.013552796413007202,0.00010763408788249568,-0.00921603611536944,-0.01812095642089543,0.9997709007622922,1.069984708173563,1.0632994721844773,29825.47189391049,29825.47189391049,395.1800222683329,395.1800222683329,57950.738955838846,57950.738955838846,3,1.0
2025-05-24 00:00:00+00:00,0,1,0,7471000866,0.0231710243970155,207730.0,2337,0.1158925076888583,96.1303253173828,173957,196.0,27.372952262560528,233374.0,2802.0,206746.0,96.29497528076172,0.0292384028434753,25.11910525957743,202219.0,2142.0,196695.0,96.36666870117188,0.0214185193181037,21.09522279103597,197361.42857142858,2349.285714285714,175246.7142857143,96.20513153076172,0.02709411191088807,24.132812062899273,186118.1,2194.5,156920.4,96.2478858947754,0.02503824476152653,24.014311035474144,2.725263204743378,-10.98837059826716,9.103641456582622,-16.595289079229126,-11.560029487277257,-15.859557137743895,8.18219529036499,-20.751401774374855,-0.24525428446838804,-0.1709849998910773,0.15649743120502577,0.15649743120502577,88.84944396920444,1.1941388151162924,0.013434277239333632,0.0001317711476022381,-0.002595084054120625,-0.020303760875354893,0.9995557890584691,1.0604096461946935,1.0821090762927823,29127.004550760106,29127.004550760106,375.928554086781,375.928554086781,54963.42261540851,54963.42261540851,3,0.8901162940173284
