timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,daily_rpv,visits_visits_gained,platform_platform_share,session_session_length,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-08 00:00:00+00:00,1,1,0,7703614594,169,97.69512939453124,0.0412616951243707,8237,0.0011438985820859,12.258443620469835,6445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6445.0,169.0,8237.0,97.69512939453124,0.0011438985820859,12.258443620469835,6445.0,169.0,8237.0,97.69512939453124,0.0011438985820859,12.258443620469835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.911764705882355,0.7823500849720806,0.020514688031075503,0.001901713251701805,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-09 00:00:00+00:00,1,0,0,7703614594,185,97.98023223876952,0.045959176986209,25717,0.0019680703990161,13.27928908665975,7921,0.0,6445.0,169.0,8237.0,97.69512939453124,0.0011438985820859,12.258443620469835,0.0,0.0,0.0,0.0,0.0,0.0,7183.0,177.0,16977.0,97.83768081665038,0.0015559844905509998,12.768866353564793,7183.0,177.0,16977.0,97.83768081665038,0.0015559844905509998,12.768866353564793,0.0,22.901474010861133,0.0,9.467455621301779,0.0,212.2131844118004,0.0,72.0493783135321,0.0,0.2918291280284091,0.1452999594920429,0.1452999594920429,42.586021505376344,0.30799440080877205,0.007193405396998211,0.0016762546183614934,0.0,0.0,1.0,1.0,1.0,1043.6896090313442,1043.6896090313442,11.313708498984761,11.313708498984761,12360.226535140851,12360.226535140851,2,1.0
2025-06-10 00:00:00+00:00,1,0,0,7703614594,172,97.5226821899414,0.0630780064495348,26262,0.0017554322257637,12.861860235532124,12571,0.0,7921.0,185.0,25717.0,97.98023223876952,0.0019680703990161,13.27928908665975,0.0,0.0,0.0,0.0,0.0,0.0,8979.0,175.33333333333334,20072.0,97.73268127441406,0.0016224670689552335,12.79986431422057,8979.0,175.33333333333334,20072.0,97.73268127441406,0.0016224670689552335,12.79986431422057,0.0,58.70470900138871,0.0,-7.027027027027022,0.0,2.119220748920947,0.0,-10.804398732825026,0.0,-0.46698200072959883,0.35606490891059617,0.35606490891059617,72.66473988439306,0.4786581883257815,0.00654913756996535,0.0010230560161893195,-0.08622360229491403,0.0,1.0,1.0,1.0,3197.106817108243,3197.106817108243,8.504900548115383,8.504900548115383,10253.032478247595,10253.032478247595,3,1.0
2025-06-11 00:00:00+00:00,1,0,0,7703614594,168,97.57537841796876,0.026308744485776,17180,0.0014280069153755,15.548851490020752,5815,0.0,12571.0,172.0,26262.0,97.5226821899414,0.0017554322257637,12.861860235532124,0.0,0.0,0.0,0.0,0.0,0.0,8188.0,173.5,19349.0,97.69335556030273,0.0015738520305603,13.487111108170616,8188.0,173.5,19349.0,97.69335556030273,0.0015738520305603,13.487111108170616,0.0,-53.74274122981465,0.0,-2.3255813953488413,0.0,-34.58228619297845,0.0,-18.652119152350288,0.0,0.054034842811967465,0.37278757224656345,0.37278757224656345,34.40828402366864,0.33845527035678946,0.009778243408416274,0.0026734613978715185,-0.0816802978515678,0.0,1.0,1.0,1.0,3052.3846415548614,3052.3846415548614,7.852812659593167,7.852812659593167,8495.5301580694,8495.5301580694,3,0.4625725877018535
2025-06-12 00:00:00+00:00,1,0,0,7703614594,363,97.67129516601562,0.1188318552240782,72685,0.0038560261018574,13.594401608342707,31456,0.0,5815.0,168.0,17180.0,97.57537841796876,0.0014280069153755,15.548851490020752,0.0,0.0,0.0,0.0,0.0,0.0,12841.6,211.4,30016.2,97.6889434814453,0.00203028684481972,13.508569208205035,12841.6,211.4,30016.2,97.6889434814453,0.00203028684481972,13.508569208205035,0.0,440.94582975064486,0.0,116.07142857142856,0.0,323.07916181606515,0.0,170.02853139849415,0.0,0.09830015481568921,0.8360548624666749,0.8360548624666749,86.41758241758242,0.4327655944748645,0.004994084142751011,0.0004321582353162319,-0.04525222778320485,-0.04525222778320485,1.0,1.0,1.0,10736.282121852053,10736.282121852053,85.01940954864365,85.01940954864365,24961.496423491924,24961.496423491924,4,1.0
2025-06-13 00:00:00+00:00,1,0,0,7703614594,562,97.834228515625,0.1101550630774986,139663,0.004828059580177,9.8648761510849,40249,0.0,31456.0,363.0,72685.0,97.67129516601562,0.0038560261018574,13.594401608342707,0.0,0.0,0.0,0.0,0.0,0.0,17409.5,269.8333333333333,48290.666666666664,97.7131576538086,0.0024965823007126,12.901287032018345,17409.5,269.8333333333333,48290.666666666664,97.7131576538086,0.0024965823007126,12.901287032018345,0.0,27.953331637843327,0.0,54.820936639118464,0.0,92.14831120588842,0.0,25.20816645539261,0.0,0.16681804959424174,0.8469386005910342,0.8469386005910342,71.49023090586145,0.28818449994271966,0.004023943177912705,0.00024509009071018383,-0.005103410993292803,-0.005103410993292803,1.0,1.0,1.0,14744.77756698961,14744.77756698961,162.07827327148652,162.07827327148652,50021.9735183116,50021.9735183116,5,1.0
2025-06-14 00:00:00+00:00,1,1,0,7703614594,690,97.88794708251952,0.0876030549268327,190562,0.0052122501656413,9.582055151462557,46424,0.0,40249.0,562.0,139663.0,97.834228515625,0.004828059580177,9.8648761510849,0.0,0.0,0.0,0.0,0.0,0.0,21554.428571428572,329.85714285714283,68615.14285714286,97.73812757219586,0.0028845348528452716,12.427111049081804,21554.428571428572,329.85714285714283,68615.14285714286,97.73812757219586,0.0028845348528452716,12.427111049081804,0.0,15.341996074436626,0.0,22.775800711743766,0.0,36.44415485848078,0.0,7.9574532808523335,0.0,0.054907743138121745,0.8054926585294712,0.8054926585294712,67.18379160636758,0.24361497247629393,0.003620849797704696,0.00020639860315482082,0.015537806919641576,0.015537806919641576,1.0,1.0,1.0,17361.933973083593,17361.933973083593,217.05101441168813,217.05101441168813,70546.12100706073,70546.12100706073,6,1.0
2025-06-15 00:00:00+00:00,1,1,0,7703614594,512,98.05982208251952,0.0622653829088153,217353,0.005237475503236,9.976186235745748,46753,0.0,46424.0,690.0,190562.0,97.88794708251952,0.0052122501656413,9.582055151462557,6445.0,169.0,8237.0,97.69512939453124,0.0011438985820859,12.258443620469835,27312.714285714286,378.85714285714283,98488.85714285714,97.79022652762276,0.0034693315558667137,12.101074279835505,24704.25,352.625,87207.375,97.77833938598633,0.0031786524341441127,12.120745447414796,625.4150504266873,0.7086851628468116,202.9585798816568,-25.79710144927536,2538.7398324632754,14.058941446878181,357.8618756293463,0.48396252660669603,0.3732966937537885,0.17558341463133065,0.7439144952867303,0.7439144952867303,91.1364522417154,0.215100711282056,0.002355604221684441,0.00021337610120515354,0.04386247907366143,0.03716641380673522,1.000121572341186,1.1055876736073464,1.0914472808037188,18377.849670187206,18377.849670187206,211.01654471357722,211.01654471357722,83852.00612122272,83852.00612122272,7,1.0
2025-06-16 00:00:00+00:00,1,0,0,7703614594,466,98.1135482788086,0.0370680339918264,130781,0.0044346726499497,11.177659948666893,33995,0.0,46753.0,512.0,217353.0,98.05982208251952,0.005237475503236,9.976186235745748,7921.0,185.0,25717.0,97.98023223876952,0.0019680703990161,13.27928908665975,31037.571428571428,419.0,113498.0,97.80927167619977,0.0038217033060000856,11.800841545836525,25736.555555555555,365.22222222222223,92048.88888888889,97.81558481852214,0.003318210235900289,12.015958169776141,329.17560914026006,-27.288088464911343,151.8918918918919,-8.984375,408.53909865069795,-39.83013807032799,125.33099690776974,-15.32804979785174,0.13606422131577922,0.05478920433270584,0.6787089086582698,0.6787089086582698,72.79443254817987,0.25993638268263214,0.003563181477573366,0.000328793385947373,0.10564776829310338,0.04836374918619631,0.9999354587274197,1.2059722351568365,1.1517363380573111,17467.62953373404,17467.62953373404,200.97311871104662,200.97311871104662,79769.83373971084,79769.83373971084,7,0.7271191153508866
2025-06-17 00:00:00+00:00,1,0,0,7703614594,2866,98.29230499267578,0.0759081383473484,444452,0.0254716407507658,9.298244376977284,90272,0.0,33995.0,466.0,130781.0,98.1135482788086,0.0044346726499497,11.177659948666893,12571.0,172.0,26262.0,97.5226821899414,0.0017554322257637,12.861860235532124,42137.71428571428,803.8571428571429,173239.42857142858,97.91921779087612,0.0072097330952861005,11.291753566042976,32190.1,615.3,127289.2,97.8632568359375,0.00553355328738684,11.744186790496254,618.0972078593588,165.54493307839388,1566.2790697674418,515.0214592274679,1592.3768182164345,239.8444728209755,1351.018180988695,474.3747681365999,0.7891731292166471,0.18219371025010034,0.8146605593092352,0.8146605593092352,31.486571328915243,0.20310809016926423,0.006448375868764527,0.00010300138886463598,0.1164599827357704,0.0611765543619802,1.0005718280460707,1.3090271321218103,1.3029120206938167,26224.00487022021,26224.00487022021,813.1982196515462,813.1982196515462,134443.28355919378,134443.28355919378,8,1.0
