timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,daily_rpv,platform_platform_share,ratings_like_ratio,daily_Estimated Revenue,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-23 00:00:00+00:00,0,0,0,5026122481,4395,0.0615235517556239,0.06971325725317,90.62435150146484,533050.0,394374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533050.0,4395.0,394374.0,90.62435150146484,0.06971325725317,0.0,533050.0,4395.0,394374.0,90.62435150146484,0.06971325725317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.25796178343948,1.3516323296354993,0.011144215530903327,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-24 00:00:00+00:00,0,0,0,5026122481,4429,0.0963431576270336,0.0726313814520835,90.67587280273438,894368.0,659280,7.080695470174153,0.0,533050.0,4395.0,394374.0,90.62435150146484,0.06971325725317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713709.0,4412.0,526827.0,90.65011215209961,0.07117231935262675,3.5403477350870767,713709.0,4412.0,526827.0,90.65011215209961,0.07117231935262675,3.5403477350870767,0.0,67.78313479035738,0.0,0.773606370876001,0.0,67.17126382570859,0.0,4.185895644376614,0.0,0.05685149787659771,0.3579756006506307,0.3579756006506307,201.88893905191873,1.356580881293409,0.006717924526870939,7.916973274089501e-06,0.0,0.0,1.0,1.0,1.0,255490.407964761,255490.407964761,24.041630560342615,24.041630560342615,187316.82897700355,187316.82897700355,2,1.0
2024-09-25 00:00:00+00:00,0,0,0,5026122481,4332,0.0892801100993188,0.0717370435595512,90.8408203125,885469.0,631085,7.309927721818288,0.0,894368.0,4429.0,659280.0,90.67587280273438,0.0726313814520835,7.080695470174153,0.0,0.0,0.0,0.0,0.0,0.0,770962.3333333334,4385.333333333333,561579.6666666666,90.71368153889973,0.0713605607549349,4.7968743973308134,770962.3333333334,4385.333333333333,561579.6666666666,90.71368153889973,0.0713605607549349,4.7968743973308134,0.0,-0.9950042935346515,0.0,-2.190110634454734,0.0,-4.276635117097438,0.0,-1.2313381277517355,0.0,0.18190892975959994,0.26731028826965686,0.26731028826965686,204.3547195938149,1.4030876932779368,0.006864357631131098,8.255421100453193e-06,0.10823440551757106,0.0,1.0,1.0,1.0,206086.1635683806,206086.1635683806,49.21720566360225,49.21720566360225,145488.97116391105,145488.97116391105,2,0.9900499570646535
2024-09-26 00:00:00+00:00,0,0,0,5026122481,4200,0.0845990714748753,0.0686815604567527,90.96321868896484,892677.0,633277,7.313638726870219,0.0,885469.0,4332.0,631085.0,90.8408203125,0.0717370435595512,7.309927721818288,0.0,0.0,0.0,0.0,0.0,0.0,801391.0,4339.0,579504.0,90.77606582641602,0.07069081068038935,5.426065479715665,801391.0,4339.0,579504.0,90.77606582641602,0.07069081068038935,5.426065479715665,0.0,0.8140318859271245,0.0,-3.0470914127423865,0.0,0.3473383141732178,0.0,-4.259282166070932,0.0,0.13473940024295583,0.22328128346282006,0.22328128346282006,212.49154963104021,1.4096131556757063,0.006632158388575002,8.192919201403214e-06,0.11815490722654932,0.0,1.0,1.0,1.0,178935.61103555284,178935.61103555284,101.00495037373157,101.00495037373157,124082.58293840707,124082.58293840707,2,0.9981092794017675
2024-09-27 00:00:00+00:00,0,0,0,5026122481,4475,0.0877574723293077,0.0598955005407333,91.01573181152344,984547.0,697880,7.371300975481669,0.0,892677.0,4200.0,633277.0,90.96321868896484,0.0686815604567527,7.313638726870219,0.0,0.0,0.0,0.0,0.0,0.0,838022.2,4366.2,603179.2,90.8239990234375,0.06853174865245813,5.815112578868866,838022.2,4366.2,603179.2,90.8239990234375,0.06853174865245813,5.815112578868866,0.0,10.291516416352152,0.0,6.547619047619047,0.0,10.20138107021098,0.0,-12.792458205069156,0.0,0.05773006201348352,0.209157810449164,0.209157810449164,219.96134941912422,1.4107663054302955,0.006412267994113609,7.48698994409787e-06,0.10701065063476226,0.10701065063476226,1.0,1.0,1.0,175278.8884597914,175278.8884597914,106.53966397544151,106.53966397544151,119791.23931531889,119791.23931531889,3,1.0
2024-09-28 00:00:00+00:00,0,1,0,5026122481,4642,0.1038703721655053,0.0587243624031543,91.0443878173828,1248514.0,888661,7.350379308064778,0.0,984547.0,4475.0,697880.0,91.01573181152344,0.0598955005407333,7.371300975481669,0.0,0.0,0.0,0.0,0.0,0.0,906437.5,4412.166666666667,650759.5,90.86073048909505,0.06689718427757417,6.070990367068185,906437.5,4412.166666666667,650759.5,90.86073048909505,0.06689718427757417,6.070990367068185,0.0,26.811010545966816,0.0,3.7318435754190027,0.0,27.337221298790617,0.0,-1.955302363292788,0.0,0.03148467335152283,0.25316933527532315,0.25316933527532315,268.9024337712686,1.404936860133549,0.005223583319642339,5.887297555948289e-06,0.09263305664062696,0.09263305664062696,1.0,1.0,1.0,229482.17934362573,229482.17934362573,147.50649703205178,147.50649703205178,158313.8102058693,158313.8102058693,4,1.0
2024-09-29 00:00:00+00:00,0,1,0,5026122481,4954,0.1026145209578519,0.0708336010575294,91.0460968017578,1327195.0,928880,7.4794531265894575,0.0,1248514.0,4642.0,888661.0,91.0443878173828,0.0587243624031543,7.350379308064778,0.0,0.0,0.0,0.0,0.0,0.0,966545.7142857143,4489.571428571428,690491.0,90.88721139090401,0.06745952953185348,6.272199332714081,966545.7142857143,4489.571428571428,690491.0,90.88721139090401,0.06745952953185348,6.272199332714081,0.0,6.301971784056892,0.0,6.721240844463594,0.0,4.525797801411335,0.0,20.6204685054608,0.0,0.0018770892044717158,0.27211686047704503,0.27211686047704503,267.8496468213925,1.428810579611382,0.005333298883279989,5.635530190408544e-06,0.07775633675711283,0.07775633675711283,1.0,1.0,1.0,263013.3852789716,263013.3852789716,245.09648246004224,245.09648246004224,178707.01365829678,178707.01365829678,5,1.0
2024-09-30 00:00:00+00:00,0,0,0,5026122481,3675,0.0675557262190647,0.0571964271366596,91.08283233642578,931966.0,615858,7.442087352275848,0.0,1327195.0,4954.0,928880.0,91.0460968017578,0.0708336010575294,7.4794531265894575,533050.0,4395.0,394374.0,90.62435150146484,0.06971325725317,0.0,1023533.7142857143,4386.714285714285,722131.5714285715,90.9527086530413,0.06567141094378057,7.335354668753488,962223.25,4387.75,681161.875,90.91166400909424,0.06617664173245424,6.418435335159302,74.83650689428758,-29.779271320341017,-16.38225255972696,-25.817521194993944,56.160903102131485,-33.69886314701576,-17.954734306925868,-19.252408062374236,0.505913507092548,0.0403482806604849,0.2533817392155084,0.2533817392155084,253.5272034820457,1.5132782016662905,0.0059672749769021805,7.985355009647175e-06,0.06116431100028273,0.06813930329822651,1.0004514783047305,1.0637175045247704,0.9923654211599876,243809.80059859893,243809.80059859893,366.64881991199314,366.64881991199314,167541.46799561294,167541.46799561294,5,0.7022072867965898
2024-10-01 00:00:00+00:00,0,0,0,5026122481,3413,0.0501300132929948,0.0560344532132148,91.08474731445312,716012.0,514256,6.254497329394023,0.0,931966.0,3675.0,615858.0,91.08283233642578,0.0571964271366596,7.442087352275848,894368.0,4429.0,659280.0,90.67587280273438,0.0726313814520835,7.080695470174153,998054.2857142857,4241.571428571428,701413.8571428572,91.01111929757255,0.06330042119537076,7.217326362927754,934866.4444444445,4279.444444444444,662616.7777777778,90.93089548746745,0.06504973189698321,6.400220001185382,-19.942126730831156,-23.17187536884393,-22.939715511402127,-7.129251700680273,-21.99733042106541,-16.49763419489557,-22.8509053621926,-2.0315498390633624,0.4509187494762257,0.002102457706043559,0.25926765416030106,0.25926765416030106,209.72817809021674,1.3923232936061152,0.006636759441291028,8.735172866126765e-06,0.035763331821986585,0.05923639933267664,1.0008822503031014,1.0675902334984237,0.9731081028222719,242380.63000429256,242380.63000429256,472.4386497501848,472.4386497501848,166302.92011776115,166302.92011776115,5,0.5394926894691435
2024-10-02 00:00:00+00:00,0,0,0,5026122481,3136,0.0453901859020414,0.0517903268337249,91.08700561523438,671867.0,492229,6.2396865884462995,0.0,716012.0,3413.0,514256.0,91.08474731445312,0.0560344532132148,6.254497329394023,885469.0,4332.0,631085.0,90.8408203125,0.0717370435595512,7.309927721818288,967539.7142857143,4070.714285714286,681577.2857142857,91.0462886265346,0.06045089023453843,7.064434772446043,908566.5,4165.1,645578.0,90.94650650024414,0.06372379139065737,6.3841666599114735,-24.123035363180414,-6.1653994625788355,-27.608494921514314,-8.116026955757395,-22.002741310599994,-4.283275255903673,-27.805323074497622,-7.574137224719079,0.2710073531783097,0.0024793402274569942,0.267654955939712,0.267654955939712,214.1750079693975,1.364945249172135,0.006371005424293521,9.28707214578801e-06,0.01956558227539715,0.05159611557469089,1.0010971518327667,1.0649079778813266,0.9486392588279237,243182.32652579833,243182.32652579833,573.7115903386377,573.7115903386377,165791.73188471532,165791.73188471532,5,0.5062308100919609
