timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,session_session_length,ccu_playing,ratings_like_ratio,platform_platform_share,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-01-09 00:00:00+00:00,0,0,0,3624423521,262151,0.0,5784,73.43628692626953,0.1246798634529113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5784.0,262151.0,73.43628692626953,0.1246798634529113,0.0,0.0,5784.0,262151.0,73.43628692626953,0.1246798634529113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02206353565870182,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-01-10 00:00:00+00:00,0,0,0,3624423521,400660,0.0,5718,73.51582336425781,0.1304105669260025,0.0,0.0,0.0,0.0,5784.0,262151.0,73.43628692626953,0.1246798634529113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5751.0,331405.5,73.47605514526367,0.12754521518945688,0.0,0.0,5751.0,331405.5,73.47605514526367,0.12754521518945688,0.0,0.0,0.0,0.0,-1.1410788381742698,0.0,52.83557949426094,0.0,4.596334415505332,0.0,0.1083067258944359,0.0,0.0,0.0,0.0,0.014271416484259761,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,46.66904755831214,46.66904755831214,97940.65315536752,97940.65315536752,0,0.0
2023-01-11 00:00:00+00:00,0,0,0,3624423521,409451,0.0,5646,73.54204559326172,0.131160706281662,0.0,0.0,0.0,0.0,5718.0,400660.0,73.51582336425781,0.1304105669260025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716.0,357420.6666666667,73.49805196126302,0.12875037888685859,0.0,0.0,5716.0,357420.6666666667,73.49805196126302,0.12875037888685859,0.0,0.0,0.0,0.0,-1.2591815320041944,0.0,2.194129686018065,0.0,0.5752136298012855,0.0,0.03566882312393549,0.0,0.0,0.0,0.0,0.013789162099586765,0.0,0.05287933349608851,0.0,1.0,0.0,1.0,0.0,0.0,69.02173570694958,69.02173570694958,82622.95359240877,82622.95359240877,0,0.0
2023-01-12 00:00:00+00:00,0,0,0,3624423521,412318,0.0,5936,73.58708953857422,0.1346992701292038,0.0,0.0,0.0,0.0,5646.0,409451.0,73.54204559326172,0.131160706281662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5771.0,371145.0,73.52031135559082,0.1302376016974449,0.0,0.0,5771.0,371145.0,73.52031135559082,0.1302376016974449,0.0,0.0,0.0,0.0,5.136379737867514,0.0,0.7002058854417292,0.0,2.697884105581805,0.0,0.061249241776084595,0.0,0.0,0.0,0.0,0.014396620092695218,0.0,0.04786300659179053,0.0,1.0,0.0,1.0,0.0,0.0,123.596116443843,123.596116443843,72831.75320787859,72831.75320787859,0,0.0
2023-01-13 00:00:00+00:00,0,0,0,3624423521,458857,0.0,6524,73.64073181152344,0.1279293894767761,0.0,0.0,0.0,0.0,5936.0,412318.0,73.58708953857422,0.1346992701292038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5921.6,388687.4,73.54439544677734,0.12977595925331115,0.0,0.0,5921.6,388687.4,73.54439544677734,0.12977595925331115,0.0,0.0,0.0,0.0,9.905660377358494,0.0,11.287161850804473,0.0,-5.025922297822416,0.0,0.07289631005327202,0.0,0.0,0.0,0.0,0.014217906193201383,0.0,0.04801559448242066,0.04801559448242066,1.0,0.0,1.0,0.0,0.0,353.353647214798,353.353647214798,74276.69348658434,74276.69348658434,0,0.0
2023-01-14 00:00:00+00:00,0,1,0,3624423521,636659,0.0,9089,73.6662826538086,0.1287561208009719,0.0,0.0,0.0,0.0,6524.0,458857.0,73.64073181152344,0.1279293894767761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6449.5,430016.0,73.56470998128255,0.12960598617792127,0.0,0.0,6449.5,430016.0,73.56470998128255,0.12960598617792127,0.0,0.0,0.0,0.0,39.31637032495401,0.0,38.748891266778095,0.0,0.6462403420958163,0.0,0.034696616473817166,0.0,0.0,0.0,0.0,0.014276065717965632,0.0,0.04484994070870951,0.04484994070870951,1.0,0.0,1.0,0.0,0.0,1331.1489398260435,1331.1489398260435,121086.50141118123,121086.50141118123,0,0.0
2023-01-15 00:00:00+00:00,0,1,0,3624423521,716043,0.0,9215,73.77832794189453,0.134806677699089,0.0,0.0,0.0,0.0,9089.0,636659.0,73.6662826538086,0.1287561208009719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6844.571428571428,470877.0,73.59522683279855,0.13034894210951667,0.0,0.0,6844.571428571428,470877.0,73.59522683279855,0.13034894210951667,0.0,0.0,0.0,0.0,1.3862911211354412,0.0,12.468841247826546,0.0,4.699238265705352,0.0,0.15209846900037238,0.0,0.0,0.0,0.0,0.012869320879722475,0.0,0.050918851579943344,0.050918851579943344,1.0,0.0,1.0,0.0,0.0,1602.8728226887763,1602.8728226887763,154614.4665514841,154614.4665514841,0,0.0
2023-01-16 00:00:00+00:00,0,0,1,3624423521,527019,0.0,8958,73.85350799560547,0.1410621851682663,0.0,0.0,0.0,0.0,9215.0,716043.0,73.77832794189453,0.134806677699089,0.0,0.0,5784.0,262151.0,73.43628692626953,0.1246798634529113,0.0,0.0,7298.0,508715.28571428574,73.65482984270368,0.1326892737831388,0.0,0.0,7108.75,477894.75,73.62751197814941,0.13168809749186036,0.0,0.0,0.0,54.87551867219918,-2.7889310906131337,101.03642557152175,-26.39841462035101,13.13950886828026,4.6403543028785466,0.5681402026151305,0.10189991533848808,0.0,0.0,0.0,0.0,0.016997457401996128,0.0,0.05588613237653423,0.05546933128720453,1.0003710279462161,0.0,1.0076026331183068,0.0,0.0,1661.4737648932562,1661.4737648932562,144514.82041917264,144514.82041917264,0,0.0
2023-01-17 00:00:00+00:00,0,0,0,3624423521,474055,0.0,6438,73.88482666015625,0.1395899206399917,0.0,0.0,0.0,0.0,8958.0,527019.0,73.85350799560547,0.1410621851682663,0.0,0.0,5718.0,400660.0,73.51582336425781,0.1304105669260025,0.0,0.0,7400.857142857143,519200.28571428574,73.7075445992606,0.1340006100279944,0.0,0.0,7034.222222222223,477468.1111111111,73.65610249837239,0.13256607784165275,0.0,0.0,0.0,12.591815320041967,-28.131279303415944,18.318524434682782,-10.04973255233682,7.03881129448487,-1.0436989378254657,0.50193724155152,0.042406468427524935,0.0,0.0,0.0,0.0,0.013580674013196754,0.0,0.060670580182761565,0.0559828440348293,1.0006984092172044,0.0,1.0108212614395604,0.0,0.0,1570.1664543749635,1570.1664543749635,135187.2954177319,135187.2954177319,0,0.0
2023-01-18 00:00:00+00:00,0,0,0,3624423521,455840,0.0,6005,73.88188171386719,0.1319592595100402,0.0,0.0,0.0,0.0,6438.0,474055.0,73.88482666015625,0.1395899206399917,0.0,0.0,5646.0,409451.0,73.54204559326172,0.131160706281662,0.0,0.0,7452.142857142857,525827.2857142857,73.75609261648995,0.13411468906061988,0.0,0.0,6931.3,475305.3,73.67868041992188,0.13250539600849148,0.0,0.0,0.0,6.358483882394617,-6.725691208449824,11.329560802147265,-3.84238115830442,0.6088357184226734,-5.466484324202248,0.4620977263604997,-0.003985860727007129,0.0,0.0,0.0,0.0,0.013173453024190452,0.0,0.05570684160505203,0.0530300255977747,1.001050672950803,0.0,1.0121451133358015,0.0,0.0,1515.7231534082264,1515.7231534082264,127639.17737560919,127639.17737560919,0,0.0
