timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,session_session_length,daily_rpv,ratings_like_ratio,visits_visits_gained,platform_platform_share,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-07 00:00:00+00:00,0,1,0,6014726446,2049,0.0,0.0862898565346176,95.93614959716795,166913,0.0271868854761123,487520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487520.0,2049.0,166913.0,95.93614959716795,0.0271868854761123,0.0,487520.0,2049.0,166913.0,95.93614959716795,0.0271868854761123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.81463414634146,2.9207855542375114,0.01227578273841619,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-08 00:00:00+00:00,0,1,0,6014726446,1764,0.0,0.1588700851134969,95.95367431640624,353920,0.0265811644494533,940231.0,0.0,487520.0,2049.0,166913.0,95.93614959716795,0.0271868854761123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713875.5,1906.5,260416.5,95.9449119567871,0.026884024962782797,0.0,713875.5,1906.5,260416.5,95.9449119567871,0.026884024962782797,0.0,0.0,92.85998523137513,0.0,-13.909224011713029,0.0,112.03860693894426,0.0,-2.227989768049077,0.0,0.018267065451205156,0.44841855199925357,0.44841855199925357,532.7087818696884,2.6566126338928746,0.004984163132450462,0.0,0.0,0.0,1.0,1.0,1.0,320115.01801774313,320115.01801774313,201.52543263816605,201.52543263816605,132233.9178293527,132233.9178293527,2,1.0
2024-09-09 00:00:00+00:00,0,0,0,6014726446,1351,0.0,0.099548941405253,95.9493179321289,207981,0.0232652965933084,618384.0,0.0,940231.0,1764.0,353920.0,95.95367431640624,0.0265811644494533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682045.0,1721.3333333333333,242938.0,95.94638061523438,0.025677782172958002,0.0,682045.0,1721.3333333333333,242938.0,95.94638061523438,0.025677782172958002,0.0,0.0,-34.230630557809725,0.0,-23.412698412698408,0.0,-41.235024864376136,0.0,-12.474501869360722,0.0,-0.0045400911516613185,0.34157989913552883,0.34157989913552883,457.38461538461536,2.9732573011125965,0.006495754440288102,0.0,0.006584167480481288,0.0,1.0,1.0,1.0,232972.86230589176,232972.86230589176,350.9506138095976,350.9506138095976,98282.23847165875,98282.23847165875,2,0.6576936944219027
2024-09-10 00:00:00+00:00,0,0,0,6014726446,1175,0.0,0.0824255160287067,95.9605484008789,180806,0.0200407262891531,528955.0,0.0,618384.0,1351.0,207981.0,95.9493179321289,0.0232652965933084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643772.5,1584.75,227405.0,95.94992256164551,0.024268518202006775,0.0,643772.5,1584.75,227405.0,95.94992256164551,0.024268518202006775,0.0,0.0,-14.461726047245726,0.0,-13.027387120651369,0.0,-13.066097383895647,0.0,-13.860000843843778,0.0,0.011704584245131322,0.31850507483237017,0.31850507483237017,449.7916666666667,2.925522795024529,0.006498642198587444,0.0,0.006884002685534255,0.0,1.0,1.0,1.0,205044.80828752203,205044.80828752203,395.89255697305884,395.89255697305884,86050.53915384067,86050.53915384067,2,0.5625798341045977
2024-09-11 00:00:00+00:00,0,0,0,6014726446,1068,0.0,0.0730631511951575,95.9475555419922,163200,0.0183738209307193,481699.0,0.0,528955.0,1175.0,180806.0,95.9605484008789,0.0200407262891531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611357.8,1481.4,214564.0,95.94944915771484,0.02308957874774928,0.0,611357.8,1481.4,214564.0,95.94944915771484,0.02308957874774928,0.0,0.0,-8.933841253036645,0.0,-9.106382978723405,0.0,-9.737508710994103,0.0,-8.317589564286399,0.0,-0.01353979224090196,0.3137230150977633,0.3137230150977633,450.6071094480823,2.951568924210023,0.006544077548544433,0.0,0.0029685974121190536,0.0029685974121190536,1.0,1.0,1.0,191797.01231953537,191797.01231953537,413.4662017626108,413.4662017626108,79862.24309083736,79862.24309083736,2,0.512319844804096
2024-09-12 00:00:00+00:00,0,0,0,6014726446,956,0.0,0.0623182639599438,95.96739959716795,142937,0.0162937920540571,420884.0,0.0,481699.0,1068.0,163200.0,95.9475555419922,0.0183738209307193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579612.1666666666,1393.8333333333333,202626.16666666666,95.9524408976237,0.021956947632133916,0.0,579612.1666666666,1393.8333333333333,202626.16666666666,95.9524408976237,0.021956947632133916,0.0,0.0,-12.625104058758685,0.0,-10.486891385767795,0.0,-12.416053921568626,0.0,-11.320611453138662,0.0,0.02068218941446709,0.3249580494796721,0.3249580494796721,439.7951933124347,2.9445214008870977,0.006688214470609635,0.0,0.004260689871664269,0.004260689871664269,1.0,1.0,1.0,188349.63913468661,188349.63913468661,427.51721212913367,427.51721212913367,77184.54175135502,77184.54175135502,2,0.4476389312839079
2024-09-13 00:00:00+00:00,0,0,0,6014726446,1046,0.0,0.0673266256511885,95.98684692382812,175796,0.0145341772586107,465460.0,0.0,420884.0,956.0,142937.0,95.96739959716795,0.0162937920540571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563304.7142857143,1344.142857142857,198793.2857142857,95.95735604422433,0.02089655186448774,0.0,563304.7142857143,1344.142857142857,198793.2857142857,95.95735604422433,0.02089655186448774,0.0,0.0,10.59104171220573,0.0,9.414225941422604,0.0,22.988449456753667,0.0,-10.799295766194971,0.0,0.02026451351375691,0.3146957945767914,0.3146957945767914,444.56542502387776,2.6477129871385747,0.005950044653776799,0.0,0.006349291120253269,0.006349291120253269,1.0,1.0,1.0,177269.62465099533,177269.62465099533,411.816880247936,411.816880247936,71185.54211288106,71185.54211288106,2,0.49504855721625857
2024-09-14 00:00:00+00:00,0,1,0,6014726446,1046,0.0,0.0688217945754314,95.82747650146484,229776,0.012928326614201,491416.0,0.0,465460.0,1046.0,175796.0,95.98684692382812,0.0145341772586107,0.0,487520.0,2049.0,166913.0,95.93614959716795,0.0271868854761123,0.0,563861.2857142857,1200.857142857143,207773.7142857143,95.94183131626674,0.018859614884214698,0.0,554318.625,1306.875,202666.125,95.9411211013794,0.0199005237082019,0.0,0.7991467016737808,5.576419026339541,-48.95070766227428,0.0,37.6621353639321,30.706045643814427,-52.44645943147681,-11.048789455614505,-0.11327648249322975,-0.166033605093574,0.2996042044986306,0.2996042044986306,469.35625596943646,2.1386648794265746,0.004552239780308734,0.0,-0.010595866612026546,-0.006590434483112013,1.000007402611927,1.0172151183162674,0.9476944004464467,166076.19068189975,166076.19068189975,395.5713544084954,395.5713544084954,66809.13747051051,66809.13747051051,2,0.5226545391504853
2024-09-15 00:00:00+00:00,0,1,0,6014726446,916,0.0,0.0689441971522601,95.8535385131836,195359,0.0120745273306965,507100.0,0.0,491416.0,1046.0,229776.0,95.82747650146484,0.012928326614201,0.0,940231.0,1764.0,353920.0,95.95367431640624,0.0265811644494533,0.0,501985.4285714286,1079.7142857142858,185122.14285714287,95.92752620152065,0.016787238152963728,0.0,549072.1111111111,1263.4444444444443,201854.22222222222,95.93138970269098,0.019030968555145744,0.0,-46.06644537353055,3.1915932733162844,-48.07256235827665,-12.4282982791587,-44.80136754068717,-14.978500800779893,-54.57487442411561,-6.604097413246446,-0.10435848750559584,0.027196804789442197,0.28438041390157554,0.28438041390157554,552.9989094874591,2.595720720720721,0.004688779688779688,0.0,-0.01836395263671663,-0.010452143351238948,0.9999597264129885,0.914243172095561,0.8821010924546276,156145.35421958964,156145.35421958964,392.2920184986916,392.2920184986916,62541.67345414132,62541.67345414132,2,0.5393355462646945
2024-09-16 00:00:00+00:00,0,0,0,6014726446,736,0.0,0.049491788688822,95.86246490478516,127859,0.0107627818360924,372298.0,0.0,507100.0,916.0,195359.0,95.8535385131836,0.0120745273306965,0.0,618384.0,1351.0,207981.0,95.9493179321289,0.0232652965933084,0.0,466830.28571428574,991.8571428571429,173676.14285714287,95.91511862618583,0.015001164616218586,0.0,531394.7,1210.7,194454.7,95.92449722290038,0.018204149883240407,0.0,-39.79501410127041,-26.582922500493,-45.52183567727609,-19.650655021834062,-38.52371130055149,-34.551773913666636,-53.73890123030709,-10.863741980767328,-0.09051969228711654,0.009312532161076525,0.29633602105829093,0.29633602105829093,505.15332428765265,2.9117628656342873,0.005756295948693884,0.0,-0.02222170148576989,-0.011361093232123956,0.9999022293888832,0.8785000785937191,0.8240519174163338,157471.3910094642,157471.3910094642,405.7259748483781,405.7259748483781,63438.02834972096,63438.02834972096,2,0.3959643959835402
