timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_Estimated Revenue,visits_visits_gained,sort_sort_position,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-08 00:00:00+00:00,0,0,0,7883776681,23.662240982055664,225902,32484,352,0.1199372127719783,96.45453643798828,0.015482353977859,1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225902.0,1783.0,32484.0,96.45453643798828,0.015482353977859,23.662240982055664,225902.0,1783.0,32484.0,96.45453643798828,0.015482353977859,23.662240982055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.62668161434978,6.954040326304448,0.05488687086347545,0.00010474513832067597,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-09 00:00:00+00:00,0,0,0,7883776681,29.96345341205597,227307,414089,348,0.1093053998963017,96.42340087890624,0.0214036591351032,2294,225902.0,1783.0,32484.0,96.45453643798828,0.015482353977859,23.662240982055664,0.0,0.0,0.0,0.0,0.0,0.0,226604.5,2038.5,223286.5,96.43896865844727,0.018443006556481102,26.812847197055817,226604.5,2038.5,223286.5,96.43896865844727,0.018443006556481102,26.812847197055817,0.0,0.6219511115439502,0.0,28.659562535053283,0.0,1174.7475680334935,0.0,38.2455094729919,0.0,-0.03228003599609064,0.004384224618518605,0.004384224618518605,99.04444444444445,0.5489313917264362,0.005539858484870439,0.00013181873674510342,0.0,0.0,1.0,1.0,1.0,993.4850275670992,993.4850275670992,361.3315651863258,361.3315651863258,269835.4832346925,269835.4832346925,2,1.0
2025-09-10 00:00:00+00:00,0,0,0,7883776681,19.622770872983065,312568,517683,257,0.1197262731619957,96.38914489746094,0.0278497524559497,3124,227307.0,2294.0,414089.0,96.42340087890624,0.0214036591351032,29.96345341205597,0.0,0.0,0.0,0.0,0.0,0.0,255259.0,2400.3333333333335,321418.6666666667,96.42236073811848,0.021578588522970635,24.416155089031566,255259.0,2400.3333333333335,321418.6666666667,96.42236073811848,0.021578588522970635,24.416155089031566,0.0,37.50918361511084,0.0,36.181342632955534,0.0,25.017327192946446,0.0,30.11678180893165,0.0,-0.03552662645484039,0.1944535603662811,0.1944535603662811,100.02176,0.6037814574141754,0.00603456935118721,6.277900518920003e-05,-0.03269577026367128,0.0,1.0,1.0,1.0,49636.021365536544,49636.021365536544,676.794158761239,676.794158761239,255529.56856366608,255529.56856366608,3,1.0
2025-09-11 00:00:00+00:00,0,0,0,7883776681,26.571534608539785,391396,935086,206,0.1173217799321811,96.50172424316406,0.0620839968323707,6532,312568.0,3124.0,517683.0,96.38914489746094,0.0278497524559497,19.622770872983065,0.0,0.0,0.0,0.0,0.0,0.0,289293.25,3433.25,474835.5,96.44220161437988,0.031704940600320655,24.95499996890862,289293.25,3433.25,474835.5,96.44220161437988,0.031704940600320655,24.95499996890862,0.0,25.219472242839956,0.0,109.09090909090908,0.0,80.62907223146212,0.0,122.92477080566417,0.0,0.11679670550339694,0.27383982466260404,0.27383982466260404,59.91060768406551,0.41856640077340396,0.006985446273983062,6.788895829181058e-05,0.010730743408199345,0.0,1.0,1.0,1.0,79220.01285607487,79220.01285607487,2138.4653960258506,2138.4653960258506,371048.70202396164,371048.70202396164,4,1.0
2025-09-12 00:00:00+00:00,0,0,0,7883776681,23.495280829342928,464116,1978121,173,0.1004919611211763,96.5259017944336,0.1595455110073089,20145,391396.0,6532.0,935086.0,96.50172424316406,0.0620839968323707,26.571534608539785,0.0,0.0,0.0,0.0,0.0,0.0,324257.8,6775.6,775492.6,96.45894165039063,0.057273054681718304,24.663056140995483,324257.8,6775.6,775492.6,96.45894165039063,0.057273054681718304,24.663056140995483,0.0,18.579648233502645,0.0,208.40477648499694,0.0,111.544285766229,0.0,156.98331155786929,0.0,0.02505400961396731,0.32078370048632626,0.32078370048632626,23.037625335054106,0.23462455804040397,0.010183901700704,5.062361609107817e-05,0.02210540771483826,0.02210540771483826,1.0,1.0,1.0,104016.61699555509,104016.61699555509,7699.75930143274,7699.75930143274,745138.4524753101,745138.4524753101,5,1.0
2025-09-13 00:00:00+00:00,0,1,0,7883776681,19.36710464954376,606751,3750821,138,0.0771419252653797,96.77448272705078,0.1657555252313614,24770,464116.0,20145.0,1978121.0,96.5259017944336,0.1595455110073089,23.495280829342928,0.0,0.0,0.0,0.0,0.0,0.0,371340.0,9774.666666666666,1271380.6666666667,96.51153182983398,0.07535346643999215,23.78039755908686,371340.0,9774.666666666666,1271380.6666666667,96.51153182983398,0.07535346643999215,23.78039755908686,0.0,30.732618569495564,0.0,22.958550508811125,0.0,89.61534708948543,0.0,3.8923152302091424,0.0,0.2575276977433205,0.3990290809850341,0.3990290809850341,24.494408784465705,0.16176480782079236,0.006603885761574396,3.1919309123898656e-05,0.05770895821708437,0.05770895821708437,1.0,1.0,1.0,148175.45893298255,148175.45893298255,10069.53027040818,10069.53027040818,1385501.6776100514,1385501.6776100514,6,1.0
2025-09-14 00:00:00+00:00,0,1,0,7883776681,49.17945931174538,883882,4340339,95,0.0735785227279519,96.89566040039062,0.2006658017635345,22390,606751.0,24770.0,3750821.0,96.77448272705078,0.1657555252313614,19.36710464954376,0.0,0.0,0.0,0.0,0.0,0.0,444560.28571428574,11576.857142857143,1709803.2857142857,96.56640733991351,0.09325522862906964,27.408834952323794,444560.28571428574,11576.857142857143,1709803.2857142857,96.56640733991351,0.09325522862906964,27.408834952323794,0.0,45.67458479672881,0.0,-9.60839725474364,0.0,15.717039016258049,0.0,21.061304884676012,0.0,0.125216554948282,0.5314765815311737,0.5314765815311737,39.47487829931669,0.2036434933668791,0.00515858204656778,5.564023667357035e-05,0.0772247314453146,0.0772247314453146,1.0,1.0,1.0,236273.38093595047,236273.38093595047,10355.261149589152,10355.261149589152,1716152.6250496793,1716152.6250496793,7,1.0
2025-09-15 00:00:00+00:00,0,0,0,7883776681,17.84466822942098,1418511,3163868,62,0.0899333441220357,96.86764526367188,0.1908777952194214,21878,883882.0,22390.0,4340339.0,96.89566040039062,0.2006658017635345,49.17945931174538,225902.0,1783.0,32484.0,96.45453643798828,0.015482353977859,23.662240982055664,614933.0,14447.57142857143,2157143.8571428573,96.62542288643974,0.11831172023500712,26.577753130518836,566304.125,12864.5,1891561.375,96.6040620803833,0.1054580494528636,26.21331411196094,527.9320236208622,60.48646765065926,1127.0330902972519,-2.286735149620367,9639.773426917867,-27.105509500525194,1132.8732148379495,-4.877765148865443,0.4282938272677228,-0.028912684637250052,0.7203713272835984,0.7203713272835984,64.83436171671465,0.44834694483241877,0.0069149512827490645,1.2579850032584129e-05,0.09351866585867959,0.07658631461007757,1.0002211170586042,1.085870600006666,1.12188420750081,407949.2541724268,407949.2541724268,10255.576545748869,10255.576545748869,1669948.4664398597,1669948.4664398597,8,1.0
2025-09-16 00:00:00+00:00,0,0,0,7883776681,24.918811321258545,2371050,3065237,40,0.1249407093705686,96.86048889160156,0.1524412631988525,21513,1418511.0,21878.0,3163868.0,96.86764526367188,0.1908777952194214,17.84466822942098,227307.0,2294.0,414089.0,96.42340087890624,0.0214036591351032,29.96345341205597,921182.0,17193.14285714286,2535879.285714286,96.6878640311105,0.13703137795839987,25.857089974690634,766831.4444444445,13825.444444444445,2021969.7777777778,96.63255394829645,0.11067840653575126,26.069480468549564,943.1046998112685,67.15062484534839,837.794245858762,-1.668342627296826,640.2362777084154,-3.1174182993727984,612.2205704950715,-20.13672254354395,0.45330076383038875,-0.007387783661749747,0.9290240006291822,0.9290240006291822,110.20963093799386,0.7735288418060848,0.007018378344520067,1.0509605791380508e-05,0.08984402247837969,0.0707055409749309,1.000572375256103,1.2012835502166708,1.238104001019712,712404.8163260323,712404.8163260323,10017.009135853765,10017.009135853765,1610339.7340715698,1610339.7340715698,9,1.0
2025-09-17 00:00:00+00:00,0,0,0,7883776681,174.0869059562683,2864066,3259739,34,0.1315899884074037,96.81089782714844,0.2516219317913055,21301,2371050.0,21513.0,3065237.0,96.86048889160156,0.1524412631988525,24.918811321258545,312568.0,3124.0,517683.0,96.38914489746094,0.0278497524559497,19.622770872983065,1285681.7142857143,19789.85714285714,2927601.5714285714,96.74811444963727,0.16899883214916497,47.92339498658852,976554.9,14573.0,2145746.7,96.65038833618163,0.12477275906130667,40.87122301732144,816.3017327429552,20.793150713818775,581.8501920614597,-0.9854506577418265,529.6785870890101,6.345414726495857,803.4979114780249,65.0615630645073,0.43755230958439917,-0.05119844533163498,0.9665727899533803,0.9665727899533803,134.450568021782,0.8786179265831017,0.006534570241798426,6.078311225130847e-05,0.06035205296107057,0.061150059555519734,1.0010111300651552,1.3165483213342273,1.354452954479655,943911.3942356443,943911.3942356443,9735.49812684373,9735.49812684373,1567886.682972058,1567886.682972058,10,1.0
