timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ratings_like_ratio,ccu_playing,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2021-10-08 00:00:00+00:00,0,0,0,1325411718,0.0102851931005716,80.83047485351562,403,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,80.83047485351562,0.0102851931005716,0.0,0.0,403.0,0.0,80.83047485351562,0.0102851931005716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2021-10-09 00:00:00+00:00,0,1,0,1325411718,0.0116932550445199,80.8426284790039,586,0.0,36317,0.0,0.0,0.0,0.0,403.0,0.0,80.83047485351562,0.0102851931005716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.5,18158.5,80.83655166625977,0.01098922407254575,0.0,0.0,494.5,18158.5,80.83655166625977,0.01098922407254575,0.0,0.0,0.0,0.0,45.40942928039702,0.0,inf,0.0,13.690184814031813,0.0,0.015035944685837244,0.0,0.0,0.0,0.0,0.01613524973842172,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,129.4005409571382,129.4005409571382,25679.996972351848,25679.996972351848,0,0.0
2021-10-10 00:00:00+00:00,0,1,0,1325411718,0.0119512202218174,80.85738372802734,563,0.0,38327,0.0,0.0,0.0,0.0,586.0,36317.0,80.8426284790039,0.0116932550445199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.3333333333334,24881.333333333332,80.84349568684895,0.011309889455636301,0.0,0.0,517.3333333333334,24881.333333333332,80.84349568684895,0.011309889455636301,0.0,0.0,0.0,0.0,-3.924914675767921,0.0,5.534598122091583,0.0,2.2061023753894515,0.0,0.01825181751391458,0.0,0.0,0.0,0.0,0.014689000208724693,0.0,0.013454437255852441,0.0,1.0,0.0,1.0,0.0,0.0,99.68115836673114,99.68115836673114,21571.290789689276,21571.290789689276,0,0.0
2021-10-11 00:00:00+00:00,0,0,1,1325411718,0.0104911997914314,80.85607147216797,442,0.0,27757,0.0,0.0,0.0,0.0,563.0,38327.0,80.85738372802734,0.0119512202218174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.5,25600.25,80.84663963317871,0.011105217039585075,0.0,0.0,498.5,25600.25,80.84663963317871,0.011105217039585075,0.0,0.0,0.0,0.0,-21.49200710479574,0.0,-27.578469486262946,0.0,-12.21649675336648,0.0,-0.0016229264402034538,0.0,0.0,0.0,0.0,0.015923337416240364,0.0,0.009154510498030649,0.0,1.0,0.0,1.0,0.0,0.0,89.6827742657418,89.6827742657418,17671.476704471155,17671.476704471155,0,0.0
2021-10-12 00:00:00+00:00,0,0,0,1325411718,0.0106800766661763,80.8965072631836,358,0.0,23296,0.0,0.0,0.0,0.0,442.0,27757.0,80.85607147216797,0.0104911997914314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.4,25139.4,80.85661315917969,0.01102018896490332,0.0,0.0,470.4,25139.4,80.85661315917969,0.01102018896490332,0.0,0.0,0.0,0.0,-19.004524886877828,0.0,-16.071621572936557,0.0,1.8003362675369505,0.0,0.05000959146221895,0.0,0.0,0.0,0.0,0.015366785423015838,0.0,0.014550781249995997,0.014550781249995997,1.0,0.0,1.0,0.0,0.0,99.9014514409075,99.9014514409075,15338.602618882856,15338.602618882856,0,0.0
2021-10-13 00:00:00+00:00,0,0,0,1325411718,0.0105319330468773,80.89927673339844,358,0.0,24942,0.0,0.0,0.0,0.0,358.0,23296.0,80.8965072631836,0.0106800766661763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.6666666666667,25106.5,80.86372375488281,0.01093881297856565,0.0,0.0,451.6666666666667,25106.5,80.86372375488281,0.01093881297856565,0.0,0.0,0.0,0.0,0.0,0.0,7.06559065934067,0.0,-1.3871025829633843,0.0,0.0034234731616233915,0.0,0.0,0.0,0.0,0.01435272421120154,0.0,0.01440952845983074,0.01440952845983074,1.0,0.0,1.0,0.0,0.0,100.44832834182291,100.44832834182291,13719.499943511062,13719.499943511062,0,0.0
2021-10-14 00:00:00+00:00,0,0,0,1325411718,0.0110512617975473,80.89491271972656,374,0.0,24024,0.0,0.0,0.0,0.0,358.0,24942.0,80.89927673339844,0.0105319330468773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.57142857142856,24951.85714285714,80.86817932128906,0.010954877095563028,0.0,0.0,440.57142857142856,24951.85714285714,80.86817932128906,0.010954877095563028,0.0,0.0,0.0,0.0,4.469273743016755,0.0,-3.680538850132309,0.0,4.930991759617975,0.0,-0.005394379094703083,0.0,0.0,0.0,0.0,0.015567117585848075,0.0,0.012347630092079977,0.012347630092079977,1.0,0.0,1.0,0.0,0.0,96.28059192252807,96.28059192252807,12530.814012246923,12530.814012246923,0,0.0
2021-10-15 00:00:00+00:00,0,0,0,1325411718,0.010321332141757,80.8554916381836,421,0.0,26332,0.0,0.0,0.0,0.0,374.0,24024.0,80.89491271972656,0.0110512617975473,0.0,0.0,403.0,0.0,80.83047485351562,0.0102851931005716,0.0,0.0,443.14285714285717,28713.571428571428,80.8717531476702,0.010960039815732372,0.0,0.0,438.125,25124.375,80.86659336090088,0.010875683976337275,0.0,0.0,0.0,4.466501240694787,12.566844919786103,inf,9.60705960705961,0.35136959347308316,-6.604944025055137,0.0309496940520404,-0.04873122452032641,0.0,0.0,0.0,0.0,0.01598754414612843,0.0,0.005601882934570335,0.007174446469263957,1.000063806159687,0.0,1.007756370962841,0.0,0.0,89.40667520620913,89.40667520620913,11611.53671308349,11611.53671308349,0,0.0
2021-10-16 00:00:00+00:00,0,1,0,1325411718,0.0116483345627784,80.87738800048828,597,0.0,27596,0.0,0.0,0.0,0.0,421.0,26332.0,80.8554916381836,0.010321332141757,0.0,0.0,586.0,36317.0,80.8426284790039,0.0116932550445199,0.0,0.0,444.7142857142857,27467.714285714286,80.87671879359654,0.010953622604055012,0.0,0.0,455.77777777777777,25399.0,80.86779276529948,0.0109615340414974,0.0,0.0,0.0,1.8771331058020424,41.805225653206655,-24.013547374507805,4.800243050281017,-0.38415720490549976,12.856890978759882,0.04299652564290213,0.02708085976728114,0.0,0.0,0.0,0.0,0.021632786172410046,0.0,0.002044950212752185,0.005741755167639483,1.0001103780379286,0.0,0.9992782545387866,0.0,0.0,98.98961786189723,98.98961786189723,10892.79953685002,10892.79953685002,0,0.0
2021-10-17 00:00:00+00:00,0,1,0,1325411718,0.0109729561954736,80.89854431152344,544,0.0,36176,0.0,0.0,0.0,0.0,597.0,27596.0,80.87738800048828,0.0116483345627784,0.0,0.0,563.0,38327.0,80.85738372802734,0.0119512202218174,0.0,0.0,442.0,27160.428571428572,80.88259887695312,0.010813870600291613,0.0,0.0,464.6,26476.7,80.87086791992188,0.01096267625689502,0.0,0.0,0.0,-3.374777975133214,-8.877721943048577,-5.612231586088134,31.09146253080157,-8.185474020116724,-5.798068072863682,0.050905163632974926,0.026158499375661393,0.0,0.0,0.0,0.0,0.015037178317715675,0.0,0.001621246337892572,0.005853179006865588,1.000145057884662,0.0,0.9864261560666069,0.0,0.0,97.40887479531261,97.40887479531261,10820.525814395529,10820.525814395529,0,0.0
