timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-08-24 00:00:00+00:00,1,1,0,3256689155,0.0089719338565415,321695,20.27830974260966,3677,0.0483625009655952,2177046.0,80.19457244873047,0.0,1850332.0,3555.0,266634.0,80.19451141357422,0.0468152873218059,20.83674081166585,3480892.0,5981.0,500674.0,80.18923950195312,0.075536772608757,24.02043565114339,2115069.1428571427,3744.5714285714284,309950.14285714284,80.19742257254464,0.05237874335476326,20.53133455912272,3268538.0,6080.9,475981.5333333333,80.21884409586589,0.09130348451435562,20.97604597012202,-37.45723797233582,17.65704749201764,-38.521986289918075,3.431786216596344,-35.74761221872915,20.65040467457264,-35.97489104268598,3.3049324959896875,0.006650451869183449,7.610889469766846e-05,0.4337178667849115,0.5943718255735659,591.910277324633,6.767401521933751,0.011430045757485328,9.314594376056034e-06,-0.001238959176194353,-0.00227393976705883,0.9997329614560931,0.6470994502303913,0.5736773753309247,1352226.85323403,1942726.898016572,2152.1011353333893,3756.4530257255665,202763.8852059806,292337.57049363246,6,0.2371525304086955
2024-08-25 00:00:00+00:00,1,1,0,3256689155,0.0083422465463142,308815,19.630184014638264,3019,0.0433379933238029,2026925.0,80.19452667236328,0.0,2177046.0,3677.0,321695.0,80.19457244873047,0.0483625009655952,20.27830974260966,2959279.0,4505.0,444561.0,80.20143127441406,0.0618171133100986,19.923529863357544,1981875.7142857143,3532.285714285714,290557.85714285716,80.1964362008231,0.049738869071006726,20.48942800930568,3253416.7666666666,6026.5,474316.8,80.2180409749349,0.0896655021856228,20.92542371749878,-31.50612024077486,-6.895628296324475,-32.98557158712542,-17.895023116671204,-30.534842237623185,-4.00379241206733,-29.893210790347446,-10.389263461305909,-0.008609075849475012,-5.708162758022439e-05,0.33335932773449467,0.5996219767651039,671.1672185430464,6.563536215740117,0.009776047873167193,9.684706799675105e-06,-0.0009765625000040191,-0.0024323697880457183,0.9997306743738787,0.6091674864995156,0.5547157809704654,930150.3399708855,1950820.1928693994,1700.2714020588928,3789.545862610399,136120.4586274617,293169.1471912677,6,0.22079937341638398
2024-08-26 00:00:00+00:00,1,0,0,3256689155,0.0058330455454474,206741,20.633336544036865,2678,0.0410583913326263,1418730.0,80.192138671875,0.0,2026925.0,3019.0,308815.0,80.19452667236328,0.0433379933238029,19.630184014638264,2182208.0,4004.0,321870.0,80.20015716552734,0.0568907000124454,20.37511809666951,1872807.4285714286,3342.8571428571427,274110.85714285716,80.19529070172992,0.04747711068817543,20.526316358929588,3218816.533333333,5969.0,469851.1,80.21700490315756,0.08811355940997596,20.889662845929465,-34.98649074698654,-30.005796958446908,-33.11688311688312,-11.295130838025836,-35.76878864137696,-33.05344623803895,-27.82934412189625,-5.260054322645702,-0.009998102168051748,-0.0029777599387048603,0.3246530181023548,0.6134239086558706,529.5744680851063,6.862321153901965,0.012953342813748537,1.4543515679883548e-05,-0.0009054456438264169,-0.002563758315444991,0.9997293067541744,0.581831057836649,0.5388173058277362,831254.3417749804,1974499.0191234727,1571.438616101756,3827.9218725137234,124220.58615389634,296278.3295896579,6,0.15454676174354082
2024-08-27 00:00:00+00:00,1,0,0,3256689155,0.0052097467767496,192219,20.169279714425404,2456,0.0400830544531345,1268156.0,80.19532775878906,0.0,1418730.0,2678.0,206741.0,80.192138671875,0.0410583913326263,20.633336544036865,2007429.0,3685.0,290225.0,80.19868469238281,0.0534728243947029,20.749666611353557,1767197.0,3167.285714285714,260110.0,80.19481113978794,0.04556428641080851,20.44340394508271,3183083.2333333334,5905.066666666667,465426.56666666665,80.215673828125,0.08644132887323693,20.843617136610877,-36.82685664100698,-10.613294989180467,-33.35142469470828,-8.289768483943238,-33.76897234903954,-7.024247730251865,-25.040326732572606,-2.3754873189996695,-0.004185771383435899,0.0039768074113988305,0.33556361560954484,0.6284718242290542,516.1400081400081,6.597419623348247,0.012777026324003746,1.5904402778540357e-05,-0.00041661943707904626,-0.002577713572806061,0.9997399175579854,0.555184037129116,0.5271122853470576,794966.1446507531,2000478.1263259165,1375.6725687762694,3871.251734956318,115989.44214801502,299490.4878604239,6,0.1381442580234729
2024-08-28 00:00:00+00:00,1,0,0,3256689155,0.0053138911698698,187148,20.811999082565308,2466,0.0406547859311103,1294512.0,80.19369506835938,0.0,1268156.0,2456.0,192219.0,80.19532775878906,0.0400830544531345,20.169279714425404,1867701.0,3493.0,269794.0,80.19673919677734,0.0514195598661899,20.89621067047119,1685312.857142857,3020.5714285714284,248303.42857142858,80.19437626429966,0.044026461562939996,20.431373718239012,3152170.466666667,5855.2,461535.06666666665,80.21393636067708,0.08498803873856858,20.808396974537107,-30.68954827351915,2.07829320682944,-29.401660463784708,0.4071661237784907,-30.633001475199595,-2.6381367086500296,-20.93517323581333,1.4263670415743057,-0.0037958256762782305,-0.002035892208829271,0.33806982889178877,0.6417429122462155,524.7312525334414,6.91701264767645,0.013176666720100027,1.6077087740768388e-05,-0.000260761805942333,-0.0025116136527552116,0.9997561508976511,0.5346515599218302,0.5180312690632813,742698.2661475149,2022883.055175179,1225.9754313369194,3906.6176427821238,108873.71348819169,302406.0738526277,6,0.1410153007535997
2024-08-29 00:00:00+00:00,1,0,0,3256689155,0.0050278079049907,179239,20.498342990875244,2344,0.0382017493247985,1225742.0,80.1922607421875,0.0,1294512.0,2466.0,187148.0,80.19369506835938,0.0406547859311103,20.811999082565308,1761489.0,3293.0,254872.0,80.19586181640625,0.0478732176125049,20.65976611773173,1608777.5714285714,2885.0,237498.7142857143,80.19386182512555,0.0426448232361248,20.40831327154523,3119855.6666666665,5788.066666666667,457437.73333333334,80.21210454305013,0.08320336441198982,20.768821694453557,-30.414439147789174,-5.3124266132720255,-28.81870634679623,-4.947283049472828,-29.674895633886813,-4.226067069912586,-20.20225247024158,-6.033820004533974,-0.004490349174113284,-0.0017885772324754967,0.3437364688553148,0.6558974356643557,522.7044776119403,6.838551662575318,0.01307743807185896,1.6723198085467543e-05,-0.00027520315987242255,-0.002421946626349835,0.9997725690152565,0.5156576916737403,0.5125372457893009,702570.3344748534,2046305.3314095754,1138.672226569363,3950.294148221278,102446.64745888962,305457.2754142757,6,0.13352396638757988
2024-08-30 00:00:00+00:00,1,0,0,3256689155,0.0052463505177091,188072,20.490324179331463,2650,0.0360499136149883,1279968.0,80.19074249267578,0.0,1225742.0,2344.0,179239.0,80.1922607421875,0.0382017493247985,20.498342990875244,1850332.0,3555.0,266634.0,80.19451141357422,0.0468152873218059,20.83674081166585,1527297.0,2755.714285714286,226275.57142857142,80.19332340785435,0.041106912706579436,20.358825181211746,3089062.6,5740.2,453943.8333333333,80.2103401184082,0.08140965712567168,20.7007166299555,-30.82495465678592,4.423932605719627,-25.457102672292542,13.054607508532424,-29.46435938402454,4.928056951891047,-22.99542376578182,-5.63281982590611,-0.004699724247958503,-0.0018932618904510257,0.3447371205434803,0.669267135791101,482.8245944926443,6.805697787561213,0.014090273457646765,1.600845346983518e-05,-0.0005166190011108687,-0.0023420374173343896,0.9997878489166269,0.4944208641158648,0.5049390226901816,659935.4162891125,2067408.0785814116,982.6972637022585,3980.2165371696337,96637.36316724337,307993.2633912949,6,0.13943097667305016
2024-08-31 00:00:00+00:00,1,1,0,3256689155,0.0063842205903281,240301,19.362570365269978,2861,0.0364571809768676,1558985.0,80.19310760498047,0.0,1279968.0,2650.0,188072.0,80.19074249267578,0.0360499136149883,20.490324179331463,2177046.0,3677.0,321695.0,80.19457244873047,0.0483625009655952,20.27830974260966,1439002.5714285714,2639.1428571428573,214647.85714285713,80.19311414446149,0.03940615270818977,20.228005270163216,3072505.033333333,5708.9,452300.8,80.20860417683919,0.0799497699985901,20.638164850738313,-28.389891623787467,21.798748093702347,-22.192004351373406,7.962264150943388,-25.30160555805965,27.77074737334637,-24.616841046324247,1.1297318662921052,-0.0018266120826782029,0.0029493582814899,0.2734624948243093,0.6762988860867911,544.7187281621244,6.487607260863413,0.011905851803147707,1.2419977065393774e-05,-0.0003613063267299445,-0.002212899518888074,0.999806878170532,0.4683483202849013,0.49288637989683637,485952.65888654056,2077931.7315393921,655.1267472367863,3999.6448665626176,73331.62110996532,309029.98442271503,6,0.16982518404259722
2024-09-01 00:00:00+00:00,0,1,0,3256689155,0.005876285622341,226246,19.161065975824993,2274,0.0321466326713562,1436338.0,80.18457794189453,0.0,1558985.0,2861.0,240301.0,80.19310760498047,0.0364571809768676,19.362570365269978,2026925.0,3019.0,308815.0,80.19452667236328,0.0433379933238029,19.630184014638264,1354633.0,2532.714285714286,202852.2857142857,80.19169289725167,0.03780738690069739,20.160988407475607,3053009.2333333334,5653.366666666667,450528.9,80.2064582824707,0.07846220446129636,20.556870417462452,-29.13709190029231,-7.867105841300592,-24.677045379264662,-20.51730164278225,-26.73736703204184,-5.848914486414958,-25.8234398829444,-11.823591923485466,-0.012405747476251783,-0.010636404225605745,0.21177738462733833,0.6848453111782626,631.3573626373626,6.348539428147114,0.0100509620017061,1.3340211451353053e-05,-0.0010741097586422393,-0.002089627513100028,0.9998159077768147,0.4437041936230851,0.48185476256083176,353298.5446488759,2090839.058432276,577.9323556371517,4036.4486993270284,51578.051502948445,310205.67934098735,6,0.15646485706878258
2024-09-02 00:00:00+00:00,0,0,1,3256689155,0.0047423351588335,179585,19.236252943674724,2092,0.0316363275051116,1160107.0,80.1866226196289,0.0,1436338.0,2274.0,226246.0,80.18457794189453,0.0321466326713562,19.161065975824993,1418730.0,2678.0,206741.0,80.192138671875,0.0410583913326263,20.633336544036865,1317686.857142857,2449.0,198972.85714285713,80.19090488978794,0.036461377782481,19.961405035995302,3020914.3333333335,5590.566666666667,446348.93333333335,80.20432103474936,0.07692823025087511,20.503963740004437,-18.229190896083114,-19.231615399717896,-21.88200149365198,-8.003518029903256,-13.135275537991975,-20.624011032239242,-22.947961480477275,-1.587429611871305,-0.006878544876653958,0.0025499638295345406,0.21590217502070547,0.6994179505901392,554.27950310559,6.459896651186618,0.011649014956622454,1.6581432887002526e-05,-0.0015536717006097223,-0.0019122080224775466,0.9998327254094502,0.43618809133488295,0.47396615863350405,344417.3278384232,2112881.711928377,556.2013282817824,4077.88858215937,49608.54820547665,313066.17438390676,6,0.12637413752159601
