timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,session_session_length,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-04 00:00:00+00:00,0,0,0,6720585148,0.0292827192013794,96.67576599121094,0.0899622663855552,10508,22.53026262919108,433,149463,339386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149463.0,10508.0,339386.0,96.67576599121094,0.0899622663855552,22.53026262919108,149463.0,10508.0,339386.0,96.67576599121094,0.0899622663855552,22.53026262919108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.22238081644305,0.44039105799573935,0.030961704484850628,0.00015074039654492774,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-09-05 00:00:00+00:00,0,0,0,6720585148,0.0243525543363452,96.8965072631836,0.1152537316083908,16030,16.59654240174727,433,151948,2284558,149463.0,10508.0,339386.0,96.67576599121094,0.0899622663855552,22.53026262919108,0.0,0.0,0.0,0.0,0.0,0.0,150705.5,13269.0,1311972.0,96.78613662719727,0.102607998996973,19.563402515469175,150705.5,13269.0,1311972.0,96.78613662719727,0.102607998996973,19.563402515469175,0.0,1.662618842121466,0.0,52.55043776170536,0.0,573.1444432003677,0.0,28.113414922699764,0.0,0.22833154690775626,0.011659563527864415,0.011659563527864415,9.478385627846048,0.06651086708638297,0.007016671488895669,0.00010922442662832445,0.0,0.0,1.0,1.0,1.0,1757.1603512485706,1757.1603512485706,3904.6436457121154,3904.6436457121154,1375444.3117741991,1375444.3117741991,2,1.0
2025-09-06 00:00:00+00:00,0,1,0,6720585148,0.0201286992925136,97.09757232666016,0.1069128960371017,16213,27.47189335389571,356,186310,3077868,151948.0,16030.0,2284558.0,96.8965072631836,0.1152537316083908,16.59654240174727,0.0,0.0,0.0,0.0,0.0,0.0,162573.66666666666,14250.333333333334,1900604.0,96.88994852701823,0.1040429646770159,22.19956612827802,162573.66666666666,14250.333333333334,1900604.0,96.88994852701823,0.1040429646770159,22.19956612827802,0.0,22.614315423697583,0.0,1.14160948222084,0.0,34.72487894813789,0.0,-7.236933203715767,0.0,0.20750496499366555,0.12667355414712747,0.12667355414712747,11.490687060564944,0.060532140906581794,0.0052676056063464686,0.00014745180560404758,0.21090316772461468,0.0,1.0,1.0,1.0,20593.78416739705,20593.78416739705,3242.2471117009777,3242.2471117009777,1409037.409605579,1409037.409605579,3,1.0
2025-09-07 00:00:00+00:00,0,1,0,6720585148,0.0192823404707089,97.27301788330078,0.1118103340268135,13761,19.504701310938056,286,240737,3082182,186310.0,16213.0,3077868.0,97.09757232666016,0.1069128960371017,27.47189335389571,0.0,0.0,0.0,0.0,0.0,0.0,182114.5,14128.0,2195998.5,96.98571586608887,0.1059848070144653,21.525849923943028,182114.5,14128.0,2195998.5,96.98571586608887,0.1059848070144653,21.525849923943028,0.0,29.21313939133703,0.0,-15.123666193795104,0.0,0.14016195626322947,0.0,4.580773855393683,0.0,0.18068995180475778,0.2336190609772043,0.2336190609772043,17.492878942014244,0.07810600473755128,0.00446469271941348,8.102045090902997e-05,0.19928207397459427,0.0,1.0,1.0,1.0,42545.41848033307,42545.41848033307,2658.5659041420554,2658.5659041420554,1293299.1109173726,1293299.1109173726,4,1.0
2025-09-08 00:00:00+00:00,0,0,0,6720585148,0.0288489097189238,97.30001068115234,0.1140612885355949,12512,18.60740418434143,182,435546,1903945,240737.0,13761.0,3082182.0,97.27301788330078,0.1118103340268135,19.504701310938056,0.0,0.0,0.0,0.0,0.0,0.0,232800.8,13804.8,2137587.8,97.04857482910157,0.10760010331869121,20.94216077602271,232800.8,13804.8,2137587.8,97.04857482910157,0.10760010331869121,20.94216077602271,0.0,80.92191894058662,0.0,-9.076375263425618,0.0,-38.227366197064285,0.0,2.0131900404139813,0.0,0.027749522363884616,0.5119257128180459,0.5119257128180459,34.8074802205706,0.22875963919144765,0.0065716149512643745,4.272192021605344e-05,0.16249999999999368,0.16249999999999368,1.0,1.0,1.0,119176.71548461134,119176.71548461134,2413.1453955367047,2413.1453955367047,1127619.6132105896,1127619.6132105896,5,1.0
2025-09-09 00:00:00+00:00,0,0,0,6720585148,0.033027205330013,97.31229400634766,0.1078729256987571,12018,35.07155538641888,153,555937,1969139,435546.0,12512.0,1903945.0,97.30001068115234,0.1140612885355949,18.60740418434143,0.0,0.0,0.0,0.0,0.0,0.0,286656.8333333333,13507.0,2109513.0,97.09252802530925,0.10764557371536887,23.2970598777554,286656.8333333333,13507.0,2109513.0,97.09252802530925,0.10764557371536887,23.2970598777554,0.0,27.641397234735244,0.0,-3.9482097186700815,0.0,3.4241535338468188,0.0,-5.425471618187627,0.0,0.012624176615516625,0.5916599833408985,0.5916599833408985,46.25484649305267,0.28232477121992344,0.006103171943081752,6.308537172565804e-05,0.13053131103515964,0.13053131103515964,1.0,1.0,1.0,169603.3772345547,169603.3772345547,2278.3163959380176,2278.3163959380176,1010915.4069693468,1010915.4069693468,6,1.0
2025-09-10 00:00:00+00:00,0,0,0,6720585148,0.0341804989921857,97.3206558227539,0.1022678241133689,10993,16.598183714825176,134,651062,2014198,555937.0,12018.0,1969139.0,97.31229400634766,0.1078729256987571,35.07155538641888,0.0,0.0,0.0,0.0,0.0,0.0,338714.71428571426,13147.857142857143,2095896.5714285714,97.12511771065849,0.10687732377222602,22.34007756876537,338714.71428571426,13147.857142857143,2095896.5714285714,97.12511771065849,0.10687732377222602,22.34007756876537,0.0,17.11075175784307,0.0,-8.528873356631717,0.0,2.2882589801938913,0.0,-5.196022587762982,0.0,0.008592764656945029,0.6117912643033939,0.6117912643033939,59.21975623067127,0.323236184706675,0.005457752684814162,2.5493974799405243e-05,0.10602433340889411,0.10602433340889411,1.0,1.0,1.0,207222.70329101998,207222.70329101998,2286.5891212729516,2286.5891212729516,923538.2052714182,923538.2052714182,7,1.0
2025-09-11 00:00:00+00:00,0,0,0,6720585148,0.0335735403483801,97.34000396728516,0.0992105603218078,10324,13.039061212539671,123,708121,1890525,651062.0,10993.0,2014198.0,97.3206558227539,0.1022678241133689,16.598183714825176,149463.0,10508.0,339386.0,96.67576599121094,0.0899622663855552,22.53026262919108,418523.0,13121.57142857143,2317487.8571428573,97.22000885009766,0.10819850862026212,20.984191652100886,384890.5,12794.875,2070225.125,97.15197849273682,0.10591897834092373,21.17745052423716,373.77678756615353,8.763988683105438,-1.7510468214693597,-6.085690894205409,457.0427183207322,-6.140061701977661,10.280192249289044,-2.989467917271782,0.6870780585639391,0.01988082012773784,0.6029950712776797,0.6029950712776797,68.58314769975787,0.37456295232120584,0.005460914052491212,1.8413580163502436e-05,0.06485475812640071,0.08859007699149728,1.0007002467517008,1.0873819956585056,1.0215214526711276,232087.07448160177,232087.07448160177,2340.5840807981485,2340.5840807981485,858107.7352135149,858107.7352135149,8,1.0
2025-09-12 00:00:00+00:00,0,0,0,6720585148,0.0340136781892346,97.38078308105467,0.0967628210783004,12623,16.48497659509832,116,782974,2112809,708121.0,10324.0,1890525.0,97.34000396728516,0.0992105603218078,13.039061212539671,151948.0,16030.0,2284558.0,96.8965072631836,0.1152537316083908,16.59654240174727,508669.5714285714,12634.857142857143,2292952.285714286,97.28919110979352,0.10555694997310634,20.968253679722462,429122.0,12775.777777777777,2074956.6666666667,97.17740122477214,0.10490162753396559,20.65606453211062,415.2907573643615,10.570651061047487,-21.253898939488458,22.26850058117009,-7.517821828117299,11.757792147683844,-16.043654528183794,-2.467216428944363,0.49978666058181354,0.04189347863929882,0.5929292124557219,0.5929292124557219,62.02265525982256,0.3705841982951614,0.005974507882866893,2.105428218665771e-05,0.035866056169779476,0.07726669311523315,1.0011503691559194,1.185372857668848,1.0062470187979549,254438.9695074243,254438.9695074243,2190.165392029662,2190.165392029662,802811.7848898333,802811.7848898333,9,1.0
2025-09-13 00:00:00+00:00,0,1,0,6720585148,0.0314478782883838,97.43354034423828,0.0806895494461059,12058,13.346564837864468,115,806075,2819523,782974.0,12623.0,2112809.0,97.38078308105467,0.0967628210783004,16.48497659509832,186310.0,16213.0,3077868.0,97.09757232666016,0.1069128960371017,27.47189335389571,597207.4285714285,12041.285714285714,2256045.8571428573,97.33718654087612,0.10181075760296407,18.950349606003716,466817.3,12704.0,2149413.3,97.20301513671875,0.10248041972517963,19.925114562686005,332.65256830014494,2.9504172552345276,-25.627582803922778,-4.475956587182129,-8.393634814748385,33.44902449771845,-24.52776752197937,-16.61099940357054,0.3460107287212466,0.054176256869586936,0.5738257818139755,0.5738257818139755,66.84426569367278,0.28589045526833606,0.004276608392054829,1.655745219788763e-05,0.023957933698380163,0.07016518332741455,1.001380321422835,1.27931725874647,0.9934654627292572,267871.80213678913,267871.80213678913,2077.3455284194883,2077.3455284194883,792674.4615487285,792674.4615487285,10,1.0
