timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,platform_platform_share,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-05-28 00:00:00+00:00,0,0,0,1054526971,0.0,0.0350977033376693,1152,0.0,89.22003173828125,26063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,26063.0,89.22003173828125,0.0350977033376693,0.0,0.0,1152.0,26063.0,89.22003173828125,0.0350977033376693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04419889502762431,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-05-29 00:00:00+00:00,0,0,0,1054526971,0.0,0.0382365398108959,1162,0.0,89.22901153564453,68797,0.0,0.0,0.0,1152.0,26063.0,89.22003173828125,0.0350977033376693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.0,47430.0,89.22452163696289,0.036667121574282605,0.0,0.0,1157.0,47430.0,89.22452163696289,0.036667121574282605,0.0,0.0,0.0,0.0,0.868055555555558,0.0,163.96424049418715,0.0,8.943139222040708,0.0,0.01006477714513565,0.0,0.0,0.0,0.0,0.01689002587284514,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0710678118654755,7.0710678118654755,30217.50118722592,30217.50118722592,0,0.0
2020-05-30 00:00:00+00:00,0,1,0,1054526971,0.0,0.0373195745050907,1093,0.0,89.23446655273438,68742,0.0,0.0,0.0,1162.0,68797.0,89.22901153564453,0.0382365398108959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.6666666666667,54534.0,89.22783660888672,0.03688460588455197,0.0,0.0,1135.6666666666667,54534.0,89.22783660888672,0.03688460588455197,0.0,0.0,0.0,0.0,-5.938037865748713,0.0,-0.07994534645405782,0.0,-2.398138823073892,0.0,0.006113501647009301,0.0,0.0,0.0,0.0,0.015899800706981073,0.0,0.007217407226561898,0.0,1.0,0.0,1.0,0.0,0.0,37.28717384481339,37.28717384481339,24656.624606786714,24656.624606786714,0,0.0
2020-05-31 00:00:00+00:00,0,1,0,1054526971,0.0,0.0357408858835697,1072,0.0,89.22982788085938,67186,0.0,0.0,0.0,1093.0,68742.0,89.23446655273438,0.0373195745050907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1119.75,57697.0,89.22833442687988,0.0365986758843064,0.0,0.0,1119.75,57697.0,89.22833442687988,0.0365986758843064,0.0,0.0,0.0,0.0,-1.9213174748398898,0.0,-2.263536120566756,0.0,-4.230189230334491,0.0,-0.0051982961900232105,0.0,0.0,0.0,0.0,0.015955467575572656,0.0,0.003484344482416932,0.0,1.0,0.0,1.0,0.0,0.0,44.04826897847409,44.04826897847409,21102.551994170437,21102.551994170437,0,0.0
2020-06-01 00:00:00+00:00,1,0,0,1054526971,0.0,0.0336859375238418,977,0.0,89.23361206054688,65698,0.0,0.0,0.0,1072.0,67186.0,89.22982788085938,0.0357408858835697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1091.2,59297.2,89.22938995361328,0.036016128212213484,0.0,0.0,1091.2,59297.2,89.22938995361328,0.036016128212213484,0.0,0.0,0.0,0.0,-8.861940298507465,0.0,-2.2147471199357005,0.0,-5.749573097942062,0.0,0.004240935769317389,0.0,0.0,0.0,0.0,0.014870850393461088,0.0,0.002797698974604661,0.002797698974604661,1.0,0.0,1.0,0.0,0.0,74.36867620174507,74.36867620174507,18622.338083602714,18622.338083602714,0,0.0
2020-06-02 00:00:00+00:00,1,0,0,1054526971,0.0,0.0320157930254936,960,0.0,89.2374496459961,53078,0.0,0.0,0.0,977.0,65698.0,89.23361206054688,0.0336859375238418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.3333333333333,58260.666666666664,89.23073323567708,0.0353494056810935,0.0,0.0,1069.3333333333333,58260.666666666664,89.23073323567708,0.0353494056810935,0.0,0.0,0.0,0.0,-1.7400204708290734,0.0,-19.209108344241834,0.0,-4.957987282278031,0.0,0.004300605299500937,0.0,0.0,0.0,0.0,0.01808624879896004,0.0,0.0027500697544697436,0.0027500697544697436,1.0,0.0,1.0,0.0,0.0,85.40179545341347,85.40179545341347,16848.72661855093,16848.72661855093,0,0.0
2020-06-03 00:00:00+00:00,1,0,0,1054526971,0.0,0.0342499651014804,1038,0.0,89.24264526367188,52968,0.0,0.0,0.0,960.0,53078.0,89.2374496459961,0.0320157930254936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.857142857143,57504.57142857143,89.23243495396206,0.035192342741148776,0.0,0.0,1064.857142857143,57504.57142857143,89.23243495396206,0.035192342741148776,0.0,0.0,0.0,0.0,8.125000000000004,0.0,-0.2072421718979589,0.0,6.978343701209488,0.0,0.005822239089514625,0.0,0.0,0.0,0.0,0.01959636768676018,0.0,0.002995082310265792,0.002995082310265792,1.0,0.0,1.0,0.0,0.0,78.85520183946564,78.85520183946564,15510.257378663351,15510.257378663351,0,0.0
2020-06-04 00:00:00+00:00,1,0,0,1054526971,0.0,0.0326792784035205,995,0.0,89.25576782226562,52660,0.0,0.0,0.0,1038.0,52968.0,89.24264526367188,0.0342499651014804,0.0,0.0,1152.0,26063.0,89.22003173828125,0.0350977033376693,0.0,0.0,1042.4285714285713,61304.142857142855,89.23754010881696,0.0348468534648418,0.0,0.0,1056.125,56899.0,89.2353515625,0.034878209698945235,0.0,0.0,0.0,-13.628472222222221,-4.1425818882466325,102.04888155622913,-0.5814831596435588,-6.890550389811912,-4.585951236172237,0.04005387947989547,0.014704358611261625,0.0,0.0,0.0,0.0,0.018894438009152883,0.0,0.003723144531250798,0.003941127232147246,1.0000245255526945,0.0,0.9991009792539787,0.0,0.0,77.07035283242378,77.07035283242378,14461.49884545661,14461.49884545661,0,0.0
2020-06-05 00:00:00+00:00,1,0,0,1054526971,0.0,0.0341600961983203,1048,0.0,89.2604751586914,51516,0.0,0.0,0.0,995.0,52660.0,89.25576782226562,0.0326792784035205,0.0,0.0,1162.0,68797.0,89.22901153564453,0.0382365398108959,0.0,0.0,1026.142857142857,58835.42857142857,89.24203491210938,0.034264504377330994,0.0,0.0,1055.2222222222222,56300.88888888889,89.23814307318793,0.034798419309986915,0.0,0.0,0.0,-9.810671256454384,5.326633165829153,-25.11882785586581,-2.172426889479684,-10.661120574027406,4.531366257586256,0.03526165145772975,0.005273985693743377,0.0,0.0,0.0,0.0,0.02034279946425452,0.0,0.00496210370745111,0.004433695475258503,1.000043611832199,0.0,0.9846569199623763,0.0,0.0,72.14356828189503,72.14356828189503,13645.977882186058,13645.977882186058,0,0.0
2020-06-06 00:00:00+00:00,1,1,0,1054526971,0.0,0.0316461250185966,938,0.0,89.26229858398438,53269,0.0,0.0,0.0,1048.0,51516.0,89.2604751586914,0.0341600961983203,0.0,0.0,1093.0,68742.0,89.23446655273438,0.0373195745050907,0.0,0.0,1004.0,56625.0,89.24601091657367,0.03345401159354613,0.0,0.0,1043.5,55997.7,89.24055862426758,0.03448318988084788,0.0,0.0,0.0,-14.181152790484909,-10.496183206106869,-22.508801024119172,3.4028263063902386,-15.202342367864329,-7.359379684203915,0.031189777140161468,0.0020428137871064678,0.0,0.0,0.0,0.0,0.017608409986859395,0.0,0.00605201721191738,0.004542079116364133,1.0000610965730172,0.0,0.970154202936041,0.0,0.0,77.46289434303371,77.46289434303371,12901.226531268689,12901.226531268689,0,0.0
