timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,session_session_length,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-03-20 00:00:00+00:00,0,1,0,2851381018,0.0,0.0,0.0,0,0.0,94.6015396118164,15906,0.3035326898097992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15906.0,0.0,94.6015396118164,0.3035326898097992,0.0,0.0,15906.0,0.0,94.6015396118164,0.3035326898097992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15906.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2022-03-21 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,663340,0.0,94.6676254272461,8642,0.23759825527668,0.0,15906.0,0.0,94.6015396118164,0.3035326898097992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12274.0,331670.0,94.63458251953125,0.2705654725432396,0.0,0.0,12274.0,331670.0,94.63458251953125,0.2705654725432396,0.0,0.0,0.0,0.0,-45.66830126996102,0.0,inf,0.0,-21.722350424409075,0.0,0.06985701892470164,0.0,0.0,0.0,0.0,0.013027990128757307,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5136.423658539081,5136.423658539081,469052.2122322844,469052.2122322844,0,0.0
2022-03-22 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,511301,0.0,94.713134765625,9120,0.2843523025512695,0.0,8642.0,663340.0,94.6676254272461,0.23759825527668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11222.666666666666,391547.0,94.6607666015625,0.27516108254591626,0.0,0.0,11222.666666666666,391547.0,94.6607666015625,0.27516108254591626,0.0,0.0,0.0,0.0,5.531127053922713,0.0,-22.92022190731752,0.0,19.677773820411694,0.0,0.04807275789744381,0.0,0.0,0.0,0.0,0.017836816597627234,0.0,0.05579757690429372,0.0,1.0,0.0,1.0,0.0,0.0,4062.9212807207246,4062.9212807207246,347506.4809280541,347506.4809280541,0,0.0
2022-03-23 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,479722,0.0,94.72289276123048,8485,0.2526220977306366,0.0,9120.0,511301.0,94.713134765625,0.2843523025512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10538.25,413590.75,94.67629814147949,0.26952633634209633,0.0,0.0,10538.25,413590.75,94.67629814147949,0.26952633634209633,0.0,0.0,0.0,0.0,-6.962719298245612,0.0,-6.176205405426549,0.0,-11.158764861737613,0.0,0.010302684658913819,0.0,0.0,0.0,0.0,0.017687290373819893,0.0,0.04095687866210245,0.0,1.0,0.0,1.0,0.0,0.0,3588.675370755436,3588.675370755436,287142.6077420707,287142.6077420707,0,0.0
2022-03-24 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,520963,0.0,94.75823211669922,9291,0.3036593198776245,0.0,8485.0,479722.0,94.72289276123048,0.2526220977306366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10288.8,435065.2,94.69268493652343,0.27635293304920194,0.0,0.0,10288.8,435065.2,94.69268493652343,0.27635293304920194,0.0,0.0,0.0,0.0,9.499116087212723,0.0,8.59685401128154,0.0,20.20299198109239,0.0,0.03730814636100366,0.0,0.0,0.0,0.0,0.01783424574442764,0.0,0.036865234374998314,0.036865234374998314,1.0,0.0,1.0,0.0,0.0,3157.541717855838,3157.541717855838,253266.49580965107,253266.49580965107,0,0.0
2022-03-25 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,569751,0.0,94.80648040771484,10453,0.2690930366516113,0.0,9291.0,520963.0,94.75823211669922,0.3036593198776245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10316.166666666666,457512.8333333333,94.71165084838867,0.2751429503162702,0.0,0.0,10316.166666666666,457512.8333333333,94.71165084838867,0.2751429503162702,0.0,0.0,0.0,0.0,12.506726940049507,0.0,9.364964498438466,0.0,-11.383244630839439,0.0,0.050917255353821744,0.0,0.0,0.0,0.0,0.01834657886238223,0.0,0.03732234409877667,0.03732234409877667,1.0,0.0,1.0,0.0,0.0,2824.9866135376046,2824.9866135376046,233106.22422699627,233106.22422699627,0,0.0
2022-03-26 00:00:00+00:00,0,1,0,2851381018,0.0,0.0,0.0,726123,0.0,94.8644027709961,10628,0.1927469223737716,0.0,10453.0,569751.0,94.80648040771484,0.2690930366516113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10360.714285714286,495885.71428571426,94.7334725516183,0.2633720891816275,0.0,0.0,10360.714285714286,495885.71428571426,94.7334725516183,0.2633720891816275,0.0,0.0,0.0,0.0,1.6741605280780725,0.0,27.445673636377997,0.0,-28.371642472741964,0.0,0.061095362924712404,0.0,0.0,0.0,0.0,0.014636618538982323,0.0,0.03969274248395983,0.03969274248395983,1.0,0.0,1.0,0.0,0.0,2581.540090352121,2581.540090352121,235774.12727560126,235774.12727560126,0,0.0
2022-03-27 00:00:00+00:00,0,1,0,2851381018,0.0,0.0,0.0,643914,0.0,94.89353942871094,9910,0.186336413025856,0.0,10628.0,726123.0,94.8644027709961,0.1927469223737716,0.0,0.0,15906.0,0.0,94.6015396118164,0.3035326898097992,0.0,0.0,9504.142857142857,587873.4285714285,94.77518681117466,0.2466297639267785,0.0,0.0,10304.375,514389.25,94.75348091125488,0.2537426296621561,0.0,0.0,0.0,-37.69646674210989,-6.755739555890106,inf,-11.321635590664393,-38.61075947285322,-3.3258685892190165,0.30866285907471536,0.030714005321019755,0.0,0.0,0.0,0.0,0.01539023007695115,0.0,0.03799520220075286,0.03980073474702527,1.000229077599166,0.0,0.9719681878254041,0.0,0.0,2395.3480473319823,2395.3480473319823,224470.79391808255,224470.79391808255,0,0.0
2022-03-28 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,315410,0.0,94.89519500732422,6699,0.1911327987909317,0.0,9910.0,643914.0,94.89353942871094,0.186336413025856,0.0,0.0,8642.0,663340.0,94.6676254272461,0.23759825527668,0.0,0.0,9226.57142857143,538169.1428571428,94.80769675118583,0.23999184157167158,0.0,0.0,9903.777777777777,492280.44444444444,94.76922692192926,0.2467859817875756,0.0,0.0,0.0,-22.483221476510064,-32.40161453077699,-52.4512316459131,-51.016750684097566,-19.556312158790846,2.5740464180826317,0.2403879669011122,0.0017446694719591704,0.0,0.0,0.0,0.0,0.021238954887432587,0.0,0.03548731122698197,0.03730812072754562,1.000405931656362,0.0,0.9724695050882097,0.0,0.0,2542.593940141532,2542.593940141532,220199.7699925633,220199.7699925633,0,0.0
2022-03-29 00:00:00+00:00,0,0,0,2851381018,0.0,0.0,0.0,358789,0.0,94.90807342529295,6329,0.1879846602678299,0.0,6699.0,315410.0,94.89519500732422,0.1911327987909317,0.0,0.0,9120.0,511301.0,94.713134765625,0.2843523025512695,0.0,0.0,8827.857142857143,516381.71428571426,94.83554513113839,0.2262250355311802,0.0,0.0,9546.3,478931.3,94.78311157226562,0.24090584963560105,0.0,0.0,0.0,-30.603070175438596,-5.523212419764145,-29.828222514722246,13.753210107479163,-33.890227516643456,-1.647094869648913,0.20582009047673822,0.01357120133189671,0.0,0.0,0.0,0.0,0.017639845034699963,0.0,0.03273309980119734,0.03470662434895594,1.0005531951631783,0.0,0.9390599517337278,0.0,0.0,2650.3543599551604,2650.3543599551604,211854.63538423905,211854.63538423905,0,0.0
