timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,daily_rpv,daily_Estimated Revenue,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-06-20 00:00:00+00:00,1,0,0,5817593377,0.0,0.0020958848036369,10,0,0.0,3.721853756904602,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,18.0,0.0,0.0,3.721853756904602,10.0,0.0,18.0,0.0,0.0,3.721853756904602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.5263157894736842,0.0,0.338350341536782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-06-21 00:00:00+00:00,1,1,0,5817593377,0.0,0.0178778015977857,81,6,5.093140862300061e-05,8.549216985702515,169,0.0,10.0,0.0,18.0,0.0,0.0,3.721853756904602,0.0,0.0,0.0,0.0,0.0,0.0,45.5,3.0,93.5,0.0,2.5465704311500303e-05,6.1355353713035585,45.5,3.0,93.5,0.0,2.5465704311500303e-05,6.1355353713035585,0.0,710.0,0.0,inf,0.0,838.8888888888889,0.0,inf,0.0,0.0,1.1033973948185687,1.1033973948185687,11.571428571428571,0.4764705882352941,0.03529411764705882,0.10425874372807944,0.0,0.0,0.0,1.0,1.0,50.204581464244875,50.204581464244875,4.242640687119285,4.242640687119285,106.77312395916867,106.77312395916867,2,1.0
2025-06-22 00:00:00+00:00,1,1,0,5817593377,0.0,0.0098856734617965,47,1,6.682533694402082e-06,11.189748694499334,129,0.0,81.0,6.0,169.0,0.0,5.093140862300061e-05,8.549216985702515,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.3333333333333335,105.33333333333333,0.0,1.920464743913423e-05,7.82027314570215,46.0,2.3333333333333335,105.33333333333333,0.0,1.920464743913423e-05,7.82027314570215,0.0,-41.9753086419753,0.0,-83.33333333333334,0.0,-23.668639053254438,0.0,-86.87934640907565,0.0,0.0,0.7719687349810741,0.7719687349810741,23.5,0.36153846153846153,0.007692307692307693,0.23311976446873614,-0.0,0.0,0.0,1.0,1.0,35.510561809129406,35.510561809129406,3.2145502536643185,3.2145502536643185,78.23255929172542,78.23255929172542,2,0.5802469135802469
2025-06-23 00:00:00+00:00,1,0,0,5817593377,0.0,0.0074467046753781,36,1,1.488823090767255e-05,6.5288825035095215,104,0.0,47.0,1.0,129.0,0.0,6.682533694402082e-06,11.189748694499334,0.0,0.0,0.0,0.0,0.0,0.0,43.5,2.0,105.0,0.0,1.812554330626881e-05,7.497425485153993,43.5,2.0,105.0,0.0,1.812554330626881e-05,7.497425485153993,0.0,-23.404255319148938,0.0,0.0,0.0,-19.379844961240313,0.0,122.79320372367644,0.0,0.0,0.6763727317274286,0.6763727317274286,18.0,0.34285714285714286,0.009523809523809525,0.1764562838786357,0.0,0.0,0.0,1.0,1.0,29.422213830143146,29.422213830143146,2.70801280154532,2.70801280154532,63.88009601328623,63.88009601328623,2,0.4444444444444444
2025-06-24 00:00:00+00:00,1,0,0,5817593377,0.0,0.0085845729033518,43,3,3.742301851161755e-05,9.121409555276236,160,0.0,36.0,1.0,104.0,0.0,1.488823090767255e-05,6.5288825035095215,0.0,0.0,0.0,0.0,0.0,0.0,43.4,2.2,116.0,0.0,2.198503834733856e-05,7.822222299178442,43.4,2.2,116.0,0.0,2.198503834733856e-05,7.822222299178442,0.0,19.444444444444443,0.0,200.0,0.0,53.846153846153854,0.0,151.35974007718974,0.0,0.0,0.587128242868154,0.587128242868154,10.75,0.2670807453416149,0.018633540372670808,0.20730476261991446,0.0,0.0,0.0,1.0,1.0,25.481365740477884,25.481365740477884,2.3874672772626644,2.3874672772626644,60.54337288258724,60.54337288258724,2,0.5308641975308642
2025-06-25 00:00:00+00:00,1,0,0,5817593377,0.0,0.0158887797320196,96,1,2.2983433609624626e-06,22.07412525018056,166,0.0,43.0,3.0,160.0,0.0,3.742301851161755e-05,9.121409555276236,0.0,0.0,0.0,0.0,0.0,0.0,52.166666666666664,2.0,124.33333333333333,0.0,1.8703922516275877e-05,10.197539457678795,52.166666666666664,2.0,124.33333333333333,0.0,1.8703922516275877e-05,10.197539457678795,0.0,123.25581395348837,0.0,-66.66666666666667,0.0,3.750000000000009,0.0,-93.85847680820036,0.0,0.0,0.6002683922368519,0.6002683922368519,48.0,0.5748502994011976,0.005988023952095809,0.22756830154825322,0.0,0.0,0.0,1.0,1.0,31.314001128355773,31.314001128355773,2.1908902300206643,2.1908902300206643,57.87112118031468,57.87112118031468,3,1.0
2025-06-26 00:00:00+00:00,1,0,0,5817593377,0.0,0.003307566031471,15,0,2.719934173001093e-06,13.266369024912516,71,0.0,96.0,1.0,166.0,0.0,2.2983433609624626e-06,22.07412525018056,0.0,0.0,0.0,0.0,0.0,0.0,46.857142857142854,1.7142857142857142,116.71428571428571,0.0,1.6420495610093765e-05,10.635943681569326,46.857142857142854,1.7142857142857142,116.71428571428571,0.0,1.6420495610093765e-05,10.635943681569326,0.0,-84.375,0.0,-100.0,0.0,-57.22891566265061,0.0,18.34324754078882,0.0,0.0,0.6797435974825076,0.6797435974825076,15.0,0.20833333333333334,0.0,0.8291480640570322,0.0,0.0,0.0,1.0,1.0,31.850842853466066,31.850842853466066,2.138089935299395,2.138089935299395,56.54412520534821,56.54412520534821,3,0.15625
2025-06-27 00:00:00+00:00,1,0,0,5817593377,0.0,0.0188285736454387,101,0,1.2687589332927018e-05,20.675026496251423,80,0.0,15.0,0.0,71.0,0.0,2.719934173001093e-06,13.266369024912516,10.0,0.0,18.0,0.0,0.0,3.721853756904602,59.857142857142854,1.7142857142857142,125.57142857142857,0.0,1.823300837194048e-05,13.057825501476016,53.625,1.5,112.125,0.0,1.595388232544792e-05,11.89082903340459,910.0,573.3333333333334,0.0,0.0,344.44444444444446,12.676056338028175,inf,366.4667791914948,0.0,0.0,0.6555997705778187,0.6555997705778187,101.0,1.2469135802469136,0.0,0.20269633819854335,0.0,0.0,0.0,1.1162171162171162,1.1428571428571428,35.15653769723553,35.15653769723553,2.0701966780270626,2.0701966780270626,53.93498069766172,53.93498069766172,4,1.0
2025-06-28 00:00:00+00:00,1,1,0,5817593377,0.0,0.0099566187035297,54,0,3.302294089735369e-06,14.098980963230131,66,0.0,101.0,0.0,80.0,0.0,1.2687589332927018e-05,20.675026496251423,81.0,6.0,169.0,0.0,5.093140862300061e-05,8.549216985702515,56.0,0.8571428571428571,110.85714285714286,0.0,1.142884915290259e-05,13.850648926837101,53.666666666666664,1.3333333333333333,107.0,0.0,1.4548150299257637e-05,12.136179247829649,-33.333333333333336,-46.53465346534653,-100.0,0.0,-60.946745562130175,-17.500000000000004,-93.51619329011832,-73.97224954968233,0.0,0.0,0.6127857261765969,0.6127857261765969,54.0,0.8059701492537313,0.0,0.256345108422366,0.0,0.0,0.0,1.0434782608695652,0.7855877838632023,32.8861673048107,32.8861673048107,2.0,2.0,52.74229801591887,52.74229801591887,4,0.5346534653465347
2025-06-29 00:00:00+00:00,1,1,0,5817593377,0.0,0.0038494315981922,22,0,1.2554496606753671e-06,3.3105158607165017,33,0.0,54.0,0.0,66.0,0.0,3.302294089735369e-06,14.098980963230131,47.0,1.0,129.0,0.0,6.682533694402082e-06,11.189748694499334,52.42857142857143,0.7142857142857143,97.14285714285714,0.0,1.0653551433798773e-05,12.725044236296698,50.5,1.2,99.6,0.0,1.3218880235399411e-05,11.253612909118335,-53.191489361702125,-59.25925925925925,-100.0,0.0,-74.4186046511628,-50.0,-81.21296924058834,-61.98249984525233,0.0,0.0,0.6451955295036426,0.6451955295036426,22.0,0.6470588235294118,0.0,0.14393547220506528,0.0,0.0,0.0,1.0381895332390383,0.8059344849247644,32.58237423993395,32.58237423993395,1.9321835661585918,1.9321835661585918,54.95695285099662,54.95695285099662,4,0.21782178217821782
