timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,visits_visits_gained,session_session_length,ccu_playing,daily_Estimated Revenue,platform_platform_share,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-14 00:00:00+00:00,0,1,0,6118645803,0.0016874881365397,3911,8.379435124604598,13,531.0,0.0002595553232822,42.25352096557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,13.0,3911.0,42.25352096557617,0.0002595553232822,8.379435124604598,531.0,13.0,3911.0,42.25352096557617,0.0002595553232822,8.379435124604598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.92857142857143,0.1357361963190184,0.0033231083844580778,0.0157508179033921,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-15 00:00:00+00:00,0,1,0,6118645803,0.0014917886030041,4679,6.257451355457306,13,475.0,0.0002636359713505,42.25352096557617,0.0,531.0,13.0,3911.0,42.25352096557617,0.0002595553232822,8.379435124604598,0.0,0.0,0.0,0.0,0.0,0.0,503.0,13.0,4295.0,42.25352096557617,0.00026159564731635004,7.318443240030952,503.0,13.0,4295.0,42.25352096557617,0.00026159564731635004,7.318443240030952,0.0,-10.546139359698682,0.0,0.0,0.0,19.6369215034518,0.0,1.57216889898395,0.0,0.0,0.07872361778617626,0.07872361778617626,33.92857142857143,0.1014957264957265,0.002777777777777778,0.01314590620894392,0.0,0.0,1.0,1.0,1.0,39.59797974644666,39.59797974644666,0.0,0.0,543.0580079512685,543.0580079512685,1,0.8945386064030132
2024-09-16 00:00:00+00:00,0,0,0,6118645803,0.0013108058981778,3344,6.269925475120544,16,424.0,0.0004387003427837,42.36111068725586,0.0,475.0,13.0,4679.0,42.25352096557617,0.0002636359713505,6.257451355457306,0.0,0.0,0.0,0.0,0.0,0.0,476.6666666666667,14.0,3978.0,42.28938420613607,0.00032063054580546666,6.96893731839415,476.6666666666667,14.0,3978.0,42.28938420613607,0.00032063054580546666,6.96893731839415,0.0,-10.736842105263156,0.0,23.076923076923084,0.0,-28.531737550758706,0.0,66.40382590297385,0.0,0.2546290089465941,0.11227860181114764,0.11227860181114764,24.941176470588236,0.12675635276532138,0.004783258594917788,0.014752765823813047,0.05379486083984857,0.0,1.0,1.0,1.0,53.51946686331371,53.51946686331371,1.7320508075688772,1.7320508075688772,670.0171639592526,670.0171639592526,1,0.7984934086629002
2024-09-17 00:00:00+00:00,0,0,0,6118645803,0.0010366617139829,2711,6.515793468641198,13,338.0,0.0002981202851515,42.068965911865234,0.0,424.0,16.0,3344.0,42.36111068725586,0.0004387003427837,6.269925475120544,0.0,0.0,0.0,0.0,0.0,0.0,442.0,13.75,3661.25,42.23427963256836,0.000315002980641975,6.855651355955912,442.0,13.75,3661.25,42.23427963256836,0.000315002980641975,6.855651355955912,0.0,-20.28301886792453,0.0,-18.75,0.0,-18.92942583732058,0.0,-32.04466555466373,0.0,-0.6896532471668992,0.18541916822238685,0.18541916822238685,24.142857142857142,0.12463126843657817,0.004793510324483776,0.019220629701006485,-0.044607543945321106,0.0,1.0,1.0,1.0,81.95527235429499,81.95527235429499,1.5,1.5,837.0210570827952,837.0210570827952,1,0.6365348399246704
2024-09-18 00:00:00+00:00,0,0,0,6118645803,0.0010003825946351,2200,6.263313674926758,12,330.0,0.0003622872172854,42.068965911865234,0.0,338.0,13.0,2711.0,42.068965911865234,0.0002981202851515,6.515793468641198,0.0,0.0,0.0,0.0,0.0,0.0,419.6,13.4,3369.0,42.20121688842774,0.00032445982797066,6.737183819750081,419.6,13.4,3369.0,42.20121688842774,0.00032445982797066,6.737183819750081,0.0,-2.3668639053254448,0.0,-7.692307692307687,0.0,-18.84913316119513,0.0,21.523839647909693,0.0,0.0,0.20702917604449073,0.20702917604449073,25.384615384615383,0.14993184915947297,0.005452067242162653,0.0189223978094464,-0.05536651611328554,-0.05536651611328554,1.0,1.0,1.0,86.86944226826832,86.86944226826832,1.5165750888103102,1.5165750888103102,975.9628578998281,975.9628578998281,1,0.6214689265536724
2024-09-19 00:00:00+00:00,0,0,0,6118645803,0.0010249429625607,2345,6.387590368588765,18,340.0,0.000293289165711,42.068965911865234,0.0,330.0,12.0,2200.0,42.068965911865234,0.0003622872172854,6.263313674926758,0.0,0.0,0.0,0.0,0.0,0.0,406.3333333333333,14.166666666666666,3198.3333333333335,42.17917505900065,0.00031926471759405,6.678918244556528,406.3333333333333,14.166666666666666,3198.3333333333335,42.17917505900065,0.00031926471759405,6.678918244556528,0.0,3.0303030303030276,0.0,50.0,0.0,6.590909090909092,0.0,-19.045124498567446,0.0,0.0,0.20726910398369242,0.20726910398369242,17.894736842105264,0.14492753623188406,0.0076726342710997444,0.01873193656477644,-0.05053100585937338,-0.05053100585937338,1.0,1.0,1.0,84.22034591870701,84.22034591870701,2.3166067138525404,2.3166067138525404,967.8664508426082,967.8664508426082,1,0.64030131826742
2024-09-20 00:00:00+00:00,0,0,0,6118645803,0.0007011485125111,2917,5.893989046414693,8,235.0,0.0002581601147539,42.068965911865234,0.0,340.0,18.0,2345.0,42.068965911865234,0.000293289165711,6.387590368588765,0.0,0.0,0.0,0.0,0.0,0.0,381.85714285714283,13.285714285714286,3158.1428571428573,42.163430895124165,0.00031053548861688574,6.566785501964837,381.85714285714283,13.285714285714286,3158.1428571428573,42.163430895124165,0.00031053548861688574,6.566785501964837,0.0,-30.88235294117647,0.0,-55.55555555555556,0.0,24.39232409381664,0.0,-11.97761631321741,0.0,0.0,0.2632424861092665,0.2632424861092665,26.11111111111111,0.08053461274845784,0.0027416038382453737,0.024974529857689377,-0.043390001569473764,-0.043390001569473764,1.0,1.0,1.0,100.52102362429561,100.52102362429561,3.147183169877773,3.147183169877773,889.9128100683852,889.9128100683852,1,0.4425612052730697
2024-09-21 00:00:00+00:00,0,1,0,6118645803,0.0008429527696045,3253,6.103925267855327,9,285.0,0.0001789598463801,42.85714340209961,0.0,235.0,8.0,2917.0,42.068965911865234,0.0002581601147539,5.893989046414693,531.0,13.0,3911.0,42.25352096557617,0.0002595553232822,8.379435124604598,346.7142857142857,12.714285714285714,3064.1428571428573,42.249662671770366,0.0002990218490594429,6.241712665286371,369.75,12.75,3170.0,42.250144958496094,0.0002940885333372875,6.508927972701149,-46.327683615819204,21.27659574468086,-30.76923076923077,12.5,-16.824341600613657,11.518683579019552,-31.051367347404803,-30.67873921937957,1.4285731052217088,1.8735366395399744,0.26819398477718587,0.26819398477718587,28.5,0.08758451137062077,0.0027658266748617085,0.021342396041452192,0.04380634852818311,0.02888270786830563,0.9999885849687332,0.9376992176180817,1.016774933949898,99.16472587136447,99.16472587136447,3.284161123592186,3.284161123592186,824.5814522705272,824.5814522705272,1,0.536723163841808
2024-09-22 00:00:00+00:00,0,1,0,6118645803,0.0010057631951433,3803,6.184537827968597,10,343.0,0.0002387800486758,42.56756591796875,0.0,285.0,9.0,3253.0,42.85714340209961,0.0001789598463801,6.103925267855327,475.0,13.0,4679.0,42.25352096557617,0.0002636359713505,6.257451355457306,327.85714285714283,12.285714285714286,2939.0,42.29452623639788,0.00029547100296305716,6.231296447073698,366.77777777777777,12.444444444444445,3240.3333333333335,42.28541395399306,0.0002879431461526778,6.472884623286421,-27.78947368421053,20.350877192982452,-23.076923076923073,11.111111111111116,-18.72194913443044,16.907470027666772,-9.428122629614311,33.42660574743983,0.7432397234976795,-0.6756807877136173,0.25407123773593054,0.25407123773593054,31.181818181818183,0.09016824395373291,0.0026288117770767614,0.017978307639443598,0.07841859545026535,0.04137929280598842,1.0002154946955168,0.8938849699225343,1.0261435526803193,93.18768397403409,93.18768397403409,3.205897343611891,3.205897343611891,799.6647735145023,799.6647735145023,1,0.6459510357815442
2024-09-23 00:00:00+00:00,0,0,0,6118645803,0.0006589919732863,2080,5.861484110355377,8,227.0,0.000269653100986,42.95302200317383,0.0,343.0,10.0,3803.0,42.56756591796875,0.0002387800486758,6.184537827968597,424.0,16.0,3344.0,42.36111068725586,0.0004387003427837,6.269925475120544,299.7142857142857,11.142857142857142,2758.4285714285716,42.37908499581473,0.00027132139699195714,6.172947680678674,352.8,12.0,3124.3,42.35217475891113,0.00028611414163601,6.4117445719933155,-46.4622641509434,-33.819241982507286,-50.0,-19.999999999999996,-37.79904306220095,-45.306337102287664,-38.533647073316345,12.929494101962181,1.397298858115259,0.9055159177949745,0.27877159849622096,0.27877159849622096,25.22222222222222,0.1090821720326766,0.0038443056222969728,0.02570826364190955,0.15848377772740135,0.0665090156323994,1.0006353920915934,0.8495302883057985,0.9482977508225652,98.35061994946676,98.35061994946676,3.333333333333334,3.333333333333334,838.480510606339,838.480510606339,1,0.4274952919020716
