timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,ratings_like_ratio,daily_Estimated Revenue,ccu_playing,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-12-21 00:00:00+00:00,0,1,0,5829613337,28.711688648570668,3.852223268294689,464.0,13521,92.5953598022461,210627.0,594,0.0072392420843243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210627.0,594.0,13521.0,92.5953598022461,0.0072392420843243,28.711688648570668,210627.0,594.0,13521.0,92.5953598022461,0.0072392420843243,28.711688648570668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.9949579831933,15.57661588522408,0.043928412956663214,0.00013631468108974432,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-12-22 00:00:00+00:00,0,1,0,5829613337,24.0933039188385,2.453251698030785,429.0,34135,91.72932434082033,189661.0,794,0.0092447604984045,210627.0,594.0,13521.0,92.5953598022461,0.0072392420843243,28.711688648570668,0.0,0.0,0.0,0.0,0.0,0.0,200144.0,694.0,23828.0,92.1623420715332,0.0082420012913644,26.402496283704586,200144.0,694.0,23828.0,92.1623420715332,0.0082420012913644,26.402496283704586,0.0,-9.95408945671733,0.0,33.670033670033675,0.0,152.4591376377487,0.0,27.703430700610298,0.0,-0.9352903463794915,0.07407267154827102,0.07407267154827102,238.56729559748428,5.556040543707523,0.02325990157018983,0.00012703284748045735,0.0,0.0,1.0,1.0,1.0,14825.200774357156,14825.200774357156,141.4213562373095,141.4213562373095,14576.29918737949,14576.29918737949,1,0.9004591054328267
2024-12-23 00:00:00+00:00,0,0,0,5829613337,22.38387052218119,2.877878554823797,331.0,72848,91.77324676513672,374885.0,1445,0.0178406797349452,189661.0,794.0,34135.0,91.72932434082033,0.0092447604984045,24.0933039188385,0.0,0.0,0.0,0.0,0.0,0.0,258391.0,944.3333333333334,40168.0,92.0326436360677,0.011441560772558,25.062954363196784,258391.0,944.3333333333334,40168.0,92.0326436360677,0.011441560772558,25.062954363196784,0.0,97.66056279361597,0.0,81.98992443324937,0.0,113.41145451882232,0.0,92.98152437831378,0.0,0.04788264236330608,0.3925443918985255,0.3925443918985255,259.25656984785616,5.1460555395406935,0.01983555024777279,5.970847276820471e-05,-0.41105651855467523,0.0,1.0,1.0,1.0,101429.93796705191,101429.93796705191,444.97228378106126,444.97228378106126,30120.110374963766,30120.110374963766,2,1.0
2024-12-24 00:00:00+00:00,0,0,0,5829613337,22.95737361907959,2.105399581658429,296.0,80820,92.03679656982422,440430.0,1234,0.0184492617845535,374885.0,1445.0,72848.0,91.77324676513672,0.0178406797349452,22.38387052218119,0.0,0.0,0.0,0.0,0.0,0.0,303900.75,1016.75,50331.0,92.03368186950684,0.013193486025556875,24.536559177167486,303900.75,1016.75,50331.0,92.03368186950684,0.013193486025556875,24.536559177167486,0.0,17.484028435386854,0.0,-14.602076124567475,0.0,10.94333406545136,0.0,3.4112043859867436,0.0,0.28717498179178236,0.40492780217118324,0.40492780217118324,356.62348178137654,5.449450019178184,0.015268308979101966,5.212479053263642e-05,-0.16317672729494562,0.0,1.0,1.0,1.0,123057.86277567422,123057.86277567422,391.12263635165203,391.12263635165203,31905.490258992522,31905.490258992522,3,1.0
2024-12-25 00:00:00+00:00,0,0,1,5829613337,21.690921862920124,1.3689164312723017,120.0,76638,91.84626007080078,392480.0,1339,0.0167768578976392,440430.0,1234.0,80820.0,92.03679656982422,0.0184492617845535,22.95737361907959,0.0,0.0,0.0,0.0,0.0,0.0,321616.6,1081.2,55592.4,91.99619750976562,0.01391016039997334,23.967431714318014,321616.6,1081.2,55592.4,91.99619750976562,0.01391016039997334,23.967431714318014,0.0,-10.887087618917878,0.0,8.50891410048622,0.0,-5.174461766889382,0.0,-9.064882413422682,0.0,-0.2070220891259411,0.35351278493146154,0.35351278493146154,292.8955223880597,5.121152415871815,0.017471522331971974,5.526617049722184e-05,-0.11907272338867657,-0.11907272338867657,1.0,1.0,1.0,113695.57994618789,113695.57994618789,368.1055555136325,368.1055555136325,30031.348309724624,30031.348309724624,3,0.8911291238108212
2024-12-26 00:00:00+00:00,0,0,0,5829613337,20.66150140762329,1.2513491436936064,124.0,92566,91.7949676513672,466596.0,1491,0.0165723394602537,392480.0,1339.0,76638.0,91.84626007080078,0.0167768578976392,21.690921862920124,0.0,0.0,0.0,0.0,0.0,0.0,345779.8333333333,1149.5,61754.666666666664,91.96265920003255,0.014353856910020066,23.416443329868894,345779.8333333333,1149.5,61754.666666666664,91.96265920003255,0.014353856910020066,23.416443329868894,0.0,18.884019567876067,0.0,11.351755041075439,0.0,20.7834233669981,0.0,-1.2190509011480444,0.0,-0.05584595322013497,0.34028223375960487,0.34028223375960487,312.7319034852547,5.04063003014033,0.01610725204446509,4.428125643247447e-05,-0.09678867885043864,-0.09678867885043864,1.0,1.0,1.0,117662.73407569055,117662.73407569055,369.31111545687327,369.31111545687327,30811.470069872787,30811.470069872787,4,1.0
2024-12-27 00:00:00+00:00,0,0,0,5829613337,21.690251350402832,1.0538485501986423,142.0,95242,91.348388671875,491808.0,1635,0.0180277805775403,466596.0,1491.0,92566.0,91.7949676513672,0.0165723394602537,20.66150140762329,0.0,0.0,0.0,0.0,0.0,0.0,366641.0,1218.857142857143,66538.57142857143,91.87490626743862,0.014878703148237244,23.169844475659456,366641.0,1218.857142857143,66538.57142857143,91.87490626743862,0.014878703148237244,23.169844475659456,0.0,5.403389656147928,0.0,9.657947686116696,0.0,2.890910269429381,0.0,8.782351585165493,0.0,-0.4864961456147454,0.32937347332697914,0.32937347332697914,300.6161369193154,5.163718068519471,0.01716661591928016,4.410299801427552e-05,-0.12630762372697735,-0.12630762372697735,1.0,1.0,1.0,120761.81963407696,120761.81963407696,383.8382595883447,383.8382595883447,30843.515579222065,30843.515579222065,5,1.0
2024-12-28 00:00:00+00:00,0,1,0,5829613337,20.89622155825297,0.9952554696473696,126.0,114796,91.1833267211914,567031.0,2096,0.0230660066008567,491808.0,1635.0,95242.0,91.348388671875,0.0180277805775403,21.690251350402832,210627.0,594.0,13521.0,92.5953598022461,0.0072392420843243,28.711688648570668,417555.85714285716,1433.4285714285713,81006.42857142857,91.67318725585938,0.01713966950774187,22.053349177042644,391689.75,1328.5,72570.75,91.78845882415771,0.015902116079814677,22.885641610983647,169.2109748512774,15.295196499446927,252.86195286195286,28.195718654434245,749.0200428962355,20.530858234812378,218.62460644607174,27.94701212190931,-1.5249501530857912,-0.1806949778572431,0.3379245719152871,0.3379245719152871,270.4010491177873,4.9394235040985395,0.018258316854970078,3.6851926449041625e-05,-0.09748349870953629,-0.14183671133857934,0.9987441605428938,1.0660372326384777,1.0778231916881853,132361.5910923558,132361.5910923558,471.6533230486743,471.6533230486743,33264.34535977351,33264.34535977351,6,1.0
2024-12-29 00:00:00+00:00,0,1,0,5829613337,19.883761644363403,1.032090810203946,116.0,160479,90.958251953125,731454.0,2441,0.0272066816687583,567031.0,2096.0,114796.0,91.1833267211914,0.0230660066008567,20.89622155825297,189661.0,794.0,34135.0,91.72932434082033,0.0092447604984045,24.0933039188385,494954.85714285716,1668.7142857142858,99055.57142857143,91.56303405761719,0.019705658246363843,21.451985994974773,429441.3333333333,1452.111111111111,82338.33333333333,91.6962136162652,0.017158178923030634,22.552099392470286,285.66389505486103,28.99718004835714,207.43073047858945,16.459923664122144,370.1303647282847,39.794940590264474,194.2929854532602,17.95141716359263,-0.8405952984352205,-0.24683763595795272,0.3907363342569288,0.3907363342569288,299.53071253071255,4.557913758723829,0.01521061814556331,2.7183848144265066e-05,-0.16606412615095037,-0.15463282267252126,0.9985476002400127,1.1525552356616593,1.148470262185799,167798.3323650745,167798.3323650745,576.3394061758323,576.3394061758323,42741.703823666176,42741.703823666176,7,1.0
2024-12-30 00:00:00+00:00,0,0,0,5829613337,20.206725200017292,0.9568085295264868,105.0,176255,90.86495971679688,842888.0,2541,0.0282646175473928,731454.0,2441.0,160479.0,90.958251953125,0.0272066816687583,19.883761644363403,374885.0,1445.0,72848.0,91.77324676513672,0.0178406797349452,22.38387052218119,561812.4285714285,1825.2857142857142,113828.0,91.43327876499721,0.02119479221957064,21.140965234665646,470786.0,1561.0,91730.0,91.61308822631835,0.018268822785466852,22.317561973224986,124.83908398575565,15.2345875475423,75.8477508650519,4.096681687832859,141.94898967713593,9.830569731865225,58.42791848356455,3.8885149299531907,-0.9897078727794217,-0.10256599519546938,0.4359422788748415,0.4359422788748415,331.58457907159715,4.782180464778504,0.014416530501089325,2.3973174641046794e-05,-0.21082741873604677,-0.15780135646011012,0.9980372950546439,1.1933499054165344,1.1601619036138138,205235.52170237113,205235.52170237113,643.2942993339483,643.2942993339483,50059.00098439396,50059.00098439396,8,1.0
