timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,session_session_length,daily_Estimated Revenue,platform_platform_share,ccu_playing,ratings_like_ratio,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-12 00:00:00+00:00,0,0,0,4540138978,0.000653263353713,16.621171871821087,602157.0,0.3135532438755035,17663,87.13565063476562,1344849,0.0,599796.0,17114.0,1518736.0,87.13794708251953,0.3130258917808532,22.19599401950836,574881.0,16735.0,1434209.0,87.14692687988281,0.2343810051679611,15.528577971458436,782813.0,22160.285714285714,1946022.5714285714,87.13963753836495,0.3616034473691668,15.79447146743333,840854.2666666667,22915.033333333333,2064163.1,87.3141716003418,0.3419409001866976,16.444451824899705,4.744634106884726,0.3936338355040814,5.545264415894824,3.2078999649409745,-6.2306121353303485,-11.449455336543025,33.779289687236535,0.168469161336815,-0.012939349120977273,-0.0026354164067377006,0.22368344468450546,0.19332853799867122,34.08950407608695,0.44775030672565713,0.01313380674424657,2.760267549683154e-05,-0.0017125265938913578,0.015389076037720982,0.9980010797929146,0.9309734528710246,1.0575027648688224,174152.46859073683,162561.1260446115,3591.013481480743,3823.695436610238,422628.3315745361,388855.3111835788,12,0.422838712939283
2024-09-13 00:00:00+00:00,0,0,0,4540138978,0.0008776010056685,16.316084106763203,810182.0,0.4286887347698211,30852,87.14321899414062,2146464,0.0,602157.0,17663.0,1344849.0,87.13565063476562,0.3135532438755035,16.621171871821087,691866.0,25472.0,1808132.0,87.14655303955078,0.3532388806343078,9.60627471833002,799715.2857142857,22928.85714285714,1994355.7142857143,87.13916124616351,0.3723819979599544,16.753015665780932,836109.2333333333,23067.366666666665,2061747.5666666667,87.31645634969075,0.3432428245743115,16.41162101832647,17.100999326459167,34.54663816911536,21.121231155778887,74.67021457283587,18.711686978605545,59.60632011474893,21.35944208633791,36.71959807248311,-0.0038257914901640433,0.008685720850043488,0.22336488530704612,0.19287104750180328,26.259423718925227,0.3774494343024461,0.01437339998555765,2.0138763843185063e-05,-0.0003408704485159694,0.01263446574481655,0.9979695110069836,0.956472257250461,1.0848937582942373,173318.54683688263,161261.26365892965,4311.5818748734055,4046.9723419837646,422050.57809328625,388085.07504915434,12,0.5689152731373615
2024-09-14 00:00:00+00:00,0,1,0,4540138978,0.0013728504905047,17.134488821029663,1271467.0,0.3572222590446472,28902,87.14906311035156,2936230,0.0,810182.0,30852.0,2146464.0,87.14321899414062,0.4286887347698211,16.316084106763203,1065302.0,23511.0,2613963.0,87.14329528808594,0.3119525909423828,16.543855667114258,829167.4285714285,23699.0,2040393.857142857,87.13998522077289,0.37884909340313505,16.83739183062599,849031.6333333333,23051.133333333335,2091894.9,87.31862411499023,0.34143462131420765,16.3916561908949,19.352728146572517,56.93597241113726,22.929692484369024,-6.32049786075457,12.328674889430346,36.79381531672556,14.51171409267944,-16.670947922983537,0.006618779157419041,0.006706335017669929,0.2669838960299601,0.21164530278537697,43.99083140158461,0.4330268974069138,0.009843230999195908,1.3476146329305702e-05,0.0013106209891202956,0.00995157006320107,0.9979541719074491,0.9766036929814769,1.1095801941376544,212716.6158309624,179693.55711119648,4692.490128321656,4021.6378610035763,488198.9499612839,419533.737737448,12,0.8928327160935957
2024-09-15 00:00:00+00:00,0,1,0,4540138978,0.0012493055041421,17.519702514012653,1160101.0,0.350925862789154,26196,87.15575408935547,2770511,0.0,1271467.0,28902.0,2936230.0,87.14906311035156,0.3572222590446472,17.134488821029663,1053283.0,21746.0,2528781.0,87.1387939453125,0.353315532207489,16.827386379241943,844427.1428571428,24334.714285714286,2074926.7142857143,87.1424080984933,0.3785077120576586,16.936294135593233,851126.8666666667,22819.666666666668,2095086.9333333333,87.32089665730794,0.33909780631462727,16.42414483899162,10.141433973585446,-8.758858861456886,20.463533523406596,-9.362673863400461,9.55915122740958,-5.64393797488616,-0.6763556086551104,-1.7625990811245273,0.01946336789284686,0.0076776258574717815,0.28494554955975077,0.21503625192801107,44.28373477879146,0.4187316279445821,0.009455292018226234,1.5101863899909364e-05,0.0028299604143462113,0.0073073729789838865,0.9979559467934106,0.9921284075595422,1.1162198781860162,231580.84527193295,183023.13132323202,4739.036963419879,3598.5208295797693,527782.4048263693,424456.7411116208,12,0.8146307586220456
2024-09-16 00:00:00+00:00,0,0,0,4540138978,0.0008492117085465,16.93570069471995,790735.0,0.3778818547725677,25745,87.15564727783203,1881096,0.0,1160101.0,26196.0,2770511.0,87.15575408935547,0.350925862789154,17.519702514012653,701856.0,29018.0,1848499.0,87.14097595214844,0.5198958516120911,15.67139212290446,857124.1428571428,23867.14285714286,2079583.4285714286,87.14450400216239,0.35821999822344097,17.116909645852587,840114.3,22764.266666666666,2068435.4333333333,87.32281112670898,0.3402053569753964,16.333681790109665,12.663423836228516,-31.83912435210382,-11.279206010062715,-1.7216368911284197,1.7634307619317058,-32.10292252945395,-27.315854973484967,7.68139223742812,0.01683631095852345,-0.00012255246317760538,0.2858288722616279,0.20952322124786033,30.712926279810457,0.4203584397827438,0.013686162914512117,2.141764216466678e-05,0.004043851579944094,0.004705499939711435,0.9979580693492808,1.02024705787908,1.0529522562731057,231628.878604237,176023.4543523913,4789.480614319846,3537.7427338028183,528591.0195854419,411320.4853408243,12,0.5552594583738858
2024-09-17 00:00:00+00:00,0,0,0,4540138978,0.0007742781141005,17.59151577949524,722325.0,0.4539863169193268,23125,87.15357208251953,1742669,0.0,790735.0,25745.0,1881096.0,87.15564727783203,0.3778818547725677,16.93570069471995,765431.0,20598.0,1959198.0,87.13424682617188,0.3662421405315399,13.0952254931132,850966.1428571428,24228.14285714286,2048650.7142857143,87.1472647530692,0.3707548805645534,17.75923682962145,828566.0,22723.6,2043526.0,87.32449696858724,0.34436214814583455,16.34202565359691,-5.63159840664933,-8.651444542103237,12.268181376832699,-10.17673334628083,-11.051920224500023,-7.358848245916205,23.957968425053622,20.139750344076024,0.02217871508800595,-0.0023810222025910655,0.2808263960168937,0.20736915451300345,31.23432500216207,0.4144932775568524,0.013269867502166216,2.4353983906844333e-05,0.0035501207624169676,0.002097674445131796,0.9979704181338508,1.0270348322971772,1.0766423736198258,228901.3747440589,171819.0308782212,4740.493712985778,3525.93779748368,523267.38922987395,407523.42286023597,12,0.5072214942678862
2024-09-18 00:00:00+00:00,0,0,0,4540138978,0.0007396578564365,14.558265447616575,691480.0,0.3545145094394684,20999,87.14860534667969,1678979,0.0,722325.0,23125.0,1742669.0,87.15357208251953,0.4539863169193268,17.59151577949524,599796.0,17114.0,1518736.0,87.13794708251953,0.3130258917808532,22.19599401950836,864063.8571428572,24783.14285714286,2071542.5714285714,87.14878736223493,0.37668182594435556,16.668132747922623,823700.1333333333,22697.3,2035000.9,87.32591069539389,0.3454524790247281,16.241438545196775,15.285863860379202,-4.270238466064447,22.70071286665887,-9.193513513513519,10.551076684822114,-3.654738794343615,13.254053018611312,-21.910750120148336,0.01223148412030639,-0.005698832212108762,0.2722902536084957,0.21077596199599308,32.92761904761905,0.41184528701949996,0.012506998296584831,2.1053746158775984e-05,0.002362659999305028,-0.000542651082039656,0.9979716978414712,1.0490029346555776,1.0904012818428552,223683.75933545077,173616.18799956108,4542.656808424054,3536.085066362466,509207.94184840866,412522.2220173013,12,0.4855619269115121
2024-09-19 00:00:00+00:00,0,0,0,4540138978,0.0007711281860985,548.8403557141622,722074.0,0.4954468607902527,29764,87.15099334716797,1842622,0.0,691480.0,20999.0,1678979.0,87.14860534667969,0.3545145094394684,14.558265447616575,602157.0,17663.0,1344849.0,87.13565063476562,0.3135532438755035,16.621171871821087,881194.8571428572,26511.85714285714,2142653.0,87.15097917829242,0.4026666283607483,92.69944472539994,822111.0333333333,22965.066666666666,2036526.1,87.32729644775391,0.3514035468300183,33.95852976382725,19.914573773949318,4.424422976803388,68.5104455641737,41.74008286108864,37.01330037796065,9.746578128731809,58.010440162108544,39.753620119417945,0.01760784740869603,0.002740147680824201,0.2577755500084862,0.21206830927265272,24.259163447001512,0.39187288989663105,0.016153060067089144,0.0007600877411822348,0.0007223401750834843,-0.0031641840271732927,0.9979809604026048,1.0718684233806746,1.1458809451218406,214470.27029672122,174343.69687339343,4403.459906522615,3757.597241574062,484462.5854797432,411695.17303882854,12,0.5070452403723943
2024-09-20 00:00:00+00:00,0,0,0,4540138978,0.0010375592831982,15.58701785405477,973842.0,0.3904603719711303,28723,87.15291595458984,2412677,0.0,722074.0,29764.0,1842622.0,87.15099334716797,0.4954468607902527,548.8403557141622,810182.0,30852.0,2146464.0,87.14321899414062,0.4286887347698211,16.316084106763203,904574.8571428572,26207.714285714286,2180683.4285714286,87.15236445835659,0.39720543367522104,92.59529240358445,827358.5666666667,23205.333333333332,2051606.8,87.32827733357747,0.3536912068724632,33.91306759126603,20.200399416427416,34.86734046648958,-6.900687151562302,-3.4975137750302365,12.402397617663286,30.93716454052975,-8.917510468106194,-21.19026219111889,0.0111276133256899,0.002206064839915811,0.25058610977957696,0.21335601984225588,33.90342570672608,0.4036352965459958,0.011905028354384629,1.6005678383532837e-05,-0.00017874581473237305,-0.005694785452259088,0.997985613817287,1.0933286891405334,1.123028862344459,213535.71841712546,176521.93076639372,4551.211578817813,3889.800254895933,488713.1633505563,417056.35506250965,12,0.6838384306521675
2024-09-21 00:00:00+00:00,0,1,0,4540138978,0.0011896891548956,16.819924275080364,1119748.0,0.3247098624706268,25318,87.1595458984375,2680526,0.0,973842.0,28723.0,2412677.0,87.15291595458984,0.3904603719711303,15.58701785405477,1271467.0,28902.0,2936230.0,87.14906311035156,0.3572222590446472,17.134488821029663,882900.7142857143,25695.714285714286,2144154.285714286,87.15386199951172,0.39256080559321804,92.55035461130596,838983.3333333334,23330.8,2080280.6333333333,87.32937164306641,0.3540320460995038,33.90100666027221,-11.93259439686598,14.982512563639695,-12.400525915161575,-11.85461128712182,-8.708582093364626,11.101734712106094,-9.101447558439213,-16.839227286646384,0.012028572324029874,0.007607254186559054,0.25485214836905834,0.21932172076305717,44.22560132706663,0.41773427389464834,0.00944515761266348,1.5021155879648354e-05,0.00011907305036526326,-0.008173449286099227,0.9979902564251575,1.0523459515910696,1.1088284518822498,218162.1221806834,184007.26835819226,4544.538863077581,3895.3997484212027,494518.00118708424,429976.74544709193,12,0.7862946094396249
