timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,visits_visits_gained,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-15 00:00:00+00:00,1,0,0,7777184257,0.2391706023123091,20.425399356418183,1737,0.0114041389897465,318265,52772,98.34358978271484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318265.0,1737.0,52772.0,98.34358978271484,0.0114041389897465,20.425399356418183,318265.0,1737.0,52772.0,98.34358978271484,0.0114041389897465,20.425399356418183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.12140391254314,6.030830159361795,0.0329145585810926,6.417713282731483e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-08-16 00:00:00+00:00,1,1,0,7777184257,0.2890185120338341,20.923949162165325,2090,0.0135242771357297,418032,202475,98.35236358642578,0.0,318265.0,1737.0,52772.0,98.34358978271484,0.0114041389897465,20.425399356418183,0.0,0.0,0.0,0.0,0.0,0.0,368148.5,1913.5,127623.5,98.34797668457031,0.0124642080627381,20.674674259291756,368148.5,1913.5,127623.5,98.34797668457031,0.0124642080627381,20.674674259291756,0.0,31.347147817070685,0.0,20.32239493379391,0.0,283.6788448419616,0.0,18.590953231010452,0.0,0.008921581701781811,0.19162354929773798,0.19162354929773798,199.9196556671449,2.0646002489183903,0.0103222110274798,5.0053343066612746e-05,0.0,0.0,1.0,1.0,1.0,70545.92223863829,70545.92223863829,249.60869375885127,249.60869375885127,105856.00646396972,105856.00646396972,2,1.0
2025-08-17 00:00:00+00:00,1,1,0,7777184257,0.2861191139282972,24.083928902943928,2023,0.0143842967227101,474961,195550,98.44703674316406,0.0,418032.0,2090.0,202475.0,98.35236358642578,0.0135242771357297,20.923949162165325,0.0,0.0,0.0,0.0,0.0,0.0,403752.6666666667,1950.0,150265.66666666666,98.38099670410156,0.0131042376160621,21.81109247384248,403752.6666666667,1950.0,150265.66666666666,98.38099670410156,0.0131042376160621,21.81109247384248,0.0,13.618335438435336,0.0,-3.2057416267942562,0.0,-3.420175330287689,0.0,6.359079885373831,0.0,0.09625915767148552,0.19645177371558808,0.19645177371558808,234.6645256916996,2.4288344217109605,0.0103451273580805,5.070706478190661e-05,0.05172348022461181,0.0,1.0,1.0,1.0,79317.92750906527,79317.92750906527,187.48066566982314,187.48066566982314,84502.95963061492,84502.95963061492,3,1.0
2025-08-18 00:00:00+00:00,1,0,0,7777184257,0.2281567276647989,28.613388379414875,1984,0.0156830474734306,419540,162674,98.4780731201172,0.0,474961.0,2023.0,195550.0,98.44703674316406,0.0143842967227101,24.083928902943928,0.0,0.0,0.0,0.0,0.0,0.0,407699.5,1958.5,153367.75,98.40526580810547,0.013748940080404224,23.511666450235577,407699.5,1958.5,153367.75,98.40526580810547,0.013748940080404224,23.511666450235577,0.0,-11.668536995669122,0.0,-1.9278299555116174,0.0,-16.812068524673997,0.0,9.028948552417004,0.0,0.031525963583955985,0.16002498398136544,0.16002498398136544,211.3551637279597,2.5790072229906253,0.01219609651144921,6.820164984927546e-05,0.04981231689453184,0.0,1.0,1.0,1.0,65242.1059567107,65242.1059567107,154.01839716951565,154.01839716951565,69274.75592342424,69274.75592342424,3,0.8833146300433088
2025-08-19 00:00:00+00:00,1,0,0,7777184257,0.2094120394884664,23.561165014902752,1900,0.0149989370256662,418966,164391,98.50245666503906,0.0,419540.0,1984.0,162674.0,98.4780731201172,0.0156830474734306,28.613388379414875,0.0,0.0,0.0,0.0,0.0,0.0,409952.8,1946.8,155572.4,98.4247039794922,0.01399893946945662,23.521566163169012,409952.8,1946.8,155572.4,98.4247039794922,0.01399893946945662,23.521566163169012,0.0,-0.1368165133241117,0.0,-4.233870967741938,0.0,1.0554852035359108,0.0,-4.362101491584358,0.0,0.024760379797550414,0.13837088811838066,0.13837088811838066,220.39242503945292,2.5485790062776776,0.011557740036011484,5.62363265242913e-05,0.04434432983397888,0.04434432983397888,1.0,1.0,1.0,56725.53302261689,56725.53302261689,135.92534715791606,135.92534715791606,60195.899065467915,60195.899065467915,3,0.8821061097648017
2025-08-20 00:00:00+00:00,1,0,0,7777184257,0.0658910729458213,24.41174872716268,2289,0.0175949074327945,142893,176371,98.50453186035156,415.0,418966.0,1900.0,164391.0,98.50245666503906,0.0149989370256662,23.561165014902752,0.0,0.0,0.0,0.0,0.0,0.0,365442.8333333333,2003.8333333333333,159038.83333333334,98.43800862630208,0.014598267463346267,23.669929923834626,365442.8333333333,2003.8333333333333,159038.83333333334,98.43800862630208,0.014598267463346267,23.669929923834626,0.0,-65.89389115107193,0.0,20.47368421052631,0.0,7.2875035737966165,0.0,17.307695889955887,0.0,0.002106744727758958,0.3290640886831851,0.3290640886831851,62.39868995633188,0.810179620347901,0.012978250515954913,0.00017083816484360912,0.03674360002790875,0.03674360002790875,1.0,1.0,1.0,120254.11291663443,120254.11291663443,185.1954823063097,185.1954823063097,54506.27460913713,54506.27460913713,3,0.30085206995942826
2025-08-21 00:00:00+00:00,1,0,0,7777184257,0.0699231310291033,32.8650484085083,2084,0.0167206265032291,164407,176810,98.51403045654295,368.0,142893.0,2289.0,176371.0,98.50453186035156,0.0175949074327945,24.41174872716268,0.0,0.0,0.0,0.0,0.0,0.0,336723.4285714286,2015.2857142857142,161577.57142857142,98.44886888776507,0.014901461611900957,24.983518278788008,336723.4285714286,2015.2857142857142,161577.57142857142,98.44886888776507,0.014901461611900957,24.983518278788008,0.0,15.056020938744386,0.0,-8.955875928352997,0.0,0.24890713325886882,0.0,-4.968943047326646,0.0,0.0096428012112737,0.3964928999045011,0.3964928999045011,78.85227817745803,0.9298459937447331,0.011786596987743975,0.0001998993261186092,0.031109946114680365,0.031109946114680365,1.0,1.0,1.0,133508.44866007185,133508.44866007185,171.75342236834206,171.75342236834206,50208.51170487976,50208.51170487976,3,0.34614842060716566
2025-08-22 00:00:00+00:00,1,0,0,7777184257,0.072482115984534,24.978068749109905,2596,0.0179383661597967,182838,181912,98.52203369140624,262.0,164407.0,2084.0,176810.0,98.51403045654295,0.0167206265032291,32.8650484085083,318265.0,1737.0,52772.0,98.34358978271484,0.0114041389897465,20.425399356418183,317376.71428571426,2138.0,180026.14285714287,98.47436087472099,0.015834922636193842,25.63389962060111,317487.75,2087.875,164119.375,98.45801448822021,0.015281074680387925,24.982837087578243,-42.55164721222881,11.210593222916309,49.45308002302822,24.568138195777344,244.71310543470022,2.885583394604385,57.29697942058709,7.28285902643917,0.18144945602012186,0.00812395435065838,0.4253676643249486,0.4253676643249486,70.4035425490951,1.0050848482516368,0.014270557904053037,0.0001366123679800803,0.02390916006906031,0.02683703104655442,1.0001660239299537,0.9996502677212404,1.0362440448325756,135049.0226692832,135049.0226692832,259.68961555782596,259.68961555782596,47036.71931568084,47036.71931568084,3,0.38495371198898437
2025-08-23 00:00:00+00:00,1,1,0,7777184257,0.0791768783813617,26.712055842081707,2615,0.0169760826975107,216138,207703,98.49800872802734,223.0,182838.0,2596.0,181912.0,98.52203369140624,0.0179383661597967,24.978068749109905,418032.0,2090.0,202475.0,98.35236358642578,0.0135242771357297,20.923949162165325,288534.71428571426,2213.0,180773.0,98.4951673235212,0.016328037716448272,26.460772003446305,306226.6666666667,2146.4444444444443,168962.0,98.46245829264323,0.015469408904512677,25.174972504745295,-48.29630267539328,18.2128441571227,25.119617224880386,0.7318952234206533,2.5820471663168254,14.177734289106825,25.52303185699809,-5.3643874459573855,0.14808504472145767,-0.02438537094568982,0.4270238044246284,0.4270238044246284,82.62155963302752,1.040605862188499,0.012590031968570657,0.00012358739441785938,0.009014674595422281,0.02145220438639308,1.0003321979914492,0.942225957740609,1.0555049528547351,130766.07621627254,130766.07621627254,299.80373209447845,299.80373209447845,46335.25111079037,46335.25111079037,3,0.455064731630597
2025-08-24 00:00:00+00:00,1,1,0,7777184257,0.0766383575884299,24.90406107902527,2286,0.0157429128885269,224497,189214,98.52197265625,210.0,216138.0,2615.0,207703.0,98.49800872802734,0.0169760826975107,26.712055842081707,474961.0,2023.0,195550.0,98.44703674316406,0.0143842967227101,24.083928902943928,252754.14285714287,2250.5714285714284,179867.85714285713,98.50587245396206,0.016522125740136385,26.5779337428865,298053.7,2160.4,170987.2,98.46840972900391,0.0154967593029141,25.14788136217329,-52.733592863414046,3.867436545170211,13.000494315373201,-12.581261950286803,-3.2400920480695428,-8.901652840835228,9.445134454657067,-7.264160000614428,0.07611799762083926,0.024329352980956287,0.4226329784207253,0.4226329784207253,98.16222125054657,1.1864651322569564,0.01208149459609439,0.00011093221801096344,0.005010877336775434,0.018847841205013618,1.0003804542498578,0.848015451098721,1.0661665072793296,125967.32296031732,125967.32296031732,286.0820395154742,286.0820395154742,44152.227976500675,44152.227976500675,3,0.47266407136585953
