timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,daily_Estimated Revenue,visits_visits_gained,ratings_like_ratio,daily_rpv,ccu_playing,platform_platform_share,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-09-14 00:00:00+00:00,0,1,0,5272606478,16.78158892755923,134991.0,80164,88.93497467041016,0.0194663139804068,555,0.0089113991707563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134991.0,555.0,80164.0,88.93497467041016,0.0089113991707563,16.78158892755923,134991.0,555.0,80164.0,88.93497467041016,0.0089113991707563,16.78158892755923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.78956834532374,1.6839144264953534,0.006923220856982474,0.0001243154329705407,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-09-15 00:00:00+00:00,0,1,0,5272606478,12.002946456273396,351816.0,81354,88.92789459228516,0.0501846829084307,555,0.0081595331430435,0.0,134991.0,555.0,80164.0,88.93497467041016,0.0089113991707563,16.78158892755923,0.0,0.0,0.0,0.0,0.0,0.0,243403.5,555.0,80759.0,88.93143463134766,0.008535466156899901,14.392267691916313,243403.5,555.0,80759.0,88.93143463134766,0.008535466156899901,14.392267691916313,0.0,160.6218192323933,0.0,0.0,0.0,1.4844568634299726,0.0,-8.43712657581458,0.0,-0.007960960410946516,0.6298940969656277,0.6298940969656277,632.7625899280575,4.324454551041731,0.0068219531682133855,3.41170166770605e-05,0.0,0.0,1.0,1.0,1.0,153318.42783077317,153318.42783077317,0.0,0.0,841.4570696119915,841.4570696119915,2,1.0
2024-09-16 00:00:00+00:00,0,0,0,5272606478,11.752393444379171,208403.0,45662,88.94591522216797,0.0294325259716462,488,0.0075456458143889,0.0,351816.0,555.0,81354.0,88.92789459228516,0.0081595331430435,12.002946456273396,0.0,0.0,0.0,0.0,0.0,0.0,231736.66666666666,532.6666666666666,69060.0,88.93626149495442,0.008205526042729568,13.512309609403934,231736.66666666666,532.6666666666666,69060.0,88.93626149495442,0.008205526042729568,13.512309609403934,0.0,-40.76363781067376,0.0,-12.072072072072071,0.0,-43.872458637559305,0.0,-7.5235594720021055,0.0,0.020264316349138944,0.47588374703313585,0.47588374703313585,426.18200408997956,4.563935790464928,0.010686989466307514,5.6392360244425116e-05,0.005470275878903846,0.0,1.0,1.0,1.0,110279.71325830212,110279.71325830212,38.68246803570491,38.68246803570491,20271.99615232797,20271.99615232797,2,0.5923636218932624
2024-09-17 00:00:00+00:00,0,0,0,5272606478,12.4707438427469,175201.0,40634,88.97019958496094,0.0245959625330766,376,0.0072601060383021,0.0,208403.0,488.0,45662.0,88.94591522216797,0.0075456458143889,11.752393444379171,0.0,0.0,0.0,0.0,0.0,0.0,217602.75,493.5,61953.5,88.94474601745605,0.0079691710416227,13.251918167739674,217602.75,493.5,61953.5,88.94474601745605,0.0079691710416227,13.251918167739674,0.0,-15.931632462104673,0.0,-22.95081967213115,0.0,-11.011344224957298,0.0,-3.784166168286096,0.0,0.027302392394656927,0.4337073758726074,0.4337073758726074,464.7241379310345,4.311578688322874,0.009253106927525533,7.117923221622413e-05,0.01236953735349863,0.0,1.0,1.0,1.0,94375.91768516302,94375.91768516302,84.46103638167521,84.46103638167521,21816.93350740811,21816.93350740811,2,0.4979904268140164
2024-09-18 00:00:00+00:00,0,0,0,5272606478,11.770991802215576,168890.0,33733,88.96703338623047,0.0235496258028622,371,0.0068505220115184,0.0,175201.0,376.0,40634.0,88.97019958496094,0.0072601060383021,12.4707438427469,0.0,0.0,0.0,0.0,0.0,0.0,207860.2,469.0,56309.4,88.94920349121094,0.007745441235601841,12.955732894634854,207860.2,469.0,56309.4,88.94920349121094,0.007745441235601841,12.955732894634854,0.0,-3.602148389563986,0.0,-1.3297872340425565,0.0,-16.98331446571837,0.0,-5.641570861676948,0.0,-0.003558718250873394,0.40693427947932687,0.40693427947932687,454.005376344086,5.006521610244857,0.010997806367463094,6.969579078941789e-05,0.010642242431637295,0.010642242431637295,1.0,1.0,1.0,84585.44071942878,84585.44071942878,91.38654167873953,91.38654167873953,22721.427437553302,22721.427437553302,2,0.4800520726743525
2024-09-19 00:00:00+00:00,0,0,0,5272606478,11.149676402409872,168700.0,40475,88.97191619873047,0.0233954365401512,415,0.0068271197378635,0.0,168890.0,371.0,33733.0,88.96703338623047,0.0068505220115184,11.770991802215576,0.0,0.0,0.0,0.0,0.0,0.0,201333.5,460.0,53670.333333333336,88.95298894246419,0.007592387652645451,12.654723479264023,201333.5,460.0,53670.333333333336,88.95298894246419,0.007592387652645451,12.654723479264023,0.0,-0.11249925987328879,0.0,11.85983827493262,0.0,19.98636350161562,0.0,-0.3416129984773697,0.0,0.0054883391231053125,0.38407031130321856,0.38407031130321856,405.52884615384613,4.16790196659749,0.010252989425832592,6.609134742775604e-05,0.009325953892311745,0.009325953892311745,1.0,1.0,1.0,77326.22002076656,77326.22002076656,84.65931726632337,84.65931726632337,21326.008746754906,21326.008746754906,2,0.4795120176455875
2024-09-20 00:00:00+00:00,0,0,0,5272606478,11.218620300292969,191640.0,45708,89.00038146972656,0.0264256545331884,444,0.0067665120586752,0.0,168700.0,415.0,40475.0,88.97191619873047,0.0068271197378635,11.149676402409872,0.0,0.0,0.0,0.0,0.0,0.0,199948.7142857143,457.7142857142857,52532.857142857145,88.95975930350167,0.007474405424935415,12.449565882268159,199948.7142857143,457.7142857142857,52532.857142857145,88.95975930350167,0.007474405424935415,12.449565882268159,0.0,13.598103141671603,0.0,6.987951807228909,0.0,12.928968499073502,0.0,-0.8877488826242064,0.0,0.03199354606739924,0.3535100305267689,0.3535100305267689,430.65168539325845,4.192609770504714,0.009713623137675294,5.8539771240459866e-05,0.010906491960803292,0.010906491960803292,1.0,1.0,1.0,70683.87609093105,70683.87609093105,77.51927563669629,77.51927563669629,19699.13294562793,19699.13294562793,2,0.544716556381745
2024-09-21 00:00:00+00:00,0,1,0,5272606478,10.89257844289144,280885.0,66042,89.0414810180664,0.0384345933236661,496,0.0071967421099543,0.0,191640.0,444.0,45708.0,89.00038146972656,0.0067665120586752,11.218620300292969,134991.0,555.0,80164.0,88.93497467041016,0.0089113991707563,16.78158892755923,220790.7142857143,449.2857142857143,50515.42857142857,88.97497449602399,0.007229454416249414,11.608278670172762,210065.75,462.5,54221.5,88.96997451782227,0.007439697510562775,12.25494245234607,108.07683475194642,46.56908787309539,-10.630630630630634,11.711711711711704,-17.61638640786388,44.48674192701496,-19.241165477457557,6.358224851273442,0.11975755100954721,0.046179069865925904,0.3400049489942547,0.3400049489942547,565.1609657947686,4.253062398740215,0.0075102584679678395,3.877935690241393e-05,0.016121728079660377,0.014081137520934683,1.0000561984897582,1.0510552733404388,0.9717403706246308,71423.39461418986,71423.39461418986,73.03423854604085,73.03423854604085,18852.888585041816,18852.888585041816,2,0.798386088182459
2024-09-22 00:00:00+00:00,0,1,0,5272606478,11.157212336858114,308154.0,65916,89.08525848388672,0.0417465069657673,447,0.0073740896768867,0.0,280885.0,496.0,66042.0,89.0414810180664,0.0071967421099543,10.89257844289144,351816.0,555.0,81354.0,88.92789459228516,0.0081595331430435,12.002946456273396,214553.2857142857,433.85714285714283,48310.0,88.99745505196708,0.007117248206798442,11.487459510256292,220964.44444444444,460.77777777777777,55520.88888888889,88.98278384738498,0.007432407751265433,12.132972439514074,-12.410464561020529,9.708243587233213,-19.45945945945946,-9.879032258064512,-18.976325687735084,-0.1907876805669173,-9.626083409274944,2.4642756989596615,0.1769567269336969,0.04916524896012575,0.33662400684832366,0.33662400684832366,687.84375,4.6748790145182575,0.006781255214891454,3.620649457856635e-05,0.021212169102267066,0.017542394002274846,1.0001648768890763,0.9709855640065629,0.9575965750246503,74381.9366599027,74381.9366599027,68.51236709123721,68.51236709123721,18060.957487384523,18060.957487384523,2,0.8758953543897947
2024-09-23 00:00:00+00:00,0,0,0,5272606478,11.063785155614218,163189.0,38510,89.08369445800781,0.0219713662893677,412,0.0070109809748828,0.0,308154.0,447.0,65916.0,89.08525848388672,0.0073740896768867,11.157212336858114,208403.0,488.0,45662.0,88.94591522216797,0.0075456458143889,11.752393444379171,208094.14285714287,423.0,47288.28571428572,89.0171377999442,0.007040867515440428,11.389086897575583,215186.9,455.9,53819.8,88.99287490844726,0.0073902650736271695,12.026053711124089,-21.6954650364918,-47.04303692309689,-15.573770491803273,-7.829977628635342,-15.662914458411803,-41.5771588081801,-7.085739944042158,-4.924115625309322,0.15490226335375112,-0.001755650604295944,0.33677156891243537,0.33677156891243537,395.13075060532685,4.23746462049804,0.010698242060709927,6.779695542382632e-05,0.023089272635322216,0.018262319853812787,1.0002726385850764,0.9670390848938428,0.9527219179953913,72468.82992240334,72468.82992240334,66.4102569052569,66.4102569052569,17857.518770036957,17857.518770036957,2,0.46384757941651317
