timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,session_session_length,platform_platform_share,ccu_playing,daily_Estimated Revenue,visits_visits_gained,ratings_like_ratio,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-11-08 00:00:00+00:00,0,0,0,6593476325,0.0583051292811517,3.457046071688334,0.0101940724998712,735,93834.0,103912,82.89542388916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93834.0,735.0,103912.0,82.89542388916016,0.0101940724998712,3.457046071688334,93834.0,735.0,103912.0,82.89542388916016,0.0101940724998712,3.457046071688334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.49184782608695,0.9030053987470288,0.007073224716830425,3.684175490689331e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-11-09 00:00:00+00:00,0,1,0,6593476325,0.2101369235278439,3.0592216650644937,0.0121132861822843,838,383044.0,337771,82.3268051147461,389.0,93834.0,735.0,103912.0,82.89542388916016,0.0101940724998712,3.457046071688334,0.0,0.0,0.0,0.0,0.0,0.0,238439.0,786.5,220841.5,82.61111450195312,0.011153679341077749,3.258133868376414,238439.0,786.5,220841.5,82.61111450195312,0.011153679341077749,3.258133868376414,0.0,308.2145064688706,0.0,14.013605442176868,0.0,225.05485410732157,0.0,18.82676116377775,0.0,-0.6859471219718527,0.8576715729681865,0.8576715729681865,456.54827175208584,1.1340312400080528,0.0024809634901649634,7.986585558001002e-06,0.0,0.0,1.0,1.0,1.0,204502.35218696142,204502.35218696142,72.8319984622144,72.8319984622144,165363.28474150482,165363.28474150482,2,1.0
2024-11-10 00:00:00+00:00,0,1,0,6593476325,0.1417429501007646,3.1820279359817505,0.0087357992306351,590,303751.0,259620,81.95964050292969,297.0,383044.0,838.0,337771.0,82.3268051147461,0.0121132861822843,3.0592216650644937,0.0,0.0,0.0,0.0,0.0,0.0,260209.66666666666,721.0,233767.66666666666,82.39395650227864,0.010347719304263535,3.2327652242448592,260209.66666666666,721.0,233767.66666666666,82.39395650227864,0.010347719304263535,3.2327652242448592,0.0,-20.700755004646986,0.0,-29.59427207637232,0.0,-23.137273478184927,0.0,-27.882499437590923,0.0,-0.4459842833748451,0.5743083958419843,0.5743083958419843,513.9610829103215,1.1699785456492349,0.0022725434383197044,1.04757431588327e-05,-0.4678916931152386,0.0,1.0,1.0,1.0,149440.5962459108,149440.5962459108,124.591331961738,124.591331961738,119053.62373457321,119053.62373457321,2,0.7929924499535301
2024-11-11 00:00:00+00:00,0,0,1,6593476325,0.0893632706264999,3.4818780223528543,0.0119207557290792,701,208448.0,162268,80.78864288330078,296.0,303751.0,590.0,259620.0,81.95964050292969,0.0087357992306351,3.1820279359817505,0.0,0.0,0.0,0.0,0.0,0.0,247269.25,716.0,215892.75,81.99262809753418,0.01074097841046745,3.295043423771858,247269.25,716.0,215892.75,81.99262809753418,0.01074097841046745,3.295043423771858,0.0,-31.375369957629772,0.0,18.813559322033903,0.0,-37.49788151914336,0.0,36.45867326340271,0.0,-1.4287490921669477,0.5044391688643197,0.5044391688643197,296.9344729344729,1.2845830072287374,0.004319987181778405,1.6703740590517845e-05,-0.668750762939464,0.0,1.0,1.0,1.0,124732.29495570369,124732.29495570369,102.21871974676002,102.21871974676002,103572.32963610503,103572.32963610503,2,0.544188135044538
2024-11-12 00:00:00+00:00,0,0,0,6593476325,0.0780768785461111,3.650720765193304,0.0081520900130271,515,195444.0,148343,79.4857177734375,263.0,208448.0,701.0,162268.0,80.78864288330078,0.0119207557290792,3.4818780223528543,0.0,0.0,0.0,0.0,0.0,0.0,236904.2,675.8,202382.8,81.49124603271484,0.01022320073097938,3.366178892056147,236904.2,675.8,202382.8,81.49124603271484,0.01022320073097938,3.366178892056147,0.0,-6.238486337120053,0.0,-26.533523537803138,0.0,-8.58148248576429,0.0,-31.614318770570137,0.0,-1.612757763173911,0.46634788888871537,0.46634788888871537,378.7674418604651,1.3175052580488593,0.003471660464865448,1.8679018471658544e-05,-0.8357574462890698,-0.8357574462890698,1.0,1.0,1.0,110479.77353887001,110479.77353887001,126.16140455781236,126.16140455781236,94646.78729201535,94646.78729201535,2,0.510239032591556
2024-11-13 00:00:00+00:00,0,0,0,6593476325,0.0682696588439323,4.170581628878911,0.0084438305348157,479,179973.0,117339,78.5152359008789,250.0,195444.0,515.0,148343.0,79.4857177734375,0.0081520900130271,3.650720765193304,0.0,0.0,0.0,0.0,0.0,0.0,227415.66666666666,643.0,188208.83333333334,80.99524434407552,0.009926639031618766,3.500246014859941,227415.66666666666,643.0,188208.83333333334,80.99524434407552,0.009926639031618766,3.500246014859941,0.0,-7.915822435070918,0.0,-6.9902912621359174,0.0,-20.90021099748556,0.0,3.5787205651850895,0.0,-1.2209512598537642,0.44637491490553005,0.44637491490553005,374.94375,1.5337736492244758,0.004082154423044145,2.3173245184742856e-05,-0.9027199881417324,-0.9027199881417324,1.0,1.0,1.0,101512.64885651771,101512.64885651771,138.5222003867972,138.5222003867972,91497.6473039972,91497.6473039972,2,0.4698494167771849
2024-11-14 00:00:00+00:00,0,0,0,6593476325,0.0480454033434471,6.3728903169217315,0.0065582660026848,372,131229.0,82301,78.04425811767578,249.0,179973.0,479.0,117339.0,78.5152359008789,0.0084438305348157,4.170581628878911,0.0,0.0,0.0,0.0,0.0,0.0,213674.7142857143,604.2857142857143,173079.14285714287,80.57367488316127,0.0094454428846282,3.9106237722973396,213674.7142857143,604.2857142857143,173079.14285714287,80.57367488316127,0.0094454428846282,3.9106237722973396,0.0,-27.084062609391413,0.0,-22.338204592901878,0.0,-29.860489692259186,0.0,-22.3306771062768,0.0,-0.5998552736919849,0.4658678715577208,0.4658678715577208,351.8203753351206,1.5944813005759277,0.004519938762119997,4.856275483442606e-05,-0.8803770882742706,-0.8803770882742706,1.0,1.0,1.0,99544.18434998984,99544.18434998984,162.73261738786346,162.73261738786346,92622.18392917282,92622.18392917282,2,0.3425951065673917
2024-11-15 00:00:00+00:00,0,0,0,6593476325,0.0504793110902299,4.460298140843709,0.0053374175913631,355,142147.0,85365,77.6596908569336,249.0,131229.0,372.0,82301.0,78.04425811767578,0.0065582660026848,6.3728903169217315,93834.0,735.0,103912.0,82.89542388916016,0.0101940724998712,3.457046071688334,220576.57142857142,550.0,170429.57142857142,79.82571302141461,0.008751635040555613,4.053945496462393,204733.75,573.125,162114.875,80.20942687988281,0.008931939722970062,3.979333068365636,51.48773365730972,8.31980735965374,-51.70068027210885,-4.5698924731182755,-17.848756640234043,3.7229195271017312,-47.64194985438316,-18.615414666344943,-6.31607003931518,-0.4927553544840313,0.46678526123991826,0.46678526123991826,399.28932584269666,1.6651477168896283,0.004158564299604058,3.137784661651032e-05,-0.8609112330845379,-0.8297500610351555,0.995216100234168,1.0773825587064734,0.9798134909093975,95566.69697837811,95566.69697837811,174.54711807581194,174.54711807581194,91186.82802347136,91186.82802347136,2,0.37109835945739916
2024-11-16 00:00:00+00:00,0,1,0,6593476325,0.0629689166547507,4.425141056378682,0.0046225930564105,313,183570.0,110635,77.17679595947266,258.0,142147.0,355.0,85365.0,77.6596908569336,0.0053374175913631,4.460298140843709,383044.0,838.0,337771.0,82.3268051147461,0.0121132861822843,3.0592216650644937,192080.2857142857,475.0,137981.57142857142,79.08999742780414,0.007681536022573643,4.2490768380787065,202382.22222222222,544.2222222222222,156394.88888888888,79.87246788872613,0.008453123426685666,4.028867289255974,-52.076001712596984,29.140959710721994,-62.6491646778043,-11.830985915492953,-67.24555986156301,29.60229602296023,-61.83865396352106,-13.392703919388172,-6.255567853137767,-0.6218089360547907,0.44308429563839563,0.44308429563839563,584.6178343949044,1.6592248454390977,0.0028290972197114865,2.4105883044591368e-05,-0.7874249049595349,-0.7830004374186227,0.9902035021377817,0.9490966331191647,0.9087216209719358,89672.38438306659,89672.38438306659,184.86939834500583,184.86939834500583,87006.44846424377,87006.44846424377,2,0.47923998287403013
2024-11-17 00:00:00+00:00,0,1,0,6593476325,0.0560733744070462,4.7734774351119995,0.0050227548927068,341,169116.0,95426,76.80672454833984,278.0,183570.0,313.0,110635.0,77.17679595947266,0.0046225930564105,4.425141056378682,303751.0,590.0,259620.0,81.95964050292969,0.0087357992306351,3.1820279359817505,172846.7142857143,439.42857142857144,114525.28571428571,78.35386657714844,0.007151101117155314,4.476426766525885,199055.6,523.9,150298.0,79.5658935546875,0.008110086573287779,4.103328303841577,-44.32413391231634,-7.8738355940513145,-42.20338983050848,8.94568690095847,-63.24397195901703,-13.747005920368782,-42.503773723498895,8.656652909158113,-6.28713830730584,-0.4795112397865564,0.42800050915466337,0.42800050915466337,494.49122807017545,1.7722028356754378,0.0035734121370262087,2.8225887611014858e-05,-0.6221122741699165,-0.7366772275982482,0.9847670035062698,0.86833384383918,0.8817539803716672,85195.89815008701,85195.89815008701,185.7665500328601,185.7665500328601,84265.75781814737,84265.75781814737,2,0.44150541452156933
