timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,ratings_like_ratio,platform_platform_share,visits_visits_gained,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2020-02-20 00:00:00+00:00,0,0,0,1037979853,21849,88.06043243408203,3.613363981246948,858072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21849.0,858072.0,88.06043243408203,3.613363981246948,0.0,0.0,21849.0,858072.0,88.06043243408203,3.613363981246948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02546286854381853,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2020-02-21 00:00:00+00:00,0,0,0,1037979853,30735,88.14610290527344,4.438536167144775,1046957,0.0,0.0,0.0,0.0,0.0,21849.0,858072.0,88.06043243408203,3.613363981246948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26292.0,952514.5,88.10326766967773,4.025950074195862,0.0,0.0,26292.0,952514.5,88.10326766967773,4.025950074195862,0.0,0.0,0.0,0.0,40.670053549361526,0.0,22.012721543180525,0.0,22.83667491513175,0.0,0.09728599874356814,0.0,0.0,0.0,0.0,0.029356478483377555,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6283.350857623661,6283.350857623661,133561.86436442102,133561.86436442102,0,0.0
2020-02-22 00:00:00+00:00,0,1,0,1037979853,40775,88.43331146240234,3.810284614562988,1581306,0.0,0.0,0.0,0.0,0.0,30735.0,1046957.0,88.14610290527344,4.438536167144775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31119.666666666668,1162111.6666666667,88.21328226725261,3.954061587651571,0.0,0.0,31119.666666666668,1162111.6666666667,88.21328226725261,3.954061587651571,0.0,0.0,0.0,0.0,32.666341304701476,0.0,51.03829479147664,0.0,-14.15447636164987,0.0,0.3258323937900709,0.0,0.0,0.0,0.0,0.025785631759044893,0.0,0.18643951416015658,0.0,1.0,0.0,1.0,0.0,0.0,9468.86188162724,9468.86188162724,375116.3854463482,375116.3854463482,0,0.0
2020-02-23 00:00:00+00:00,0,1,0,1037979853,37281,88.73285675048828,3.590411424636841,1581208,0.0,0.0,0.0,0.0,0.0,40775.0,1581306.0,88.43331146240234,3.810284614562988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32660.0,1266885.75,88.34317588806152,3.863149046897888,0.0,0.0,32660.0,1266885.75,88.34317588806152,3.863149046897888,0.0,0.0,0.0,0.0,-8.568976088289393,0.0,-0.006197408977137719,0.0,-5.77051879761914,0.0,0.3387244954784929,0.0,0.0,0.0,0.0,0.023577528334331514,0.0,0.23044815063476226,0.0,1.0,0.0,1.0,0.0,0.0,8322.4638178847,8322.4638178847,371104.61585234513,371104.61585234513,0,0.0
2020-02-24 00:00:00+00:00,0,0,0,1037979853,29187,88.95877075195312,3.664457321166992,1360388,0.0,0.0,0.0,0.0,0.0,37281.0,1581208.0,88.73285675048828,3.590411424636841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31965.4,1285586.2,88.46629486083984,3.823410701751709,0.0,0.0,31965.4,1285586.2,88.46629486083984,3.823410701751709,0.0,0.0,0.0,0.0,-21.7107910195542,0.0,-13.965272121061867,0.0,2.062323443549108,0.0,0.25460016699350163,0.0,0.0,0.0,0.0,0.02145489268143156,0.0,0.2383430480957036,0.2383430480957036,1.0,0.0,1.0,0.0,0.0,7372.916573514174,7372.916573514174,324094.9106067542,324094.9106067542,0,0.0
2020-02-25 00:00:00+00:00,0,0,0,1037979853,25334,88.98927307128906,3.1916167736053467,1297945,0.0,0.0,0.0,0.0,0.0,29187.0,1360388.0,88.95877075195312,3.664457321166992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30860.166666666668,1287646.0,88.55345789591472,3.7181117137273154,0.0,0.0,30860.166666666668,1287646.0,88.55345789591472,3.7181117137273154,0.0,0.0,0.0,0.0,-13.20108267379313,0.0,-4.59008753385064,0.0,-12.903426240780004,0.0,0.03428815290287268,0.0,0.0,0.0,0.0,0.019518531587600717,0.0,0.21090720040458133,0.21090720040458133,1.0,0.0,1.0,0.0,0.0,7128.615810005942,7128.615810005942,289923.20624813734,289923.20624813734,0,0.0
2020-02-26 00:00:00+00:00,0,0,0,1037979853,24709,89.03500366210938,3.0935864448547363,1110704,0.0,0.0,0.0,0.0,0.0,25334.0,1297945.0,88.98927307128906,3.1916167736053467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29981.428571428572,1262368.5714285714,88.62225014822823,3.6288938181740895,0.0,0.0,29981.428571428572,1262368.5714285714,88.62225014822823,3.6288938181740895,0.0,0.0,0.0,0.0,-2.467040341043658,0.0,-14.425957956616031,0.0,-3.0714943461044752,0.0,0.0513888800773632,0.0,0.0,0.0,0.0,0.02224623099742956,0.0,0.18341118948800272,0.18341118948800272,1.0,0.0,1.0,0.0,0.0,6910.347358783611,6910.347358783611,272981.4280018924,272981.4280018924,0,0.0
2020-02-27 00:00:00+00:00,0,0,0,1037979853,20916,89.10453796386719,2.593949317932129,977653,0.0,0.0,0.0,0.0,0.0,24709.0,1110704.0,89.03500366210938,3.0935864448547363,0.0,0.0,21849.0,858072.0,88.06043243408203,3.613363981246948,0.0,0.0,29848.14285714286,1279451.5714285714,88.77140808105469,3.4832631519862582,0.0,0.0,28848.25,1226779.125,88.6825361251831,3.4995257556438446,0.0,0.0,0.0,-4.27021831662776,-15.350681937755473,13.936010031792211,-11.978979097941489,-28.21234363893298,-16.150740760892766,1.1856693192674461,0.07809771314404301,0.0,0.0,0.0,0.0,0.021394071931378586,0.0,0.1548252105712922,0.16246477762857975,1.001002135930643,0.0,0.9953529121392066,0.0,0.0,7155.683550257695,7155.683550257695,272040.7656533628,272040.7656533628,0,0.0
2020-02-28 00:00:00+00:00,0,0,0,1037979853,22033,89.13953399658203,2.44671368598938,991861,0.0,0.0,0.0,0.0,0.0,20916.0,977653.0,89.10453796386719,2.593949317932129,0.0,0.0,30735.0,1046957.0,88.14610290527344,4.438536167144775,0.0,0.0,28605.0,1271580.7142857143,88.91332680838448,3.198717083249773,0.0,0.0,28091.0,1200677.111111111,88.73331366644965,3.3825466367933483,0.0,0.0,0.0,-28.31299821050919,5.34040925607191,-5.262489290391104,1.4532763669727444,-44.87566184318593,-5.676118300573574,1.12702780788414,0.03927525299445289,0.0,0.0,0.0,0.0,0.022213775706701133,0.0,0.10493796212332707,0.14419186909993545,1.002028698518028,0.0,0.9456535051005696,0.0,0.0,7068.5344485260875,7068.5344485260875,266246.5813238005,266246.5813238005,0,0.0
2020-02-29 00:00:00+00:00,0,1,0,1037979853,28663,89.04188537597656,1.964789628982544,1314992,0.0,0.0,0.0,0.0,0.0,22033.0,991861.0,89.13953399658203,2.44671368598938,0.0,0.0,40775.0,1581306.0,88.43331146240234,3.810284614562988,0.0,0.0,26874.714285714286,1233535.857142857,89.00026593889508,2.935074942452567,0.0,0.0,28148.2,1212108.6,88.76417083740235,3.240770936012268,0.0,0.0,0.0,-29.704475781729002,30.09122679616938,-16.841395656501657,32.578254412664684,-48.43457043935572,-19.696790015377708,0.6881727072189925,-0.10954580557849258,0.0,0.0,0.0,0.0,0.021797074204957745,0.0,0.050138473510748204,0.12169799804687731,1.002659801801396,0.0,0.9056718294518351,0.0,0.0,6666.732496341651,6666.732496341651,253609.28851119697,253609.28851119697,0,0.0
