timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,daily_Estimated Revenue,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-03-06 00:00:00+00:00,0,0,0,5422546686,1.2200754198656052,95.06539916992188,484100.0,2971,0.0694248899817466,0.0,103147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484100.0,2971.0,103147.0,95.06539916992188,0.0694248899817466,0.0,484100.0,2971.0,103147.0,95.06539916992188,0.0694248899817466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.88694481830416,4.693256291930043,0.028803272966998875,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-03-07 00:00:00+00:00,0,0,0,5422546686,1.531713354806326,95.12944793701172,831582.0,2756,0.0608969405293464,0.0,98109,0.0,484100.0,2971.0,103147.0,95.06539916992188,0.0694248899817466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657841.0,2863.5,100628.0,95.0974235534668,0.0651609152555465,0.0,657841.0,2863.5,100628.0,95.0974235534668,0.0651609152555465,0.0,0.0,71.77897128692419,0.0,-7.236620666442272,0.0,-4.884291351178415,0.0,-12.283706109786275,0.0,0.06737337417093148,0.37350496326660076,0.37350496326660076,301.62568008705114,8.476016715931097,0.028090918356946284,0.0,0.0,0.0,1.0,1.0,1.0,245706.87854026392,245706.87854026392,152.02795795510772,152.02795795510772,3562.4039636178263,3562.4039636178263,2,1.0
2024-03-08 00:00:00+00:00,0,0,0,5422546686,1.0707854799987575,95.37075805664062,735710.0,2764,0.0508478954434394,0.0,96893,0.0,831582.0,2756.0,98109.0,95.12944793701172,0.0608969405293464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683797.3333333334,2830.3333333333335,99383.0,95.18853505452473,0.0603899086515108,0.0,683797.3333333334,2830.3333333333335,99383.0,95.18853505452473,0.0603899086515108,0.0,0.0,-11.528869071240122,0.0,0.2902757619738683,0.0,-1.239437768196594,0.0,-16.501724057983402,0.0,0.25366500580208395,0.26245122382016794,0.26245122382016794,266.07956600361666,7.592936611142073,0.028526018122897186,0.0,0.15267944335937728,0.0,1.0,1.0,1.0,179463.44697830066,179463.44697830066,121.88655928088765,121.88655928088765,3315.936670082829,3315.936670082829,2,0.8847113092875988
2024-03-09 00:00:00+00:00,0,1,0,5422546686,1.1219504082991327,96.29557037353516,956414.0,4023,0.0537575222551822,0.0,133501,0.0,735710.0,2764.0,96893.0,95.37075805664062,0.0508478954434394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751951.5,3128.5,107912.5,95.46529388427734,0.05873181205242865,0.0,751951.5,3128.5,107912.5,95.46529388427734,0.05873181205242865,0.0,0.0,29.99877669190305,0.0,45.54992764109986,0.0,37.781883108170874,0.0,5.7222167925894185,0.0,0.9697021767880676,0.26614537123599236,0.26614537123599236,237.67743538767397,7.164042486254887,0.03013438000928825,0.0,0.3931823730468592,0.0,1.0,1.0,1.0,200128.4111189613,200128.4111189613,604.5805708643527,604.5805708643527,17272.514920146015,17272.514920146015,3,1.0
2024-03-10 00:00:00+00:00,0,1,0,5422546686,0.9731408478395308,96.91696166992188,1006006.0,4113,0.0571361817419528,0.0,123484,0.0,956414.0,4023.0,133501.0,96.29557037353516,0.0537575222551822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802762.4,3325.4,111026.8,95.75562744140625,0.05841268599033348,0.0,802762.4,3325.4,111026.8,95.75562744140625,0.05841268599033348,0.0,0.0,5.1852022241414275,0.0,2.237136465324374,0.0,-7.503314581913245,0.0,6.284998536079112,0.0,0.6452958261489172,0.25815513986168787,0.25815513986168787,244.5323286339329,8.146787059156983,0.033307689193019394,0.0,0.48692474365234023,0.48692474365234023,1.0,1.0,1.0,207237.23964770423,207237.23964770423,684.0952419071484,684.0952419071484,16499.97427876783,16499.97427876783,4,1.0
2024-03-11 00:00:00+00:00,0,0,0,5422546686,0.6148261785948754,97.16096496582033,737292.0,2783,0.0583210997283458,0.0,85673,0.0,1006006.0,4113.0,123484.0,96.91696166992188,0.0571361817419528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791850.6666666666,3235.0,106801.16666666667,95.98985036214192,0.05839742161333553,0.0,791850.6666666666,3235.0,106801.16666666667,95.98985036214192,0.05839742161333553,0.0,0.0,-26.710973890811786,0.0,-32.33649404327741,0.0,-30.62016131644586,0.0,2.073848742193718,0.0,0.2517653171273393,0.23650389994325585,0.23650389994325585,264.8318965517241,8.605784718817844,0.03248360062562738,0.0,0.4790052141462118,0.4790052141462118,1.0,1.0,1.0,187275.77083933377,187275.77083933377,650.7088442613946,650.7088442613946,18025.958597718643,18025.958597718643,4,0.7328902610918822
2024-03-12 00:00:00+00:00,0,0,0,5422546686,0.5799909051840392,97.3282241821289,772845.0,2635,0.057765707373619,0.0,83239,0.0,737292.0,2783.0,85673.0,97.16096496582033,0.0583210997283458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789135.5714285715,3149.285714285714,103435.14285714286,96.18104662214007,0.058307176721947455,0.0,789135.5714285715,3149.285714285714,103435.14285714286,96.18104662214007,0.058307176721947455,0.0,0.0,4.822105759997397,0.0,-5.318002155946822,0.0,-2.8410350985724753,0.0,-0.9523008950684475,0.0,0.17214651621402233,0.21683151377350557,0.21683151377350557,293.18854324734446,9.284538683325325,0.031655454108601634,0.0,0.44277545383998396,0.44277545383998396,1.0,1.0,1.0,171109.46052537748,171109.46052537748,635.8303532352305,635.8303532352305,18710.695697279418,18710.695697279418,4,0.7682310045864538
2024-03-13 00:00:00+00:00,0,0,0,5422546686,0.4735766455731358,97.41374969482422,692096.0,2799,0.0611777864396572,0.0,91933,0.0,772845.0,2635.0,83239.0,97.3282241821289,0.057765707373619,0.0,484100.0,2971.0,103147.0,95.06539916992188,0.0694248899817466,0.0,818849.2857142857,3124.714285714286,101833.14285714286,96.51652526855469,0.05712901907307754,0.0,777005.625,3105.5,101997.375,96.33513450622559,0.058666002936661174,0.0,42.965502995248904,-10.448278762235642,-5.78929653315382,6.223908918406074,-10.871862487517813,10.444623313590995,-11.879174089087874,5.906755445699696,2.470247372237777,0.0878732900081225,0.20860745186647997,0.20860745186647997,247.17714285714285,7.52818326190528,0.030445754563056107,0.0,0.41547257559639766,0.3979088919503367,1.0018829138845224,1.0538524553336222,0.9738011150130162,162089.1635171717,162089.1635171717,601.550852855707,601.550852855707,17793.66933922207,17793.66933922207,4,0.6879640876893378
2024-03-14 00:00:00+00:00,0,0,0,5422546686,0.501336870111405,97.5202178955078,802976.0,3150,0.0674050152301788,0.0,97165,0.0,692096.0,2799.0,91933.0,97.41374969482422,0.0611777864396572,0.0,831582.0,2756.0,98109.0,95.12944793701172,0.0608969405293464,0.0,814762.7142857143,3181.0,101698.28571428571,96.85806383405414,0.05805874403033932,0.0,779891.2222222222,3110.4444444444443,101460.44444444444,96.46681043836806,0.05963700430260758,0.0,-3.4399493976541073,16.02089883484372,14.296081277213357,12.540192926045023,-0.9621951095210468,5.691101127995379,10.687030652543461,10.178905045320397,2.5131754786163363,0.10929483878521218,0.19472902612218979,0.19472902612218979,254.83211678832117,8.263960644669947,0.032418747298437724,0.0,0.32485716683523375,0.3575417836507157,1.0040558342699228,1.0447132767620197,0.9735355541291122,151867.45818457764,151867.45818457764,562.8947750492783,562.8947750492783,16722.215307122973,16722.215307122973,4,0.7981821181981023
2024-03-15 00:00:00+00:00,0,0,0,5422546686,0.4800981934476037,97.59847259521484,843687.0,2993,0.0477898605167865,0.0,107621,0.0,802976.0,3150.0,97165.0,97.5202178955078,0.0674050152301788,0.0,735710.0,2764.0,96893.0,95.37075805664062,0.0508478954434394,0.0,830188.0,3213.714285714286,103230.85714285714,97.17630876813617,0.057621881897960324,0.0,786270.8,3098.7,102076.5,96.57997665405273,0.05845228992402547,0.0,14.676570931481159,5.07001454588929,8.285094066570187,-4.98412698412698,11.072007265746752,10.76107651932281,-6.014083572159845,-29.100438070385813,2.3358465256731797,0.08024459070723466,0.1839013500971782,0.1839013500971782,281.79258517034066,7.839354407091487,0.0278102990094962,0.0,0.19171442304339326,0.32175741484670756,1.0061744901452967,1.055855056553035,0.9857934047212781,144596.2616619884,144596.2616619884,532.0002192982004,532.0002192982004,15885.762593173382,15885.762593173382,4,0.8386500676934332
