timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,visits_visits_gained,daily_Estimated Revenue,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-04-20 00:00:00+00:00,0,1,0,4181957649,1828,0.0245474893599748,0.933871792308953,89.35436248779297,83380,118803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118803.0,1828.0,83380.0,89.35436248779297,0.0245474893599748,0.0,118803.0,1828.0,83380.0,89.35436248779297,0.0245474893599748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.95516675779115,1.4248210023866348,0.021923459781005267,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2024-04-21 00:00:00+00:00,0,1,0,4181957649,2522,0.0339520163834095,0.6525136989701418,88.86837005615234,132372,191314.0,0.0,0.0,118803.0,1828.0,83380.0,89.35436248779297,0.0245474893599748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155058.5,2175.0,107876.0,89.11136627197266,0.02924975287169215,0.0,155058.5,2175.0,107876.0,89.11136627197266,0.02924975287169215,0.0,0.0,61.0346540070537,0.0,37.96498905908096,0.0,58.757495802350675,0.0,38.31156370218856,0.0,-0.5438933456741069,0.33066887536392875,0.33066887536392875,75.82798256044391,1.4452645176886525,0.019052223640772664,0.0,0.0,0.0,1.0,1.0,1.0,51273.01981061775,51273.01981061775,490.73210614346397,490.73210614346397,34642.575423891336,34642.575423891336,2,1.0
2024-04-22 00:00:00+00:00,0,0,0,4181957649,2045,0.0438014231622219,0.365981885602472,88.32784271240234,128828,185318.0,0.0,0.0,191314.0,2522.0,132372.0,88.86837005615234,0.0339520163834095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165145.0,2131.6666666666665,114860.0,88.85019175211589,0.03410030963520207,0.0,165145.0,2131.6666666666665,114860.0,88.85019175211589,0.03410030963520207,0.0,0.0,-3.1341145969453366,0.0,-18.913560666137986,0.0,-2.6773033572054517,0.0,29.009784478147438,0.0,-0.6082336644730457,0.2436959655573403,0.2436959655573403,90.57575757575758,1.4384804663546251,0.0158737551327729,0.0,-0.5132598876953178,0.0,1.0,1.0,1.0,40245.170231966964,40245.170231966964,355.02441230615864,355.02441230615864,27320.007027817544,27320.007027817544,2,0.9686588540305466
2024-04-23 00:00:00+00:00,0,0,0,4181957649,2369,0.0536267310380935,0.3574132277078969,87.59638214111328,201143,274174.0,0.0,0.0,185318.0,2045.0,128828.0,88.32784271240234,0.0438014231622219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192402.25,2191.0,136430.75,88.53673934936523,0.038981914985924924,0.0,192402.25,2191.0,136430.75,88.53673934936523,0.038981914985924924,0.0,0.0,47.94785180068855,0.0,15.84352078239608,0.0,56.13298351290092,0.0,22.431480912122016,0.0,-0.8281200455339088,0.33082920548588335,0.33082920548588335,115.68523206751055,1.3630732211748797,0.011777631945273039,0.0,-0.5814468383789225,0.0,1.0,1.0,1.0,63652.283501196296,63652.283501196296,313.22515863193365,313.22515863193365,48567.247656385334,48567.247656385334,3,1.0
2024-04-24 00:00:00+00:00,0,0,0,4181957649,8111,0.1853717416524887,0.5505181556425223,85.73136138916016,540428,659664.0,0.0,0.0,274174.0,2369.0,201143.0,87.59638214111328,0.0536267310380935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285854.6,3375.0,217230.2,87.97566375732421,0.06825988031923769,0.0,285854.6,3375.0,217230.2,87.97566375732421,0.06825988031923769,0.0,0.0,140.60049457643683,0.0,242.38075137188687,0.0,168.6785023590182,0.0,245.67041112539707,0.0,-2.129107054842372,0.7560289895533838,0.7560289895533838,81.31952662721893,1.220630277057671,0.015008446993037014,0.0,-0.8517990112304697,-0.8517990112304697,1.0,1.0,1.0,216114.3643971867,216114.3643971867,2661.3647814608203,2661.3647814608203,185504.28232307738,185504.28232307738,4,1.0
2024-04-25 00:00:00+00:00,0,0,0,4181957649,8557,0.1882353872060775,0.4356185223357917,83.78125762939453,648274,934584.0,0.0,0.0,659664.0,8111.0,540428.0,85.73136138916016,0.1853717416524887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393976.1666666667,4238.666666666667,289070.8333333333,87.27659606933594,0.08825579813371098,0.0,393976.1666666667,4238.666666666667,289070.8333333333,87.27659606933594,0.08825579813371098,0.0,0.0,41.675762206214074,0.0,5.498705461718645,0.0,19.95566476940498,0.0,1.5448123473734032,0.0,-2.274667902348504,0.8322357134662401,0.8322357134662401,109.20588922645477,1.4416474489992672,0.013199645212294166,0.0,-1.0859431675502143,-1.0859431675502143,1.0,1.0,1.0,327881.0361545277,327881.0361545277,3184.6209612239045,3184.6209612239045,241859.3198422725,241859.3198422725,5,1.0
2024-04-26 00:00:00+00:00,0,0,0,4181957649,9617,0.176163375377655,0.3328012855639934,82.22974395751953,762398,1058368.0,0.0,0.0,934584.0,8557.0,648274.0,83.78125762939453,0.1882353872060775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488889.28571428574,5007.0,356689.0,86.5556171962193,0.10081402345427441,0.0,488889.28571428574,5007.0,356689.0,86.5556171962193,0.10081402345427441,0.0,0.0,13.244823365261983,0.0,12.387518990300329,0.0,17.604284608051522,0.0,-6.41325311228872,0.0,-1.8518624758989688,0.7991619047129307,0.7991619047129307,110.04034102724059,1.3882074871556758,0.012614129871628897,0.0,-1.2194486345563615,-1.2194486345563615,1.0,1.0,1.0,390701.69276517275,390701.69276517275,3547.373911313363,3547.373911313363,284169.1821298244,284169.1821298244,6,1.0
2024-04-27 00:00:00+00:00,0,1,0,4181957649,16094,0.2141136527061462,0.349017687977086,82.88568115234375,1189345,1588342.0,0.0,0.0,1058368.0,9617.0,762398.0,82.22974395751953,0.176163375377655,0.0,118803.0,1828.0,83380.0,89.35436248779297,0.0245474893599748,0.0,698823.4285714285,7045.0,514684.0,85.6315198625837,0.1278949039322989,0.0,626320.875,6392.875,460771.0,86.09687519073486,0.1149764771107584,0.0,1236.9544540121042,50.07464322428494,780.4157549234136,67.34948528647186,1326.4152074838091,56.00054040015845,772.2425726162573,21.542660185259432,-7.2393570446355415,0.7976884801721873,0.8477774458824034,0.8477774458824034,98.68543025784405,1.335475126666252,0.013531806555871882,0.0,-1.212835311889646,-1.1187937600272,0.9945949800486924,1.1157594397143933,1.1123571285724472,530980.7117103321,530980.7117103321,5113.840363939526,5113.840363939526,394817.18318699644,394817.18318699644,7,1.0
2024-04-28 00:00:00+00:00,0,1,0,4181957649,24747,0.3302727043628692,0.3606198379415781,87.46969604492188,1983101,2384944.0,0.0,0.0,1588342.0,16094.0,1189345.0,82.88568115234375,0.2141136527061462,0.0,191314.0,2522.0,132372.0,88.86837005615234,0.0339520163834095,0.0,1012199.1428571428,10220.0,779073.8571428572,85.43170928955078,0.17022643078650743,0.0,821723.4444444445,8432.222222222223,629918.7777777778,86.24941084120009,0.1388982801387707,0.0,1146.6123754665105,50.15305268009031,881.2450436161777,53.76537840188891,1398.1272474541443,66.73891932113895,872.7631508927273,54.25111859454472,-1.5738715702186323,5.530526900240718,0.9350277105398982,0.9350277105398982,96.3691611443349,1.2026330466108148,0.01247893451774039,0.0,-0.5534806932721773,-0.6916342417399044,0.9905193375389563,1.231800248247117,1.2255474338230636,768334.1909558482,768334.1909558482,7766.136535913108,7766.136535913108,627609.9653978532,627609.9653978532,8,1.0
2024-04-29 00:00:00+00:00,0,0,0,4181957649,13048,0.2778701782226562,0.1846570161670865,88.64112091064453,1319739,1666192.0,0.0,0.0,2384944.0,24747.0,1983101.0,87.46969604492188,0.3302727043628692,0.0,185318.0,2045.0,128828.0,88.32784271240234,0.0438014231622219,0.0,1223752.5714285714,11791.857142857143,949204.0,85.4764633178711,0.2036648243665695,0.0,906170.3,8893.8,698900.8,86.48858184814453,0.15279546994715926,0.0,799.0988463074283,-30.1370598219497,538.0440097799511,-47.27441710106276,924.4193808799329,-33.45074204490845,534.3861869363076,-15.86644171558258,0.35467661002683837,1.3392350936272113,0.8519892344369957,0.8519892344369957,127.68733236263316,1.2625153439313803,0.009886795884037765,0.0,0.20411818368094262,-0.3725498083866,0.9882976630134773,1.350466431562115,1.3329244933570492,772047.3401665428,772047.3401665428,7466.055611901106,7466.055611901106,630645.251082977,630645.251082977,8,0.698629401780503
