timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue,ccu_playing,ratings_like_ratio,daily_rpv,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-01-13 00:00:00+00:00,0,0,0,6837227715,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-14 00:00:00+00:00,0,0,0,6837227715,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-15 00:00:00+00:00,0,0,0,6837227715,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-16 00:00:00+00:00,0,0,0,6837227715,0.0,0.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2025-01-17 00:00:00+00:00,0,0,0,6837227715,21.596067714691163,1026733.0,140,860628.0,16243.0,96.58940887451172,0.0642702228978304,0.2047703266143798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860628.0,16243.0,1026733.0,96.58940887451172,0.2047703266143798,21.596067714691163,860628.0,16243.0,1026733.0,96.58940887451172,0.2047703266143798,21.596067714691163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9812853976853,0.8382190518673776,0.015820066346298067,2.5093353482965556e-05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-01-18 00:00:00+00:00,0,1,0,6837227715,21.878729343414307,1272131.0,140,3216407.0,15213.0,96.510009765625,0.2205270860348525,0.1765385568141937,860628.0,16243.0,1026733.0,96.58940887451172,0.2047703266143798,21.596067714691163,0.0,0.0,0.0,0.0,0.0,0.0,2038517.5,15728.0,1149432.0,96.54970932006836,0.19065444171428675,21.737398529052733,2038517.5,15728.0,1149432.0,96.54970932006836,0.19065444171428675,21.737398529052733,0.0,273.72790566888364,0.0,-6.341193129348022,0.0,23.900858353632337,0.0,-13.787041446367232,0.0,-0.08220270712069322,0.8171562451030534,0.8171562451030534,211.41100302353095,2.5283594784189063,0.011958664666874192,6.802224513623367e-06,0.0,0.0,1.0,1.0,1.0,1665787.3058768637,1665787.3058768637,728.3199846221439,728.3199846221439,173522.58988961639,173522.58988961639,2,1.0
2025-01-19 00:00:00+00:00,0,1,0,6837227715,22.13311529159546,1208096.0,140,3108076.0,13238.0,96.48802947998048,0.1960145296962006,0.1677643209695816,3216407.0,15213.0,1272131.0,96.510009765625,0.1765385568141937,21.878729343414307,0.0,0.0,0.0,0.0,0.0,0.0,2395037.0,14898.0,1168986.6666666667,96.52914937337239,0.1830244014660517,21.869304116566976,2395037.0,14898.0,1168986.6666666667,96.52914937337239,0.1830244014660517,21.869304116566976,0.0,-3.3680749979713376,0.0,-12.982317754552032,0.0,-5.033679707514393,0.0,-4.970152698057317,0.0,-0.022775135654728995,0.5552902319468972,0.5552902319468972,234.76667422010726,2.5727040130055783,0.010957729387623676,7.12116054125926e-06,0.0,0.0,1.0,1.0,1.0,1329940.6512514008,1329940.6512514008,1527.0641767784352,1527.0641767784352,127287.8610329097,127287.8610329097,2,0.9663192500202866
2025-01-20 00:00:00+00:00,0,0,1,6837227715,22.40110508600871,1060046.0,140,2693069.0,13838.0,96.43274688720705,0.1589661986007105,0.1763685494661331,3108076.0,13238.0,1208096.0,96.48802947998048,0.1677643209695816,22.13311529159546,0.0,0.0,0.0,0.0,0.0,0.0,2469545.0,14633.0,1141751.5,96.50504875183105,0.18136043846607205,22.00225435892741,2469545.0,14633.0,1141751.5,96.50504875183105,0.18136043846607205,22.00225435892741,0.0,-13.352537067948145,0.0,4.5324067079619335,0.0,-12.254820808942334,0.0,5.128759468535371,0.0,-0.05729476814002599,0.44383437935076214,0.44383437935076214,194.59997109617746,2.5405184864444688,0.013054138165571903,8.3180552625846e-06,0.0,0.0,1.0,1.0,1.0,1096068.9723537778,1096068.9723537778,1354.8124101390076,1354.8124101390076,117339.18182346424,117339.18182346424,2,0.8372911139666094
2025-01-21 00:00:00+00:00,0,0,0,6837227715,23.20562744140625,880748.0,35,2375522.0,11875.0,96.4502182006836,0.1324180724922173,0.169712409377098,2693069.0,13838.0,1060046.0,96.43274688720705,0.1763685494661331,22.40110508600871,0.0,0.0,0.0,0.0,0.0,0.0,2450740.4,14081.4,1089550.8,96.49408264160157,0.17903083264827724,22.242928975423176,2450740.4,14081.4,1089550.8,96.49408264160157,0.17903083264827724,22.242928975423176,0.0,-11.791268623269591,0.0,-14.185575950281837,0.0,-16.914171649154852,0.0,-3.7739949152970853,0.0,0.018117614649071356,0.3877009737808475,0.3877009737808475,200.02711350623105,2.697161166234648,0.013482842444328635,9.76863934443331e-06,0.0,0.0,1.0,1.0,1.0,950154.4395640637,950154.4395640637,1702.3367175738176,1702.3367175738176,154760.8739174731,154760.8739174731,2,0.7385638695600402
2025-01-22 00:00:00+00:00,0,0,0,6837227715,22.84186220169067,982398.0,36,2545076.0,14939.0,96.45664978027344,0.135241915660822,0.2087081670761108,2375522.0,11875.0,880748.0,96.4502182006836,0.169712409377098,23.20562744140625,0.0,0.0,0.0,0.0,0.0,0.0,2466463.0,14224.333333333334,1071692.0,96.4878438313802,0.18397705505291617,22.342751179801095,2466463.0,14224.333333333334,1071692.0,96.4878438313802,0.18397705505291617,22.342751179801095,0.0,7.1375470317681655,0.0,25.80210526315789,0.0,11.54132623633548,0.0,22.97755234407457,0.0,0.006668289310107767,0.34491340439663287,0.34491340439663287,170.35314591700134,2.5906744611914303,0.015206652286901759,8.974919895032908e-06,0.0,0.0,1.0,1.0,1.0,850716.1501483324,850716.1501483324,1562.350750205173,1562.350750205173,145170.11710817073,145170.11710817073,2,0.791279213109535
