timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-09-25 00:00:00+00:00,0,0,0,4568630521,83.21286010742188,4267,0.1065742895007133,0.0,351701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4267.0,351701.0,83.21286010742188,0.1065742895007133,0.0,0.0,4267.0,351701.0,83.21286010742188,0.1065742895007133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01213243029610295,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2023-09-26 00:00:00+00:00,0,0,0,4568630521,83.2088623046875,3411,0.0994495153427124,0.0,309875,0.0,0.0,0.0,0.0,4267.0,351701.0,83.21286010742188,0.1065742895007133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839.0,330788.0,83.21086120605469,0.10301190242171285,0.0,0.0,3839.0,330788.0,83.21086120605469,0.10301190242171285,0.0,0.0,0.0,0.0,-20.06093273962971,0.0,-11.892488221529085,0.0,-6.68526545321535,0.0,-0.004804308768158183,0.0,0.0,0.0,0.0,0.01100762885799481,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,605.2834046956847,605.2834046956847,29575.448229908536,29575.448229908536,0,0.0
2023-09-27 00:00:00+00:00,0,0,0,4568630521,83.21784210205078,3338,0.0980233252048492,0.0,311722,0.0,0.0,0.0,0.0,3411.0,309875.0,83.2088623046875,0.0994495153427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3672.0,324432.6666666667,83.21318817138672,0.10134904334942496,0.0,0.0,3672.0,324432.6666666667,83.21318817138672,0.10134904334942496,0.0,0.0,0.0,0.0,-2.1401348578129586,0.0,0.5960467930617108,0.0,-1.4340845533016622,0.0,0.010791876147031587,0.0,0.0,0.0,0.0,0.010708224930467114,0.0,0.0024909973144517815,0.0,1.0,0.0,1.0,0.0,0.0,516.5762286439438,516.5762286439438,23633.11986034289,23633.11986034289,0,0.0
2023-09-28 00:00:00+00:00,0,0,0,4568630521,83.20181274414062,3415,0.0989431515336036,0.0,321480,0.0,0.0,0.0,0.0,3338.0,311722.0,83.21784210205078,0.0980233252048492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.75,323694.5,83.2103443145752,0.10074757039546962,0.0,0.0,3607.75,323694.5,83.2103443145752,0.10074757039546962,0.0,0.0,0.0,0.0,2.3067705212702183,0.0,3.1303533276445084,0.0,0.9383749498725447,0.0,-0.01926192449270836,0.0,0.0,0.0,0.0,0.010622711762125911,0.0,-0.0024162292480534807,0.0,1.0,0.0,1.0,0.0,0.0,440.92280125512525,440.92280125512525,19352.75509240653,19352.75509240653,0,0.0
2023-09-29 00:00:00+00:00,0,0,0,4568630521,83.18946838378906,4441,0.1033355668187141,0.0,367818,0.0,0.0,0.0,0.0,3415.0,321480.0,83.20181274414062,0.0989431515336036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3774.4,332519.2,83.20616912841797,0.10126516968011852,0.0,0.0,3774.4,332519.2,83.20616912841797,0.10126516968011852,0.0,0.0,0.0,0.0,30.043923865300147,0.0,14.413960432997385,0.0,4.439332300445997,0.0,-0.014836648318616863,0.0,0.0,0.0,0.0,0.012073873290939294,0.0,-0.005383300781250624,-0.005383300781250624,1.0,0.0,1.0,0.0,0.0,533.5454994656033,533.5454994656033,25889.640741037718,25889.640741037718,0,0.0
2023-09-30 00:00:00+00:00,0,1,0,4568630521,83.15685272216797,28016,0.4575724601745605,0.0,1310561,0.0,0.0,0.0,0.0,4441.0,367818.0,83.18946838378906,0.1033355668187141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7814.666666666667,495526.1666666667,83.1979497273763,0.16064971809585885,0.0,0.0,7814.666666666667,495526.1666666667,83.1979497273763,0.16064971809585885,0.0,0.0,0.0,0.0,530.8489079036253,0.0,256.30692353283416,0.0,342.8024873345873,0.0,-0.03920647920313547,0.0,0.0,0.0,0.0,0.02137708860778811,0.0,-0.010121372767852485,-0.010121372767852485,1.0,0.0,1.0,0.0,0.0,9908.090889100013,9908.090889100013,399954.8048084516,399954.8048084516,0,0.0
2023-10-01 00:00:00+00:00,0,1,0,4568630521,83.20258331298828,26809,0.4353113174438476,0.0,1584635,0.0,0.0,0.0,0.0,28016.0,1310561.0,83.15685272216797,0.4575724601745605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10528.142857142857,651113.1428571428,83.19861166817802,0.19988708943128583,0.0,0.0,10528.142857142857,651113.1428571428,83.19861166817802,0.19988708943128583,0.0,0.0,0.0,0.0,-4.308252427184467,0.0,20.912723635145557,0.0,-4.865053006516263,0.0,0.05499317172705798,0.0,0.0,0.0,0.0,0.016918080871569242,0.0,-0.005829402378625542,-0.005829402378625542,1.0,0.0,1.0,0.0,0.0,11547.693513260148,11547.693513260148,550231.1832570707,550231.1832570707,0,0.0
2023-10-02 00:00:00+00:00,0,0,0,4568630521,83.18314361572266,11433,0.3127551674842834,0.0,857302,0.0,0.0,0.0,0.0,26809.0,1584635.0,83.20258331298828,0.4353113174438476,0.0,0.0,4267.0,351701.0,83.21286010742188,0.1065742895007133,0.0,0.0,11551.857142857143,723341.8571428572,83.19436645507812,0.2293415005717958,0.0,0.0,10641.25,676886.75,83.1966781616211,0.2139955991879105,0.0,0.0,0.0,167.9400046871338,-57.35387369913089,143.75876099300257,-45.89908717149375,193.46211825525717,-28.153678769303568,-0.03571141727475302,-0.02336429530378492,0.0,0.0,0.0,0.0,0.013336008389099303,0.0,-0.005451202392577865,-0.005175272623695901,0.9999722139562054,0.0,1.0717112942608227,0.0,0.0,10695.872191110524,10695.872191110524,514604.66717936564,514604.66717936564,0,0.0
2023-10-03 00:00:00+00:00,0,0,0,4568630521,83.18751525878906,10035,0.286897748708725,0.0,752531,0.0,0.0,0.0,0.0,11433.0,857302.0,83.18314361572266,0.3127551674842834,0.0,0.0,3411.0,309875.0,83.2088623046875,0.0994495153427124,0.0,0.0,12498.142857142857,786578.4285714285,83.19131687709263,0.2561198196240833,0.0,0.0,10573.888888888889,685291.6666666666,83.19566006130643,0.22209583802355656,0.0,0.0,0.0,194.1952506596306,-12.22776174232485,142.84985881403793,-12.221014298345278,188.4858188801105,-8.267623196620022,-0.02565477439202546,0.005255443442475638,0.0,0.0,0.0,0.0,0.013334981103793593,0.0,-0.00411442347935101,-0.004233551025396156,0.9999477955435344,0.0,1.153195043650111,0.0,0.0,10007.11293836095,10007.11293836095,482028.527853902,482028.527853902,0,0.0
2023-10-04 00:00:00+00:00,0,0,0,4568630521,83.16691589355469,9210,0.2617879807949066,0.0,715290,0.0,0.0,0.0,0.0,10035.0,752531.0,83.18751525878906,0.286897748708725,0.0,0.0,3338.0,311722.0,83.21784210205078,0.0980233252048492,0.0,0.0,13337.0,844231.0,83.18404170445034,0.27951477042266293,0.0,0.0,10437.5,688291.5,83.19278564453126,0.22606505230069157,0.0,0.0,0.0,175.91372079089274,-8.221225710014945,129.46407375802798,-4.948766230228385,167.06702741191646,-8.75216624279308,-0.06119626177477633,-0.024762568241509797,0.0,0.0,0.0,0.0,0.012875878488615123,0.0,-0.0029394967215343264,-0.004646809895833974,0.9998948954526143,0.0,1.2364351215634928,0.0,0.0,9444.649564112418,9444.649564112418,454559.85100638226,454559.85100638226,0,0.0
